,iter,Gene1,Gene2,Edge,Curvature,Response
0,0,CXCL10,CCL5,CXCL10;CCL5,0.08,1
1,0,CXCL10,GBP1,CXCL10;GBP1,0.07,1
2,0,CXCL10,CCL4,CXCL10;CCL4,0.08,1
3,0,CCL4,CCL5,CCL4;CCL5,0.15,1
4,0,CXCL10,CCL5,CXCL10;CCL5,0.05,0
5,0,CXCL10,GBP1,CXCL10;GBP1,0.08,0
6,0,CXCL10,CCL4,CXCL10;CCL4,0.05,0
7,0,CCL4,CCL5,CCL4;CCL5,0.17,0
8,1,CXCL10,CCL5,CXCL10;CCL5,0.08,1
9,1,CXCL10,GBP1,CXCL10;GBP1,0.07,1
10,1,CXCL10,CCL4,CXCL10;CCL4,0.08,1
11,1,CCL4,CCL5,CCL4;CCL5,0.15,1
12,1,CXCL10,CCL5,CXCL10;CCL5,0.07,0
13,1,CXCL10,GBP1,CXCL10;GBP1,0.05,0
14,1,CXCL10,CCL4,CXCL10;CCL4,0.09,0
15,1,CCL4,CCL5,CCL4;CCL5,0.16,0
16,2,CXCL10,CCL5,CXCL10;CCL5,0.07,1
17,2,CXCL10,GBP1,CXCL10;GBP1,0.07,1
18,2,CXCL10,CCL4,CXCL10;CCL4,0.08,1
19,2,CCL4,CCL5,CCL4;CCL5,0.15,1
20,2,CXCL10,CCL5,CXCL10;CCL5,0.07,0
21,2,CXCL10,GBP1,CXCL10;GBP1,0.06,0
22,2,CXCL10,CCL4,CXCL10;CCL4,0.08,0
23,2,CCL4,CCL5,CCL4;CCL5,0.16,0
24,3,CXCL10,CCL5,CXCL10;CCL5,0.08,1
25,3,CXCL10,GBP1,CXCL10;GBP1,0.07,1
26,3,CXCL10,CCL4,CXCL10;CCL4,0.08,1
27,3,CCL4,CCL5,CCL4;CCL5,0.15,1
28,3,CXCL10,CCL5,CXCL10;CCL5,0.07,0
29,3,CXCL10,GBP1,CXCL10;GBP1,0.07,0
30,3,CXCL10,CCL4,CXCL10;CCL4,0.06,0
31,3,CCL4,CCL5,CCL4;CCL5,0.16,0
32,4,CXCL10,CCL5,CXCL10;CCL5,0.08,1
33,4,CXCL10,GBP1,CXCL10;GBP1,0.07,1
34,4,CXCL10,CCL4,CXCL10;CCL4,0.08,1
35,4,CCL4,CCL5,CCL4;CCL5,0.15,1
36,4,CXCL10,CCL5,CXCL10;CCL5,0.07,0
37,4,CXCL10,GBP1,CXCL10;GBP1,0.07,0
38,4,CXCL10,CCL4,CXCL10;CCL4,0.08,0
39,4,CCL4,CCL5,CCL4;CCL5,0.15,0
40,5,CXCL10,CCL5,CXCL10;CCL5,0.08,1
41,5,CXCL10,GBP1,CXCL10;GBP1,0.07,1
42,5,CXCL10,CCL4,CXCL10;CCL4,0.08,1
43,5,CCL4,CCL5,CCL4;CCL5,0.15,1
44,5,CXCL10,CCL5,CXCL10;CCL5,0.06,0
45,5,CXCL10,GBP1,CXCL10;GBP1,0.08,0
46,5,CXCL10,CCL4,CXCL10;CCL4,0.07,0
47,5,CCL4,CCL5,CCL4;CCL5,0.16,0
48,6,CXCL10,CCL5,CXCL10;CCL5,0.08,1
49,6,CXCL10,GBP1,CXCL10;GBP1,0.07,1
50,6,CXCL10,CCL4,CXCL10;CCL4,0.08,1
51,6,CCL4,CCL5,CCL4;CCL5,0.15,1
52,6,CXCL10,CCL5,CXCL10;CCL5,0.07,0
53,6,CXCL10,GBP1,CXCL10;GBP1,0.06,0
54,6,CXCL10,CCL4,CXCL10;CCL4,0.08,0
55,6,CCL4,CCL5,CCL4;CCL5,0.16,0
56,7,CXCL10,CCL5,CXCL10;CCL5,0.09,1
57,7,CXCL10,GBP1,CXCL10;GBP1,0.06,1
58,7,CXCL10,CCL4,CXCL10;CCL4,0.08,1
59,7,CCL4,CCL5,CCL4;CCL5,0.15,1
60,7,CXCL10,CCL5,CXCL10;CCL5,0.08,0
61,7,CXCL10,GBP1,CXCL10;GBP1,0.05,0
62,7,CXCL10,CCL4,CXCL10;CCL4,0.08,0
63,7,CCL4,CCL5,CCL4;CCL5,0.16,0
