,iter,Gene,Raw,Normalized,Response
0,0,CXCL10,0.23000000000000004,0.20171450000000002,1
1,0,CCL4,0.22999999999999998,0.2122315,1
2,0,CCL5,0.22999999999999998,0.21294589999999997,1
3,0,GBP1,0.07,0.06100010000000001,1
4,0,CXCL10,0.18,0.07600000000000001,0
5,0,CCL4,0.22000000000000003,0.19,0
6,0,CCL5,0.22000000000000003,0.19,0
7,0,GBP1,0.08,0.036000000000000004,0
8,1,CXCL10,0.23000000000000004,0.20046690000000006,1
9,1,CCL4,0.22999999999999998,0.21016439999999997,1
10,1,CCL5,0.22999999999999998,0.20928599999999997,1
11,1,GBP1,0.07,0.06288450000000001,1
12,1,CXCL10,0.21000000000000002,0.1137496,0
13,1,CCL4,0.25,0.2032138,0
14,1,CCL5,0.23,0.18357120000000002,0
15,1,GBP1,0.05,0.024107000000000003,0
16,2,CXCL10,0.22000000000000003,0.1850002,1
17,2,CCL4,0.22999999999999998,0.2104553,1
18,2,CCL5,0.22,0.2001373,1
19,2,GBP1,0.07,0.0607726,1
20,2,CXCL10,0.21000000000000002,0.13350070000000003,0
21,2,CCL4,0.24,0.2080008,0
22,2,CCL5,0.23,0.1978341,0
23,2,GBP1,0.06,0.037000200000000004,0
24,3,CXCL10,0.23000000000000004,0.1948572,1
25,3,CCL4,0.22999999999999998,0.2067913,1
26,3,CCL5,0.22999999999999998,0.20819769999999999,1
27,3,GBP1,0.07,0.0587692,1
28,3,CXCL10,0.2,0.1088577,0
29,3,CCL4,0.22,0.1862862,0
30,3,CCL5,0.23,0.19342900000000002,0
31,3,GBP1,0.07,0.040000100000000004,0
32,4,CXCL10,0.23000000000000004,0.19832400000000003,1
33,4,CCL4,0.22999999999999998,0.20862599999999998,1
34,4,CCL5,0.22999999999999998,0.21060439999999997,1
35,4,GBP1,0.07,0.060961600000000005,1
36,4,CXCL10,0.22000000000000003,0.17410710000000001,0
37,4,CCL4,0.22999999999999998,0.20482129999999998,0
38,4,CCL5,0.22,0.1957147,0
39,4,GBP1,0.07,0.057500100000000005,0
40,5,CXCL10,0.23000000000000004,0.19624180000000002,1
41,5,CCL4,0.22999999999999998,0.208835,1
42,5,CCL5,0.22999999999999998,0.20813099999999998,1
43,5,GBP1,0.07,0.06015380000000001,1
44,5,CXCL10,0.21000000000000002,0.1368566,0
45,5,CCL4,0.23,0.2014286,0
46,5,CCL5,0.22,0.1914288,0
47,5,GBP1,0.08,0.054856800000000004,0
48,6,CXCL10,0.23000000000000004,0.2077272,1
49,6,CCL4,0.22999999999999998,0.2138637,1
50,6,CCL5,0.22999999999999998,0.2131365,1
51,6,GBP1,0.07,0.06300000000000001,1
52,6,CXCL10,0.21000000000000002,0.13350070000000003,0
53,6,CCL4,0.24,0.2080008,0
54,6,CCL5,0.23,0.1978341,0
55,6,GBP1,0.06,0.037000200000000004,0
56,7,CXCL10,0.22999999999999998,0.2098253,1
57,7,CCL4,0.22999999999999998,0.2108735,1
58,7,CCL5,0.24,0.22300679999999998,1
59,7,GBP1,0.06,0.053916,1
60,7,CXCL10,0.21000000000000002,0.1304763,0
61,7,CCL4,0.24,0.2085712,0
62,7,CCL5,0.24,0.20571440000000002,0
63,7,GBP1,0.05,0.0285715,0
64,8,CXCL10,0.22000000000000003,0.1882962,1
65,8,CCL4,0.22999999999999998,0.20708739999999998,1
66,8,CCL5,0.22999999999999998,0.20620819999999998,1
67,8,GBP1,0.06,0.0502746,1
68,8,CXCL10,0.22000000000000003,0.1510714,0
69,8,CCL4,0.24,0.2157144,0
70,8,CCL5,0.24,0.2157144,0
71,8,GBP1,0.06,0.0396426,0
72,9,CXCL10,0.23000000000000004,0.1939154,1
73,9,CCL4,0.22999999999999998,0.209301,1
74,9,CCL5,0.22999999999999998,0.2076226,1
75,9,GBP1,0.07,0.06020980000000001,1
76,9,CXCL10,0.23,0.1590482,0
77,9,CCL4,0.25,0.2188098,0
78,9,CCL5,0.24,0.20571440000000002,0
79,9,GBP1,0.06,0.0392856,0
80,10,CXCL10,0.22000000000000003,0.19419599999999998,1
81,10,CCL4,0.22999999999999998,0.21293779999999998,1
82,10,CCL5,0.22999999999999998,0.21265779999999998,1
83,10,GBP1,0.06,0.051818399999999994,1
84,10,CXCL10,0.2,0.107143,0
85,10,CCL4,0.23,0.1953579,0
86,10,CCL5,0.23,0.1939293,0
87,10,GBP1,0.08,0.0457144,0
88,11,CXCL10,0.24,0.21783,1
89,11,CCL4,0.24,0.21642809999999998,1
90,11,CCL5,0.24,0.21716969999999997,1
91,11,GBP1,0.06,0.0529122,1
92,11,CXCL10,0.2,0.11571410000000001,0
93,11,CCL4,0.23,0.1914289,0
94,11,CCL5,0.22,0.184643,0
95,11,GBP1,0.07,0.042499800000000004,0
96,12,CXCL10,0.23000000000000004,0.1959339,1
