,iter,Gene,Raw,Normalized,Response
0,0,YWHAE,0.2,0.142602,1
1,0,CDK11B,0.2,0.142602,1
2,0,YWHAE,0.2,0.14392000000000002,0
3,0,CDK11B,0.2,0.14392000000000002,0
4,1,YWHAE,0.2,0.14258400000000002,1
5,1,CDK11B,0.2,0.14258400000000002,1
6,1,YWHAE,0.2,0.15028600000000003,0
7,1,CDK11B,0.2,0.15028600000000003,0
8,2,YWHAE,0.2,0.13189800000000002,1
9,2,CDK11B,0.2,0.13189800000000002,1
10,2,YWHAE,0.2,0.144548,0
11,2,CDK11B,0.2,0.144548,0
12,3,YWHAE,0.2,0.133308,1
13,3,CDK11B,0.2,0.133308,1
14,3,YWHAE,0.2,0.151338,0
15,3,CDK11B,0.2,0.151338,0
16,4,YWHAE,0.2,0.163164,1
17,4,CDK11B,0.2,0.163164,1
18,4,YWHAE,0.2,0.143658,0
19,4,CDK11B,0.2,0.143658,0
20,5,YWHAE,0.2,0.139266,1
21,5,CDK11B,0.2,0.139266,1
22,5,YWHAE,0.2,0.144452,0
23,5,CDK11B,0.2,0.144452,0
24,6,YWHAE,0.2,0.146324,1
25,6,CDK11B,0.2,0.146324,1
26,6,YWHAE,0.2,0.157462,0
27,6,CDK11B,0.2,0.157462,0
28,7,YWHAE,0.2,0.147096,1
29,7,CDK11B,0.2,0.147096,1
30,7,YWHAE,0.2,0.140854,0
31,7,CDK11B,0.2,0.140854,0
32,8,YWHAE,0.2,0.156814,1
33,8,CDK11B,0.2,0.156814,1
34,8,YWHAE,0.2,0.14744600000000002,0
35,8,CDK11B,0.2,0.14744600000000002,0
36,9,YWHAE,0.2,0.136836,1
37,9,CDK11B,0.2,0.136836,1
38,9,YWHAE,0.2,0.14797800000000003,0
39,9,CDK11B,0.2,0.14797800000000003,0
40,10,YWHAE,0.2,0.15077000000000002,1
41,10,CDK11B,0.2,0.15077000000000002,1
42,10,YWHAE,0.2,0.14874400000000002,0
43,10,CDK11B,0.2,0.14874400000000002,0
44,11,YWHAE,0.2,0.150928,1
45,11,CDK11B,0.2,0.150928,1
46,11,YWHAE,0.2,0.15127200000000002,0
47,11,CDK11B,0.2,0.15127200000000002,0
48,12,YWHAE,0.2,0.140066,1
49,12,CDK11B,0.2,0.140066,1
50,12,YWHAE,0.2,0.14619800000000002,0
51,12,CDK11B,0.2,0.14619800000000002,0
52,13,YWHAE,0.2,0.155538,1
53,13,CDK11B,0.2,0.155538,1
54,13,YWHAE,0.2,0.15063800000000002,0
55,13,CDK11B,0.2,0.15063800000000002,0
56,14,YWHAE,0.2,0.14216800000000002,1
57,14,CDK11B,0.2,0.14216800000000002,1
58,14,YWHAE,0.2,0.152026,0
59,14,CDK11B,0.2,0.152026,0
60,15,YWHAE,0.2,0.14133,1
61,15,CDK11B,0.2,0.14133,1
62,15,YWHAE,0.2,0.15088000000000001,0
63,15,CDK11B,0.2,0.15088000000000001,0
64,16,YWHAE,0.2,0.135076,1
65,16,CDK11B,0.2,0.135076,1
66,16,YWHAE,0.2,0.155362,0
67,16,CDK11B,0.2,0.155362,0
68,17,YWHAE,0.2,0.14055800000000002,1
69,17,CDK11B,0.2,0.14055800000000002,1
70,17,YWHAE,0.2,0.15088800000000002,0
71,17,CDK11B,0.2,0.15088800000000002,0
72,18,YWHAE,0.2,0.142858,1
73,18,CDK11B,0.2,0.142858,1
74,18,YWHAE,0.2,0.154038,0
75,18,CDK11B,0.2,0.154038,0
76,19,YWHAE,0.2,0.147684,1
77,19,CDK11B,0.2,0.147684,1
78,19,YWHAE,0.2,0.145904,0
79,19,CDK11B,0.2,0.145904,0
80,20,YWHAE,0.2,0.143092,1
81,20,CDK11B,0.2,0.143092,1
82,20,YWHAE,0.2,0.14659,0
83,20,CDK11B,0.2,0.14659,0
84,21,YWHAE,0.2,0.141488,1
85,21,CDK11B,0.2,0.141488,1
86,21,YWHAE,0.2,0.149748,0
87,21,CDK11B,0.2,0.149748,0
88,22,YWHAE,0.2,0.14862,1
89,22,CDK11B,0.2,0.14862,1
90,22,YWHAE,0.2,0.158836,0
91,22,CDK11B,0.2,0.158836,0
92,23,YWHAE,0.2,0.144062,1
93,23,CDK11B,0.2,0.144062,1
94,23,YWHAE,0.2,0.15119800000000003,0
95,23,CDK11B,0.2,0.15119800000000003,0
96,24,YWHAE,0.2,0.12748800000000002,1
97,24,CDK11B,0.2,0.12748800000000002,1
98,24,YWHAE,0.2,0.152148,0
99,24,CDK11B,0.2,0.152148,0
100,25,YWHAE,0.2,0.131872,1
101,25,CDK11B,0.2,0.131872,1
102,25,YWHAE,0.2,0.154954,0
103,25,CDK11B,0.2,0.154954,0
104,26,YWHAE,0.2,0.124616,1
105,26,CDK11B,0.2,0.124616,1
106,26,YWHAE,0.2,0.143602,0
107,26,CDK11B,0.2,0.143602,0
108,27,YWHAE,0.2,0.133948,1
109,27,CDK11B,0.2,0.133948,1
110,27,YWHAE,0.2,0.13764200000000001,0
111,27,CDK11B,0.2,0.13764200000000001,0
112,28,YWHAE,0.2,0.14482,1
113,28,CDK11B,0.2,0.14482,1
114,28,YWHAE,0.2,0.151612,0
115,28,CDK11B,0.2,0.151612,0
116,29,YWHAE,0.2,0.154616,1
117,29,CDK11B,0.2,0.154616,1
118,29,YWHAE,0.2,0.146196,0
119,29,CDK11B,0.2,0.146196,0
120,30,YWHAE,0.2,0.13826000000000002,1
121,30,CDK11B,0.2,0.13826000000000002,1
122,30,YWHAE,0.2,0.14786,0
123,30,CDK11B,0.2,0.14786,0
124,31,YWHAE,0.2,0.14633000000000002,1
125,31,CDK11B,0.2,0.14633000000000002,1
126,31,YWHAE,0.2,0.152372,0
127,31,CDK11B,0.2,0.152372,0
128,32,YWHAE,0.2,0.142064,1
129,32,CDK11B,0.2,0.142064,1
130,32,YWHAE,0.2,0.14484,0
131,32,CDK11B,0.2,0.14484,0
132,33,YWHAE,0.2,0.137418,1
133,33,CDK11B,0.2,0.137418,1
134,33,YWHAE,0.2,0.15366000000000002,0
135,33,CDK11B,0.2,0.15366000000000002,0
136,34,YWHAE,0.2,0.15199800000000002,1
137,34,CDK11B,0.2,0.15199800000000002,1
138,34,YWHAE,0.2,0.144196,0
139,34,CDK11B,0.2,0.144196,0
140,35,YWHAE,0.2,0.14768,1
141,35,CDK11B,0.2,0.14768,1
142,35,YWHAE,0.2,0.134088,0
143,35,CDK11B,0.2,0.134088,0
144,36,YWHAE,0.2,0.143898,1
145,36,CDK11B,0.2,0.143898,1
146,36,YWHAE,0.2,0.145506,0
147,36,CDK11B,0.2,0.145506,0
148,37,YWHAE,0.2,0.12738400000000002,1
149,37,CDK11B,0.2,0.12738400000000002,1
150,37,YWHAE,0.2,0.14966200000000002,0
151,37,CDK11B,0.2,0.14966200000000002,0
152,38,YWHAE,0.2,0.137308,1
153,38,CDK11B,0.2,0.137308,1
154,38,YWHAE,0.2,0.142662,0
155,38,CDK11B,0.2,0.142662,0
156,39,YWHAE,0.2,0.14203600000000002,1
157,39,CDK11B,0.2,0.14203600000000002,1
158,39,YWHAE,0.2,0.14653400000000003,0
159,39,CDK11B,0.2,0.14653400000000003,0
160,40,YWHAE,0.2,0.14198,1
161,40,CDK11B,0.2,0.14198,1
162,40,YWHAE,0.2,0.15641000000000002,0
163,40,CDK11B,0.2,0.15641000000000002,0
164,41,YWHAE,0.2,0.15138000000000001,1
165,41,CDK11B,0.2,0.15138000000000001,1
166,41,YWHAE,0.2,0.140774,0
167,41,CDK11B,0.2,0.140774,0
168,42,YWHAE,0.2,0.11897400000000001,1
169,42,CDK11B,0.2,0.11897400000000001,1
170,42,YWHAE,0.2,0.14421,0
171,42,CDK11B,0.2,0.14421,0
172,43,YWHAE,0.2,0.12867,1
173,43,CDK11B,0.2,0.12867,1
174,43,YWHAE,0.2,0.1505,0
175,43,CDK11B,0.2,0.1505,0
176,44,YWHAE,0.2,0.12735000000000002,1
177,44,CDK11B,0.2,0.12735000000000002,1
178,44,YWHAE,0.2,0.147358,0
179,44,CDK11B,0.2,0.147358,0
180,45,YWHAE,0.2,0.145406,1
181,45,CDK11B,0.2,0.145406,1
182,45,YWHAE,0.2,0.14372000000000001,0
183,45,CDK11B,0.2,0.14372000000000001,0
184,46,YWHAE,0.2,0.13678200000000001,1
185,46,CDK11B,0.2,0.13678200000000001,1
186,46,YWHAE,0.2,0.149848,0
187,46,CDK11B,0.2,0.149848,0
188,47,YWHAE,0.2,0.15236400000000003,1
189,47,CDK11B,0.2,0.15236400000000003,1
