,iter,Gene,Raw,Normalized,Response
0,0,GRK2,1.0,0.43382,1
1,0,EDNRB,1.0,0.43382,1
2,0,GRK2,1.0,0.39558,0
3,0,EDNRB,1.0,0.39558,0
4,1,GRK2,1.0,0.44499,1
5,1,EDNRB,1.0,0.44499,1
6,1,GRK2,1.0,0.33182,0
7,1,EDNRB,1.0,0.33182,0
8,2,GRK2,1.0,0.42598,1
9,2,EDNRB,1.0,0.42598,1
10,2,GRK2,1.0,0.35513,0
11,2,EDNRB,1.0,0.35513,0
12,3,GRK2,1.0,0.40038,1
13,3,EDNRB,1.0,0.40038,1
14,3,GRK2,1.0,0.31027,0
15,3,EDNRB,1.0,0.31027,0
16,4,GRK2,1.0,0.50739,1
17,4,EDNRB,1.0,0.50739,1
18,4,GRK2,1.0,0.34147,0
19,4,EDNRB,1.0,0.34147,0
20,5,GRK2,1.0,0.35973,1
21,5,EDNRB,1.0,0.35973,1
22,5,GRK2,1.0,0.37273,0
23,5,EDNRB,1.0,0.37273,0
24,6,GRK2,1.0,0.40034,1
25,6,EDNRB,1.0,0.40034,1
26,6,GRK2,1.0,0.37998,0
27,6,EDNRB,1.0,0.37998,0
28,7,GRK2,1.0,0.41653,1
29,7,EDNRB,1.0,0.41653,1
30,7,GRK2,1.0,0.31863,0
31,7,EDNRB,1.0,0.31863,0
32,8,GRK2,1.0,0.50411,1
33,8,EDNRB,1.0,0.50411,1
34,8,GRK2,1.0,0.36032,0
35,8,EDNRB,1.0,0.36032,0
36,9,GRK2,1.0,0.47072,1
37,9,EDNRB,1.0,0.47072,1
38,9,GRK2,1.0,0.30026,0
39,9,EDNRB,1.0,0.30026,0
40,10,GRK2,1.0,0.39769,1
41,10,EDNRB,1.0,0.39769,1
42,10,GRK2,1.0,0.3562,0
43,10,EDNRB,1.0,0.3562,0
44,11,GRK2,1.0,0.43125,1
45,11,EDNRB,1.0,0.43125,1
46,11,GRK2,1.0,0.33117,0
47,11,EDNRB,1.0,0.33117,0
48,12,GRK2,1.0,0.36382,1
49,12,EDNRB,1.0,0.36382,1
50,12,GRK2,1.0,0.41522,0
51,12,EDNRB,1.0,0.41522,0
52,13,GRK2,1.0,0.43962,1
53,13,EDNRB,1.0,0.43962,1
54,13,GRK2,1.0,0.38916,0
55,13,EDNRB,1.0,0.38916,0
56,14,GRK2,1.0,0.40049,1
57,14,EDNRB,1.0,0.40049,1
58,14,GRK2,1.0,0.32336,0
59,14,EDNRB,1.0,0.32336,0
60,15,GRK2,1.0,0.44414,1
61,15,EDNRB,1.0,0.44414,1
62,15,GRK2,1.0,0.3766,0
63,15,EDNRB,1.0,0.3766,0
64,16,GRK2,1.0,0.35731,1
65,16,EDNRB,1.0,0.35731,1
66,16,GRK2,1.0,0.37853,0
67,16,EDNRB,1.0,0.37853,0
68,17,GRK2,1.0,0.40969,1
69,17,EDNRB,1.0,0.40969,1
70,17,GRK2,1.0,0.34109,0
71,17,EDNRB,1.0,0.34109,0
72,18,GRK2,1.0,0.37833,1
73,18,EDNRB,1.0,0.37833,1
74,18,GRK2,1.0,0.31622,0
75,18,EDNRB,1.0,0.31622,0
76,19,GRK2,1.0,0.52882,1
77,19,EDNRB,1.0,0.52882,1
78,19,GRK2,1.0,0.31274,0
79,19,EDNRB,1.0,0.31274,0
80,20,GRK2,1.0,0.41046,1
81,20,EDNRB,1.0,0.41046,1
82,20,GRK2,1.0,0.37309,0
83,20,EDNRB,1.0,0.37309,0
84,21,GRK2,1.0,0.39354,1
85,21,EDNRB,1.0,0.39354,1
86,21,GRK2,1.0,0.36233,0
87,21,EDNRB,1.0,0.36233,0
