,iter,Gene1,Gene2,Edge,Curvature,Response
0,0,EDNRB,GRK2,EDNRB;GRK2,1.0,1
1,0,EDNRB,GRK2,EDNRB;GRK2,1.0,0
2,1,EDNRB,GRK2,EDNRB;GRK2,1.0,1
3,1,EDNRB,GRK2,EDNRB;GRK2,1.0,0
4,2,EDNRB,GRK2,EDNRB;GRK2,1.0,1
5,2,EDNRB,GRK2,EDNRB;GRK2,1.0,0
6,3,EDNRB,GRK2,EDNRB;GRK2,1.0,1
7,3,EDNRB,GRK2,EDNRB;GRK2,1.0,0
8,4,EDNRB,GRK2,EDNRB;GRK2,1.0,1
9,4,EDNRB,GRK2,EDNRB;GRK2,1.0,0
10,5,EDNRB,GRK2,EDNRB;GRK2,1.0,1
11,5,EDNRB,GRK2,EDNRB;GRK2,1.0,0
12,6,EDNRB,GRK2,EDNRB;GRK2,1.0,1
13,6,EDNRB,GRK2,EDNRB;GRK2,1.0,0
14,7,EDNRB,GRK2,EDNRB;GRK2,1.0,1
15,7,EDNRB,GRK2,EDNRB;GRK2,1.0,0
16,8,EDNRB,GRK2,EDNRB;GRK2,1.0,1
17,8,EDNRB,GRK2,EDNRB;GRK2,1.0,0
18,9,EDNRB,GRK2,EDNRB;GRK2,1.0,1
19,9,EDNRB,GRK2,EDNRB;GRK2,1.0,0
20,10,EDNRB,GRK2,EDNRB;GRK2,1.0,1
21,10,EDNRB,GRK2,EDNRB;GRK2,1.0,0
22,11,EDNRB,GRK2,EDNRB;GRK2,1.0,1
23,11,EDNRB,GRK2,EDNRB;GRK2,1.0,0
24,12,EDNRB,GRK2,EDNRB;GRK2,1.0,1
25,12,EDNRB,GRK2,EDNRB;GRK2,1.0,0
26,13,EDNRB,GRK2,EDNRB;GRK2,1.0,1
27,13,EDNRB,GRK2,EDNRB;GRK2,1.0,0
28,14,EDNRB,GRK2,EDNRB;GRK2,1.0,1
29,14,EDNRB,GRK2,EDNRB;GRK2,1.0,0
30,15,EDNRB,GRK2,EDNRB;GRK2,1.0,1
31,15,EDNRB,GRK2,EDNRB;GRK2,1.0,0
32,16,EDNRB,GRK2,EDNRB;GRK2,1.0,1
33,16,EDNRB,GRK2,EDNRB;GRK2,1.0,0
34,17,EDNRB,GRK2,EDNRB;GRK2,1.0,1
35,17,EDNRB,GRK2,EDNRB;GRK2,1.0,0
36,18,EDNRB,GRK2,EDNRB;GRK2,1.0,1
37,18,EDNRB,GRK2,EDNRB;GRK2,1.0,0
38,19,EDNRB,GRK2,EDNRB;GRK2,1.0,1
39,19,EDNRB,GRK2,EDNRB;GRK2,1.0,0
40,20,EDNRB,GRK2,EDNRB;GRK2,1.0,1
41,20,EDNRB,GRK2,EDNRB;GRK2,1.0,0
42,21,EDNRB,GRK2,EDNRB;GRK2,1.0,1
43,21,EDNRB,GRK2,EDNRB;GRK2,1.0,0
44,22,EDNRB,GRK2,EDNRB;GRK2,1.0,1
45,22,EDNRB,GRK2,EDNRB;GRK2,1.0,0
46,23,EDNRB,GRK2,EDNRB;GRK2,1.0,1
47,23,EDNRB,GRK2,EDNRB;GRK2,1.0,0
48,24,EDNRB,GRK2,EDNRB;GRK2,1.0,1
49,24,EDNRB,GRK2,EDNRB;GRK2,1.0,0
50,25,EDNRB,GRK2,EDNRB;GRK2,1.0,1
51,25,EDNRB,GRK2,EDNRB;GRK2,1.0,0
52,26,EDNRB,GRK2,EDNRB;GRK2,1.0,1
53,26,EDNRB,GRK2,EDNRB;GRK2,1.0,0
54,27,EDNRB,GRK2,EDNRB;GRK2,1.0,1
55,27,EDNRB,GRK2,EDNRB;GRK2,1.0,0
56,28,EDNRB,GRK2,EDNRB;GRK2,1.0,1
57,28,EDNRB,GRK2,EDNRB;GRK2,1.0,0
58,29,EDNRB,GRK2,EDNRB;GRK2,1.0,1
59,29,EDNRB,GRK2,EDNRB;GRK2,1.0,0
60,30,EDNRB,GRK2,EDNRB;GRK2,1.0,1
61,30,EDNRB,GRK2,EDNRB;GRK2,1.0,0
62,31,EDNRB,GRK2,EDNRB;GRK2,1.0,1
63,31,EDNRB,GRK2,EDNRB;GRK2,1.0,0
64,32,EDNRB,GRK2,EDNRB;GRK2,1.0,1
65,32,EDNRB,GRK2,EDNRB;GRK2,1.0,0
66,33,EDNRB,GRK2,EDNRB;GRK2,1.0,1
67,33,EDNRB,GRK2,EDNRB;GRK2,1.0,0
68,34,EDNRB,GRK2,EDNRB;GRK2,1.0,1
69,34,EDNRB,GRK2,EDNRB;GRK2,1.0,0
70,35,EDNRB,GRK2,EDNRB;GRK2,1.0,1
71,35,EDNRB,GRK2,EDNRB;GRK2,1.0,0
72,36,EDNRB,GRK2,EDNRB;GRK2,1.0,1
73,36,EDNRB,GRK2,EDNRB;GRK2,1.0,0
74,37,EDNRB,GRK2,EDNRB;GRK2,1.0,1
75,37,EDNRB,GRK2,EDNRB;GRK2,1.0,0
76,38,EDNRB,GRK2,EDNRB;GRK2,1.0,1
77,38,EDNRB,GRK2,EDNRB;GRK2,1.0,0
78,39,EDNRB,GRK2,EDNRB;GRK2,1.0,1
79,39,EDNRB,GRK2,EDNRB;GRK2,1.0,0
80,40,EDNRB,GRK2,EDNRB;GRK2,1.0,1
81,40,EDNRB,GRK2,EDNRB;GRK2,1.0,0
82,41,EDNRB,GRK2,EDNRB;GRK2,1.0,1
83,41,EDNRB,GRK2,EDNRB;GRK2,1.0,0
84,42,EDNRB,GRK2,EDNRB;GRK2,1.0,1
85,42,EDNRB,GRK2,EDNRB;GRK2,1.0,0
86,43,EDNRB,GRK2,EDNRB;GRK2,1.0,1
87,43,EDNRB,GRK2,EDNRB;GRK2,1.0,0
88,44,EDNRB,GRK2,EDNRB;GRK2,1.0,1
89,44,EDNRB,GRK2,EDNRB;GRK2,1.0,0
90,45,EDNRB,GRK2,EDNRB;GRK2,1.0,1
91,45,EDNRB,GRK2,EDNRB;GRK2,1.0,0
92,46,EDNRB,GRK2,EDNRB;GRK2,1.0,1
93,46,EDNRB,GRK2,EDNRB;GRK2,1.0,0
94,47,EDNRB,GRK2,EDNRB;GRK2,1.0,1
95,47,EDNRB,GRK2,EDNRB;GRK2,1.0,0
96,48,EDNRB,GRK2,EDNRB;GRK2,1.0,1
97,48,EDNRB,GRK2,EDNRB;GRK2,1.0,0
98,49,EDNRB,GRK2,EDNRB;GRK2,1.0,1
99,49,EDNRB,GRK2,EDNRB;GRK2,1.0,0
100,50,EDNRB,GRK2,EDNRB;GRK2,1.0,1
101,50,EDNRB,GRK2,EDNRB;GRK2,1.0,0
102,51,EDNRB,GRK2,EDNRB;GRK2,1.0,1
103,51,EDNRB,GRK2,EDNRB;GRK2,1.0,0
104,52,EDNRB,GRK2,EDNRB;GRK2,1.0,1
105,52,EDNRB,GRK2,EDNRB;GRK2,1.0,0
106,53,EDNRB,GRK2,EDNRB;GRK2,1.0,1
107,53,EDNRB,GRK2,EDNRB;GRK2,1.0,0
108,54,EDNRB,GRK2,EDNRB;GRK2,1.0,1
109,54,EDNRB,GRK2,EDNRB;GRK2,1.0,0
110,55,EDNRB,GRK2,EDNRB;GRK2,1.0,1
111,55,EDNRB,GRK2,EDNRB;GRK2,1.0,0
112,56,EDNRB,GRK2,EDNRB;GRK2,1.0,1
113,56,EDNRB,GRK2,EDNRB;GRK2,1.0,0
