,Edge,U,pval,adj_pvals
0,PDS5A;RFC2,8809.5,7.130427753171419e-21,1.2271731578544703e-20
1,PDS5A;PLK1,7118.5,1.705965350207957e-07,2.1520684905290444e-07
2,PDS5A;CDK1,9538.0,8.751011717973156e-29,2.041406645094078e-28
3,PDS5A;ZNF451,3905.5,0.0063624668805283835,0.0071261707167594715
4,PDS5A;RFC5,9548.5,6.1721998963869e-29,1.4630531436424018e-28
5,PDS5A;SMC4,7106.0,1.569906099154548e-07,1.9822533286348466e-07
6,PDS5A;SMC1A,1791.0,1.3284563144455148e-15,2.0119976937590334e-15
7,PDS5A;TOP2A,5769.0,0.05617583686259108,0.060672852674425806
8,PDS5A;SMC3,8742.0,1.0093083309463802e-20,1.7283827639801725e-20
9,IGFBP3;MMP2,6799.0,8.175872854076774e-06,9.906865958340967e-06
10,IGFBP3;COL1A1,9548.5,5.853616470707421e-29,1.3883361254732588e-28
11,IGFBP3;TP53,3043.0,1.5269638114455072e-06,1.8857911416861532e-06
12,IGFBP3;EGFR,9424.0,2.1633125648840733e-27,4.653440253266054e-27
13,IGFBP3;PPARG,3511.5,0.00018323049094615772,0.0002149967123591215
14,IGFBP3;PDGFA,9999.0,1.6530242790284192e-34,1.2714870387189795e-33
15,IGFBP3;IGF2R,64.0,1.0832639123137895e-33,4.201348726834349e-33
16,IGFBP3;TGFBR2,9975.0,3.820626818540417e-34,1.7333935345417656e-33
17,IGFBP3;PTGS2,9651.0,2.7744509133155305e-30,7.184937387220522e-30
18,IGFBP3;CD44,5014.5,0.9726231337140115,0.9733327323037834
19,IGFBP3;IGF1R,1671.0,2.590672913603518e-16,3.982300724497003e-16
20,IGFBP3;AKT1,4773.5,0.5749897476230356,0.5890173790064205
21,HERPUD1;XBP1,5110.5,0.7817336593944458,0.7911544536173498
22,HERPUD1;EDEM1,3723.0,0.0014953076071114505,0.001707796503820044
23,HERPUD1;ATF6,11.0,2.624576754897834e-34,1.334997941459158e-33
24,PCK2;ACLY,0.0,1.7167183899673848e-34,1.2714870387189795e-33
25,PCK2;ME2,3789.0,0.0029829179073434394,0.0033823938243919133
26,PCK2;PPARG,9999.0,1.3474139827945803e-34,1.2714870387189795e-33
27,GMNN;AURKA,5109.0,0.7772448324087524,0.7869986430516772
28,GMNN;CCNA2,6216.0,0.0016600533164771618,0.0018949013584753178
29,GMNN;ORC1,9136.5,3.0556331854851948e-25,6.021997393808226e-25
30,GMNN;CDK2,6917.5,8.51473505314064e-07,1.0563200103609808e-06
31,GMNN;UBE2C,9995.5,1.0566373270726469e-35,1.1170466805717974e-33
32,GMNN;CDK1,1025.5,4.0994171323360626e-23,7.510730854658458e-23
33,GMNN;MCM3,39.0,3.046797387651242e-35,1.2714870387189795e-33
34,GMNN;PLK1,5787.0,0.04215546905195154,0.045891469616079525
35,GMNN;CDKN1A,2434.0,3.060623798159898e-10,4.110465708037852e-10
36,GMNN;CCNB1,8709.5,9.678208119529781e-21,1.6580277440410097e-20
37,GMNN;CDC20,9304.0,3.255737769791963e-27,6.959668011789052e-27
38,PDHX;DLD,5423.5,0.29154931606420775,0.30465348796450353
39,PDHX;MIF,9528.5,1.5870414790612877e-28,3.6484221711380998e-28
40,PDHX;SDHB,9999.5,1.5641279395839358e-34,1.2714870387189795e-33
41,PDHX;ACLY,2195.5,5.2620552531617795e-12,7.332664194636209e-12
42,PDHX;TXNRD1,8309.0,4.730855604166211e-16,7.223551321389223e-16
43,PDHX;PCCB,6122.5,0.005906539190284602,0.006624532234402055
44,IARS2;MRPL19,1288.0,2.058658051065847e-20,3.494792854841568e-20
45,EED;DNMT3A,3362.5,4.752988196971856e-05,5.66257858440625e-05
46,EED;RB1,198.5,6.581295759292509e-32,1.951155046793132e-31
47,EED;TP53,2973.5,6.057612330779196e-07,7.549083810162444e-07
48,EED;SUZ12,5228.5,0.5500991430949393,0.5645032353704926
49,EED;EZH2,5558.5,0.16510657179775834,0.17479123821656176
50,EED;MTA1,6410.0,0.0004740964148862326,0.0005487782692705618
51,EED;MTF2,652.5,1.5680103077092657e-27,3.4031447342951624e-27
52,EED;USP7,2357.0,5.513008006708662e-11,7.526883857865343e-11
53,EED;HDAC2,9830.0,6.057997803464972e-33,2.0433328656769147e-32
54,EED;DNMT1,490.0,6.876335548694738e-29,1.6224839898439708e-28
55,LIG1;RFC2,1931.5,1.0610922276770542e-14,1.5706455096730494e-14
56,LIG1;RPA3,244.5,2.298342956834384e-32,7.137872654621502e-32
57,LIG1;MSH6,4345.5,0.10145345835951876,0.10835218820384628
58,LIG1;RPA1,8519.5,5.337030202659363e-19,8.735831059643308e-19
59,LIG1;POLD4,0.0,2.0732643325978055e-34,1.2714870387189795e-33
60,LIG1;PCNA,2819.0,3.24307939259954e-08,4.170397406420971e-08
61,LIG1;MCM3,1507.0,4.182182235576909e-18,6.701588745871877e-18
62,LIG1;RPA2,7708.5,4.772306233123913e-12,6.659220125230554e-12
63,LIG1;DNMT1,5380.5,0.3414643650199717,0.3556380313989328
64,LIG1;PARP1,4039.0,0.01574881763436956,0.017397687131659255
65,LIG1;CHEK1,7418.5,1.7321846957738635e-09,2.2867950026016837e-09
66,LIG1;PNKP,1321.5,6.348429533463654e-20,1.0654073217864166e-19
67,LIG1;TP53BP1,6960.0,1.1551062125738723e-06,1.4295525006741305e-06
68,LIG1;RAD9A,5311.5,0.4042134487282858,0.41813432416211566
69,LIG1;CDK2,3451.5,0.00012343816866020878,0.00014558557295407256
70,LIG1;POLB,6955.5,9.913325365174687e-07,1.2283448924328166e-06
71,LIG1;RFC5,295.0,1.654940902870061e-31,4.696608148489862e-31
72,EPN2;EGFR,204.5,7.240226350156457e-32,2.138803404945716e-31
73,EPN2;ADRB2,102.5,4.1126266250404835e-33,1.426935797811264e-32
74,EPN2;CLTB,3048.0,1.5401424226427983e-06,1.9009256356254093e-06
75,EPN2;IGF1R,5641.0,0.11482492603837963,0.12250572223176877
76,EPN2;CLTC,4300.0,0.08329935264628853,0.08940449560236757
77,EPN2;UBQLN2,9992.0,2.570492834801917e-34,1.3238520669849672e-33
78,SMC4;AURKA,8.0,4.154852858948942e-36,6.517077696300747e-34
79,SMC4;CCNB1,9263.5,1.8219793771601895e-27,3.941874414833953e-27
80,SMC4;TOPBP1,588.5,4.055537888815145e-29,9.719591387579686e-29
81,SMC4;CENPE,513.5,4.272819522817974e-31,1.169059330877391e-30
82,SMC4;RB1,618.5,7.533183457002104e-27,1.5823915224892116e-26
83,SMC4;BUB1B,2283.0,4.5438697519066476e-14,6.623458742152269e-14
84,SMC4;CCNB2,3100.0,3.0968867051148504e-07,3.887641486134109e-07
85,SMC4;MELK,2210.0,5.577045082155767e-14,8.11798390982348e-14
86,SMC4;PLK1,590.0,3.799740226899283e-30,9.723837707518998e-30
87,SMC4;SMC1A,8361.0,2.9940549448172693e-18,4.810830182711075e-18
88,SMC4;NCAPD2,7992.0,1.5943500556170805e-18,2.580940392944251e-18
