,Gene,U,pval,adj_pvals
0,PDS5A,8577.0,2.356405041013962e-18,3.8523566899631595e-18
1,IGFBP3,9756.0,3.279128646320149e-31,9.851768082146061e-31
2,HERPUD1,138.0,1.5302560323079166e-32,5.403223619231562e-32
3,PCK2,167.0,3.5626969468029663e-32,1.1962977492941334e-31
4,GMNN,5964.0,0.018562361278314933,0.020541546810413133
5,PDHX,9712.0,1.1474946021218599e-30,3.156762258849293e-30
6,IARS2,1401.0,1.462141484317597e-18,2.4018391289149974e-18
7,EED,108.0,6.350597869226212e-33,2.4302567264915947e-32
8,LIG1,926.0,2.443378548790298e-23,4.795742996909324e-23
9,EPN2,2127.0,2.240468928849899e-12,3.170911603847481e-12
10,SMC4,6194.0,0.003543407391349829,0.004005336737746919
11,TXNL4B,9995.0,2.9772381142870293e-34,1.9994197140064854e-33
12,MRPL19,9465.0,1.0496293980609676e-27,2.429041005647847e-27
13,MMP2,9954.0,1.0141616215996905e-33,4.824310491637416e-33
14,GRN,1572.0,5.5357480041204386e-17,8.61815314277841e-17
15,ITGB5,48.0,1.0763709066257036e-33,4.981851831341939e-33
16,CRELD2,9999.0,2.640284031487027e-34,1.9990887763888914e-33
17,NPC1,9946.0,1.2866619826841274e-33,5.723139338562515e-33
18,TSC22D3,1394.0,1.2554993128975615e-18,2.067348628208725e-18
19,PNKP,2682.0,1.4913664277141103e-08,1.9570613083987846e-08
20,BNIP3L,9892.0,6.350597869226212e-33,2.4302567264915947e-32
21,LYPLA1,1002.0,1.5531637249189462e-22,2.9309012439930525e-22
22,PARP1,1291.0,1.2889585600708494e-19,2.1909097112866796e-19
23,NFATC3,10.0,3.459069278772269e-34,2.1155914785348253e-33
24,SYNE2,8409.0,6.787076105933093e-17,1.054228374731104e-16
25,DDB2,9971.0,6.1083730958418285e-34,3.146041782444852e-33
26,CREB1,5189.0,0.6451008206764677,0.6615180571308089
27,RFX5,5426.0,0.2984969742960175,0.3136049499889141
28,PIK3CA,9667.0,4.082740083861659e-30,1.0715237384847649e-29
29,PGAM1,1352.0,5.00022733054092e-19,8.394989513285613e-19
30,BIRC2,4462.0,0.18907462771408678,0.2011119875530271
31,RPIA,5052.0,0.8998629098561086,0.9064795488991683
32,PAN2,8030.0,1.3389950976614946e-13,1.9473707895926195e-13
33,FBXO7,9986.0,3.89968424397301e-34,2.283148467625224e-33
34,STK25,6741.0,2.1119112048872922e-05,2.5695544855200624e-05
35,HSPA4,6553.0,0.0001486216940566966,0.0001782939762326395
36,SDHB,40.0,8.48166306067233e-34,4.1499565689718186e-33
37,ARPP19,9400.0,5.9145278704340186e-27,1.3069198681442913e-26
38,CLTB,2383.0,1.6252713491500728e-10,2.2400621210619716e-10
39,P4HA2,8989.0,1.929097190359295e-22,3.6104687852352933e-22
40,MCOLN1,9153.5,3.3814737982274924e-24,6.893778427934024e-24
41,NFE2L2,9848.0,2.3025763075914121e-32,8.047269238265905e-32
42,PPP1R13B,2.0,2.7207913829411556e-34,1.9990887763888914e-33
43,NUP93,123.0,9.864590797525768e-33,3.6329272560780384e-32
44,KAT6A,10000.0,2.562143669163401e-34,1.9990887763888914e-33
