,Edge,U,pval,adj_pvals
0,GADD45B;FOS,5900.0,0.0021901611593436454,0.002569589850253372
1,GADD45B;MAP3K4,9993.5,2.516900062295667e-36,3.372422071608805e-35
2,GADD45B;NFKBIA,5651.5,0.0027454875653855114,0.0032115951851818094
3,GADD45B;CDKN1A,2137.5,1.9593971447242264e-18,3.674450311704275e-18
4,GADD45B;GADD45A,5098.0,0.4828424818217405,0.5001681549515411
5,GADD45B;CCNB1,9452.5,2.232810203535937e-28,6.669761597420416e-28
6,GADD45B;PCNA,7526.0,6.292667466532815e-11,9.434230413243852e-11
7,GADD45B;TP53,6761.5,1.7254429204843731e-06,2.261891531493436e-06
8,GADD45B;JUN,3950.0,0.0013015655499581309,0.0015389213004736646
9,PTPN12;CSK,1860.5,4.140067326610944e-17,7.422468847119803e-17
10,PTPN12;PXN,8623.0,2.6069189239016454e-22,5.68690807723718e-22
11,PTPN12;PTK2B,210.0,6.322516669035039e-34,3.114016615944406e-33
12,PTPN12;SHC1,10000.0,4.014111376282839e-37,9.563741260963028e-36
13,PTPN12;SRC,8618.5,1.266827865003497e-21,2.686490190932349e-21
14,PTPN12;PTK2,0.0,1.5047691456065527e-39,1.6084762083443016e-37
15,PTPN12;CRK,2100.0,2.1556908934457965e-19,4.162967521278382e-19
16,PTPN12;EGFR,9935.5,6.5026023083935e-36,6.767840034130602e-35
17,PTPN12;ERBB2,2184.0,1.6175810851776826e-14,2.6712038379447746e-14
18,PTPN12;PTPN6,241.0,5.222882965351281e-33,2.2749451682780086e-32
19,AKT1;FKBP4,9955.0,8.412330363348007e-35,5.018215171499452e-34
20,AKT1;RALA,9345.5,7.16998335238861e-29,2.215412824898199e-28
21,AKT1;XBP1,0.0,1.4246220724819313e-34,7.958164260827739e-34
22,AKT1;HMOX1,11.5,2.0285840514583415e-36,2.9714999716732373e-35
23,AKT1;NFKBIA,5485.0,0.035797857151703034,0.03970289541082039
24,AKT1;AURKA,3741.0,0.0012594262096318706,0.0014904340691484284
25,AKT1;MMP2,4965.0,0.9129968333892965,0.9197408242625236
26,AKT1;STUB1,2757.5,1.464126020286591e-10,2.1687709401623473e-10
27,AKT1;CSK,4972.0,0.9180209566758714,0.9240959235563938
28,AKT1;CCL2,8358.5,2.5914417827712572e-18,4.834505778707699e-18
29,AKT1;COL1A1,4480.5,0.10168896292285533,0.11009577015053185
30,AKT1;CCND1,5339.5,0.0866707194843163,0.0941710702089206
31,AKT1;CDKN1B,8590.0,1.7790918280678836e-21,3.738739734329692e-21
32,AKT1;TBP,2805.5,9.2720345705971e-09,1.298084839883594e-08
33,AKT1;SKP1,9881.0,1.6235550533980212e-33,7.501355416108848e-33
34,AKT1;NR3C1,7124.0,3.958151803029611e-09,5.59488576875701e-09
35,AKT1;EGR1,8029.5,5.625719691018124e-16,9.728780663741443e-16
36,AKT1;HSPB1,4912.0,0.7993986835431612,0.8115045670978447
37,AKT1;RAC2,843.0,1.1844279559980606e-25,2.997064981428234e-25
38,AKT1;APOE,9845.0,1.912839568873221e-34,1.0377613847590656e-33
39,AKT1;CCNB1,7547.5,9.928438840048742e-11,1.4806551890042526e-10
40,AKT1;CDK4,9812.0,5.47434376822442e-36,5.915581858832672e-35
41,AKT1;ADAM10,4083.0,0.019981334241031292,0.022418773595256385
42,AKT1;PPP2R5A,9622.5,5.605689568591119e-30,1.8552721542910355e-29
43,AKT1;PPP2R3C,9516.5,7.350770886838872e-30,2.4126389093317622e-29
44,AKT1;SCARB1,2116.5,1.2607819286431719e-15,2.153949256062093e-15
45,AKT1;PIK3C3,9987.0,7.262675224453921e-36,7.305593946798254e-35
46,AKT1;RHEB,9671.5,1.8469555848611792e-31,6.8912352246471355e-31
47,AKT1;AXIN1,8062.5,6.018728372088597e-19,1.1471841306800192e-18
48,AKT1;PIK3R3,9964.0,2.179028642767731e-36,3.1224848848356437e-35
49,AKT1;PIK3CA,10000.0,8.961032181449452e-38,3.065283971308367e-36
50,AKT1;STAT3,7730.5,8.494588795287883e-17,1.5065515105544205e-16
51,AKT1;ICAM1,4201.0,0.02577476191045718,0.028755763993189885
52,AKT1;KAT6A,9212.0,1.2800761020288306e-27,3.6501088561817054e-27
53,AKT1;PXN,1291.0,3.639065797794285e-26,9.51256128901282e-26
54,AKT1;IQGAP1,2740.0,4.622788558524295e-10,6.746541973787302e-10
55,AKT1;TP53,9064.5,5.122011708813652e-30,1.6994594218421136e-29
56,AKT1;RASA1,6030.0,0.006626220434772962,0.007631538095377712
57,AKT1;EGFR,2981.5,8.346958745973415e-12,1.2855226573335224e-11
58,AKT1;PAK1,6191.0,0.0016584223865114944,0.0019544280508501074
59,AKT1;APP,8067.5,4.322175425264785e-16,7.497457810053607e-16
60,AKT1;PPARG,939.5,2.653429791294032e-26,6.996209883045266e-26
61,AKT1;HMGCR,2653.5,3.375411067516321e-09,4.784856907536577e-09
62,AKT1;CALM3,1597.0,3.630771462338259e-18,6.744810302277038e-18
63,AKT1;BAX,8956.5,5.0009235450482615e-26,1.2927223935075734e-25
64,AKT1;STAT5B,9151.5,4.6351344646376334e-29,1.4445986452042428e-28
65,AKT1;CRK,8604.5,4.0681121191871803e-22,8.768056365877547e-22
66,AKT1;HSPA4,9854.0,6.955217727935869e-34,3.387670703692902e-33
67,AKT1;FOS,1481.0,1.9046966329385053e-21,3.996326357173362e-21
68,AKT1;DDIT4,6600.0,1.9480106818931043e-05,2.4709372183730683e-05
69,AKT1;CYCS,7454.5,6.325372423238387e-11,9.479669546763101e-11
70,AKT1;PPARD,4717.5,0.3803380605285067,0.3970010634442449
71,AKT1;CASP3,2615.0,5.666569839238148e-11,8.5084600281651e-11
