,Gene,U,pval,adj_pvals
0,PDS5A,2494.0,9.245975016837224e-10,1.241443539334858e-09
1,IGFBP3,9977.0,5.1054809667146726e-34,2.9488553859472674e-33
2,HERPUD1,6414.0,0.0005528902233507796,0.000635396997675853
3,PCK2,3245.0,1.811627697633518e-05,2.1791571946399586e-05
4,GMNN,988.0,1.107563884250821e-22,2.1201937212801434e-22
5,PDHX,10000.0,2.562143669163401e-34,2.2908582216496572e-33
6,IARS2,0.0,2.561999346290125e-34,2.2908582216496572e-33
7,EED,13.0,3.7845631983265776e-34,2.5869192509523928e-33
8,PPIC,10000.0,2.562143669163401e-34,2.2908582216496572e-33
9,EPN2,3868.0,0.00569761242004585,0.006351747623012845
10,LIG1,9830.0,3.8870696883933256e-32,1.3493972493386157e-31
11,SMC4,9197.0,1.1392010513448666e-24,2.2989900734971706e-24
12,TXNL4B,9159.0,2.9653294916832555e-24,5.913008212582683e-24
13,MRPL19,10000.0,2.562143669163401e-34,2.2908582216496572e-33
14,MMP2,340.0,4.968504496876686e-30,1.347731989031328e-29
15,GRN,2576.0,3.18915552059438e-09,4.231156829303435e-09
16,ITGB5,0.0,2.562143669163401e-34,2.2908582216496572e-33
17,CRELD2,1256.0,5.863068375034174e-20,1.0419776687726516e-19
18,NPC1,16.0,4.140464634938016e-34,2.6297544058244076e-33
19,TSC22D3,9351.0,2.1619741526094822e-26,4.733734255713572e-26
20,PNKP,8242.0,2.370428912617467e-15,3.76347718353958e-15
21,BNIP3L,295.0,1.3990568934209744e-30,3.905700494133554e-30
22,LYPLA1,10000.0,2.562143669163401e-34,2.2908582216496572e-33
23,PARP1,6489.0,0.0002758486750535368,0.0003203095533550601
24,NFATC3,9790.0,1.2359110747633117e-31,3.9244569672579094e-31
25,SYNE2,9994.0,3.019022372022508e-34,2.335823324527363e-33
26,DDB2,1607.0,1.1401576260747527e-16,1.8769179593859565e-16
27,CREB1,2780.0,5.857366561155672e-08,7.546991530719808e-08
28,RFX5,6061.0,0.009563802258962808,0.010556420944818914
29,PIK3CA,10000.0,2.562143669163401e-34,2.2908582216496572e-33
30,PGAM1,0.0,2.562143669163401e-34,2.2908582216496572e-33
31,ICAM3,3287.0,2.8604178611581796e-05,3.416185324377861e-05
32,BIRC2,9997.0,2.8037369279891326e-34,2.2908582216496572e-33
33,RPIA,796.0,9.542480558280761e-25,1.9374127194085183e-24
34,PAN2,7307.0,1.7437247838187874e-08,2.2729486481684583e-08
35,FBXO7,10000.0,2.562143669163401e-34,2.2908582216496572e-33
36,STK25,1893.0,3.189500111863526e-14,4.91256339068635e-14
37,HSPA4,10000.0,2.562143669163401e-34,2.2908582216496572e-33
38,SDHB,6940.0,2.14825588972939e-06,2.675337260443664e-06
39,CLTB,2659.0,1.0730947584530798e-08,1.4097519375756147e-08
40,P4HA2,9721.0,8.88965604462598e-31,2.5783850865365397e-30
41,MCOLN1,19.0,4.487495310089936e-34,2.6607273077524398e-33
42,NFE2L2,231.0,2.2598504527373694e-31,6.945411941899255e-31
43,PPP1R13B,83.0,3.0391547440970026e-33,1.256934369472217e-32
44,NUP93,194.0,7.789967115305185e-32,2.558469591791409e-31
45,KAT6A,1464.0,5.6905333742855165e-18,9.652297115876699e-18
46,PXN,3684.0,0.0013077295753771508,0.0014901000263651209
47,TWF2,269.0,6.69046510885309e-31,1.9747187766218372e-30
48,MEF2C,8206.0,4.7908933383850615e-15,7.534973090887303e-15
49,DNTTIP2,7598.0,2.1997874343469303e-10,3.0264016037216494e-10
