,Edge,U,pval,adj_pvals
0,GADD45B;MAP3K4,9892.0,1.7064298805285534e-34,8.65980816793232e-34
1,GADD45B;GADD45A,2738.0,1.4072093000589664e-13,2.2387420682756285e-13
2,GADD45B;CCNB1,7738.5,6.9776978704514005e-12,1.052891319042877e-11
3,GADD45B;PCNA,4860.0,0.7184566868548581,0.730677069905543
4,GADD45B;TP53,4811.5,0.62048653303353,0.6350914228980852
5,PTPN12;PXN,9241.5,1.5575485989569885e-27,3.955897769032351e-27
6,PTPN12;PTK2B,66.5,2.020181790820296e-34,1.003100646999005e-33
7,PTPN12;SHC1,9990.0,9.1381816728574e-37,2.0129681944333395e-35
8,PTPN12;PTK2,0.0,1.138551448129886e-39,1.0892142187109242e-37
9,PTPN12;EGFR,9787.5,5.8370884930709594e-33,2.2761472792273985e-32
10,PTPN12;ERBB2,365.0,3.364061109249885e-31,1.0680149760561028e-30
11,AKT1;FKBP4,9920.5,3.713901856882033e-34,1.741650053799254e-33
12,AKT1;STUB1,866.0,8.630142638592039e-27,2.1169666130563378e-26
13,AKT1;CCND1,4101.5,0.011904420702483213,0.013419358765171571
14,AKT1;CDKN1B,9239.0,1.5433462566683406e-26,3.753731997150964e-26
15,AKT1;HSPB1,4786.5,0.5788424656698345,0.5950135660717855
16,AKT1;RAC2,451.0,1.8047919819950703e-29,5.09818207512387e-29
17,AKT1;RHEB,7554.0,1.1824637492642786e-10,1.715708271177189e-10
18,AKT1;AXIN1,7614.0,1.599963414378714e-12,2.468760752294037e-12
19,AKT1;PIK3R3,9943.5,2.692663318538864e-36,4.341541418093561e-35
20,AKT1;PIK3CA,9994.0,5.8159638437132123e-36,6.962953902600284e-35
21,AKT1;STAT3,9406.0,6.334837815186987e-32,2.1490525448683985e-31
22,AKT1;PXN,1757.0,7.573983996382521e-18,1.368849752494826e-17
23,AKT1;IQGAP1,4141.0,0.015717031312395286,0.017606510486563025
24,AKT1;TP53,9269.0,1.2470670686607307e-28,3.3828756966505644e-28
25,AKT1;RASA1,3675.0,0.0006908759452714678,0.0008254845807365165
26,AKT1;PAK1,6640.0,2.4345150529914327e-05,3.0752897016221006e-05
27,AKT1;HSPA4,9909.0,7.344934088832716e-34,3.3144592507782855e-33
28,AKT1;CASP3,1554.5,2.3605733372522677e-18,4.326210394581103e-18
29,AKT1;EZH2,7491.0,4.491860140319663e-10,6.420138746373224e-10
30,AKT1;SMAD3,7586.0,5.3797004571463996e-14,8.664276269365974e-14
31,AKT1;FOXO3,5738.0,0.03440736341511291,0.03786393136555754
32,AKT1;EIF4EBP1,7939.0,1.0562994540271313e-13,1.6879618224152933e-13
33,AKT1;PTK2,9674.5,1.46767321220871e-32,5.414167248122104e-32
34,AKT1;STAT1,9266.5,7.020602382516848e-26,1.6735156842045975e-25
35,AKT1;BECN1,9394.5,2.786888015759513e-29,7.81090684104473e-29
36,AKT1;MAPKAPK2,4837.0,0.67220725303729,0.6850975909861585
37,AKT1;VAV3,9088.0,8.000674075393887e-25,1.8281795060812464e-24
38,AKT1;JUN,7075.5,1.4914680923787846e-10,2.15534412141345e-10
39,AKT1;SRC,6020.0,0.0019164120698230737,0.0022285667100454707
40,AKT1;CTTN,9972.0,3.3942506449126774e-38,1.679568853603342e-36
41,AKT1;RPS6,219.0,2.5500743337415427e-32,9.240799668987661e-32
42,AKT1;BAD,5949.5,0.007396680061367472,0.008410646504011349
43,AKT1;ILK,9404.5,1.047284593509554e-30,3.197560407843e-30
44,AKT1;GAPDH,2781.5,2.2195179729802766e-08,3.059566081870026e-08
45,AKT1;NFE2L2,3108.5,1.9305428774660985e-06,2.5230683325718137e-06
46,AKT1;CDKN1A,8286.5,3.881366146659044e-17,6.859310862630208e-17
47,AKT1;CREB1,6818.0,3.367576658470118e-07,4.486975399168634e-07
48,AKT1;RHOA,2673.0,8.046634381617617e-11,1.1734675139859024e-10
49,AKT1;BRCA1,8572.5,7.216529668566955e-20,1.3863079082186855e-19
50,AKT1;IKBKB,6940.5,1.7805779002221426e-07,2.3924431524520365e-07
51,AKT1;HSPA8,5857.0,0.023406371029462796,0.025976908296426227
52,AKT1;HIF1A,9964.0,6.245451889674904e-37,1.5452109416695667e-35
53,AKT1;NOTCH1,2170.0,8.136933392827964e-16,1.383471495107598e-15
54,AKT1;MYC,7725.0,7.182370786008035e-14,1.1515868243487744e-13
55,AKT1;CDC42,9466.0,2.80138824808021e-29,7.836241980497274e-29
56,IKBKB;NFKBIA,3304.5,3.939928242867904e-06,5.088926218285726e-06
57,IKBKB;RELB,478.5,3.436851327645218e-32,1.214749176150465e-31
58,IKBKB;HSPB1,2700.5,2.7550342992615166e-09,3.868370077730212e-09
59,IKBKB;TP53,1665.0,3.5838284028038355e-18,6.534680759877388e-18
60,IKBKB;NFKBIE,7942.0,1.4896744525769266e-14,2.4430661022261595e-14
61,IKBKB;FOXO3,9000.0,8.275042158572007e-24,1.826874691930897e-23
62,IKBKB;NFKB2,4777.0,0.5421797715834769,0.5589281409642883
63,IKBKB;CD40,0.0,5.774040860946151e-38,2.6728221404702344e-36
64,IKBKB;SRC,5736.0,0.020184630842941895,0.022488311536973307
65,IKBKB;TLR4,2096.0,3.019075497486614e-14,4.9008748177525917e-14
66,IKBKB;SQSTM1,6070.0,0.007026071796575357,0.008001915101655268
67,IKBKB;KEAP1,3871.0,0.0035969476788546366,0.004149212153662704
68,IKBKB;MUC1,265.0,5.229750857066629e-32,1.7996864460169336e-31
69,IKBKB;BTK,199.5,2.187713506013918e-33,9.021174945775784e-33
70,IKBKB;BIRC2,5406.5,0.2281956229354637,0.24060302638676737
71,IKBKB;MALT1,7412.5,3.847157880672147e-10,5.504159081519971e-10
72,CHEK1;RFC2,9270.0,7.81232741458142e-33,3.0055468739743534e-32
