,Gene,U,pval,adj_pvals
0,PDS5A,4278.0,0.07724534517054621,0.08451099644896393
1,IGFBP3,2753.5,4.038196167126387e-08,5.265140725279832e-08
2,PCK2,115.5,5.8902108447100125e-33,2.4106233271868756e-32
3,GMNN,4528.0,0.23795310521068047,0.2504173154836209
4,EED,2583.0,3.3845137571523957e-09,4.492357599583661e-09
5,LIG1,7447.5,2.18564657556143e-09,2.9274417769640975e-09
6,EPN2,3031.5,1.5070140677086562e-06,1.8977214185960857e-06
7,SMC4,9999.5,2.0856253205657318e-34,2.9947666717810758e-33
8,MRPL19,9997.5,2.662254935682832e-34,2.9947666717810758e-33
9,MMP2,1890.0,2.9248211517536257e-14,4.4887880176218837e-14
10,GRN,16.0,2.034887898124563e-34,2.9947666717810758e-33
11,ITGB5,136.0,1.4141654314303256e-32,5.435314092975686e-32
12,NPC1,0.0,2.1389696131375672e-34,2.9947666717810758e-33
13,PNKP,420.0,3.775704714969072e-29,1.1052062808055163e-28
14,BNIP3L,4475.0,0.19996705607006404,0.21246499707444305
15,PARP1,8380.5,1.469610983127521e-16,2.469840511567925e-16
16,NFATC3,4513.0,0.22546124965887393,0.2384063931799576
17,DDB2,1256.5,5.777690264379787e-20,1.0913414943828485e-19
18,RFX5,978.0,5.919349522783617e-23,1.239977482971734e-22
19,CREB1,674.5,4.189800464402253e-26,9.956407555192451e-26
20,PIK3CA,4394.5,0.13932285359629942,0.14983138999894
21,PGAM1,0.0,2.328148974790225e-34,2.9947666717810758e-33
22,ICAM3,358.0,5.927247206883045e-30,1.819335601001601e-29
23,BIRC2,9999.5,2.566141505708903e-34,2.9947666717810758e-33
24,FBXO7,9999.0,2.4340247069717183e-34,2.9947666717810758e-33
25,HSPA4,10000.0,2.554073763801342e-34,2.9947666717810758e-33
26,SDHB,4559.5,0.2818597322459918,0.29521801339509096
27,CLTB,3461.0,0.00016558204387144332,0.000196212502389217
28,P4HA2,57.5,1.3547360003306949e-33,7.43952163567452e-33
29,PPP1R13B,116.5,4.724800433000226e-33,2.0474135209667645e-32
30,NFE2L2,1743.0,1.7491379547254106e-15,2.831937640983998e-15
31,KAT6A,8.5,2.647166814698809e-34,2.9947666717810758e-33
32,PXN,2422.0,3.0129893712137576e-10,4.1747376240642035e-10
33,MEF2C,4606.0,0.3303573377465544,0.34438194170749303
34,DNTTIP2,9977.0,4.881297198768086e-34,3.6568362065347356e-33
35,CSNK1A1,6096.5,0.007383878774318683,0.008433267230617204
36,CRKL,3045.5,1.7908303161046127e-06,2.2423427754057757e-06
37,SMARCA4,7730.5,2.542229967260939e-11,3.5559039415485286e-11
38,PYGL,2526.5,1.5011217187110643e-09,2.0290391427226006e-09
39,EGR1,7165.5,1.2212383445616422e-07,1.5646010095543358e-07
40,PHGDH,573.5,2.8728249922645235e-27,7.297635899890341e-27
41,BECN1,1570.5,5.316470645273161e-17,9.038000096964373e-17
42,RFC5,3312.0,3.597032006740157e-05,4.379857154212532e-05
43,SMC1A,1394.5,1.2426005812695821e-18,2.232640068785184e-18
44,SKP1,8447.0,3.6835167696951056e-17,6.28615603168045e-17
45,STAT1,6143.5,0.005224387399609198,0.00599786813149939
46,TOP2A,261.0,4.933186555097308e-31,1.6272152666813507e-30
47,RUVBL1,7505.0,9.094418535313089e-10,1.2483642834187532e-09
48,ETS1,8021.0,1.55523667151266e-13,2.322346651380391e-13
49,MBTPS1,1574.0,3.435554331613863e-17,5.885717110749331e-17
50,PLK1,5812.5,0.04722302216550656,0.05218143949288475
51,EIF4G1,667.0,3.398474433452801e-26,8.163726628185532e-26
52,IFNAR1,11.5,3.4547109328098215e-34,3.240997518487704e-33
53,RSU1,911.0,5.174885347195744e-24,1.1323263977527321e-23
54,BAX,9790.0,1.215931387310921e-31,4.134166716857131e-31
55,EGFR,8179.5,7.99833376852947e-15,1.2581008988220732e-14
56,STUB1,7215.0,6.247008045428558e-08,8.073618585027552e-08
57,PTK2B,187.5,6.437423111368311e-32,2.294629850987737e-31
58,CHEK2,3251.0,1.903552122648855e-05,2.34364913150639e-05
59,ARNT2,9973.0,4.056673226126003e-34,3.3204621591623954e-33
60,PSME2,7945.0,4.634610793255949e-13,6.738480166510295e-13
61,TOMM70,792.5,7.978640436546495e-25,1.7901315091134774e-24
62,NOTCH1,4443.5,0.17420983627715758,0.18644248821913717
63,CEBPZ,4923.5,0.8526128107039639,0.856488323479891
64,GADD45B,9218.5,6.544938509797715e-25,1.4911664027477268e-24
65,CRK,165.0,3.285151608569346e-32,1.2000305875930999e-31
66,ARHGAP1,1467.5,5.8216718366536286e-18,1.0170667793679462e-17
67,FRS2,9984.0,4.0207431153872225e-34,3.3204621591623954e-33
68,PSMD2,139.5,1.557630935348042e-32,5.935110977791677e-32
69,TLR4,48.0,1.0710897125546042e-33,6.148333155183573e-33
70,TOPBP1,1832.5,9.841953277617909e-15,1.537153126751631e-14
71,CAPN1,9970.5,6.047511746090608e-34,4.1123079873416134e-33
72,CEBPD,9783.5,1.1584015993551977e-31,3.969096952829437e-31
73,PIK3R4,0.0,2.268170606150727e-34,2.9947666717810758e-33
74,ARHGEF2,0.0,2.516220183984593e-34,2.9947666717810758e-33
75,TLE1,7014.5,6.829592983329079e-07,8.699366278476809e-07
76,CALM3,5911.0,0.026093051570550876,0.02912406261157446
77,ALDOC,9644.0,7.108903206999376e-30,2.1521474092422768e-29
78,STMN1,1632.0,1.8140599817670207e-16,3.0143402704549746e-16
79,LAMA3,7230.5,4.0939992250226945e-08,5.3221989925295024e-08
80,INPP1,353.5,6.862004104439138e-30,2.0917281476979993e-29
81,KDM5A,8513.5,8.840707806378014e-18,1.526403457194954e-17
82,PARP2,103.5,5.496819792531221e-33,2.270648923643738e-32
83,NFKB2,9256.5,2.3761286796787713e-25,5.498685216848256e-25
84,USP7,1957.5,1.0443754261453708e-13,1.5754741923421635e-13
85,BRCA1,4017.5,0.016412854061472495,0.01850633034482358
86,RHEB,9967.5,6.725418436185569e-34,4.3715219835206196e-33
87,CDC42,9838.0,3.0640412605856845e-32,1.13807246821754e-31
88,PRKACA,9498.0,4.291601641964881e-28,1.163734923772072e-27
89,CIRBP,0.0,2.1229265314131033e-34,2.9947666717810758e-33
90,CTNND1,7182.0,9.749145242446211e-08,1.2526518015003563e-07
91,NPRL2,0.0,2.1845948706836904e-34,2.9947666717810758e-33
92,PSMD10,8137.5,1.7683502250658373e-14,2.7329048932835666e-14
93,COASY,7317.5,1.3982517953949643e-08,1.8393669451326616e-08
94,MAT2A,9430.5,2.4620778202913743e-27,6.2903953558889446e-27
95,IKZF1,4052.0,0.020332205726275122,0.022867264455505354
96,NFKBIA,5630.5,0.12368323387569025,0.13399017003199776
97,MIF,6739.0,2.1483570510914556e-05,2.637705046062287e-05
98,UBE2L6,322.0,2.864494783193495e-30,8.853892966234439e-30
99,TIMELESS,1771.5,3.0244553081106946e-15,4.843511761539591e-15
100,PIP4K2B,9461.5,8.0518876686646345e-28,2.1569299088180414e-27
101,DNMT1,2181.5,5.740723425844456e-12,8.106708479946484e-12
102,GAPDH,9019.0,9.316417641665137e-23,1.9064150914888847e-22
103,SIRT3,3437.5,0.00013438032023784088,0.00016009730874696945
104,UBE2A,8767.0,2.80612269022965e-20,5.3692910349848705e-20
105,HSD17B10,9980.0,4.480042229607141e-34,3.473997658747993e-33
106,TICAM1,1206.5,1.8675530558014616e-20,3.604622055302384e-20
107,CAST,0.0,1.944604051302586e-34,2.9947666717810758e-33
108,ELAVL1,7486.5,1.229872523980941e-09,1.6674958760723187e-09
109,IDE,7909.5,9.357140432346463e-13,1.3471843879795233e-12
110,BAD,7832.0,4.515612957472683e-12,6.417687868819696e-12
111,SMAD3,6526.0,0.00019336590586500663,0.00022791394771288782
112,BHLHE40,1832.0,9.194094098703515e-15,1.4410601388748064e-14
113,STX4,9714.0,1.0041457601723637e-30,3.170231614258463e-30
114,HPRT1,8952.0,4.527922484119799e-22,9.015052873788068e-22
115,UTP14A,5607.0,0.13816401511133145,0.1489475479980695
116,PTPRC,9964.5,6.922129678172066e-34,4.434175822829062e-33
117,PSMD4,3342.0,5.1079021508861e-05,6.185459590936045e-05
118,CDK6,8773.5,2.981590388615074e-20,5.680443757620098e-20
119,COL1A1,8558.0,3.3412717089849476e-18,5.907368381485388e-18
120,DHDDS,8264.5,1.0677905165527493e-15,1.7351595893982175e-15
121,NCOA3,0.0,2.537865114963247e-34,2.9947666717810758e-33
122,TJP1,9436.0,2.2491364215425176e-27,5.7797575483825164e-27
123,HSPB1,1991.5,1.9816533778372647e-13,2.939230849006949e-13
124,DNAJB1,1305.0,1.7080832155104093e-19,3.158881929939753e-19
125,ADAM10,8375.0,1.5937000306606557e-16,2.6682402028485223e-16
126,PIH1D1,10000.0,1.4988174345576946e-34,2.9947666717810758e-33
127,ABL1,9999.5,2.581947370906297e-34,2.9947666717810758e-33
128,NOLC1,9891.0,4.287939333672406e-33,1.8952691854832033e-32
129,STAT5B,9345.0,2.4946975989987606e-26,6.058551311854133e-26
130,SLC25A4,8001.0,2.2517251180730508e-13,3.3065199408248783e-13
