,Gene,U,pval,adj_pvals
0,GADD45B,9260.0,2.288840882467392e-25,5.439073494895631e-25
1,PTPN12,2008.0,2.683421471077992e-13,4.1910681633090904e-13
2,AKT1,9914.0,3.32081911586288e-33,1.9062364275472638e-32
3,IKBKB,19.0,4.529593338305166e-34,3.864672253619537e-33
4,CHEK1,647.0,2.0515830950212907e-26,5.241616924852084e-26
5,ARHGEF12,9773.0,2.014859924890284e-31,7.421400723345879e-31
6,BAD,9584.0,4.1109331548517316e-29,1.2194848687546747e-28
7,POLR2I,9885.0,7.800877731233608e-33,3.9632045485117874e-32
8,RRP8,1596.5,9.18544688757432e-17,1.5736308233751353e-16
9,CREB1,1212.0,2.155672442676354e-20,4.106927670960985e-20
10,GMNN,2668.0,1.2210171229257052e-08,1.6453950254059807e-08
11,POLB,590.0,4.561064080688368e-27,1.221812317372278e-26
12,DNTTIP2,9463.0,1.107575633789523e-27,3.0984077856643618e-27
13,FDFT1,212.0,1.3091738726861939e-31,5.031781319367806e-31
14,CCP110,4681.0,0.43643970510105246,0.44551120012624756
15,RELB,2146.0,3.119999276527399e-12,4.738967973282166e-12
16,CTNND1,8872.0,3.0918234235628804e-21,5.9937980404157586e-21
17,NRIP1,9323.0,4.491900359191308e-26,1.1154044712149203e-25
18,HDAC2,5125.0,0.76097406487377,0.7626996296467263
19,POLD4,2467.0,5.868433371399358e-10,8.182484385358095e-10
20,LAP3,6646.0,5.805098443337735e-05,7.049048109767251e-05
21,NFE2L2,1754.0,2.1911300759989197e-15,3.586961087376009e-15
22,LPGAT1,9995.0,2.9772381142870293e-34,3.2898481162871675e-33
23,P4HA2,21.0,4.808712682265059e-34,3.864672253619537e-33
24,IKBKE,6375.0,0.0007838429571074069,0.0009165571085753277
25,MAPKAPK3,9993.0,3.1614009124474834e-34,3.408144398297043e-33
26,PTPN1,2217.0,1.0554571747788328e-11,1.5654767491686045e-11
27,RAC2,387.0,1.8429498975249981e-29,5.656832324347563e-29
28,SUPV3L1,1402.0,1.4943817983190127e-18,2.695986754518382e-18
29,TOPBP1,1530.0,2.304053594581006e-17,4.041236860336527e-17
30,HMOX1,6546.0,0.00015920239211430047,0.00019018231706627246
31,FOXO3,1098.0,1.5297660518210838e-21,3.0051404217996402e-21
32,MNAT1,9317.0,5.250741862655742e-26,1.2965519012814737e-25
33,PHKG2,2825.0,1.0774678661934914e-07,1.4173833239807238e-07
34,CCND1,9119.0,8.042754689987704e-24,1.7425968494973358e-23
35,GRWD1,264.0,5.802904906587157e-31,2.0038156005558775e-30
36,MKNK1,6409.0,0.00047126536070599015,0.0005554647718187938
37,DDX42,7870.0,2.3610638823053727e-12,3.5985870206171543e-12
38,PARP2,63.0,1.680909704761725e-33,1.0464254781756089e-32
39,CIRBP,0.0,4.7509135263462917e-35,3.2898481162871675e-33
40,ACLY,6909.0,3.1131827423136194e-06,3.898092838817619e-06
41,IFNAR1,154.0,2.126342205986874e-32,9.214149559276453e-32
42,HPRT1,9958.0,9.002574093068586e-34,6.149234142786182e-33
43,CEBPD,9979.0,3.737546937447496e-34,3.4849519451257236e-33
44,HK1,367.0,1.056715849783785e-29,3.312541883719383e-29
45,NET1,9671.0,1.052171445782704e-30,3.476450564089109e-30
46,APPBP2,6393.0,0.0006679214472064402,0.0007830803174144472
47,STUB1,6266.0,0.0019874010214619583,0.002275728630793227
48,PSMD10,4460.0,0.18743392626597755,0.1944736981445119
49,DCK,0.0,2.562143669163401e-34,3.2898481162871675e-33
50,PCM1,8406.0,8.725306465608261e-17,1.5006169096493583e-16
51,TOP2A,142.0,1.719949054230312e-32,7.678964464341392e-32
52,IKZF1,5601.0,0.14228155518952387,0.14973439855659418
53,PNP,7750.0,1.8411218220189475e-11,2.712586151107916e-11
54,TEX10,6403.0,0.0006106139430324314,0.0007177961777136561
55,TGFBR2,5860.5,0.035613303616143066,0.03915691591625681
56,CSNK1A1,4819.0,0.659190052165489,0.6652100526418862
57,HSD17B10,642.0,1.7994536095894036e-26,4.624177299061142e-26
58,GTF2E2,8911.0,1.2373649294473853e-21,2.4525349722679117e-21
59,PRKAG2,8287.0,9.731581628367416e-16,1.6109959100143814e-15
60,FHL2,183.0,5.666864107161057e-32,2.3408915283786794e-31
61,DERA,10000.0,2.562143669163401e-34,3.2898481162871675e-33
62,KAT6B,9136.0,5.268747727595078e-24,1.1471854658113422e-23
63,IGF2R,4227.0,0.05909069901306533,0.06401492393082077
64,HIF1A,6640.0,6.177235357553822e-05,7.459939967319097e-05
65,BECN1,2719.0,2.5161700476520574e-08,3.34984084657292e-08
66,MYC,7626.0,1.4071426718003647e-10,2.012806022445829e-10
67,PARP1,8738.0,6.714228375130514e-20,1.2574953143252912e-19
68,RPS6KA1,2904.0,3.053359015029201e-07,3.9232112925665895e-07
69,SKP1,4208.0,0.053120222005586734,0.057688300065035225
70,ARHGAP1,1491.0,1.0091115215366949e-17,1.7841091700768764e-17
71,HADH,1291.0,1.2889585600708494e-19,2.3837643663234956e-19
72,PSME2,209.0,1.2008210963884436e-31,4.655815128102561e-31
73,PHKB,9992.0,3.2576821808361544e-34,3.4283226760228104e-33
74,MTF2,9369.0,1.34780727042101e-26,3.525034399562642e-26
75,GTF2A2,9980.0,4.667211042196274e-34,3.864672253619537e-33
76,FBXO11,6464.0,0.00034902375564227744,0.00041248262030450973
77,HDAC6,5200.0,0.6259351579327082,0.6330968874285057
78,STXBP1,9832.0,3.6677180137859854e-32,1.5587801558590439e-31
79,POLG2,9275.0,1.548859974387781e-25,3.7206310254315175e-25
80,MYO10,468.0,1.711066991139896e-28,4.879300710218284e-28
81,OXCT1,9430.0,2.6788926882193368e-27,7.264236614680654e-27
82,CSK,5932.0,0.022845007209652515,0.025434491654071564
83,CTSL,4261.0,0.07116193530896825,0.07690360735101213
84,DDX10,973.0,7.699681379548206e-23,1.5977742581034307e-22
85,PPARG,564.0,2.2825561421337267e-27,6.2663963653609144e-27
86,BRCA1,1101.0,1.6416777137881093e-21,3.210714820771435e-21
87,KDM5A,7735.5,2.346257487100415e-11,3.445334914612569e-11
88,ABL1,9987.0,3.7845631983265776e-34,3.4849519451257236e-33
89,AMDHD2,6586.0,0.0001070651765333792,0.0001289449810020534
90,RASA1,9628.0,1.2146287327164096e-29,3.78074577366657e-29
91,MRPS16,3729.0,0.0019071333734445165,0.0021894881845778607
92,RFC5,2941.0,4.912067970200451e-07,6.274953881007512e-07
93,MMP2,1685.0,5.558955818178448e-16,9.342427648801802e-16
94,CDKN1A,9996.0,2.8891939979927045e-34,3.2898481162871675e-33
95,PLCB3,5382.0,0.35125753310248864,0.36106006891
96,CLTB,2991.0,9.222275715005776e-07,1.1713350189748717e-06
97,NFKBIE,708.0,1.0038878565403973e-25,2.4246908884746208e-25
98,TMEM97,2970.0,7.090886408303293e-07,9.032195367348863e-07
99,OXA1L,9990.0,3.459069278772269e-34,3.474792320948507e-33
100,PIP4K2B,9170.0,2.249930192933805e-24,5.022571440791625e-24
101,NOLC1,9878.0,9.57854520130039e-33,4.652935311205869e-32
102,CD40,174.0,4.3656026531983084e-32,1.8377108311558594e-31
103,G3BP1,10000.0,2.562143669163401e-34,3.2898481162871675e-33
104,BNIP3,0.0,2.562143669163401e-34,3.2898481162871675e-33
105,TP53,8820.0,1.0337934297136143e-20,1.978080934776699e-20
106,HMGCS1,4.0,2.8891939979927045e-34,3.2898481162871675e-33
107,SHC1,9059.0,3.5293687919002454e-23,7.53614012570004e-23
108,CLTC,1214.0,2.2565366208920508e-20,4.2806402851256926e-20
109,ARID4B,2587.0,3.754129464731329e-09,5.137298564049624e-09
110,ZFP36,100.0,5.01845423301784e-33,2.738465149375167e-32
111,EDEM1,7383.0,5.836502745469433e-09,7.937643733838429e-09
112,PIK3R4,0.0,2.562143669163401e-34,3.2898481162871675e-33
113,MTA1,2401.0,2.1650674434532957e-10,3.0573795846848454e-10
114,RFC2,8601.0,1.3999543455655753e-18,2.535982871885181e-18
115,FKBP4,9679.0,2.9138983962592144e-30,9.470169787842446e-30
116,CRK,376.0,1.3576427099611074e-29,4.196350194425241e-29
117,CNDP2,3638.0,0.0008788913867501707,0.0010249867887693284
118,PPP1R13B,190.0,2.149241612564344e-32,9.222959152946019e-32
119,PAK1,7137.0,1.786331807892372e-07,2.335972364166948e-07
120,INSIG1,5448.0,0.2742109604246169,0.2831804778216838
121,RUVBL1,8893.0,1.890359434811871e-21,3.680787974391396e-21
122,MRPL19,9996.0,2.8891939979927045e-34,3.2898481162871675e-33
123,CASP3,626.0,1.1816086154319694e-26,3.127371305514554e-26
124,CHEK2,852.0,3.905251002041071e-24,8.587666382597778e-24
125,ARNT2,9995.0,6.063105135793816e-35,3.2898481162871675e-33
126,DNMT3A,1131.0,3.316245288853443e-21,6.400787850101405e-21
127,TGFB3,0.0,2.562143669163401e-34,3.2898481162871675e-33
128,MSH6,243.0,3.1866698728915366e-31,1.1268064670544474e-30
129,GAA,1865.0,1.8766220661184257e-14,3.027251654103446e-14
130,PGM1,9996.0,2.8890315113347905e-34,3.2898481162871675e-33
131,BHLHE40,1538.0,2.7249077643377893e-17,4.760510797775901e-17
132,COL1A1,9899.0,5.168440993868269e-33,2.7859157552314325e-32
133,GFPT1,9263.0,2.1191974922584375e-25,5.0631637382607e-25
134,RRP12,751.0,3.034214870740512e-25,7.133632834400566e-25
135,PIN1,9998.0,2.7177302258513226e-34,3.2898481162871675e-33
136,VDAC1,2893.0,2.646871736114487e-07,3.410837630794762e-07
137,ICAM3,249.0,3.771573658130054e-31,1.3230440927726063e-30
138,KLHDC2,9602.0,2.4997046616121998e-29,7.567599044058852e-29
139,MYL9,1957.0,1.0534456508416116e-13,1.6688995615483597e-13
140,RBM34,9872.0,1.1421026267089949e-32,5.370312351121018e-32
