,Edge,U,pval,adj_pvals
0,PDS5A;RFC2,5731.0,0.07380378409468846,0.08000964572831222
1,PDS5A;PLK1,210.5,7.602367398731182e-32,2.771082818322853e-31
2,PDS5A;CDK1,9443.0,1.70439911300037e-27,4.219781872229223e-27
3,PDS5A;ZNF451,67.5,5.235658279806129e-34,3.438740843774554e-33
4,PDS5A;RFC5,9896.5,4.2818511420837444e-33,1.9407713314574888e-32
5,PDS5A;SMC4,1174.0,4.272049545447813e-21,8.152962975714822e-21
6,PDS5A;SMC1A,8009.0,4.4916724827915366e-14,6.967696930747478e-14
7,PDS5A;TOP2A,577.0,2.6512631565928192e-27,6.467447125507781e-27
8,PDS5A;SMC3,9931.0,2.3071862835882486e-34,2.360633111715255e-33
9,HERPUD1;XBP1,5103.0,0.8017583666236222,0.8099015885713374
10,HERPUD1;EDEM1,9034.0,1.1485785852289551e-23,2.3884122193440815e-23
11,HERPUD1;ATF6,9144.5,2.501646953315496e-24,5.3688243184286324e-24
12,PCK2;ACLY,1473.5,6.520130790737264e-18,1.1291828498784286e-17
13,PCK2;ME2,15.0,9.144836744706691e-35,2.360633111715255e-33
14,GMNN;AURKA,9994.0,1.0054546682945665e-34,2.360633111715255e-33
15,GMNN;CCNA2,3834.0,0.0035722045398504693,0.004091755183685253
16,GMNN;CDK2,6901.5,2.5964996673453055e-06,3.289088552412303e-06
17,GMNN;CDK1,9631.0,3.64055295402801e-30,1.1087283318435262e-29
18,GMNN;MCM3,5926.5,0.020266937728450143,0.022590205005678817
19,GMNN;PLK1,9834.5,1.3630561389953823e-32,5.569012229862589e-32
20,GMNN;CDKN1A,4127.0,0.03256420583386289,0.035929001745697846
21,GMNN;CCNB1,9619.0,2.8928388290274712e-30,8.911479614021794e-30
22,GMNN;CDC20,9274.5,3.8106338784036355e-26,8.784646709088117e-26
23,PDHX;DLD,140.0,1.0341908220170354e-32,4.3321519271255116e-32
24,PDHX;MIF,4373.5,0.12566210736054487,0.13446965746143766
25,PDHX;SDHB,5027.5,0.9471801706583347,0.9499090101013147
26,PDHX;ACLY,3353.5,5.134245840258774e-05,6.282006949012581e-05
27,PDHX;TXNRD1,8036.0,8.467195335474652e-14,1.3059063785018726e-13
28,PDHX;PCCB,1386.0,8.302569382745308e-19,1.4708012224598684e-18
29,IARS2;MRPL19,7284.5,1.3712030977971422e-08,1.846482778890465e-08
30,EED;DNMT3A,3489.0,0.00020682357756362043,0.00024783231445747424
31,EED;RB1,633.5,1.1837081251224913e-26,2.801147507512843e-26
32,EED;TP53,504.0,3.7589175622652635e-28,9.670947549331398e-28
33,EED;SUZ12,5948.5,0.0174614254820768,0.019513072906295136
34,EED;EZH2,8629.0,6.320729716004774e-19,1.123721151246814e-18
35,EED;MTA1,196.5,5.590062451201221e-32,2.07452104399056e-31
36,EED;MTF2,9914.5,2.1708454851729177e-33,1.0749236321318529e-32
37,EED;USP7,8675.0,2.295177865765344e-19,4.1439388748595236e-19
38,EED;HDAC2,8852.0,3.298785678488071e-21,6.3197979894424735e-21
39,EED;DNMT1,69.5,1.6947454160842372e-33,8.662861664301365e-33
40,LIG1;RFC2,1088.0,8.088250229128496e-22,1.5773220754955907e-21
41,LIG1;RPA3,8151.0,1.0802816007705877e-14,1.7023360128032665e-14
42,LIG1;MSH6,4246.0,0.055559335448452776,0.06066563572649439
43,LIG1;RPA1,708.0,5.348291508202242e-26,1.228060866758048e-25
44,LIG1;POLD4,4080.0,0.024577388579940247,0.027316056719914432
45,LIG1;PCNA,883.0,6.987276163049976e-24,1.4705385927192846e-23
46,LIG1;MCM3,1416.0,1.1602760422862033e-18,2.050213656445824e-18
47,LIG1;RPA2,921.5,1.788679147139387e-23,3.688620918952729e-23
48,LIG1;DNMT1,5113.5,0.7792573438851411,0.7885450040884233
49,LIG1;PARP1,1456.0,2.191749647300907e-18,3.843567013730206e-18
50,LIG1;CHEK1,4457.0,0.17934586353519177,0.19022027756429086
51,LIG1;PNKP,8587.0,1.3999755975513447e-18,2.467501293709484e-18
52,LIG1;TP53BP1,5306.5,0.44834328675954227,0.46435078286520876
53,LIG1;CDK2,19.5,2.9258919306000904e-34,2.469892773946194e-33
54,LIG1;POLB,22.5,3.0901837674660062e-34,2.525100867265063e-33
55,LIG1;RFC5,3502.5,0.0002179434154720827,0.00026097730624641204
56,EPN2;CLTC,3514.5,0.0002390019707265026,0.0002856044833844681
57,EPN2;UBQLN2,4446.0,0.17365071784210517,0.18457348055217346
58,SMC4;AURKA,353.5,2.1709679572579878e-30,6.747445945727727e-30
59,SMC4;CCNB1,9073.0,7.112285364953532e-24,1.4959435260062382e-23
60,SMC4;TOPBP1,304.5,2.6576091107399e-31,8.955602434158365e-31
61,SMC4;RB1,54.5,5.529390963593527e-34,3.564409248938716e-33
62,SMC4;CCNB2,2541.0,7.46932927616643e-10,1.0416961222089479e-09
63,SMC4;MELK,6831.5,1.4498928556398247e-06,1.8514589253419772e-06
64,SMC4;PLK1,1892.5,1.340876394593197e-15,2.151955154254919e-15
65,SMC4;SMC1A,78.5,4.82508595998361e-34,3.2566741400745143e-33
66,SMC4;NCAPD2,1710.5,6.864306325255693e-18,1.186427523248017e-17
67,SMC4;CCNA2,5593.5,0.14110297018769213,0.15071477116396328
68,SMC4;KIF20A,9617.0,1.0216674672505154e-30,3.247876213241136e-30
69,SMC4;NUSAP1,5941.0,0.010838565178365917,0.012213999801195129
70,SMC4;CDK1,9572.5,2.040370483228419e-29,5.765040302043934e-29
71,SMC4;MCM3,8466.5,9.627067422480075e-18,1.6573601235238942e-17
72,SMC4;CDC20,9899.5,1.790540311559129e-33,9.08581752848007e-33
73,SMC4;KIF2C,9160.0,1.835369991195355e-25,4.1272970056658016e-25
74,SMC4;TOP2A,1391.0,4.105940605655894e-20,7.594462937453861e-20
75,SMC4;CHEK2,210.0,5.064322197491014e-32,1.891513473118693e-31
76,SMC4;SMC3,405.0,7.589370130989458e-30,2.2522248444990878e-29
77,SMC4;USP1,9256.0,1.4244968626074342e-25,3.2262027187615345e-25
78,MRPL19;OXA1L,9851.0,1.586680518437141e-32,6.370513131118441e-32
79,MRPL19;ABCF1,137.5,6.930092799710857e-33,2.996727085191738e-32
80,MRPL19;YME1L1,8105.0,2.2567327592400865e-14,3.525891712259758e-14
81,MRPL19;PSMG1,10000.0,2.0150014076081763e-34,2.360633111715255e-33
82,MRPL19;MRPL12,9992.0,3.019631487840081e-34,2.5026993355169814e-33
83,MRPL19;MRPS2,4203.5,0.051298001660201244,0.056083022543706194
84,MRPL19;MRPS16,9958.5,3.883897879359435e-34,2.8189938774387378e-33
85,MRPL19;MAPK9,7666.0,6.685984377390963e-11,9.569864974382379e-11
86,MRPL19;ABCF3,0.0,2.264968288434183e-34,2.360633111715255e-33
87,MRPL19;POLR1C,7430.5,2.2330602430813057e-09,3.0809681752540725e-09
88,MRPL19;RPS5,8280.5,1.0340865851831248e-15,1.6672790194638524e-15
89,MMP2;ERBB2,7124.0,1.7371507753096033e-07,2.2664999433480993e-07
90,MMP2;CDC42,9645.5,5.127976225276253e-30,1.540162660930685e-29
91,MMP2;TLR4,9477.5,5.103107710741066e-28,1.2994819269268215e-27
92,MMP2;NOTCH1,6164.5,0.0038572104466189647,0.0044095072462005305
93,MMP2;COL4A1,2290.0,2.9671112453525806e-11,4.2839130008595324e-11
94,MMP2;CCND1,9323.0,3.291336631506875e-26,7.627924643325853e-26
95,MMP2;FOS,9118.0,5.28505543107964e-24,1.1190558367146124e-23
96,MMP2;AKT1,3335.5,3.9980397898993e-05,4.9125225939426275e-05
97,MMP2;TP53,785.5,5.538587656054302e-25,1.2194701853716018e-24
98,MMP2;JUN,9610.0,9.020916810584482e-30,2.6521800183821437e-29
99,MMP2;SPP1,9057.0,2.490241638837593e-23,5.0931440333687787e-23
100,MMP2;APOE,7316.5,1.4051071151893466e-08,1.8914067548237107e-08
101,MMP2;STAT3,7260.0,2.5991243819423464e-08,3.461190502502413e-08
102,MMP2;HSPA4,7274.0,2.4450371992753742e-08,3.262236293858788e-08
103,MMP2;SRC,7311.0,1.410742272838069e-08,1.8982581568416382e-08
104,MMP2;PTK2,9808.0,4.2185071934176296e-32,1.5996321939310207e-31
105,MMP2;HIF1A,9822.0,2.2419810765328178e-32,8.838432760374564e-32
106,MMP2;CCL2,9454.5,3.428496671038362e-28,8.86013133770196e-28
107,MMP2;TIMP2,8053.0,7.573323588402155e-14,1.1690793530478006e-13
