,Gene,U,pval,adj_pvals
0,PDS5A,5542.0,0.18575195137547706,0.19481302217428081
1,HERPUD1,7668.5,6.858281703311633e-11,9.491231230789892e-11
2,PCK2,661.0,2.8225251208103753e-26,6.201314316524985e-26
3,GMNN,9321.0,4.65963829999076e-26,1.0126722947994358e-25
4,PDHX,1934.0,6.84983217562232e-14,1.0033087517578191e-13
5,IARS2,7284.5,1.3712030977971422e-08,1.7713825426478104e-08
6,EED,2059.0,6.704537133277681e-13,9.474486747026207e-13
7,LIG1,834.5,2.5069156758283793e-24,5.0643061639217595e-24
8,EPN2,3792.5,0.003089844344256721,0.0034446042504491592
9,SMC4,1317.5,2.3076118353869913e-19,4.0858303673616724e-19
10,MRPL19,9857.5,1.7375581587359058e-32,5.977200066051515e-32
11,MMP2,9464.0,1.0747306056174066e-27,2.5372071552222695e-27
12,GRN,585.5,3.9892214426716175e-27,9.166073696520282e-27
13,ITGB5,5789.5,0.053870940685008264,0.0583278890150629
14,CRELD2,8271.0,8.617604243611036e-16,1.3474799362737256e-15
15,NPC1,302.0,1.679240856230989e-30,4.791009457114006e-30
16,TSC22D3,4845.0,0.7057644741748391,0.7213416187661343
17,PNKP,3083.0,2.818198130223898e-06,3.4343224178032115e-06
18,BNIP3L,0.0,2.52460041048909e-34,2.1451833409102908e-33
19,LYPLA1,0.0,2.5001045243797694e-34,2.1451833409102908e-33
20,PARP1,8579.5,2.2309921918806045e-18,3.783259998625701e-18
21,NFATC3,9942.0,1.3765368467761375e-33,6.3257647462537e-33
22,SYNE2,12.0,1.242305118496075e-34,2.1451833409102908e-33
23,DDB2,3106.0,3.714214127990028e-06,4.498907253621724e-06
24,CREB1,9999.0,2.635827614273585e-34,2.1451833409102908e-33
25,RFX5,9273.0,1.5841397668791967e-25,3.311292151601654e-25
26,PIK3CA,10000.0,2.559691256305252e-34,2.1451833409102908e-33
27,PGAM1,5694.0,0.09013790884046709,0.0962110303580872
28,ICAM3,8534.5,5.501603097861021e-18,9.1490747649512e-18
29,BIRC2,9916.0,3.125190900528542e-33,1.2517904135699538e-32
30,PAN2,5416.5,0.3089390723651698,0.32065745097212456
31,FBXO7,1953.0,9.747163154957916e-14,1.417341115769243e-13
32,STK25,7452.5,1.926234455205194e-09,2.526346714669993e-09
33,HSPA4,9679.0,2.9131791209915482e-30,8.044650600169322e-30
34,SDHB,10000.0,2.554649364113447e-34,2.1451833409102908e-33
35,ARPP19,9672.0,2.6387042142203364e-30,7.320276207191901e-30
36,P4HA2,59.5,1.4896745485060913e-33,6.692418494034829e-33
37,MCOLN1,9560.5,4.4856403682300035e-29,1.1346031519640597e-28
38,NFE2L2,9838.0,3.071974075156997e-32,1.0331443537678838e-31
39,PPP1R13B,8359.0,2.1064314187257922e-16,3.381524570861138e-16
40,NUP93,2045.5,5.106127665800047e-13,7.28409681234983e-13
41,KAT6A,71.0,2.0317691591929504e-33,8.736607384529686e-33
42,PXN,931.5,2.7852336637514504e-23,5.479446619537168e-23
43,TWF2,9379.5,1.0081166197199305e-26,2.2815270867345795e-26
44,MEF2C,65.0,1.7663151460026217e-33,7.876457169582061e-33
45,DNTTIP2,8135.5,1.8530439634042545e-14,2.774956383008361e-14
46,CSNK1A1,3141.0,5.590375262045899e-06,6.737014249897621e-06
47,CRKL,1306.5,1.8113619739539553e-19,3.226153574912074e-19
48,SMARCA4,3339.0,4.961474580487192e-05,5.845024848245185e-05
49,PYGL,7190.0,8.742969396579956e-08,1.1080563319455018e-07
50,EGR1,9584.0,4.091684209694476e-29,1.0393223182430693e-28
51,CAB39,280.5,8.460660565097499e-31,2.4724843010624727e-30
52,BECN1,1552.5,3.6877158320387776e-17,5.983840784062922e-17
53,RFC5,7642.0,1.0836019589925749e-10,1.4792026741803405e-10
54,SMC1A,1336.5,3.514215041312718e-19,6.203980806071133e-19
55,SKP1,18.0,4.385938306961772e-34,2.4687070510731478e-33
56,STAT1,1948.5,8.99953535634195e-14,1.311796679060013e-13
57,TOP2A,6878.5,4.45302559053039e-06,5.382974709837942e-06
58,ETS1,6226.0,0.002747948985912589,0.0030691378284218524
59,RUVBL1,8132.5,1.9643872687505357e-14,2.9343948778854154e-14
60,MBTPS1,9897.0,5.403634968142801e-33,1.9956983133877092e-32
61,PLK1,8113.0,2.845409750522244e-14,4.208689606423565e-14
62,NUP88,0.0,2.321584033015752e-34,2.1451833409102908e-33
63,EIF4G1,2453.0,4.901675699906741e-10,6.5283379896988e-10
64,IFNAR1,8557.5,3.465934569749222e-18,5.811957133674183e-18
65,RSU1,5430.5,0.2924113741147274,0.30402702455451797
66,BAX,9757.0,3.1813087428963915e-31,9.8212710934545e-31
67,STUB1,8777.0,2.7701378038908105e-20,4.992883107611581e-20
68,CHEK2,5150.0,0.7148802724915865,0.7281859966834773
69,NFKBIB,1033.0,3.2430825123792626e-22,6.158787610259673e-22
70,PSME2,0.0,2.5481811349071603e-34,2.1451833409102908e-33
71,RAB4A,9816.0,5.66466445238274e-32,1.8634579236800053e-31
72,TOMM70,10000.0,2.553786010990682e-34,2.1451833409102908e-33
73,NOTCH1,1206.0,1.877109077777586e-20,3.403673689223213e-20
74,EVL,9819.0,5.208316252457543e-32,1.7227507604282643e-31
75,CEBPZ,1658.0,3.176312012328579e-16,5.071988942763407e-16
76,CRK,8755.0,4.5654475897524874e-20,8.155487979320467e-20
77,ARHGAP1,9376.0,1.1018416888146114e-26,2.484302234705603e-26
78,PSMD2,0.0,2.557529260363645e-34,2.1451833409102908e-33
79,TLR4,469.0,1.7558430519982155e-28,4.33203900533986e-28
80,PYCR1,6765.0,1.6138580618612776e-05,1.9162575014605308e-05
81,TOPBP1,8806.0,1.4194500807535408e-20,2.5972916371235002e-20
82,PRKCH,9727.0,5.628774683471089e-31,1.6858320196266642e-30
83,PPOX,10000.0,2.531295620759542e-34,2.1451833409102908e-33
84,CAPN1,69.0,1.991360152075676e-33,8.624451881651489e-33
85,USP22,5641.0,0.11382845584159079,0.12106842829794638
86,PIK3R4,7354.0,8.741083597643436e-09,1.1365296599959716e-08
87,CCNB2,5162.0,0.6931128399187112,0.7096155265834424
88,TLE1,1550.5,3.318537698491393e-17,5.399350525653563e-17
89,ARHGEF2,5736.5,0.07209297961814985,0.07749995308951109
90,CALM3,575.0,3.0592736456318388e-27,7.083395133347565e-27
91,NUP85,405.0,2.9923501707623235e-29,7.665509799144335e-29
92,CDCA4,6328.0,0.0010707746147937817,0.0012231618939390068
93,STMN1,4.0,2.8739590698230127e-34,2.1451833409102908e-33
94,FAM20B,889.5,9.207798636191842e-24,1.8233864404564108e-23
95,ERO1A,0.0,2.518206258464449e-34,2.1451833409102908e-33
96,CDC20,8968.5,3.1489474749426616e-22,5.998944240238868e-22
97,TES,4501.0,0.22039898228983823,0.23074815189301326
98,INPP1,10000.0,2.421158093812263e-34,2.1451833409102908e-33
99,ALAS1,23.0,3.9224390205372575e-34,2.2656273194633615e-33
100,CDK1,9915.0,3.223460961724292e-33,1.2683160123908652e-32
101,DLD,9986.5,3.7969645785264943e-34,2.240953604189166e-33
102,KDM5A,9261.0,2.223997669074158e-25,4.616712402698769e-25
103,PARP2,679.5,4.733231749926719e-26,1.0249660120344908e-25
104,NFKB2,104.5,5.694758109299036e-33,2.0903929157304998e-32
105,EXT1,4184.5,0.046281514901029566,0.05020085039715279
106,IL13RA1,144.5,1.6552239261252763e-32,5.726694273146071e-32
107,NVL,5364.0,0.3742789630111315,0.3871407830458783
108,USP7,5634.0,0.12161403351970405,0.12889374679377086
109,BRCA1,5414.5,0.31174468575110603,0.3230125659589773
110,CASK,9947.5,1.2253292360037953e-33,5.7182031013510455e-33
111,RHEB,8863.5,3.7596405010206225e-21,6.964011020352045e-21
