,Gene,U,pval,adj_pvals
0,PDS5A,3157.0,6.733471755987733e-06,8.289468296737454e-06
1,HERPUD1,8165.0,1.0578335552630076e-14,1.620396438341808e-14
2,PCK2,4.0,2.8891939979927045e-34,2.0075044847527837e-33
3,GMNN,9974.0,5.584608078283929e-34,2.849096663666886e-33
4,PDHX,1437.0,3.1877286139612006e-18,5.3011398497365814e-18
5,IARS2,8663.0,3.5900386571128674e-19,6.174866490234132e-19
6,EED,3701.0,0.0015100744669960151,0.0017448461211738986
7,LIG1,644.0,1.8963904115352938e-26,4.136329810667561e-26
8,EPN2,3572.0,0.0004867520745222065,0.0005734339508069831
9,SMC4,1662.0,3.4972805850419283e-16,5.511421236113196e-16
10,MRPL19,9800.0,9.263651653132659e-32,2.904540778742636e-31
11,MMP2,9932.0,1.949589053100956e-33,7.984031360318202e-33
12,GRN,204.0,1.0396690491089235e-31,3.2261895235235667e-31
13,ITGB5,8521.0,7.837254432066102e-18,1.2855659858593442e-17
14,CRELD2,8087.0,4.6452552435235515e-14,7.026240343219041e-14
15,NPC1,4086.0,0.02561260033468401,0.02839555322556128
16,TSC22D3,5789.0,0.05402798489285436,0.058921824104163634
17,PNKP,5896.0,0.028665614575666645,0.031663669678075816
18,BNIP3L,198.0,8.744003394154927e-32,2.770468443832245e-31
19,LYPLA1,7962.0,4.617838670739567e-13,6.747424465498105e-13
20,PARP1,9033.0,6.655069390969337e-23,1.2598590482275285e-22
21,NFATC3,9490.0,5.351189272284597e-28,1.2633003693785596e-27
22,SYNE2,0.0,2.5618550313305253e-34,2.0075044847527837e-33
23,DDB2,3939.0,0.009563802258962808,0.01082219729303686
24,CREB1,7133.0,1.8830517394213604e-07,2.4483739678869524e-07
25,RFX5,9871.0,1.1760414145658931e-32,4.2141484021944504e-32
26,PIK3CA,10000.0,2.562143669163401e-34,2.0075044847527837e-33
27,PGAM1,3956.0,0.010782297829474475,0.012155324519370101
28,ICAM3,7889.0,1.6924595473427897e-12,2.4550858975912273e-12
29,BIRC2,9994.0,3.0679470531105663e-34,2.0075044847527837e-33
30,PAN2,4117.0,0.031060973559986476,0.034184106184848004
31,FBXO7,9169.0,2.307266483537094e-24,4.58407400359515e-24
32,STK25,4887.0,0.7834074729414255,0.7912941253535876
33,HSPA4,9712.0,1.1474946021218599e-30,3.258451653195093e-30
34,SDHB,10000.0,2.562143669163401e-34,2.0075044847527837e-33
35,ARPP19,9632.0,1.0444282128860578e-29,2.7218432214606354e-29
36,P4HA2,7991.0,2.7326510408351084e-13,4.0419064535202336e-13
37,MCOLN1,9560.0,7.955312175320901e-29,1.9708221932276472e-28
38,NFE2L2,9908.0,3.964245072235026e-33,1.5200481105003095e-32
39,PPP1R13B,8943.0,5.797635810142408e-22,1.0608439993026535e-21
40,NUP93,26.0,5.584608078283929e-34,2.849096663666886e-33
41,KAT6A,94.0,4.20511924825744e-33,1.6022036629436575e-32
42,PXN,1810.0,6.533884966513985e-15,1.0059843349978054e-14
43,TWF2,9414.0,4.101344916495297e-27,9.212722536306601e-27
44,MEF2C,66.0,1.837347604170854e-33,7.628160398005891e-33
45,DNTTIP2,9373.0,1.2131363624538246e-26,2.684956213960303e-26
46,CSNK1A1,5243.0,0.5535012236977634,0.5666798242619959
47,CRKL,839.0,2.8203205356595685e-24,5.548473733552484e-24
48,SMARCA4,1194.0,1.42687066027583e-20,2.5116261330001455e-20
49,PYGL,9044.0,5.0912631318777e-23,9.76095670506489e-23
50,EGR1,9352.0,2.106061699288826e-26,4.54426216118951e-26
51,CAB39,1372.0,7.761525455369106e-19,1.3273972511739207e-18
52,BECN1,2454.0,4.982764756779717e-10,6.801869350524693e-10
53,RFC5,7038.0,6.411044439874284e-07,8.176798205093895e-07
54,SMC1A,242.0,3.096799722805142e-31,9.183612971077318e-31
55,SKP1,172.0,4.119442218920243e-32,1.3477740303206447e-31
56,STAT1,4458.0,0.18580375988402031,0.19832245292585146
57,TOP2A,5002.0,0.9970756931433443,0.9970756931433443
58,ETS1,6351.0,0.0009675489436500481,0.001124448772350056
59,RUVBL1,7532.0,6.192989252972166e-10,8.396800743894694e-10
60,MBTPS1,9997.0,2.8037369279891326e-34,2.0075044847527837e-33
61,PLK1,4055.0,0.02101133112920146,0.023423743221813478
62,NUP88,0.0,2.562143669163401e-34,2.0075044847527837e-33
63,EIF4G1,5609.0,0.13706707673461474,0.1476106980218928
64,IFNAR1,7669.0,7.022154995700607e-11,9.740408542423423e-11
65,RSU1,5073.0,0.8593939505753146,0.8636980939003996
66,BAX,6949.0,1.9269023454225425e-06,2.416656691550772e-06
67,STUB1,8517.0,8.533677846897907e-18,1.3959983869110163e-17
68,CHEK2,5114.0,0.781530842287596,0.7907253227850971
69,NFKBIB,2589.0,3.8668922316054e-09,5.207760902520024e-09
70,PSME2,12.0,3.6728188105276527e-34,2.211036923937647e-33
71,RAB4A,422.0,4.850187841959942e-29,1.2165887836916189e-28
72,TOMM70,9770.0,2.195962157548368e-31,6.643061401226722e-31
73,NOTCH1,1278.0,9.627967847514368e-20,1.6848943733150146e-19
74,EVL,9994.0,3.0679470531105663e-34,2.0075044847527837e-33
75,CEBPZ,3143.0,5.729004157639303e-06,7.081849081927844e-06
76,CRK,6414.0,0.0005528902233507796,0.0006488107494291799
77,ARHGAP1,9699.0,1.657760912703849e-30,4.6417305555707765e-30
78,PSMD2,0.0,2.562143669163401e-34,2.0075044847527837e-33
79,TLR4,4427.0,0.16186092696932974,0.17400049649202948
80,PYCR1,9189.0,1.3943654167209191e-24,2.807384551391282e-24
81,TOPBP1,6833.0,7.551864324214731e-06,9.278004741178097e-06
82,PRKCH,9602.0,2.499943517751426e-29,6.404110628452589e-29
83,PPOX,10000.0,2.562143669163401e-34,2.0075044847527837e-33
84,CAPN1,823.0,1.8868293340630155e-24,3.786237530353118e-24
85,USP22,6146.0,0.005127503536228233,0.005857224153338513
86,PIK3R4,7687.0,5.2325501866067183e-11,7.291655584113992e-11
87,CCNB2,3485.0,0.00021516450556710112,0.00025548132613687353
88,TLE1,2325.0,6.367501366269208e-11,8.852738620078667e-11
89,ARHGEF2,5314.0,0.44367486456326566,0.45656798028561696
90,CALM3,318.0,2.6779173065700626e-30,7.361215609840994e-30
91,NUP85,0.0,2.562143669163401e-34,2.0075044847527837e-33
92,CDCA4,6522.0,0.0002011114981308758,0.00023974083539561827
93,STMN1,6.0,3.0679470531105663e-34,2.0075044847527837e-33
94,FAM20B,856.0,4.3152255877400786e-24,8.434304557855608e-24
95,ERO1A,0.0,2.562143669163401e-34,2.0075044847527837e-33
96,CDC20,9868.0,1.2839840259879517e-32,4.5737182464186205e-32
