,Edge,U,pval,adj_pvals
0,PDS5A;SMC1A,9180.0,5.077801120401911e-25,1.1407542861868432e-24
1,PDS5A;SMC3,9785.0,3.5923104506806387e-32,1.4227296404975297e-31
2,PCK2;ACLY,1307.0,1.603935707300393e-19,2.956051239904402e-19
3,GMNN;CCNA2,7893.0,7.875462329690256e-13,1.1768036027048627e-12
4,GMNN;CDK1,9935.5,6.404358282337897e-34,3.751474799183375e-33
5,GMNN;MCM3,6590.0,9.000515954934883e-05,0.00010980966562996398
6,GMNN;CDC20,9882.5,5.3665309485352176e-33,2.3623614276829015e-32
7,EED;SUZ12,9209.0,1.3534969436337285e-25,3.1549311584163653e-25
8,EED;EZH2,8655.5,3.6813097343171704e-19,6.699366737172169e-19
9,EED;MTF2,10000.0,1.4350098782696947e-34,2.3443420520665615e-33
10,EED;HDAC2,8506.0,8.93281363805233e-18,1.5623431101184142e-17
11,EED;DNMT1,51.5,1.089266204209513e-33,5.8168600987089986e-33
12,LIG1;PCNA,1584.0,6.846307591803138e-17,1.1661096460286911e-16
13,LIG1;POLB,1.5,2.226686733549593e-34,2.3443420520665615e-33
14,EPN2;CLTC,3577.5,0.0004788957050660966,0.000563686633876354
15,SMC4;CCNB1,9982.0,2.653749937871085e-34,2.3443420520665615e-33
16,SMC4;CCNB2,4377.0,0.12429548219839856,0.13307889343016707
17,SMC4;NCAPD2,242.0,1.487966074049166e-31,5.341101362220559e-31
18,SMC4;NUSAP1,4488.5,0.19823917346493247,0.20932385982561347
19,SMC4;CDK1,9928.0,1.5749679464632827e-33,7.985148771368316e-33
20,SMC4;TOP2A,1156.5,2.5170308523123985e-21,4.976769651840752e-21
21,MRPL19;OXA1L,9882.5,5.1065969041159994e-33,2.286562118922044e-32
22,MRPL19;PSMG1,10000.0,1.868095310707816e-34,2.3443420520665615e-33
23,MRPL19;MRPL12,8397.5,8.23815445497483e-17,1.3995195899390095e-16
24,MRPL19;MRPS2,1293.0,9.537756755699821e-20,1.7678089690863255e-19
25,MRPL19;MRPS16,9915.5,1.6623766450813155e-34,2.3443420520665615e-33
26,MRPL19;POLR1C,4860.5,0.7312702565182053,0.7444102689400168
27,MRPL19;RPS5,6049.5,0.010127888032999221,0.011405910204838363
28,MMP2;STAT3,9360.5,1.4693982156006335e-26,3.6056984461913854e-26
29,MMP2;SRC,5255.0,0.5332606213772788,0.5479799602954214
30,MMP2;TIMP2,2891.0,2.4533145021680307e-07,3.248647150736732e-07
31,MMP2;CD44,9824.0,3.8958566661509764e-32,1.5244147855840005e-31
32,GRN;CTSD,229.5,9.198023905899334e-32,3.4048366901667137e-31
33,ITGB5;COL1A1,35.0,5.471096781732042e-34,3.427326493556178e-33
34,ITGB5;PXN,696.0,5.686539489324276e-26,1.3423117671357848e-25
35,ITGB5;PAK4,7867.5,2.2004276055854745e-12,3.2618397839338717e-12
36,ITGB5;PTK2,10000.0,2.040169760334603e-34,2.3443420520665615e-33
37,ITGB5;SPP1,2359.5,1.0250906808532237e-10,1.4597739422423502e-10
38,ITGB5;SRC,5290.5,0.4770936120991772,0.4929841209874924
39,NPC1;TMEM97,5091.0,0.8242789430864172,0.8345263891543137
40,PNKP;POLB,34.5,5.693878370101982e-34,3.5329159601156586e-33
41,BNIP3L;RHEB,6977.5,1.2835464349422642e-06,1.670790214515255e-06
42,BNIP3L;TP53,89.0,3.430874212354248e-33,1.596581820963423e-32
43,BNIP3L;BECN1,0.0,2.11189766671413e-34,2.3443420520665615e-33
44,BNIP3L;BNIP3,8972.0,1.3340590458034555e-22,2.741764884356313e-22
45,BNIP3L;SQSTM1,9746.5,3.4657264174559302e-31,1.1915149134419728e-30
46,PARP1;PARP2,2131.5,1.833665923542916e-12,2.7243633960962595e-12
47,PARP1;DDB2,10000.0,2.1817543168586513e-34,2.3443420520665615e-33
48,PARP1;POLB,9686.5,1.9964392880922956e-30,6.407291606857785e-30
49,PARP1;TP53,7790.5,7.979511823235728e-12,1.1695504955766202e-11
50,PARP1;CYCS,9182.5,1.4737055335000952e-24,3.249134196532359e-24
51,PARP1;CASP3,3479.5,0.00019984779709348324,0.00023978055212965806
52,PARP1;SMAD3,924.0,1.800234167726686e-23,3.795639353637333e-23
53,PARP1;SMARCA4,559.0,9.369346517798655e-28,2.471307391233127e-27
54,PARP1;DNMT1,3732.5,0.001823942501730935,0.002105046129101336
55,PARP1;TIMELESS,3019.0,1.0860368019718471e-06,1.4165224754447616e-06
