,Gene,U,pval,adj_pvals
0,PDS5A,1120.0,2.5558162271904755e-21,5.086835157503482e-21
1,HERPUD1,6936.5,2.2010601314140952e-06,2.843240258842261e-06
2,PCK2,4372.5,0.12519848029672861,0.13447244180019
3,GMNN,5124.5,0.7618811186158971,0.7766099275873819
4,PDHX,6657.0,5.1664745756422096e-05,6.36211306554667e-05
5,IARS2,1.0,2.0388639734790305e-34,4.0653886988759e-33
6,EED,5978.5,0.016855198981745055,0.018836253197325882
7,LIG1,0.0,2.5556569685292243e-34,4.0653886988759e-33
8,EPN2,9784.0,1.4593612870057435e-31,5.391270996581728e-31
9,SMC4,130.5,1.2259497412941598e-32,5.598825590162305e-32
10,TXNL4B,5063.5,0.8775171696037596,0.883611038837119
11,MRPL19,1605.5,1.1029862088333859e-16,1.8651078749952296e-16
12,ITGB5,2351.0,9.688682210326948e-11,1.4262527111648807e-10
13,GRN,2319.5,5.797914650350431e-11,8.600487205123402e-11
14,DUSP3,6837.0,7.117117195063521e-06,9.052473625300092e-06
15,CRELD2,7635.5,8.279605621898206e-11,1.2250436889543263e-10
16,NPC1,4174.5,0.04379341640140834,0.0480154659977634
17,PNKP,9991.5,3.2874719975921367e-34,4.0653886988759e-33
18,BNIP3L,17.0,4.2532267121668976e-34,4.136893095888963e-33
19,LYPLA1,4509.5,0.23106519897643873,0.24455805731082933
20,PARP1,9944.0,1.3645547395378693e-33,8.4195930737443e-33
21,NFATC3,1.5,2.5854884845889386e-34,4.0653886988759e-33
22,SYNE2,6937.5,2.194042326152365e-06,2.840501225822258e-06
23,DDB2,4340.0,0.1070786447737726,0.11565291241859983
24,CREB1,116.5,8.141579607768869e-33,3.870587026644216e-32
25,PIK3CA,2441.5,4.0991381556771243e-10,5.899504045391395e-10
26,PGAM1,539.0,1.1542923970933238e-27,2.962343319974017e-27
27,BIRC2,6979.5,1.327888725480487e-06,1.7385450581911566e-06
28,RPIA,9981.0,4.402221350648458e-34,4.136893095888963e-33
