,Gene,U,pval,adj_pvals
0,PDS5A,1090.0,1.2669060915642081e-21,2.6243054753830023e-21
1,HERPUD1,4870.0,0.7516846029154188,0.7569046348801093
2,PCK2,4415.0,0.15323263318297636,0.1639758805279083
3,GMNN,6342.0,0.0010461719832687189,0.0012159914835588315
4,PDHX,6126.0,0.005958904636792939,0.006776793508509617
5,IARS2,0.0,2.53043995162155e-34,3.58260746729985e-33
6,EED,8261.0,1.6300789720636694e-15,2.7167982867727825e-15
7,LIG1,0.0,2.562143669163401e-34,3.58260746729985e-33
8,EPN2,9714.0,1.0842560376523394e-30,3.677593578002087e-30
9,SMC4,78.0,2.6214844821689157e-33,1.3949183483100653e-32
10,TXNL4B,2398.0,2.0643442221121208e-10,2.9563448119136543e-10
11,MRPL19,745.0,2.601983179622478e-25,6.340967412525367e-25
12,ITGB5,1900.0,3.639059528378316e-14,5.766815646063998e-14
13,GRN,568.0,2.5397306161327505e-27,6.948319610174506e-27
14,DUSP3,7133.0,1.8830517394213604e-07,2.510735652561814e-07
15,CRELD2,7184.5,9.482719673174978e-08,1.2731429190836776e-07
16,NPC1,3072.0,2.481643540475739e-06,3.1222413307503875e-06
17,PNKP,9990.0,3.459069278772269e-34,3.58260746729985e-33
18,BNIP3L,116.0,8.03330830835044e-33,3.640092827221293e-32
19,LYPLA1,4815.0,0.6521299173862771,0.6647369983902297
20,PARP1,9966.0,7.091892275062724e-34,4.9557801440197346e-33
21,NFATC3,5.0,2.9772381142870293e-34,3.58260746729985e-33
22,SYNE2,7241.0,4.3896472252830636e-08,5.9765150015591e-08
23,DDB2,6428.0,0.00048676159936397956,0.0005715014729374659
24,CREB1,259.0,5.032343074204837e-31,1.80170307594988e-30
25,PIK3CA,2440.0,4.0044576101399204e-10,5.706598068504064e-10
26,PGAM1,398.0,2.499943517751426e-29,7.551912709874099e-29
27,BIRC2,9250.0,2.957529711330822e-25,7.147363469049487e-25
28,RPIA,9957.0,9.274824166313639e-34,6.255113972630129e-33
29,PAN2,4278.0,0.07791025465338568,0.08509971318072258
30,FBXO7,9256.0,2.5361319679261166e-25,6.206567685220033e-25
31,STK25,136.0,1.4432771904238162e-32,6.341672503377374e-32
32,HSPA4,232.0,2.325583697973435e-31,8.591328310984664e-31
33,SDHB,20.0,4.667211042196274e-34,3.923162905034549e-33
34,CCDC85B,2914.5,3.497223756169872e-07,4.5995233074342983e-07
35,ARPP19,1623.0,1.5709089800918619e-16,2.695642628559999e-16
36,CLTB,483.0,2.5742578944380484e-28,7.540755448353879e-28
37,P4HA2,9990.0,3.459069278772269e-34,3.58260746729985e-33
38,MCOLN1,3493.0,0.00023177815469008686,0.0002777506812401867
39,NFE2L2,1059.0,6.08003181320977e-22,1.2776878448049516e-21
40,PPP1R13B,5348.0,0.39583809248419877,0.4085161808555788
41,NUP93,2800.0,7.690898788179923e-08,1.0373770458475243e-07
42,FBXL12,6029.0,0.011943989725270452,0.013425414807474539
43,KAT6A,9654.0,5.877833436156832e-30,1.8835046370005316e-29
44,PXN,2772.0,5.249409402295112e-08,7.097103620818567e-08
45,TWF2,1807.0,6.165307290368623e-15,1.0016465625808968e-14
46,DNTTIP2,245.0,3.3742500380095893e-31,1.215568336674262e-30
47,CSNK1A1,656.0,2.596775238911776e-26,6.664290436145266e-26
48,CRKL,7747.0,1.9360327289854636e-11,2.8284609138830452e-11
49,MTFR1,4942.0,0.8882689709159037,0.891342565970976
50,CAB39,741.0,2.3483267151460715e-25,5.795870190573283e-25
51,BECN1,4497.0,0.21952096085250528,0.23191649780410395
52,PLS1,5700.0,0.08742307033292007,0.09531086615243166
53,RFC5,9884.0,8.03330830835044e-33,3.640092827221293e-32
54,SMC1A,9683.0,2.603552064023899e-30,8.579887483715122e-30
55,SKP1,2086.0,1.0886007282658608e-12,1.670339741783596e-12
56,STAT1,9645.0,7.560159145578397e-30,2.3574689808792852e-29
57,TOP2A,240.0,2.9245394631202257e-31,1.0668131374903968e-30
58,RUVBL1,1142.0,4.2858104966346005e-21,8.51291126043859e-21
59,MBTPS1,0.0,2.562143669163401e-34,3.58260746729985e-33
60,PLK1,7232.0,4.968828472463175e-08,6.749228370090495e-08
61,NUP88,308.0,2.020097756074641e-30,6.733659186915471e-30
62,EIF4G1,4448.0,0.17780992921535244,0.18888234238993482
63,IFNAR1,8631.0,7.267228602760998e-19,1.3296506591802456e-18
64,RSU1,904.0,1.421378191581615e-23,3.2077795763320495e-23
65,BAX,1073.0,8.476232401995568e-22,1.7684225874667013e-21
66,STUB1,2212.0,9.695867189149416e-12,1.4309422314775221e-11
