,Gene,U,pval,adj_pvals
0,DCN,123.5,0.7493278184079581,0.896743288562284
1,TGFB1,122.0,0.8423500609458863,0.896743288562284
2,TGFB3,89.0,0.33506623753303066,0.7371457225726675
3,TGFBR3,111.5,0.8806520093463773,0.896743288562284
4,TGFBR2,87.0,0.29062516756615075,0.7371457225726675
5,TGFBR1,112.0,0.896743288562284,0.896743288562284
6,FMOD,63.0,0.013263685594835319,0.14590054154318852
7,ACVRL1,77.5,0.06258964353120577,0.34424303942163176
8,LTBP3,123.0,0.8141495989693333,0.896743288562284
9,LTBP1,134.0,0.5258563376210434,0.896743288562284
10,ENG,80.0,0.18807200140003189,0.6895973384667836
