,Gene,U,pval,adj_pvals
0,IGF2R,441.0,0.7345295524403117,0.9793727365870822
1,EGFR,559.0,0.17738389511549424,0.8997784529347833
2,FN1,403.0,0.37496365952546173,0.8997784529347833
3,IGF1R,466.0,0.9942448108219332,0.9942448108219332
4,IGFBP2,527.0,0.3726531361130756,0.8997784529347833
5,IGF2,425.0,0.5687833659010668,0.9100533854417069
6,IGFBP5,623.0,0.022861165842398827,0.36577865347838123
7,IGFBP3,532.0,0.3373848248173086,0.8997784529347833
8,IDE,425.0,0.5681739613692802,0.9100533854417069
9,IGF2BP3,480.0,0.8341862691792813,0.9942448108219332
10,INSR,405.5,0.3936530731589677,0.8997784529347833
11,IGFBP4,417.5,0.4976935990440162,0.9100533854417069
12,IGFBP6,473.0,0.9137759427949264,0.9942448108219332
13,IGFBP7,350.5,0.09208411229975913,0.736672898398073
14,TMEM219,490.0,0.7237563517924034,0.9793727365870822
15,IGF2BP2,461.0,0.9597006165618145,0.9942448108219332
