,Edge,U,pval,adj_pvals
0,CCL5;CCL2,117.0,1.0,1.0
1,CCL5;CXCL6,117.0,1.0,1.0
2,CCL5;CXCL13,117.0,1.0,1.0
3,CCL5;CXCR1,117.0,1.0,1.0
4,CCL5;PPBP,117.0,1.0,1.0
5,CCL5;CXCL10,117.0,1.0,1.0
6,CCL5;CXCR2,117.0,1.0,1.0
7,CCL5;CXCL9,117.0,1.0,1.0
8,CCL5;CXCL1,117.0,1.0,1.0
9,CCL5;CXCL12,117.0,1.0,1.0
10,CCL5;CXCR4,117.0,1.0,1.0
11,CCL5;CXCL2,117.0,1.0,1.0
12,CCL5;CCL4,117.0,1.0,1.0
13,CXCR4;CD74,130.0,0.10219563734792074,1.0
14,CXCR4;MIF,164.5,0.0035624724362385857,0.17634238559381
15,CXCR4;CCL2,117.0,1.0,1.0
16,CXCR4;GNAQ,104.0,0.10219563734792074,1.0
17,CXCR4;CXCL13,117.0,1.0,1.0
18,CXCR4;CXCL5,117.0,1.0,1.0
19,CXCR4;PPBP,117.0,1.0,1.0
20,CXCR4;CXCL10,117.0,1.0,1.0
21,CXCR4;CXCR2,117.0,1.0,1.0
22,CXCR4;CXCL9,117.0,1.0,1.0
23,CXCR4;CXCL1,117.0,1.0,1.0
24,CXCR4;CXCL12,117.0,1.0,1.0
25,CXCR4;CCL3,117.0,1.0,1.0
26,CXCR4;CCL4,117.0,1.0,1.0
27,CXCR4;ARRB1,143.0,0.01676171173368684,0.33188189232699944
28,CXCR4;CXCL2,117.0,1.0,1.0
29,CXCR4;CD44,117.0,1.0,1.0
30,CXCR1;CCL2,117.0,1.0,1.0
31,CXCR1;CXCL6,117.0,1.0,1.0
32,CXCR1;CXCL13,117.0,1.0,1.0
33,CXCR1;CXCL12,117.0,1.0,1.0
34,CXCR1;CXCL1,117.0,1.0,1.0
35,CXCR1;CXCL3,117.0,1.0,1.0
36,CXCR1;PPBP,117.0,1.0,1.0
37,CXCR1;CXCL5,117.0,1.0,1.0
38,CXCR1;CXCR2,117.0,1.0,1.0
39,CXCR1;CCL3,117.0,1.0,1.0
40,CXCR1;CXCL10,117.0,1.0,1.0
41,CXCR1;CXCL2,117.0,1.0,1.0
42,CD74;CD44,135.0,0.2319554010352899,1.0
43,CD74;MIF,162.0,0.010551762519698568,0.33188189232699944
44,CD74;CXCR2,130.0,0.10219563734792074,1.0
45,CD44;CXCR2,117.0,1.0,1.0
46,CD44;CXCL12,117.0,1.0,1.0
47,MIF;CXCR2,164.5,0.0035624724362385857,0.17634238559381
48,CXCR2;CCL2,117.0,1.0,1.0
49,CXCR2;CXCL6,117.0,1.0,1.0
50,CXCR2;GNAQ,104.0,0.10219563734792074,1.0
51,CXCR2;CXCL13,117.0,1.0,1.0
52,CXCR2;CXCL3,117.0,1.0,1.0
53,CXCR2;CXCL5,117.0,1.0,1.0
54,CXCR2;PPBP,117.0,1.0,1.0
55,CXCR2;CXCL10,117.0,1.0,1.0
56,CXCR2;CXCL12,117.0,1.0,1.0
57,CXCR2;GNAI1,130.0,0.3313252794358449,1.0
58,CXCR2;CXCL1,117.0,1.0,1.0
59,CXCR2;ARRB1,143.0,0.01676171173368684,0.33188189232699944
60,CXCR2;CCL4,117.0,1.0,1.0
61,CXCR2;CCL3,117.0,1.0,1.0
62,CXCR2;CXCL2,117.0,1.0,1.0
63,CXCR2;CXCL9,117.0,1.0,1.0
64,CXCL10;CCL2,117.0,1.0,1.0
65,CXCL10;CXCL6,117.0,1.0,1.0
66,CXCL10;CXCL13,117.0,1.0,1.0
67,CXCL10;CXCL3,117.0,1.0,1.0
68,CXCL10;CXCL5,117.0,1.0,1.0
69,CXCL10;PPBP,117.0,1.0,1.0
70,CXCL10;CXCL1,117.0,1.0,1.0
71,CXCL10;CXCL12,117.0,1.0,1.0
72,CXCL10;CXCL2,117.0,1.0,1.0
73,CXCL10;CXCL9,117.0,1.0,1.0
74,CXCL10;CCL4,117.0,1.0,1.0
75,CXCL10;CCL3,117.0,1.0,1.0
76,CXCL9;CCL2,117.0,1.0,1.0
77,CXCL9;CXCL13,117.0,1.0,1.0
78,CXCL9;PPBP,117.0,1.0,1.0
79,CXCL9;CCL4,117.0,1.0,1.0
80,CXCL9;CXCL2,117.0,1.0,1.0
81,CXCL9;CXCL12,117.0,1.0,1.0
82,CXCL1;CCL2,117.0,1.0,1.0
83,CXCL1;CXCL6,117.0,1.0,1.0
84,CXCL1;CXCL3,117.0,1.0,1.0
85,CXCL1;CXCL5,117.0,1.0,1.0
86,CXCL1;CXCL2,117.0,1.0,1.0
87,CCL2;CXCL13,117.0,1.0,1.0
88,CXCL13;CXCL12,117.0,1.0,1.0
89,PPBP;CXCL6,117.0,1.0,1.0
90,PPBP;CXCL12,117.0,1.0,1.0
91,CXCL12;CXCL6,117.0,1.0,1.0
92,CXCL12;CXCL2,117.0,1.0,1.0
93,CXCL6;CXCL2,117.0,1.0,1.0
94,CXCL6;CXCL3,117.0,1.0,1.0
95,CXCL2;CXCL3,117.0,1.0,1.0
96,CXCL2;CXCL5,117.0,1.0,1.0
97,CXCL3;CXCL5,117.0,1.0,1.0
98,CCL3;CCL4,117.0,1.0,1.0
