,Gene,U,pval,adj_pvals
0,CCL5,117.0,1.0,1.0
1,CXCR4,164.5,0.0035624724362385857,0.04096843301674374
2,CXCR1,117.0,1.0,1.0
3,CD74,162.0,0.010551762519698568,0.07146403204813692
4,CD44,136.0,0.20635857323500695,0.6780353120578799
5,MIF,161.0,0.012428527312719465,0.07146403204813692
6,CXCR2,164.5,0.0035624724362385857,0.04096843301674374
7,GNAQ,104.0,0.10219563734792074,0.3917499431670295
8,ARRB1,143.0,0.01676171173368684,0.07710387397495946
9,CXCL10,117.0,1.0,1.0
10,CXCL9,117.0,1.0,1.0
11,CXCL1,117.0,1.0,1.0
12,CCL2,117.0,1.0,1.0
13,CXCL13,117.0,1.0,1.0
14,PPBP,117.0,1.0,1.0
15,CXCL12,117.0,1.0,1.0
16,CXCL6,117.0,1.0,1.0
17,CXCL2,117.0,1.0,1.0
18,CXCL3,117.0,1.0,1.0
19,GNAI1,130.0,0.3313252794358449,0.9525601783780541
20,CCL3,117.0,1.0,1.0
21,CCL4,117.0,1.0,1.0
22,CXCL5,117.0,1.0,1.0
