,Gene,U,pval,adj_pvals
0,STIP1,6084.0,0.005434124573178686,0.03625391534989158
1,TIMELESS,8292.0,0.45007018084347294,0.5910560206257657
2,ERCC4,6960.0,0.16856264158740053,0.31953613796568103
3,RFC5,8560.0,0.23617228734955154,0.3954816364781126
4,RFC4,8677.0,0.17005369142916993,0.3195836614789573
5,PCNA,6211.0,0.009975898925878031,0.049426044678213876
6,RFC3,8243.0,0.49852987390565395,0.6318576308804218
7,ATAD5,8901.0,0.08347710412967776,0.19155798631862897
8,CCT8,9146.0,0.03372666261747726,0.1114001886456067
9,DPF1,9091.0,0.038545284341233076,0.11146962939378546
10,ACTL6A,8942.0,0.0724093072376522,0.17157857584574107
11,SGO1,9683.0,0.002849279373697452,0.027268587492255067
12,TRIP13,7423.0,0.5253272098261426,0.6506893848982902
13,MAD2L1,8913.0,0.08010437235277014,0.18577396992450945
14,CDC20,8810.0,0.1129471086758439,0.23675451626282662
15,PALB2,6187.0,0.008919890725830838,0.047873641486859346
16,H2AZ1,7086.0,0.23999589988597103,0.3954816364781126
17,ZWILCH,6049.0,0.004565783061910007,0.03210776475794779
18,KNTC1,7029.0,0.2054036914660553,0.3640488190211387
19,ZWINT,8545.0,0.24581278392600625,0.3999043798199206
20,CDC6,9060.0,0.047082115073419806,0.1315884754616092
21,CDK1,8013.0,0.7578033635371936,0.8343491578338798
22,CDK2,8418.0,0.3384975998472246,0.4919498451112998
23,MCM10,9554.0,0.005487978011680835,0.03625391534989158
24,MCM4,6473.0,0.031008424846619122,0.1090296228477898
25,CCNA2,10037.0,0.0003843225562806482,0.007616574297198301
26,E2F1,9619.0,0.003963836165316894,0.03086129585853867
27,DTL,8559.0,0.23680654620610397,0.3954816364781126
28,EXO1,9249.0,0.0221188488364349,0.08313636286797944
29,CCNB2,9295.0,0.01817623205051847,0.07476261484930237
30,PPP2R3B,6391.0,0.0221188488364349,0.08313636286797944
31,MCM7,6123.0,0.006575108318372976,0.04095353181158025
32,CDC7,7601.0,0.7263265699621654,0.8146853381140626
33,MCM6,6523.0,0.03781361999563422,0.11146962939378546
34,MCM2,9674.0,0.0029864401218031946,0.027268587492255067
35,CBX5,6969.0,0.17306541297972577,0.3224637609365831
36,CBX3,6914.0,0.14691227445180954,0.28595424848655787
37,TRIM28,7468.0,0.5733875765285608,0.6944360649068124
38,H3C14,9451.0,0.009003758261290061,0.047873641486859346
39,DSN1,9610.0,0.004148961469044289,0.031188744836263965
40,CHAF1A,9891.0,0.0009107318026423511,0.014181395212573753
