,Edge,U,pval,adj_pvals
0,CCL5;CXCL10,100.0,0.11878739353219789,0.30545329765422313
1,CCL5;CXCL11,96.0,0.18041714921921337,0.3300806024810106
2,CCL5;CXCL9,87.0,0.4113427114702247,0.5695514466510804
3,CCL5;CCL8,66.0,0.7545992134570558,0.7989874024839415
4,CCL5;CXCR6,109.5,0.03616073006322594,0.21696438037935564
5,CCL5;CCL4,75.0,0.8874476051803057,0.8874476051803057
6,CXCL10;CCL8,84.0,0.5133837806776048,0.6600648608712062
7,CXCL10;CXCR6,115.0,0.016042743836925267,0.21696438037935564
8,CXCL10;CXCL9,103.0,0.08362085879461686,0.30545329765422313
9,CXCL10;CXCL11,97.0,0.1625728475786068,0.3300806024810106
10,CXCL10;CCL4,79.0,0.7128806637550735,0.7989874024839415
11,CXCL10;CCL3,43.0,0.10663705780256338,0.30545329765422313
12,CXCL9;CXCL11,88.0,0.37836688358016146,0.5675503253702422
13,CXCL9;CXCR6,100.0,0.11878739353219789,0.30545329765422313
14,CXCL9;CCL4,91.0,0.2949352987570909,0.4826213979661487
15,CCL4L2;CCL4,48.0,0.18337811248945035,0.3300806024810106
16,CCL8;CXCL11,63.0,0.6190095142197233,0.7428114170636679
17,CCL3;CCL4,34.0,0.03375222295595573,0.21696438037935564
