,Edge,U,pval,adj_pvals
0,RPL30;RPL37,1514.0,0.15617207296319624,0.2551543727286023
1,RPL30;RPL29,1252.0,0.7826826266301716,0.8106355775812492
2,RPL30;RPS23,927.0,0.017075715809612774,0.07199998459177416
3,RPL30;MRPL13,1347.0,0.7382024082404873,0.789230224478309
4,RPL30;RPL15,1343.0,0.7578732485866948,0.8028611583201516
5,RPL30;RPS15A,980.0,0.041240530879702655,0.10997474901254041
6,RPL30;RPL7,1219.0,0.6241376751973584,0.7098036306166037
7,RPL30;RPS3A,837.0,0.0029860247250623824,0.032988463629260605
8,RPL30;RPL39,1402.0,0.4894495874740671,0.5853211561545545
9,RPL30;RPL10A,1431.0,0.37918746969619666,0.4942218706152675
10,RPL30;EIF6,919.0,0.014809952717572053,0.06737076530346503
11,RPL30;RPS6,874.0,0.006351839678702088,0.04334196486643778
12,RPL30;RPS29,1550.0,0.09859493436661691,0.185967681081749
13,RPL30;RPS14,867.0,0.00552912075085994,0.040450769103172184
14,RPL30;RPL6,1449.0,0.3191460252693886,0.4329934377923869
15,RPL30;RACK1,1584.0,0.061156301616086,0.13910060759737208
16,RPL30;NSA2,937.0,0.020331498626866625,0.0748715504989374
17,RPL30;RPL26,1424.0,0.4043010299042167,0.5097708637922732
18,RPL30;RPL17-C18orf32,1427.0,0.39341844417632976,0.5015004343346622
19,MRPS6;MRPS28,945.5,0.023511839357281437,0.07858841717956204
20,MRPS6;RPS23,1099.5,0.2056734978701238,0.30760726849085923
21,MRPS6;MRPL13,832.5,0.002714146673323773,0.03148410141055576
22,MRPS6;MRPL43,1081.5,0.1668574312717711,0.2669718900348338
23,MRPS6;MRPS18A,988.5,0.04703962713979662,0.1160978031535406
24,MRPS6;RPL10A,1137.5,0.30823541166583523,0.42065067944984574
25,MRPS6;RPS29,1245.5,0.7504769583574552,0.7986727263253651
26,MRPS6;MRPL42,1276.5,0.9070025436920331,0.9229148690199636
27,MRPS6;RPL17-C18orf32,984.5,0.0442301337216353,0.11363890438193011
28,MRPS6;RPS14,1090.5,0.1855156129839437,0.2831554092912825
29,MRPS6;RPL26,1016.5,0.07119636446449466,0.15153721610791523
30,RPS6;EIF3E,1406.0,0.47328493580409214,0.5718859640966113
31,RPS6;UTP18,1839.0,0.00041980085200334815,0.019118261534138377
32,RPS6;UTP6,1850.0,0.00031980874598436286,0.019118261534138377
33,RPS6;RPL37,1211.0,0.5878773194142252,0.6718597936162574
34,RPS6;RPL29,974.0,0.03752153663998536,0.10746909259847658
35,RPS6;RPS23,1594.0,0.052713120927243284,0.12607674283629322
36,RPS6;MRPL13,1472.0,0.25200863141605434,0.36031519102088294
37,RPS6;RPL15,1013.0,0.06770973180933999,0.14755942215450069
38,RPS6;DHX37,1799.0,0.0010842034275879895,0.01934886116926258
39,RPS6;RPS15A,1740.0,0.003916586385895349,0.03494800159722004
40,RPS6;RPL7,1027.0,0.08255078502779672,0.16948479757919327
41,RPS6;RPS3A,1171.0,0.4228338824919766,0.5245853515408481
42,RPS6;RPL39,1160.0,0.38271518768348045,0.496033092416578
43,RPS6;RPL10A,1187.0,0.48538076596835444,0.5834628896614417
44,RPS6;RPL26,1164.0,0.39702610280686956,0.5033336385311133
45,RPS6;NSA2,1363.0,0.6613321345604537,0.7412031653044698
46,RPS6;RPL6,1112.0,0.23624519077790251,0.34470996390234837
47,RPS6;RACK1,1284.0,0.9456702460392488,0.9538934655700249
48,RPS6;RPS14,1857.0,0.0002682951900798249,0.019118261534138377
49,RPS6;EIF3H,1397.0,0.5100662442154976,0.6006871505482002
50,RPS6;RPL17-C18orf32,1067.0,0.13981669388603035,0.2367698757778032
51,RPS6;RPS29,1073.0,0.15056631563071612,0.2513049296857996
52,RPL6;RPL37,1410.0,0.4574184218239118,0.5556077165609818
53,RPL6;RPL29,1136.0,0.3036374544369569,0.4168277481028047
54,RPL6;RPS23,1119.0,0.2547055660664862,0.36031519102088294
55,RPL6;RPL15,1651.0,0.021044040049513314,0.07511103525364753
56,RPL6;RPS15A,885.0,0.007868682395964286,0.048504002599904034
57,RPL6;RPL7,976.0,0.03872816334567668,0.1082522156168312
58,RPL6;RPS3A,1043.0,0.10263022642413208,0.19201784298708585
59,RPL6;RPL39,1312.0,0.9147216053720648,0.926704857844188
