,Gene,U,pval,adj_pvals
0,RPL30,1130.0,0.28569905828998376,0.5713981165799675
1,MRPS6,984.5,0.0442301337216353,0.18496237738138396
2,RPS6,1578.0,0.0667395797914899,0.21928719074346678
3,RPL6,1135.0,0.30059686250064177,0.5761439864595634
4,RACK1,1470.0,0.25742251043484843,0.5382470672728649
5,RPL15,1555.0,0.09215194093510945,0.24935231076559028
6,RPS23,1219.0,0.6241376751973584,0.8971979080962027
7,RPL29,965.0,0.032479951809596376,0.14940777832414334
8,RPS3A,1174.0,0.4341884437172354,0.7133095861068867
9,RPL37,1293.0,0.9922327218219092,1.0
10,RPS29,1545.0,0.10539264783821398,0.26933676669765794
11,SKP1,1676.0,0.013532346085299138,0.08892684570339433
12,MRPS28,1052.5,0.11627964365139316,0.28151913726126765
13,MRPS18A,1151.0,0.35169097591053244,0.6471113956753798
14,MRPL13,1057.0,0.12322580250916762,0.2834193457710855
15,MRPL15,956.0,0.02803019699287828,0.1432654512969334
16,MRPL42,1420.5,0.4172213581930264,0.7133095861068867
17,MRPL43,1269.0,0.8685544744861464,1.0
18,NDUFAB1,1201.0,0.5439739691071661,0.8071871799654723
19,UQCRB,1583.0,0.062059035456352454,0.21928719074346678
20,NDUFA7,1170.0,0.41908802339605056,0.7133095861068867
21,UTP18,1860.0,0.00024869264689667914,0.004484612477515498
22,UTP6,1849.0,0.00032788226362739,0.004484612477515498
23,COPS5,1241.0,0.7284299818779428,0.9422207955402151
24,EIF3E,1321.0,0.8685544744861464,1.0
25,EIF3H,1305.0,0.9508376102840901,1.0
26,RPS14,1317.0,0.8890274762067741,1.0
27,RPS15A,1227.0,0.6613321345604537,0.9218569148418446
28,RNF7,1295.0,1.0,1.0
29,ELOC,1030.0,0.08605158395235861,0.24739830386303102
30,RPL39,1197.0,0.5268808686189279,0.8071871799654723
31,RPL17-C18orf32,1247.0,0.7578732485866948,0.9422207955402151
32,RPL10A,1301.0,0.9715255769910977,1.0
33,EIF6,1003.0,0.058513141637718584,0.21928719074346678
34,RPL26,1187.0,0.48538076596835444,0.7699143184325622
35,NSA2,1294.0,0.9974108709230716,1.0
36,RPL7,1097.0,0.1999218955086023,0.4379241520664622
37,NOC2L,1914.0,5.9682597266140166e-05,0.0027453994742424478
38,GNL2,1762.0,0.002465180707460712,0.018899718757198793
39,RRP12,1842.0,0.00038996630239265204,0.004484612477515498
40,MRPL50,938.0,0.020685094553850276,0.11893929368463908
41,DHX37,1820.0,0.000664061064285261,0.0061093617914244015
42,MRPL48,1292.5,0.9896437323294922,1.0
43,CDC42EP3,1358.0,0.6850183617449476,0.9267895482431644
44,SIAH1,1243.0,0.7382024082404873,0.9422207955402151
45,LYRM4,1030.0,0.08605158395235861,0.24739830386303102
