,Edge,U,pval,adj_pvals
0,HSP90AB1;STUB1,135.0,0.5023439689473844,1.0
1,HSP90AB1;LRP1,96.0,0.4713490328630344,1.0
2,HSP90AB1;TP53,110.0,0.8376263526315568,1.0
3,HSP90AB1;ERBB2,102.0,0.5242274426140325,1.0
4,HSP90AB1;EGFR,102.0,0.5242274426140325,1.0
5,HSP90AB1;CALM3,109.0,0.8086324002144252,1.0
6,HSP90AB1;HSPA4,106.0,0.6734668798831579,1.0
7,HSP90AB1;PGR,106.0,0.6540460832078823,1.0
8,HSP90AB1;HSP90AA1,88.5,0.21777852510399065,1.0
9,HSP90AB1;SRC,101.0,0.4939650538363545,1.0
10,HSP90AB1;ESR1,101.0,0.4939650538363545,1.0
11,HSP90AB1;AR,91.5,0.319166634894399,1.0
12,HSP90AB1;AKT1,102.0,0.5242274426140325,1.0
13,HSPA4;STUB1,139.0,0.4139130678030108,1.0
14,HSPA4;LRP1,105.0,0.6981298453199574,1.0
15,HSPA4;TP53,132.0,0.564637510150811,1.0
16,HSPA4;ERBB2,136.0,0.22610333442583375,1.0
17,HSPA4;EGFR,136.0,0.22610333442583375,1.0
18,HSPA4;CD40,132.0,0.2888240236274777,1.0
19,HSPA4;AKT1,136.0,0.22610333442583375,1.0
20,HSPA4;HSP90AA1,107.0,0.7061458306232933,1.0
21,HSPA4;PGR,107.0,0.6884386003939477,1.0
22,HSPA4;SNCA,175.5,0.027924432920939074,1.0
23,HSP90AA1;STUB1,136.0,0.4793800873497267,1.0
24,HSP90AA1;LRP1,106.0,0.725657011696919,1.0
25,HSP90AA1;TP53,113.0,0.925536906240539,1.0
26,HSP90AA1;ERBB2,120.5,0.8446023055468408,1.0
27,HSP90AA1;EGFR,120.5,0.8446023055468408,1.0
28,HSP90AA1;CALM3,119.0,0.9257841816646044,1.0
29,HSP90AA1;PGR,107.0,0.6884386003939477,1.0
30,HSP90AA1;AR,98.5,0.48042339130761846,1.0
31,HSP90AA1;ESR1,111.5,0.8446023055468408,1.0
32,HSP90AA1;SRC,118.5,0.9219283061122506,1.0
33,HSP90AA1;AKT1,111.5,0.8446023055468408,1.0
34,HSP90AA1;TGFBR2,99.0,0.5007566291511831,1.0
35,PGR;PIK3CA,111.0,0.8176925228636034,1.0
36,PGR;ERBB2,110.0,0.778143557181818,1.0
37,PGR;ESR1,108.0,0.7008378471569421,1.0
38,STUB1;ERBB2,163.0,0.0863820522264545,1.0
39,STUB1;TP53,167.0,0.06155037217655812,1.0
40,UBC;CBL,149.0,0.2302310897439721,1.0
41,UBC;RPS27A,130.0,0.6249677139620212,1.0
42,UBC;UCHL1,71.0,0.10139494333042719,1.0
43,UBC;DDX58,128.5,0.6577731789678456,1.0
44,UBC;UBA52,107.0,0.758473343103324,1.0
45,UBC;TNF,170.0,0.0446263985516375,1.0
46,UBC;TRAF6,167.0,0.05903628643065615,1.0
47,UBC;BIRC2,156.0,0.1397581482524986,1.0
48,UBC;UBB,138.0,0.4351506759476398,1.0
49,UBA52;RPS27A,136.0,0.4793800873497267,1.0
50,UBA52;UCHL1,68.0,0.07955108808998751,1.0
51,UBA52;TRAF6,135.0,0.5023439689473844,1.0
52,UBA52;UBB,112.0,0.8993001454102022,1.0
53,CX3CL1;CCL11,116.0,1.0,1.0
54,CX3CL1;CCR5,116.0,1.0,1.0
55,CX3CL1;CCL5,116.0,1.0,1.0
56,CX3CL1;CXCR4,116.0,1.0,1.0
57,CX3CL1;CCR2,116.0,1.0,1.0
58,CX3CL1;CXCR3,116.0,1.0,1.0
59,CX3CL1;EGF,116.0,1.0,1.0
60,CCL11;CCL2,116.0,1.0,1.0
61,CCL11;CCL13,116.0,1.0,1.0
62,CCL11;CCR2,116.0,1.0,1.0
63,CCL11;CCR5,116.0,1.0,1.0
64,CCL11;CCR1,116.0,1.0,1.0
65,CCL11;CXCL10,116.0,1.0,1.0
66,CCL11;CXCL2,116.0,1.0,1.0
67,CCL11;CXCL9,116.0,1.0,1.0
68,CCL11;CXCL11,116.0,1.0,1.0
69,CCL11;CCL14,116.0,1.0,1.0
70,CCL11;CXCR3,116.0,1.0,1.0
71,CCL11;CCL8,116.0,1.0,1.0
72,CCL11;CCL5,116.0,1.0,1.0
73,CCL11;CXCL1,116.0,1.0,1.0
74,CCL11;CCR3,116.0,1.0,1.0
75,CCL11;CXCL12,116.0,1.0,1.0
76,CCR5;CD4,116.0,1.0,1.0
77,CCR5;CCL22,116.0,1.0,1.0
78,CCR5;CCL17,116.0,1.0,1.0
79,CCR5;CCL2,116.0,1.0,1.0
80,CCR5;CCL1,116.0,1.0,1.0
81,CCR5;CCL13,116.0,1.0,1.0
82,CCR5;CCR7,116.0,1.0,1.0
83,CCR5;GNGT1,116.0,1.0,1.0
84,CCR5;CCL21,116.0,1.0,1.0
85,CCR5;ITIH4,116.0,1.0,1.0
86,CCR5;CCR2,116.0,1.0,1.0
87,CCR5;CXCL12,116.0,1.0,1.0
88,CCR5;CCL3L3,116.0,1.0,1.0
89,CCR5;ERVW-1,116.0,1.0,1.0
90,CCR5;GNAI1,116.0,1.0,1.0
91,CCR5;CCL19,116.0,1.0,1.0
92,CCR5;CCL8,116.0,1.0,1.0
93,CCR5;CXCL1,116.0,1.0,1.0
94,CCR5;CCL5,116.0,1.0,1.0
95,CCR5;CCL14,116.0,1.0,1.0
96,CCR5;GNB1,112.0,0.6458230910879958,1.0
97,CCR5;CCL20,116.0,1.0,1.0
98,CCR5;CCL4L2,116.0,1.0,1.0
99,CCR5;CCR3,116.0,1.0,1.0
100,CCR5;CXCR4,116.0,1.0,1.0
101,CCR5;CXCR3,116.0,1.0,1.0
102,CCR5;CCL7,116.0,1.0,1.0
103,CCR5;CCR1,116.0,1.0,1.0
104,CCR5;CCL4,116.0,1.0,1.0
105,CCR5;GNG2,116.0,1.0,1.0
106,CCR5;CXCL11,116.0,1.0,1.0
107,CCR5;CCL3,116.0,1.0,1.0
108,CCR5;CXCL10,116.0,1.0,1.0
109,CCR5;CCL16,116.0,1.0,1.0
110,CCR5;CXCL2,116.0,1.0,1.0
111,CCR5;CXCL9,116.0,1.0,1.0
112,CCL5;CCL17,116.0,1.0,1.0
113,CCL5;CCL2,116.0,1.0,1.0
114,CCL5;CCL13,116.0,1.0,1.0
115,CCL5;CCR7,116.0,1.0,1.0
116,CCL5;CCL21,116.0,1.0,1.0
117,CCL5;CCR2,116.0,1.0,1.0
118,CCL5;CCR1,116.0,1.0,1.0
119,CCL5;CXCL10,116.0,1.0,1.0
120,CCL5;CXCL11,116.0,1.0,1.0
121,CCL5;CCL20,116.0,1.0,1.0
122,CCL5;CXCL9,116.0,1.0,1.0
123,CCL5;CXCR3,116.0,1.0,1.0
124,CCL5;CCL8,116.0,1.0,1.0
125,CCL5;CXCL1,116.0,1.0,1.0
126,CCL5;CXCL12,116.0,1.0,1.0
127,CCL5;CXCR4,116.0,1.0,1.0
128,CCL5;TNF,116.0,1.0,1.0
129,CCL5;CXCL2,116.0,1.0,1.0
130,CCL5;CCR3,116.0,1.0,1.0
131,CCL5;CCL16,116.0,1.0,1.0
132,CCL5;CCL4,116.0,1.0,1.0
133,CXCR4;CD4,116.0,1.0,1.0
134,CXCR4;CCL22,116.0,1.0,1.0
135,CXCR4;CCL2,116.0,1.0,1.0
136,CXCR4;CCR7,116.0,1.0,1.0
137,CXCR4;CCL21,116.0,1.0,1.0
138,CXCR4;ITIH4,116.0,1.0,1.0
139,CXCR4;GNAQ,140.0,0.30934576027826377,1.0
140,CXCR4;CCR2,116.0,1.0,1.0
141,CXCR4;CXCL10,116.0,1.0,1.0
142,CXCR4;CXCL11,116.0,1.0,1.0
143,CXCR4;CCL19,116.0,1.0,1.0
144,CXCR4;CCL20,116.0,1.0,1.0
145,CXCR4;CXCL9,116.0,1.0,1.0
146,CXCR4;CXCR3,116.0,1.0,1.0
147,CXCR4;CXCL1,116.0,1.0,1.0
