,Edge,U,pval,adj_pvals
0,HSPA4;TP53,306.5,0.2520147551096279,1.0
1,HSPA4;HSP90AA1,330.5,0.44834702023499673,1.0
2,HSPA4;MAPT,341.5,0.5589332465814421,1.0
3,HSPA4;SNCA,326.0,0.4024279758008332,1.0
4,HSP90AA1;TP53,335.0,0.49165551687048825,1.0
5,HSP90AA1;CALM3,341.0,0.5505899814169353,1.0
6,HSP90AA1;GSK3B,427.0,0.4277139791463045,1.0
7,HSP90AA1;MYC,366.0,0.8524959617618294,1.0
8,HSP90AA1;MAPT,361.0,0.789953519756858,1.0
9,HSP90AA1;ESR1,363.0,0.8125673922858776,1.0
10,HSP90AA1;HIF1A,427.5,0.4282186802670408,1.0
11,PRKACG;LIPE,378.0,1.0,1.0
12,PRKACG;PPP1R1B,378.0,1.0,1.0
13,PRKACG;MAPK3,378.0,1.0,1.0
14,PRKACG;CACNA1C,378.0,1.0,1.0
15,PRKACG;CALM3,378.0,1.0,1.0
16,PRKACG;PLIN1,378.0,1.0,1.0
17,PRKACG;PRKACA,378.0,1.0,1.0
18,PRKACG;GSK3B,378.0,1.0,1.0
19,PRKACG;PRKACB,378.0,1.0,1.0
20,PRKACG;CTNNB1,378.0,1.0,1.0
21,PRKACG;ESR1,378.0,1.0,1.0
22,PRKACA;LIPE,378.0,1.0,1.0
23,PRKACA;PPP1R1B,378.0,1.0,1.0
24,PRKACA;MAPK3,378.0,1.0,1.0
25,PRKACA;CACNA1C,378.0,1.0,1.0
26,PRKACA;CALM3,378.0,1.0,1.0
27,PRKACA;PLIN1,378.0,1.0,1.0
28,PRKACA;ESR1,378.0,1.0,1.0
29,PRKACA;GSK3B,378.0,1.0,1.0
30,PRKACA;PRKACB,378.0,1.0,1.0
31,PRKACA;CTNNB1,378.0,1.0,1.0
32,PRKACB;LIPE,378.0,1.0,1.0
33,PRKACB;PPP1R1B,378.0,1.0,1.0
34,PRKACB;MAPK3,378.0,1.0,1.0
35,PRKACB;CACNA1C,378.0,1.0,1.0
36,PRKACB;CALM3,378.0,1.0,1.0
37,PRKACB;PLIN1,378.0,1.0,1.0
38,PRKACB;GSK3B,378.0,1.0,1.0
39,PRKACB;ESR1,378.0,1.0,1.0
40,PRKACB;CTNNB1,378.0,1.0,1.0
41,MYC;MAPK1,239.0,0.02382571273375537,0.4315857678057402
42,MYC;POU5F1,478.0,0.0883739315943489,0.6991555885186691
43,MYC;SMAD2,328.0,0.42458563387657744,1.0
44,MYC;MAPK3,459.0,0.16196466086882122,0.900750833252918
45,MYC;TP53,366.0,0.8504708254411997,1.0
46,MYC;SOX2,473.0,0.1055746478801211,0.7606173494999634
47,MYC;GSK3B,429.0,0.3803148358721793,1.0
48,MYC;SMAD3,193.0,0.002910641734428701,0.1580473668975861
49,MYC;WDR5,268.0,0.07729452883274412,0.6780366667040543
50,MYC;ESR1,440.0,0.28533337323685926,1.0
51,MYC;HIF1A,389.0,0.8625561102040049,1.0
52,MYC;CTNNB1,490.0,0.05273984249461093,0.6079465480287878
53,CACNA2D1;CACNA1C,378.0,1.0,1.0
54,CACNA2D1;CACNB2,378.0,1.0,1.0
55,CACNA2D1;CACNA1E,378.0,1.0,1.0
56,CACNA2D1;CACNA1A,378.0,1.0,1.0
57,CACNA2D1;CACNB4,378.0,1.0,1.0
58,CACNB4;CACNA1C,378.0,1.0,1.0
59,CACNB4;CACNA2D2,378.0,1.0,1.0
60,CACNB4;CACNA1A,378.0,1.0,1.0
61,GSK3B;TP53,453.0,0.1989080240386767,0.992973915279693
62,GSK3B;PSEN1,423.5,0.44885341390772016,1.0
63,GSK3B;SMAD3,240.0,0.026206872923669116,0.4430117650618228
64,GSK3B;MAPT,395.5,0.7351393165537186,1.0
65,GSK3B;CTNNB1,378.0,1.0,1.0
66,CCL11;CSF3,378.0,1.0,1.0
67,CCL11;IFNG,378.0,1.0,1.0
68,CCL11;IL1A,378.0,1.0,1.0
69,CCL11;IL1B,378.0,1.0,1.0
70,CCL11;FGF2,378.0,1.0,1.0
71,CCL11;CSF2,378.0,1.0,1.0
72,CCL11;FGF13,378.0,1.0,1.0
73,CCL11;CXCL1,378.0,1.0,1.0
74,CSF2;CSF3,378.0,1.0,1.0
75,CSF2;IL2,378.0,1.0,1.0
76,CSF2;IFNG,378.0,1.0,1.0
77,CSF2;IL1A,378.0,1.0,1.0
78,CSF2;IL1B,378.0,1.0,1.0
79,CSF2;FGF2,378.0,1.0,1.0
80,CSF2;IL3,378.0,1.0,1.0
81,CSF2;FGF13,378.0,1.0,1.0
82,CSF2;JAK2,378.0,1.0,1.0
83,CSF2;FLT3LG,378.0,1.0,1.0
84,CSF2;IL6,378.0,1.0,1.0
85,CSF2;CSF3R,369.0,0.5363881322159223,1.0
86,FGF13;CSF3,378.0,1.0,1.0
87,FGF13;EGF,387.0,0.5363881322159223,1.0
88,FGF13;HSPG2,391.0,0.8198696040862203,1.0
89,FGF2;CSF3,378.0,1.0,1.0
90,FGF2;HSPG2,361.0,0.7637342086734766,1.0
91,FGF2;FN1,378.0,1.0,1.0
92,FGF2;EGF,387.0,0.5363881322159223,1.0
93,EGF;CSF3,387.0,0.5363881322159223,1.0
94,EGF;FN1,387.0,0.5363881322159223,1.0
95,EGF;IGF1,375.0,0.9149678269081313,1.0
96,EGF;GRB2,352.0,0.6678122471638221,1.0
97,APP;APOE,368.0,0.8780025220065771,1.0
98,APP;PSEN1,370.0,0.9036987947778414,1.0
99,APP;MAPT,316.5,0.32400437666683823,1.0
100,APP;SNCA,315.0,0.31224874541212155,1.0
101,IFNG;CSF3,378.0,1.0,1.0
102,IFNG;IL2,378.0,1.0,1.0
103,IFNG;IL3,378.0,1.0,1.0
104,IFNG;IL1A,378.0,1.0,1.0
105,IFNG;JAK2,378.0,1.0,1.0
106,IFNG;IL1B,378.0,1.0,1.0
107,IFNG;IL6,378.0,1.0,1.0
108,FYN;PIK3CA,317.5,0.33199956882864834,1.0
109,FYN;MAPT,379.5,0.9860272547210351,1.0
110,FYN;CDK5,423.0,0.4561148473034492,1.0
111,FYN;CTNNB1,355.0,0.6409665153327329,1.0
112,FYN;PIK3R1,454.0,0.21319632904327845,1.0
113,FYN;LYN,369.5,0.8973046518447232,1.0
114,FYN;NPHS1,379.0,0.9891084837208203,1.0
115,FYN;SHC1,411.0,0.5958983723803597,1.0
116,FYN;GRB2,304.5,0.23598283770045558,1.0
117,IL1B;CSF3,378.0,1.0,1.0
118,IL1B;IL2,378.0,1.0,1.0
119,IL1B;IL1A,378.0,1.0,1.0
120,IL1B;IL6,378.0,1.0,1.0
121,IL1B;IL3,378.0,1.0,1.0
122,IL1B;CXCL1,378.0,1.0,1.0
123,IL2;CSF3,378.0,1.0,1.0
124,IL2;IL6,378.0,1.0,1.0
125,IL2;IL1A,378.0,1.0,1.0
126,IL2;IL3,378.0,1.0,1.0
127,IL2;ACE2,378.0,1.0,1.0
128,IL6;CSF3,378.0,1.0,1.0
129,IL6;IL1A,378.0,1.0,1.0
130,IL6;IL3,378.0,1.0,1.0
131,IL6;JAK2,378.0,1.0,1.0
132,IL6;CXCL1,378.0,1.0,1.0
133,TP53;GADD45B,383.0,0.9421323147212047,1.0
134,TP53;MAPK1,382.0,0.9544574935173386,1.0
135,TP53;SMAD2,398.0,0.7530979962015772,1.0
136,TP53;MAPK3,437.0,0.31308647534010603,1.0
137,TP53;HIF1A,336.0,0.49631257532000095,1.0
138,TP53;SMAD3,242.5,0.029405646711186145,0.4622983514459232
139,TP53;G6PD,387.0,0.8909402042398872,1.0
140,TP53;CASP3,340.0,0.5452338824391263,1.0
141,TP53;YWHAZ,341.0,0.556004659036427,1.0
142,TP53;ESR1,451.0,0.21123339691809506,1.0
143,TP53;GADD45A,451.0,0.2421994348179738,1.0
144,TP53;CDK5,487.0,0.07957577461022428,0.6780366667040543
145,TP53;CCNA2,378.0,1.0,1.0
146,TP53;PTEN,489.0,0.07458867782436145,0.6780366667040543
147,TP53;CDK1,343.0,0.5777469698276432,1.0
148,CDH17;CTNND2,416.0,0.10924000544339908,0.7781816118102812
149,CDH17;CTNNB1,357.0,0.6978345462270477,1.0
150,CTNND2;PSEN1,382.0,0.9421697842951038,1.0
151,CTNNB1;POU5F1,365.5,0.5336643890395858,1.0
152,CTNNB1;SMAD2,461.0,0.1832488129182367,0.9522930113947711
153,CTNNB1;SOX17,374.0,0.8811714260249326,1.0
154,CTNNB1;CASP3,376.0,0.9806946409917173,1.0
155,CTNNB1;PKM,247.5,0.03598683801602066,0.4959925065686325
156,CTNNB1;SOX2,365.5,0.5336643890395858,1.0
157,CTNNB1;PSEN1,463.5,0.15257117468103068,0.8714425652952563
158,CTNNB1;SMAD3,221.0,0.011332557265046703,0.3265836957290732
159,CTNNB1;SMAD4,439.0,0.32909746814966245,1.0
160,CTNNB1;KLF4,365.5,0.5336643890395858,1.0
161,CTNNB1;YWHAZ,367.0,0.8654983637362783,1.0
162,CTNNB1;ESR1,378.0,1.0,1.0
163,CTNNB1;HIF1A,316.5,0.20611486874559215,0.9975330288908811
164,PSMD13;CSF3,398.0,0.707698044432213,1.0
165,PSMD13;PSMD4,445.0,0.2577573897779708,1.0
166,PSMD13;PSMD6,455.0,0.18032508111008527,0.9522930113947711
167,PSMD6;CSF3,399.0,0.6833129599249967,1.0
168,PSMD6;PSMD4,452.0,0.2050033710823198,0.9975330288908811
169,PSMD4;CSF3,427.0,0.35834069840337013,1.0
170,LYN;SHC1,502.5,0.045220392863764974,0.5733945815125399
171,LYN;INPP5D,493.0,0.05904660402401324,0.6345007957834643
172,LYN;PIK3R1,453.0,0.226494366668616,1.0
173,PLCG1;PIK3R1,299.5,0.17193127902207272,0.9287408507993079
174,PLCG1;RASGRP1,422.0,0.4806361176906544,1.0
175,PLCG1;ALK,397.0,0.7176339246774135,1.0
176,PLCG1;GRB2,368.0,0.8729753328803274,1.0
177,PLCG1;JAK2,460.0,0.1868543278459922,0.9631353158890981
178,PLCG1;PIK3CA,349.0,0.6205160336025122,1.0
179,GRB2;RET,326.0,0.34815381835257064,1.0
180,GRB2;JAK2,322.0,0.352639880508946,1.0
181,GRB2;ALK,336.0,0.4318909767773407,1.0
182,GRB2;PIK3R1,347.0,0.5864838013689149,1.0
183,GRB2;SHC1,374.5,0.9539999130122916,1.0
184,GRB2;INPP5D,486.5,0.07737912491628841,0.6780366667040543
185,ACAN;ADAMTS5,378.0,1.0,1.0
186,ACAN;FN1,363.0,0.6748123856389923,1.0
187,FN1;ALB,378.0,1.0,1.0
188,FN1;PLG,378.0,1.0,1.0
189,FN1;SERPINF2,378.0,1.0,1.0
190,FN1;FGG,378.0,1.0,1.0
191,FN1;IGFBP3,457.0,0.1182558213191582,0.8061740937241537
192,FN1;ITGB3,329.0,0.10266004434139309,0.7568193966563165
193,FN1;ERVFRD-1,378.0,1.0,1.0
194,FN1;ESR1,372.0,0.8646847129576117,1.0
195,FN1;HSPG2,378.0,1.0,1.0
196,HSPG2;NID2,341.5,0.5614232683217707,1.0
197,HSPG2;APOE,411.0,0.5894343925752592,1.0
198,IGF1;IGFBP5,348.5,0.13253332535869095,0.8366377996630361
199,IGF1;IGFBP3,442.0,0.049125033193575356,0.5870804255694717
200,IGF1;ITGB3,365.5,0.5336643890395858,1.0
201,IGF1;ESR1,336.0,0.03135462005074873,0.4622983514459232
202,IGF1;IGF2,399.0,0.13592065199572984,0.8366377996630361
203,IGF1;IGFALS,378.0,1.0,1.0
204,TARDBP;MAPT,329.5,0.43770451878323446,1.0
205,TARDBP;SNCA,291.0,0.16162498959311233,0.900750833252918
206,CALM3;KRAS,354.0,0.7013835368306693,1.0
207,CALM3;CACNA1C,378.0,1.0,1.0
208,CALM3;ESR1,378.0,1.0,1.0
209,CALM3;CAMK2A,363.0,0.7583859860241666,1.0
210,CALM3;CACNA1A,378.0,1.0,1.0
211,CALM3;SNCA,390.5,0.842638576787492,1.0
212,CALM3;CACNA1E,378.0,1.0,1.0
213,CALM3;NRAS,425.5,0.4440163209395461,1.0
214,UGP2;PGM2,214.0,0.004505413653138577,0.19042881707265719
215,UGP2;PGM5,282.0,0.06631462880561571,0.6780366667040543
216,PGM2;ADPGK,519.0,0.023358069987043508,0.4315857678057402
217,PGM2;PGM5,297.0,0.08768910740138793,0.6991555885186691
218,PGM2;GPI,471.0,0.11069912032113534,0.7798138031511089
219,CDC20;CCNB1,369.0,0.8909402042398872,1.0
220,CDC20;ANAPC5,398.0,0.7530979962015772,1.0
221,CDC20;BUB1B,390.0,0.8528306044368017,1.0
222,CDC20;ANAPC1,406.0,0.6573274005405432,1.0
223,CDC20;CDC16,419.0,0.5135559376993837,1.0
224,CDC20;TRIM33,506.0,0.03971324866619428,0.5138408092727994
225,CDC20;CDC23,439.0,0.32909746814966245,1.0
226,CDC20;ANAPC4,317.0,0.32909746814966245,1.0
227,CDC20;ANAPC7,374.0,0.9549761907873664,1.0
228,CDC20;CCNA2,297.0,0.19409634128466835,0.9844566429958379
229,CDC20;CDC27,406.0,0.6573274005405432,1.0
230,CDC20;CDK1,297.0,0.19409634128466835,0.9844566429958379
231,TUBA1A;TUBB2B,351.0,0.6683175264340029,1.0
232,TUBA1A;TUBB4A,344.0,0.5846362445829851,1.0
233,TUBA1A;TUBB3,374.0,0.9549755659342638,1.0
234,TUBA1A;TUBA1B,363.0,0.815051439037723,1.0
235,TUBA1A;MAPT,359.5,0.7694129281670282,1.0
236,TUBA1A;TUBB2A,366.0,0.8528306044368017,1.0
237,NGF;GFRA1,330.0,0.2174326294381318,1.0
238,PLG;SERPIND1,378.0,1.0,1.0
239,PLG;C3,387.0,0.5363881322159223,1.0
240,PLG;ALB,378.0,1.0,1.0
241,PLG;SERPINF2,378.0,1.0,1.0
242,PLG;FGA,378.0,1.0,1.0
243,PLG;SERPINC1,378.0,1.0,1.0
244,PLG;ERVFRD-1,378.0,1.0,1.0
245,F2;SERPIND1,378.0,1.0,1.0
246,F2;AMBP,351.0,0.2577141625373175,1.0
247,F2;AHSG,369.0,0.5363881322159223,1.0
248,F2;ALB,378.0,1.0,1.0
249,F2;FGB,378.0,1.0,1.0
250,F2;FGA,378.0,1.0,1.0
251,F2;F13B,378.0,1.0,1.0
252,F2;SERPINC1,378.0,1.0,1.0
253,F2;FGG,378.0,1.0,1.0
254,APOE;PSEN1,339.5,0.5389556891118736,1.0
255,APOE;MAPT,421.5,0.44316232007819256,1.0
256,APOE;SNCA,452.0,0.22698108336183698,1.0
257,APOE;ALB,401.0,0.6652806794870547,1.0
258,AHSG;FGA,369.0,0.5363881322159223,1.0
259,AHSG;FGG,369.0,0.5363881322159223,1.0
260,AHSG;ALB,369.0,0.5363881322159223,1.0
261,CDK1;GADD45B,315.0,0.31329330177622994,1.0
262,CDK1;GADD45G,372.0,0.9292485479557853,1.0
263,CDK1;CCNB1,384.0,0.9293024895797182,1.0
264,CDK1;BUB1B,277.0,0.10497933513256583,0.7606173494999634
265,CDK1;SOX2,483.0,0.0893242944321959,0.6991555885186691
266,CDK1;GADD45A,366.0,0.8528103878605577,1.0
267,CDK1;FZR1,259.0,0.055935352714935264,0.6307788665719976
268,CDK1;CCNA2,324.0,0.38812895149982196,1.0
269,CDK1;ANAPC4,205.0,0.005392191535122779,0.20109702548634364
270,CCNA2;CCNB1,378.0,1.0,1.0
271,CCNA2;BUB1B,287.0,0.14432654209788737,0.8551684830846784
272,CCNA2;TRIM33,486.0,0.08290095511607036,0.6825870849816703
273,CCNA2;FZR1,312.0,0.2906991776271294,1.0
274,CCNA2;ANAPC4,195.0,0.003240718879603501,0.1580473668975861
275,CCNA2;CDC27,267.0,0.07466937142129607,0.6780366667040543
276,MAP2K1;MAPK1,260.0,0.058038389851404144,0.6344196407894866
277,MAP2K1;KRAS,203.0,0.00487951025632589,0.19335059390691342
278,MAP2K1;MAPK3,284.0,0.13148781407960503,0.8366377996630361
279,MAP2K1;NRAS,225.0,0.013893801493874432,0.3523468058846556
280,MAP2K1;TRIB1,526.0,0.017343587418497487,0.3900418413344365
281,GADD45B;MAP2K7,326.0,0.40611305069716586,1.0
282,GADD45B;MAP3K4,295.0,0.18290788855421658,0.9522930113947711
283,GADD45B;GADD45G,348.0,0.6336016319955071,1.0
284,GADD45B;GADD45A,398.0,0.7530315994498887,1.0
285,GADD45B;CCNB1,372.0,0.9293024895797182,1.0
286,MAP3K4;GADD45G,276.5,0.10189054897679077,0.7568193966563165
287,MAP3K4;GADD45A,468.0,0.14849701130785217,0.8577051551436133
288,GADD45G;CCNB1,384.0,0.9292485479557853,1.0
289,GADD45G;GADD45A,462.5,0.17490864847978516,0.9318662448418806
290,GADD45A;CCNB1,415.0,0.5559991710172443,1.0
291,CCNB1;CDC16,385.0,0.9164929704433327,1.0
