,Gene,U,pval,adj_pvals
0,NRP1,407.0,0.15736789497411874,1.0
1,CX3CL1,465.0,1.0,1.0
2,CCL11,465.0,1.0,1.0
3,CCR5,465.0,1.0,1.0
4,CSF2,465.0,1.0,1.0
5,CCL5,495.0,0.4102110072345392,1.0
6,FGF2,495.0,0.1677767345499046,1.0
7,CXCR4,465.0,1.0,1.0
8,CXCR1,465.0,1.0,1.0
9,CX3CR1,465.0,1.0,1.0
10,CCR2,465.0,1.0,1.0
11,CXCR3,465.0,1.0,1.0
12,EGF,510.5,0.2408168737045817,1.0
13,CD44,633.0,0.01567500166377991,0.45392580399822957
14,HLA-DRB1,396.0,0.21123355923653542,1.0
15,CXCR2,465.0,1.0,1.0
16,IL10,510.0,0.08669181396649275,0.9566343480365532
17,IFNG,465.0,1.0,1.0
18,CD8A,483.5,0.5851894632483983,1.0
19,FYN,442.5,0.7500417867739121,1.0
20,TNF,480.5,0.7257656724359798,1.0
21,IL1B,495.0,0.647983977454234,1.0
22,IL2,465.0,1.0,1.0
23,IL6,481.5,0.7305989589382045,1.0
24,IL4,465.0,1.0,1.0
25,KDR,439.0,0.5306138690250384,1.0
26,ARG1,465.0,1.0,1.0
27,ARG2,495.0,0.4102110072345392,1.0
28,ASS1,376.0,0.02953290859752157,0.48175557149707066
29,ASL,437.0,0.49888122834749593,1.0
30,NGFR,450.0,0.34163104673950406,1.0
31,TYROBP,449.5,0.32524398000988797,1.0
32,LYN,556.0,0.171913657708322,1.0
33,PLCG1,361.0,0.13511733890036418,1.0
34,GRB2,537.0,0.3023174141123183,1.0
35,SRC,636.0,0.01390629689534608,0.45392580399822957
36,TLR4,458.0,0.9105363683484278,1.0
37,EGFR,451.0,0.8455852944150652,1.0
38,FN1,478.0,0.8568575811706814,1.0
39,TLR2,441.0,0.6680002971525036,1.0
40,MET,323.0,0.02608768988495572,0.45392580399822957
41,IGF1,496.0,0.1538274663083508,1.0
42,NCOR1,437.0,0.6915726683173911,1.0
43,CALML4,480.0,0.34163104673950406,1.0
44,CALM3,435.0,0.1677767345499046,1.0
45,CALML3,480.0,0.34163104673950406,1.0
46,CALML6,480.0,0.34163104673950406,1.0
47,CALML5,480.0,0.34163104673950406,1.0
48,ITGB2,518.0,0.4487035340633755,1.0
49,TRAF6,415.0,0.44361677855446113,1.0
50,FASLG,449.5,0.32524398000988797,1.0
51,NFKB1,455.0,0.8822230661060189,1.0
52,BDNF,465.0,1.0,1.0
53,NTF3,465.0,1.0,1.0
54,NGF,465.0,1.0,1.0
55,NTRK1,357.0,0.09097095390849211,0.9566343480365532
56,NTRK2,450.0,0.34163104673950406,1.0
57,NTF4,465.0,1.0,1.0
58,RUNX1,465.0,1.0,1.0
59,ITGA3,408.0,0.4150248914806447,1.0
60,APOB,465.0,1.0,1.0
61,JUN,563.0,0.15955823082033715,1.0
62,FOS,465.0,1.0,1.0
63,FLNC,435.0,0.1677767345499046,1.0
64,PPARG,447.0,0.8006757598271456,1.0
65,ACKR2,465.0,1.0,1.0
66,AKT1,422.0,0.39191803401244296,1.0
67,NRAS,426.0,0.5566265700779631,1.0
68,KRAS,444.0,0.7527218378731066,1.0
69,SHC1,438.0,0.6971280861824906,1.0
70,HRAS,455.5,0.8913447865238288,1.0
71,HIF1A,388.0,0.26976333059343416,1.0
72,GP5,465.0,1.0,1.0
73,GP2,465.0,1.0,1.0
74,MYD88,452.5,0.8554751911364281,1.0
75,IRAK1,483.5,0.7846952209188933,1.0
76,CD163,465.0,1.0,1.0
77,TXNRD2,497.0,0.649435228636263,1.0
78,NCOR2,374.0,0.19169706744178538,1.0
79,MMP9,494.0,0.6634399388946595,1.0
80,RRAS,373.0,0.024444383377457655,0.45392580399822957
81,SNTA1,465.0,1.0,1.0
82,SGCD,435.0,0.3213144887491235,1.0
83,SSPN,451.5,0.6167512987554857,1.0
84,DAG1,449.5,0.5636330015561379,1.0
85,DMD,450.5,0.5899166671529793,1.0
86,SGCA,465.0,1.0,1.0
87,CAV3,482.0,0.6996151609429103,1.0
88,TIMP1,569.0,0.13511733890036418,1.0
89,MMP3,494.0,0.63683385726838,1.0
90,MMP14,397.0,0.3299461083558476,1.0
91,MMP2,527.0,0.37357014167921143,1.0
92,MMP1,493.0,0.691568800140732,1.0
93,SGCG,465.0,1.0,1.0
94,SGCB,450.5,0.5899166671529793,1.0
95,TIMP2,514.0,0.4840160155452422,1.0
96,THBS1,528.0,0.3672479686510909,1.0
97,CXCL10,465.0,1.0,1.0
98,CCR3,465.0,1.0,1.0
99,CCR4,465.0,1.0,1.0
100,CCL17,465.0,1.0,1.0
101,CCR7,465.0,1.0,1.0
102,CCR1,465.0,1.0,1.0
103,CCL28,465.0,1.0,1.0
104,CCL25,465.0,1.0,1.0
105,PF4,465.0,1.0,1.0
106,CCL26,465.0,1.0,1.0
107,CCL21,465.0,1.0,1.0
108,CXCL17,465.0,1.0,1.0
109,CXCL14,465.0,1.0,1.0
110,CCR6,465.0,1.0,1.0
111,AKT3,373.0,0.024444383377457655,0.45392580399822957
112,AKT2,423.0,0.4282970378793355,1.0
