,Gene,U,pval,adj_pvals
0,NRP1,411.0,0.18830303001052295,0.9691924260762018
1,CX3CL1,465.0,1.0,1.0
2,CCL11,465.0,1.0,1.0
3,CCR5,465.0,1.0,1.0
4,CSF2,465.0,1.0,1.0
5,CCL5,494.0,0.4262608760184736,1.0
6,FGF2,465.0,1.0,1.0
7,CXCR4,465.0,1.0,1.0
8,CXCR1,465.0,1.0,1.0
9,CX3CR1,465.0,1.0,1.0
10,CCR2,465.0,1.0,1.0
11,CXCR3,465.0,1.0,1.0
12,EGF,509.5,0.25143040709754805,0.9691924260762018
13,CD44,611.0,0.035815256742690656,0.5842363756151413
14,HLA-DRB1,396.0,0.21123355923653542,0.9691924260762018
15,CXCR2,465.0,1.0,1.0
16,IL10,510.0,0.08669181396649275,0.8834966852020077
17,IFNG,465.0,1.0,1.0
18,CD8A,483.5,0.5851894632483983,1.0
19,FYN,367.5,0.16012032687671374,0.9691924260762018
20,TNF,479.5,0.7433809427369928,1.0
21,IL1B,523.0,0.3735119643812268,1.0
22,IL2,465.0,1.0,1.0
23,IL6,480.5,0.7468403996680941,1.0
24,IL4,465.0,1.0,1.0
25,KDR,440.0,0.546855829820466,1.0
26,ARG1,465.0,1.0,1.0
27,ARG2,466.0,0.9888634840504033,1.0
28,ASS1,375.0,0.02774381402969947,0.501931384526945
29,ASL,406.0,0.15027223809763382,0.9615835485756602
30,NGFR,450.0,0.34163104673950406,0.9691924260762018
31,TYROBP,449.5,0.32524398000988797,0.9691924260762018
32,LYN,495.0,0.6561051352438341,1.0
33,PLCG1,276.0,0.0065013387888009175,0.3294291277102569
34,GRB2,383.0,0.23969920136926848,0.9691924260762018
35,SRC,617.0,0.028846631294652012,0.501931384526945
36,TLR4,462.0,0.9655292221266105,1.0
37,EGFR,445.0,0.7784712775337735,1.0
38,FN1,519.0,0.44010953393058416,1.0
39,TLR2,434.0,0.5777667325743565,1.0
40,MET,344.0,0.05813134232029622,0.7224895402665388
41,IGF1,496.0,0.1538274663083508,0.9615835485756602
42,NCOR1,283.0,0.008835263961577772,0.3294291277102569
43,CALML4,480.0,0.34163104673950406,0.9691924260762018
44,CALM3,464.0,0.9813476601729604,1.0
