,Gene,U,pval,adj_pvals
0,HSP90AB1,95.0,0.34218297943668396,0.8367248037320374
1,HSPA4,88.0,0.22797462407405722,0.7487401869098939
2,HSP90AA1,116.0,0.8550604547337581,1.0
3,FLNA,125.0,0.9127271461088795,1.0
4,HMGCS1,137.0,0.5836942206964862,0.9623768266899555
5,UBC,120.0,0.970857279724063,1.0
6,UBA52,119.0,0.941753425039241,1.0
7,DVL2,116.0,0.8468919617674744,1.0
8,VANGL1,112.0,0.7281751523581153,1.0
9,DVL3,106.0,0.5624159921912228,0.9623768266899555
10,DVL1,171.0,0.07343425157600256,0.6141801436629759
11,PRICKLE1,113.0,0.7517022998840596,1.0
12,PRICKLE3,86.0,0.1765036573172385,0.6827534165971562
13,WNT5A,176.0,0.030239021016148636,0.48238438287665686
14,PRICKLE2,141.0,0.43822892592219853,0.8780675531077015
15,PRICKLE4,97.0,0.35402483615835934,0.8443135143647765
16,VANGL2,136.0,0.5797895147119856,0.9623768266899555
17,CX3CL1,111.0,0.5736263304891774,0.9623768266899555
18,FGF13,123.0,0.9551252139967855,1.0
19,FGF2,131.0,0.7022045551955158,1.0
20,CXCR4,96.0,0.2628524039164154,0.7922153400790668
21,EGF,108.0,0.6299478603864204,0.97109704699418
22,CD74,182.0,0.028380481624185383,0.4753730672051052
23,RPL30,97.0,0.380598213246381,0.8443135143647765
24,RPS17,113.0,0.7700841192465129,1.0
25,MRPL36,172.0,0.06775159587183223,0.6141801436629759
26,HLA-DPB1,112.5,0.43417090904494937,0.8780675531077015
27,RPL4,135.0,0.6348365769902251,0.97109704699418
28,RPS7,146.0,0.380598213246381,0.8443135143647765
29,HLA-DQB1,117.0,0.7605177144427377,1.0
30,RPS5,135.0,0.6348365769902251,0.97109704699418
31,HLA-DOA,142.0,0.22436855474800277,0.7487401869098939
32,MRPL33,154.0,0.24237967376143077,0.7733065781912315
33,RPS28,116.0,0.8550604547337581,1.0
34,RPS25,112.0,0.7423083940717163,1.0
35,CD44,186.0,0.019381079448165823,0.4583373721573463
36,HLA-DQA2,121.5,1.0,1.0
37,MRPL12,166.0,0.10795420643158134,0.6575392573559954
38,MRPL21,150.0,0.3063423472456399,0.8159387088384131
39,RPL8,161.0,0.15421756010581464,0.6827534165971562
40,RPS20,189.0,0.014376402451872817,0.4583373721573463
41,MRPS9,184.0,0.023509444876997444,0.4583373721573463
42,CTSS,153.0,0.2572906983428921,0.7839402299616869
43,RPL23A,145.0,0.4007617880406188,0.8606102499590211
44,HLA-DQB2,130.5,0.43417090904494937,0.8780675531077015
45,RPS8,174.0,0.057469660100269625,0.5662451803997155
46,MRPL17,185.0,0.02135854043383465,0.4583373721573463
47,RPS15,182.0,0.028380481624185383,0.4753730672051052
48,RPS2,163.0,0.134170293373614,0.6795383880192565
49,RPL24,107.0,0.6090265291291659,0.9623768266899555
50,RPL37A,125.0,0.9127271461088795,1.0
51,MRPS6,187.0,0.01756550042447661,0.4583373721573463
52,RPS6,136.0,0.6090265291291659,0.9623768266899555
53,TUFM,127.0,0.8550604547337581,1.0
