,Edge,U,pval,adj_pvals
0,FLNA;ITGB1,296.0,0.49030591927920786,1.0
1,FLNA;HSPB7,227.0,0.40679025685543335,1.0
2,CX3CL1;CCL11,263.5,1.0,1.0
3,CX3CL1;CCR5,263.5,1.0,1.0
4,CX3CL1;CCL5,263.5,1.0,1.0
5,CX3CL1;CXCR4,263.5,1.0,1.0
6,CX3CL1;CXCR1,263.5,1.0,1.0
7,CX3CL1;CX3CR1,263.5,1.0,1.0
8,CX3CL1;CCR2,263.5,1.0,1.0
9,CX3CL1;CXCR3,263.5,1.0,1.0
10,CCL11;CCL2,263.5,1.0,1.0
11,CCL11;CCL13,263.5,1.0,1.0
12,CCL11;CXCL6,263.5,1.0,1.0
13,CCL11;CCL27,263.5,1.0,1.0
14,CCL11;CCR2,263.5,1.0,1.0
15,CCL11;CCR5,263.5,1.0,1.0
16,CCL11;PF4,263.5,1.0,1.0
17,CCL11;CCR1,263.5,1.0,1.0
18,CCL11;CXCL10,263.5,1.0,1.0
19,CCL11;CXCL14,263.5,1.0,1.0
20,CCL11;CXCL2,263.5,1.0,1.0
21,CCL11;CXCL9,263.5,1.0,1.0
22,CCL11;CXCL11,263.5,1.0,1.0
23,CCL11;XCL1,263.5,1.0,1.0
24,CCL11;CCL26,263.5,1.0,1.0
25,CCL11;CXCR3,263.5,1.0,1.0
26,CCL11;CCL8,263.5,1.0,1.0
27,CCL11;CCL5,263.5,1.0,1.0
28,CCL11;CXCL1,263.5,1.0,1.0
29,CCL11;CCR3,263.5,1.0,1.0
30,CCL11;CXCL12,263.5,1.0,1.0
31,CCL11;CCL28,263.5,1.0,1.0
32,CCR5;CCL17,263.5,1.0,1.0
33,CCR5;CCL2,263.5,1.0,1.0
34,CCR5;CCL13,263.5,1.0,1.0
35,CCR5;CCR7,263.5,1.0,1.0
36,CCR5;CCL21,263.5,1.0,1.0
37,CCR5;CCR2,263.5,1.0,1.0
38,CCR5;CXCL12,263.5,1.0,1.0
39,CCR5;CCL8,263.5,1.0,1.0
40,CCR5;CXCL1,263.5,1.0,1.0
41,CCR5;CCL5,263.5,1.0,1.0
42,CCR5;CCL20,263.5,1.0,1.0
43,CCR5;CCR3,263.5,1.0,1.0
44,CCR5;CXCR4,263.5,1.0,1.0
45,CCR5;CXCR3,263.5,1.0,1.0
46,CCR5;CCR1,263.5,1.0,1.0
47,CCR5;CCL4,263.5,1.0,1.0
48,CCR5;CXCL11,263.5,1.0,1.0
49,CCR5;CXCL10,263.5,1.0,1.0
50,CCR5;CCL16,263.5,1.0,1.0
51,CCR5;CXCL2,263.5,1.0,1.0
52,CCR5;CXCL9,263.5,1.0,1.0
53,CCL5;CCL17,263.5,1.0,1.0
54,CCL5;CCL2,263.5,1.0,1.0
55,CCL5;CCL13,263.5,1.0,1.0
56,CCL5;CXCL6,263.5,1.0,1.0
57,CCL5;NFKB1,237.0,0.32934971566450433,1.0
58,CCL5;CCR7,263.5,1.0,1.0
59,CCL5;CCL21,263.5,1.0,1.0
60,CCL5;CCL27,263.5,1.0,1.0
61,CCL5;CXCL13,263.5,1.0,1.0
62,CCL5;CXCR5,263.5,1.0,1.0
63,CCL5;CCR2,263.5,1.0,1.0
64,CCL5;CXCR1,263.5,1.0,1.0
65,CCL5;PPBP,263.5,1.0,1.0
66,CCL5;PF4,263.5,1.0,1.0
67,CCL5;CCR1,263.5,1.0,1.0
68,CCL5;CXCL10,263.5,1.0,1.0
69,CCL5;CXCL11,263.5,1.0,1.0
70,CCL5;CXCR2,263.5,1.0,1.0
71,CCL5;CCR4,263.5,1.0,1.0
72,CCL5;CXCL14,263.5,1.0,1.0
73,CCL5;CCR6,263.5,1.0,1.0
74,CCL5;CCRL2,263.5,1.0,1.0
75,CCL5;CX3CR1,263.5,1.0,1.0
76,CCL5;CCL20,263.5,1.0,1.0
77,CCL5;CCL28,263.5,1.0,1.0
78,CCL5;CXCL9,263.5,1.0,1.0
79,CCL5;XCL1,263.5,1.0,1.0
80,CCL5;XCL2,263.5,1.0,1.0
81,CCL5;JUN,236.0,0.3110884058459146,1.0
82,CCL5;CXCR3,263.5,1.0,1.0
83,CCL5;CCL25,263.5,1.0,1.0
84,CCL5;CCL8,263.5,1.0,1.0
85,CCL5;CCL26,263.5,1.0,1.0
86,CCL5;CXCL1,263.5,1.0,1.0
87,CCL5;CXCL12,263.5,1.0,1.0
88,CCL5;IL6,245.0,0.4642963497607461,1.0
89,CCL5;CD8A,263.5,1.0,1.0
90,CCL5;CXCR4,263.5,1.0,1.0
91,CCL5;CXCR6,263.5,1.0,1.0
92,CCL5;TNF,263.5,1.0,1.0
93,CCL5;CCL24,263.5,1.0,1.0
94,CCL5;ACKR2,263.5,1.0,1.0
95,CCL5;CXCL2,263.5,1.0,1.0
96,CCL5;CCR3,263.5,1.0,1.0
97,CCL5;CXCL17,263.5,1.0,1.0
98,CCL5;CCL16,263.5,1.0,1.0
99,CCL5;CCL4,263.5,1.0,1.0
100,CXCR4;CCL2,263.5,1.0,1.0
101,CXCR4;CCR7,263.5,1.0,1.0
102,CXCR4;CCL21,263.5,1.0,1.0
