,Edge,U,pval,adj_pvals
0,KAT2B/RARA,7447.5,0.5511388244089888,0.6805745136943515
1,KAT2B/TEP1,8982.0,0.06277377070398986,0.14709853593165642
2,KAT2B/H3C11,7016.0,0.1979173296762473,0.337122482478659
3,KAT2B/H2AZ1,7038.5,0.21079910793459278,0.35021440978266233
4,KAT2B/WWTR1,8098.0,0.6566210853923025,0.7661357685533942
5,KAT2B/H2AC18,7112.0,0.25696930342314495,0.4020583140349731
6,KAT2B/H2BC11,7103.0,0.2509351376959281,0.39620701962480276
7,KAT2B/DNMT1,7439.5,0.5423812545671216,0.6733281610629418
8,KAT2B/H2BC17,7048.5,0.21662625617944842,0.35734074737293625
9,KAT2B/EZH2,6857.0,0.12297055642102507,0.23873751219963504
10,KAT2B/SF3B3,7413.0,0.5149182998518267,0.6535578111465545
11,KAT2B/H3C13,6899.0,0.140241043921523,0.2614379915377938
12,KAT2B/H2BC12,6998.5,0.18831153815032342,0.3249091784020525
13,KAT2B/BUB1B,6680.0,0.06791745498166499,0.15597420116642716
14,KAT2B/UHRF1,6687.5,0.06972661064261693,0.15909110536747298
15,KAT2B/H2AC20,7287.5,0.3939846259919729,0.5437938965931579
16,KAT2B/H2BC5,6907.5,0.14389775108594172,0.2659878993312534
17,KAT2B/H2BC13,6855.0,0.12219410536303751,0.23765196188270662
18,KAT2B/H2BC21,6992.5,0.1851527599809103,0.32040411682350567
19,KAT2B/TACC3,6859.0,0.12384660889656468,0.23972904058385175
20,H2AZ1/CBX5,6286.0,0.01393038380279503,0.05420459895544111
21,H2AZ1/NCAPH,5675.0,0.0005844516265918851,0.01462497359132989
22,H2AZ1/RAD18,6101.0,0.005849986576075169,0.03493212055625918
23,H2AZ1/SSRP1,6805.5,0.10374122773567494,0.21088907571297985
24,H2AZ1/SMC2,5680.0,0.0006012603071537468,0.01462497359132989
25,H2AZ1/H2BC5,6274.5,0.013180355183695168,0.0526504828182275
26,H2AZ1/RFC4,5817.5,0.001325379801278009,0.017704256129150414
27,H2AZ1/CDK1,5673.0,0.0005747106641414276,0.01462497359132989
28,H2AZ1/H2AC18,6575.5,0.04569755220436889,0.11861840884694172
29,H2AZ1/CBX3,6863.0,0.12494583862756281,0.24142950326091495
30,H2AZ1/HMGB2,7039.5,0.21081178278596713,0.35021440978266233
31,H2AZ1/H4C14,6100.5,0.0057691132104748695,0.03479496405067656
32,H2AZ1/H2BC21,6270.0,0.012760308731330354,0.05162339450985807
33,H2AZ1/SLBP,7053.0,0.2191436673358126,0.3602113902227103
34,H2AZ1/KPNA2,5876.5,0.0018348445624201128,0.020407203421357257
35,H2AZ1/TOP2A,5960.5,0.0028703570091693246,0.0246324219072948
36,H2AZ1/SMC3,6526.5,0.0377325433989445,0.10325310666550201
37,H2AZ1/H2AC20,6794.0,0.09965413438267753,0.20486542287566728
38,H2AZ1/UHRF1,5951.5,0.002743761345340853,0.023895520654335294
39,H2AZ1/ACTL6A,6349.5,0.0183941496682251,0.06379619985353757
40,H2AZ1/ANP32E,6254.5,0.012067816299146437,0.04999306221906497
41,H2AZ1/H2BC13,6272.5,0.013071723790715103,0.05236669811640568
42,H2AZ1/CHD1L,6399.5,0.022734196073583703,0.07255923863563048
43,H2AZ1/NCAPG2,5622.5,0.00042576695714044806,0.014435616069327946
44,H2AZ1/H3C13,6505.0,0.03475415892499576,0.09721090829745191
45,H2AZ1/H2BC18,6086.5,0.0054262185893610695,0.033718604529722855
46,H2AZ1/EZH2,6297.0,0.014547276184574588,0.055628919768752005
47,H2AZ1/H2BC17,6295.0,0.014461527036302022,0.055480486820142845
48,H2AZ1/VPS72,6431.0,0.025993523482216382,0.07946395299779595
49,H2AZ1/DNMT1,6433.5,0.026166122582331478,0.07986144017919031
50,H2AZ1/H2BC11,6503.0,0.034534318154736586,0.09700950159733797
51,H2AZ1/PLK1,5611.5,0.0003976373074491077,0.014435616069327946
52,H2AZ1/H2AC12,6351.0,0.01848061768734288,0.06383055553795194
