,Edge,U,pval,adj_pvals
0,KMT2A;MLLT1,7558.0,0.6745190257631996,0.8329805624475595
1,KMT2A;KMT2C,7414.0,0.5144372258492589,0.7294152856129065
2,KMT2A;CREBBP,7502.5,0.6102576167208915,0.7932264528080641
3,KMT2A;ELL,7607.0,0.7331686864449967,0.8709567690483487
4,KMT2A;EP300,7575.0,0.6940401980947687,0.8452761278310204
5,KMT2A;BRD4,6935.0,0.1551132120036548,0.3898576821936028
6,KMT2A;DNMT3A,7381.0,0.4810652737188512,0.7092007490470826
7,KMT2A;AFF4,7561.0,0.6784049502274347,0.8357635575467915
8,KMT2A;KAT6A,8092.5,0.6620135411515228,0.8253005431448251
9,KMT2A;TP53,7284.5,0.3905527311748016,0.6415882565620652
10,KMT2A;ATM,6953.0,0.1642965636116248,0.4027547843099472
11,KMT2A;NPM1,7278.0,0.3848253763685051,0.6384659517196196
12,KMT2A;RUNX1,7621.5,0.7501938221282891,0.8816156822888418
13,KMT2A;KMT2D,7326.5,0.42765077588786227,0.6697987068050948
14,KMT2A;MLLT10,7396.5,0.4971996923107669,0.7209689365684379
15,KMT2A;NUP98,7029.5,0.20475477650153295,0.456994095766281
16,KMT2A;PHF6,7290.0,0.39486465257744585,0.6446769837999116
17,KMT2A;MEN1,7536.5,0.6494952306744416,0.817256225375557
18,KMT2A;SMARCB1,7418.5,0.5194127973214275,0.7329981023168827
19,KMT2A;MAX,7644.5,0.7789646564555129,0.8950535827123591
20,KMT2A;AFDN,7470.5,0.5753553553464015,0.7701488678100851
21,KMT2A;RBM15,7207.5,0.32640840363143353,0.5901403877405119
22,KMT2A;ABL1,7679.0,0.8213583907280586,0.915800296282156
23,KMT2A;SET,6986.0,0.18115422792361335,0.4239075168962067
24,KMT2A;KDM5C,7275.5,0.38260183412536364,0.6366335361462014
25,KMT2A;ASXL1,7265.5,0.37323728664821587,0.6308292760265597
26,KMT2A;KDM6A,7514.5,0.6236150153829956,0.8018130375214042
27,KMT2A;PSIP1,7089.5,0.24194122628825843,0.5029849434833258
28,KMT2A;AFF1,7548.0,0.6626384716469653,0.8256775309886742
29,KMT2A;ETV6,7660.5,0.7983622399357064,0.9049401524177146
30,KMT2A;ZNF384,8123.0,0.6278111245512571,0.8046039944186324
31,KMT2A;KDM5A,7529.5,0.6414544711409053,0.8123291843288238
32,KMT2A;SETD2,7028.5,0.20388082180174905,0.45584435351242814
33,KMT2A;CREB1,7510.5,0.6199060876283601,0.7995524454864666
34,KMT2A;PBX1,7745.5,0.9053878484737619,0.9576087404279847
35,KMT2A;CBFB,8444.5,0.31680275991895046,0.5797105542476864
36,KMT2A;CHD4,7313.0,0.4162140446575212,0.6616007167483727
37,KMT2A;MLLT6,7549.0,0.6644614775926554,0.8265285404911282
38,KMT2A;SETD1B,8409.5,0.34428671629794594,0.6071255346290686
39,KMT2A;FBXW7,7140.0,0.27555157049817725,0.5327768542654289
40,KMT2A;DEK,7427.0,0.5285250808991706,0.7375438577824349
41,KMT2A;TET2,7240.5,0.35181601751939073,0.6124029739988199
42,KMT2A;MRTFA,8231.0,0.5101724956337965,0.7277964485413853
43,KMT2A;CTNNB1,7342.5,0.4437626437756398,0.6816875895983425
44,ACVR1;ACVR2A,6215.0,0.009973035232228743,0.060788024272632336
45,ACVR1;SMAD2,5397.5,0.00010390576737431882,0.004147713921431257
46,ACVR1;SMAD3,5313.5,5.920592321712097e-05,0.004147713921431257
47,ACVR1;SMAD4,5435.5,0.00013324454703895526,0.004169820225226848
48,ACVR1;TGFBR2,5230.5,3.332307750479112e-05,0.004147713921431257
49,ACVR1;BMPR1A,5094.5,1.259473473637364e-05,0.004147713921431257
50,ACVR1;FBXW7,5463.0,0.00015941541751087824,0.004241936931334891
51,ACVR1;ACVR1B,6934.5,0.15529453970096052,0.3898576821936028
52,EZR;MYH9,8337.0,0.4072578534550195,0.6546813845179592
53,EZR;CDH1,8526.5,0.2573892444223298,0.5167972280165994
54,EZR;ERBB2,8005.0,0.7671558774842087,0.8885274358150451
55,EZR;EGFR,7874.0,0.9315824402974945,0.9677549311150498
56,EZR;TSC1,8058.5,0.7025111694568164,0.8505183961348821
57,EZR;FADD,8119.5,0.631634268535219,0.8069216905989411
58,EZR;PRKACA,7990.0,0.7857754889672638,0.8988316585148325
59,EZR;LASP1,7834.0,0.982739247172442,0.9916485899729806
60,EZR;FES,8363.0,0.3845432161925053,0.6383155583277168
61,EZR;HSP90AA1,8293.0,0.44820966228109804,0.6859107921610981
62,EZR;HSP90AB1,8085.5,0.6704744839872772,0.8303322399751802
63,EZR;SRC,7840.0,0.9750348879606513,0.9885928473548709
64,EZR;FLNA,7815.5,0.9948746009369099,0.9974196087954467
65,EZR;RAC1,7845.0,0.9686151380760795,0.9846477452926011
66,EZR;MSN,7955.5,0.8284044267777289,0.9190532318747501
67,EZR;CLTC,7885.5,0.9169674103405008,0.9629311365231478
68,EZR;JAK2,8228.0,0.513150251413623,0.7294152856129065
69,EZR;NF2,8112.5,0.6392272746062632,0.8113975993770483
70,EZR;CTNNB1,8002.0,0.7708870252321423,0.8903545159459888
71,EZR;RHOA,8010.0,0.7608203319012915,0.886123771459193
72,EZR;FAS,7422.5,0.5239904533208526,0.7347645734935438
73,PATZ1;FUS,7111.5,0.25672116556245095,0.5162656589472698
74,PATZ1;NCOR1,7553.0,0.669438147100231,0.8295070941803443
75,PATZ1;EWSR1,7253.5,0.36456273790924165,0.6238260384721724
76,PATZ1;TP53,7300.5,0.40574216460697443,0.6544170461694158
77,ZMYM3;KMT2C,8386.5,0.3645152100829202,0.6238260384721724
78,ZMYM3;KMT2D,8411.0,0.344127539659025,0.6071255346290686
79,ZMYM3;ZMYM2,8940.0,0.07289580922253856,0.24815594628949297
80,ZMYM3;KDM6A,8235.0,0.506648001554555,0.7263932352143475
81,ZMYM3;CHD4,8515.5,0.2655241768652722,0.5232809028291738
82,PBX1;MLLT1,8226.5,0.5153056106789704,0.7298380986656511
83,PBX1;RARA,8603.0,0.2098376728322504,0.46259574199610887
84,PBX1;SMAD2,8339.0,0.4060682243610393,0.6544170461694158
85,PBX1;TCF3,8347.0,0.39881250643184185,0.648315536859742
86,PBX1;EP300,8410.5,0.34436927874998624,0.6071255346290686
87,PBX1;EPAS1,8270.0,0.47130338417468176,0.7026001240257989
88,PBX1;NCOR1,8373.5,0.3754706369837494,0.6321101571800769
89,PBX1;RUNX1,8394.0,0.3580088528175739,0.6176757727852616
90,PBX1;PRKACA,8058.5,0.7029557670045135,0.8505183961348821
91,PBX1;NUP98,8173.5,0.5716520266815942,0.7685838646041901
92,PBX1;EZH2,8581.5,0.22264343569319656,0.47876286885727276
93,PBX1;FOXO3,8271.0,0.47032968415913645,0.7024760743567032
94,PBX1;SMAD4,8157.0,0.5897135927830688,0.7803912109199567
95,PBX1;SMARCA4,8261.0,0.4802389262285045,0.7086696373021922
96,PBX1;ABL1,8386.0,0.36474930469741873,0.6238260384721724
97,PBX1;GATA3,8553.0,0.24044964364364652,0.5010590864694628
98,PBX1;AFF1,8402.0,0.35138072907829365,0.6121365542296235
99,PBX1;ETV6,8440.5,0.32039827559969336,0.5836791203624424
100,PBX1;EWSR1,8199.0,0.5441969622111571,0.7494051765791082
101,PBX1;FOXP1,8372.5,0.37635789367185857,0.6323093840498618
102,TMSB4X;B2M,5208.5,2.846442474460145e-05,0.004147713921431257
103,CREBBP;MAPK1,7902.5,0.8946689642523449,0.9543703750864873
104,CREBBP;CCND1,6625.5,0.05293456584675708,0.2013558522551235
105,CREBBP;RARA,8715.0,0.14979799839267938,0.38129079459436616
106,CREBBP;NOTCH2,8565.0,0.2307037925590092,0.48810058590996985
107,CREBBP;MDM2,7359.0,0.4554399840575877,0.6915608997389758
108,CREBBP;CDH1,8333.0,0.4088197034976896,0.6565736768846206
109,CREBBP;ATF1,7809.0,0.986539509853987,0.9939291363949992
110,CREBBP;SMAD2,7877.5,0.9270464864246272,0.9662857346631931
111,CREBBP;KMT2C,7936.0,0.8519819344234564,0.9293028343093517
112,CREBBP;MAML2,8571.5,0.22757890531314384,0.484693841598709
113,CREBBP;PML,8004.0,0.7671044300366427,0.8885274358150451
114,CREBBP;CTCF,7263.0,0.36964627040819553,0.6268926480589471
115,CREBBP;KMT2D,8114.5,0.6346743410055253,0.8088339643940734
116,CREBBP;AKT1,7837.0,0.9786825590884548,0.9902874906191479
117,CREBBP;EGFR,7187.5,0.3083460272997728,0.5710515587427443
118,CREBBP;KAT6A,8166.0,0.577781811942397,0.7711790607781732
119,CREBBP;CCNC,7163.0,0.2912600417594029,0.5501174718096654
120,CREBBP;BCL6,8020.5,0.7468000777662314,0.8802223426514643
121,CREBBP;KDM6A,7770.5,0.9368812963727033,0.9694487141124173
122,CREBBP;NSD1,8163.0,0.5819395060020814,0.774507478744647
123,CREBBP;TCF12,7376.5,0.4761570723572931,0.7056926849585106
124,CREBBP;EPAS1,7654.0,0.7893193856303152,0.9003410601199413
125,CREBBP;STAT5B,8145.0,0.6002880984417165,0.7876665976477675
126,CREBBP;FOXO3,7560.5,0.6754196843890485,0.8334897045244465
127,CREBBP;NCOR2,8257.0,0.4807253217409998,0.7089037002632256
128,CREBBP;NCOA2,7946.0,0.8395197898814414,0.9252727058656592
129,CREBBP;PPARG,7541.5,0.6528730859427775,0.819693526244978
