,Gene,U,pval,adj_pvals
0,KMT2A,7405.5,0.5072090567811756,0.6910830779567508
1,ACVR1,5233.5,3.4341655142343786e-05,0.002199042020012974
2,EZR,7996.5,0.7779924035922308,0.8894039371163609
3,PATZ1,7287.5,0.39409429137149676,0.5982928583286844
4,ZMYM3,8520.0,0.2624824590498692,0.4918687728720952
5,PBX1,8337.0,0.4080184259913163,0.6043291781192138
6,TMSB4X,5208.5,2.846442474460145e-05,0.002199042020012974
7,CREBBP,7477.5,0.5837934432949394,0.7405504564999512
8,FUS,7047.5,0.2162085465703203,0.4606100390774684
9,PABPC1,8248.0,0.49345449369669603,0.6756310073579763
10,ZCCHC8,9105.5,0.03952920934379445,0.1662344428654213
11,CNTRL,9043.5,0.05009410361358125,0.1944824017881839
12,TSC2,8342.0,0.4034926984610143,0.6033176538893262
13,RARA,5454.0,0.0001510688483539073,0.0039047919271805336
14,MLH1,7795.5,0.9693322428757419,0.9810213264018639
15,KDM6A,5179.0,2.3386686193216898e-05,0.002199042020012974
16,SPOP,7829.0,0.9891361478443436,0.9954767641766791
17,THRAP3,9330.5,0.015562081379795962,0.0846474651984472
18,DCTN1,8649.0,0.18444583420989458,0.430069247093368
19,ASXL1,5370.5,8.742879299643851e-05,0.00294135439295161
20,EML4,6726.0,0.07982800671311274,0.26665951178635533
21,CASP9,7948.5,0.8375376931114017,0.9202211479904272
22,NACA,7792.0,0.9648457549225095,0.9810213264018639
23,KDM5C,7019.5,0.20000305036213295,0.4456086860728807
24,GNAS,9064.0,0.0463592624355459,0.1864494788837934
25,DNMT3A,7049.0,0.21710282096645006,0.4606100390774684
26,MYO5A,7427.0,0.5295042521582183,0.7025253599056924
27,APC,7455.0,0.5592896016588473,0.723697946891199
28,SUFU,8056.0,0.7059872275856478,0.8292268932489778
29,MSH2,8959.0,0.06818655963986989,0.24147270368705803
30,GOPC,6597.5,0.05028491451874419,0.1944824017881839
31,NDRG1,6908.5,0.14445614759210493,0.3717969700321389
32,BCL3,6783.5,0.09699955041431438,0.30256151155723227
33,PAFAH1B2,7736.5,0.8941707343490835,0.9498261985171533
34,B2M,9362.5,0.013503332636835041,0.07756182526767445
35,LZTR1,5736.0,0.000844974639205748,0.010066969850027838
36,PTCH1,7515.0,0.6257038682566032,0.7694687257150393
37,PBRM1,7035.5,0.20915210438225085,0.45396608831354907
38,NBN,8166.5,0.5793978222044865,0.7405504564999512
39,ATR,7528.5,0.6411049462692153,0.7822809059398974
40,SUZ12,7455.0,0.5592909823108205,0.723697946891199
41,NIN,8586.0,0.22007859425573895,0.4648296766567401
42,RALGDS,7090.5,0.24288777374424264,0.470782475035137
43,ERCC5,7634.5,0.7669596473178725,0.8789245593350801
44,CIC,7583.5,0.7053647576301947,0.8292268932489778
45,SMARCB1,7279.5,0.38702174918045606,0.5918417008571261
46,ASXL2,8407.0,0.34744401961370064,0.5683456375955347
47,DICER1,8567.5,0.23144966061300665,0.4707807827560264
48,SDC4,8418.5,0.3380918394695608,0.5606945982189011
49,ETV6,7570.5,0.68998566294589,0.8165408222299352
50,DAXX,8506.0,0.27215701344671883,0.5026582373971645
51,ATRX,7081.5,0.23712279763618282,0.4707807827560264
52,EPAS1,7509.0,0.6189106145839476,0.7651099723596831
53,FBXW7,7950.0,0.8356608709204005,0.9202211479904272
54,ARHGEF10,7781.0,0.9508222067827027,0.9796086816704022
55,EP300,5146.5,1.853104969615773e-05,0.002199042020012974
56,CRNKL1,8289.5,0.4524453785165765,0.6425851486265117
57,MAX,8289.0,0.452947493299367,0.6425851486265117
58,BRAF,7097.0,0.24711841706225335,0.4750725487196789
59,DDX5,8022.0,0.7468581652633197,0.8600738284572703
60,FIP1L1,9145.0,0.033855455667130045,0.14902728616091823
61,CCNE1,10027.0,0.0004083864552451363,0.007124074830387377
62,BCLAF1,7254.5,0.3654027807824548,0.5794771372004587
63,PCM1,7223.0,0.3392738014700357,0.5606945982189011
64,KLF6,7262.0,0.3717014516630902,0.58316641931401
65,BAZ1A,7044.5,0.21404070997192404,0.45824170180352825
66,DGCR8,9524.5,0.0063400504491237155,0.0481639316376979
67,CDKN1A,7934.0,0.8557269744087994,0.9349926296270139
68,ARHGEF10L,8093.0,0.6624145414331222,0.7994010803900112
69,NCKIPSD,7893.0,0.907542479411346,0.9584136946249865
70,STAG1,7986.5,0.7903006856177819,0.8961866813073448
71,LATS1,6461.0,0.029537357849053533,0.1350688888048953
72,ERCC2,7849.5,0.9629473044632553,0.9810213264018639
73,FANCF,7468.0,0.5733871418841223,0.735872871464364
74,KAT7,9062.0,0.046711334412500256,0.1864494788837934
75,TET2,7590.5,0.7137403658663042,0.8362480406045504
76,DDB2,6842.5,0.11756702786666537,0.33764676905609387
77,JAK1,6712.0,0.07604136939795203,0.2585762577276935
78,AFF1,7736.5,0.8942257556766234,0.9498261985171533
