,Edge,U,pval,adj_pvals
0,KMT2A;MLLT1,7040.5,0.21138252841917726,0.5215299270836445
1,KMT2A;KMT2C,7795.5,0.9692612263071702,0.9914338687390335
2,KMT2A;CREBBP,7484.5,0.5912438482117321,0.799278044754149
3,KMT2A;BRD4,6616.5,0.05374365082639093,0.2581344661175503
4,KMT2A;AFF4,7214.0,0.33153273947960427,0.6488195360525908
5,KMT2A;RUNX1,7807.0,0.9840171667257003,0.9974081272651637
6,KMT2A;KMT2D,7835.0,0.981400333969112,0.9969605463125282
7,KMT2A;MLLT10,7357.5,0.45879083439679136,0.7209784738041171
8,KMT2A;MEN1,6930.5,0.15408123728840184,0.44655025251175723
9,KMT2A;SMARCB1,6980.5,0.17874584680093542,0.4784122784954591
10,KMT2A;MAX,6828.5,0.11205886599949548,0.3809085855070833
11,KMT2A;AFDN,7479.0,0.5852227861670436,0.7946843039925582
12,KMT2A;KDM6A,7131.0,0.26956078550050655,0.585242953953701
13,KMT2A;PSIP1,6752.0,0.08674030168572197,0.32908744760764824
14,KMT2A;AFF1,7183.5,0.3065352897498306,0.6209000830920165
15,KMT2A;CREB1,7130.0,0.268965783062904,0.58516008206066
16,KMT2A;SETD1B,7968.0,0.8127099485561132,0.9262244916009718
17,ACVR1;ACVR2A,6688.5,0.06679617324743203,0.28903966211676807
18,ACVR1;SMAD2,5949.0,0.002723808076764519,0.04227530221622948
19,ACVR1;SMAD3,6077.0,0.0052395195121840805,0.06693753499239254
20,ACVR1;SMAD4,6060.0,0.004809761897651915,0.06272731141521039
21,ACVR1;BMPR1A,6706.5,0.07322724207231106,0.29702108123498955
22,ACVR1;ACVR1B,7200.0,0.32015458116361983,0.6363390370096144
23,EZR;MYH9,8217.0,0.5252363701924117,0.7558573971044821
24,EZR;ERBB2,8259.5,0.48148651397809705,0.7303971512527191
25,EZR;EGFR,8234.5,0.5067403782533484,0.7446466591234651
26,EZR;PRKACA,7923.0,0.8694756801140834,0.9495843260431791
27,EZR;HSP90AA1,7981.0,0.7969240980846364,0.9176109480091643
28,EZR;HSP90AB1,8153.5,0.5934018679425164,0.800283299711423
29,EZR;MSN,8297.5,0.44441992463110347,0.7152456001429556
30,EZR;NF2,8392.5,0.3591170811816732,0.6677877822579737
31,EZR;RHOA,8308.5,0.4338180530754703,0.711537383122911
