,Edge,U,pval,adj_pvals
0,IL6ST;PIK3CA,6409.0,0.014993844037993517,0.1014640262469979
1,IL6ST;STAT3,6774.0,0.08182448835070208,0.28261707251480994
2,IL6ST;PIK3CB,6787.5,0.0749359256145434,0.2713578549058014
3,IL6ST;JAK1,6724.0,0.03725528677920628,0.1793985347983318
4,IL6ST;JAK3,7485.0,0.5697835668660705,0.7695545341264947
5,IL6ST;PIK3R1,6466.0,0.01729718118039955,0.11049015733602162
6,IL6ST;JAK2,6517.5,0.02262147256929294,0.1348670650321655
7,IL6ST;PTPN11,6909.5,0.10498632701272041,0.3139559269584219
8,CCNC;CDK4,7739.0,0.8969811519928697,0.9552085849365044
9,CCNC;MED12,7302.5,0.4047608543789313,0.6463783031663545
10,KRAS;MAPK1,8875.5,0.0907548416936793,0.2938288406979896
11,KRAS;MLH1,7264.0,0.3730119297237393,0.6188307456017512
12,KRAS;PTPN11,9277.0,0.019391045477433342,0.11979073489019676
13,KRAS;ARAF,9055.0,0.047506685088611236,0.20845223036544838
14,KRAS;MAP2K1,9217.0,0.024399414842326723,0.1397015276642975
15,KRAS;PTEN,8936.0,0.07355046389531374,0.2705295300897051
16,KRAS;LZTR1,9251.0,0.021857013610245002,0.13156240884628242
17,KRAS;NOTCH1,9114.5,0.03803976767058421,0.18153570989854817
18,KRAS;ARHGEF12,9086.5,0.04205920129799221,0.1923026121128786
19,KRAS;CTNNB1,8923.5,0.07705900991315705,0.27417635828860304
20,KRAS;ERBB2,8959.0,0.06780499739425978,0.2581966229108137
21,KRAS;LYN,8623.0,0.1983638697992126,0.4382674676269662
22,KRAS;PDGFRA,8524.5,0.2583923125795381,0.5156862518856243
23,KRAS;GNAQ,8650.5,0.1832633553965658,0.4202507047477408
24,KRAS;JAK2,8602.0,0.21023464032909245,0.4521595559135847
25,KRAS;ERBB3,9073.5,0.04425476183275683,0.19917824568741757
26,KRAS;AFDN,9207.0,0.026262662742583442,0.1459209486111589
27,KRAS;HRAS,8102.0,0.5594736051470118,0.7663091926826395
28,KRAS;PDGFRB,8871.0,0.09048202184683282,0.2934805475446495
29,KRAS;MAP2K2,9295.5,0.01753902871483972,0.11127802677861147
30,KRAS;NF1,8900.0,0.08303311929981644,0.28262200566929796
31,KRAS;MAP3K1,8923.0,0.07672904341163024,0.27417635828860304
32,KRAS;SMAD4,8959.5,0.06780583702131948,0.2581966229108137
33,KRAS;RALGDS,8943.5,0.07110279631266474,0.26494256245076264
34,KRAS;BRAF,9024.5,0.053059263660477377,0.2240913915176877
35,KRAS;AKT1,8841.5,0.10159410789198678,0.30886356136964654
36,KRAS;EGFR,8850.0,0.09864239658263055,0.30519014955878115
37,KRAS;NRAS,8495.5,0.23856190556146617,0.4901742435934721
38,KRAS;PIK3R1,9304.5,0.017224143809005287,0.11039911970413627
39,KRAS;EML4,8051.0,0.7115230049606664,0.8593366439977388
40,KRAS;STK11,8419.5,0.3366977964043585,0.5878950357397391
41,KRAS;MET,9398.5,0.011300484274556894,0.08523015850448934
42,KRAS;ARID1A,8442.0,0.31929472538962766,0.5755288059903703
43,KRAS;FGFR1,8747.5,0.13715819694928058,0.3594999162799744
44,KRAS;PIK3CA,9222.5,0.02439753979691451,0.1397015276642975
45,KRAS;RAF1,8925.0,0.07616041440041632,0.27417635828860304
46,KRAS;TP53,8449.0,0.3136346950000155,0.5723722627945866
47,KRAS;SRC,8830.5,0.1053716716902697,0.31460731229622657
48,KRAS;PIK3CB,9186.0,0.02839758012013368,0.151507543936395
49,MLLT6;MLLT1,8524.0,0.23585492270936592,0.48835230964519205
50,MLLT6;MLLT10,8534.0,0.24926423371701967,0.5035259385909545
51,MLLT6;AFF1,7945.5,0.8343519741576856,0.9233429625622472
52,STAG2;RAD21,6569.0,0.026141603029969075,0.1456793189622609
53,STAG2;STAG1,7360.0,0.08207802907111532,0.28262200566929796
54,STAG2;CTCF,7047.0,0.2005557119982877,0.4404931335073613
55,STAG2;SMC1A,6944.0,0.14617338341800898,0.37399674939921096
56,CCND3;CCND1,7796.0,0.9699138874136097,0.9921014600015027
57,CCND3;CDKN1B,7560.5,0.6773310446962957,0.840297702813527
58,CCND3;CDK4,7537.0,0.6495820646615227,0.8231546001581238
59,CCND3;CREBBP,7966.5,0.8148347766212672,0.9169406044540037
60,CCND3;CDKN2C,7592.0,0.7111580515702306,0.8593366439977388
61,CCND3;RB1,7776.5,0.9448847109258246,0.9798417929976249
62,CCND3;CDKN1A,7980.5,0.7970858003584956,0.907473063627998
63,BUB1B;TRIM33,10083.0,0.00027891695211850024,0.014673039003957819
64,BUB1B;BRCA2,10452.0,2.3470219149566696e-05,0.007346178593814376
65,BUB1B;JUN,10354.0,4.645812534314609e-05,0.007986150257157562
66,BUB1B;BRCA1,10159.0,0.00016821523434384044,0.013386331228808706
67,BUB1B;KNL1,7820.0,1.0,1.0
68,TRRAP;TP53,8382.0,0.3638008352551494,0.6067655138624961
69,TRRAP;MAX,9006.0,0.05566313641149211,0.22924423285259252
70,TRRAP;TFPT,7820.0,1.0,1.0
71,TRRAP;CTNNB1,9101.5,0.03815883341099931,0.18153570989854817
72,CHIC2;ETV6,7443.5,0.5441106773523647,0.7546848829365939
73,ZRSR2;SF3B1,8408.0,0.34490106073107785,0.5926113376513853
74,ZRSR2;SRSF2,7558.0,0.6744625936992947,0.8389794393293887
75,STRN;SRC,9436.5,0.008735866051470316,0.072272935879565
76,STRN;PPP2R1A,8166.0,0.5628517516022675,0.7680000823140642
77,SMAD2;MAPK1,9011.5,0.04177236794392819,0.1918056405836116
78,SMAD2;ACVR2A,9259.5,0.015444571911814064,0.10322030622913456
79,SMAD2;CDH1,9133.0,0.022309103855237045,0.13385462313142227
80,SMAD2;TRIM33,7952.5,0.8242981108035703,0.9200649419980952
81,SMAD2;SMAD3,9349.5,0.002345804814141846,0.032055627507455955
82,SMAD2;ZEB1,9377.5,0.009111666917699653,0.0743862094555387
83,SMAD2;ACVR1B,10231.0,6.800069542009054e-05,0.009074305782341092
84,SMAD2;ACVR1,10471.0,1.0765154835128086e-05,0.0067389869267901826
85,SMAD2;SKI,10155.5,0.00011300195208062206,0.011169350842495169
86,SMAD2;JUN,9633.0,0.0019033772316008125,0.028146003472018316
87,SMAD2;SMAD4,9021.5,0.006569718674798868,0.06018503254279159
88,SMAD2;EP300,9266.0,0.013309727722845407,0.09504056526047025
89,SMAD2;TP53,8753.5,0.10778672944835647,0.31916105850027576
90,SMAD2;LEF1,9840.0,0.0007382079746909,0.017979070630395597
91,SMAD2;BMPR1A,9976.5,0.0002836345637205785,0.014673039003957819
92,SMAD2;CREBBP,9704.5,0.0011806307728961846,0.02240202404310553
93,SMAD2;CTNNB1,9157.0,0.015337171008600447,0.10286859697911299
94,SMAD2;TGFBR2,9828.5,0.0007713391221832079,0.018336390777975498
95,SMAD2;DROSHA,8496.5,0.2661115620698802,0.5221707336829485
96,SMAD2;AKT1,9412.0,0.005476134844309807,0.05384388082520323
97,SMAD2;FOXO3,9538.0,0.003245081557094089,0.04009383660672828
98,SMAD2;WWTR1,10541.0,9.423509696570734e-06,0.0067389869267901826
99,MED12;THRAP3,8127.5,0.6210566869503222,0.8071587945278237
100,MED12;QKI,7924.5,0.8669721491036069,0.940910414403444
101,MED12;CTNNB1,8808.5,0.11109026253959671,0.3229528065779607
102,PBRM1;ARID1A,8232.5,0.49005253541499894,0.713687245968906
103,PBRM1;SMARCE1,7134.0,0.1692150663804598,0.4016733772773272
104,PBRM1;ARID2,7900.5,0.5202646750516005,0.7351383092872302
105,PBRM1;SMARCB1,7995.5,0.7527153610604673,0.8835797223114532
106,PBRM1;SMARCA4,7525.5,0.6296905989978071,0.812960267454788
107,PBRM1;KDM5C,8181.5,0.550340437479132,0.7591575863260109
108,PBRM1;SMARCD1,8671.0,0.12632327964813742,0.3456322685615008
109,PBRM1;SS18,8000.0,0.33208883480387963,0.5850495607520506
110,PBRM1;SETD2,7693.5,0.8374230301376853,0.9236746660958388
111,PBRM1;ARID1B,8293.0,0.34222040435303624,0.5898051481986634
112,SET;NUP214,8555.5,0.20432588185996015,0.4446396363070743
113,SET;XPO1,8975.5,0.048657895243800625,0.21300589106726708
114,MSI2;NUP98,8289.0,0.44702976507154235,0.6814301126658738
115,TFG;TPM3,7801.0,0.9759250305860767,0.9923049309370071
116,TFG;TPR,9574.5,0.004598499965105376,0.04906808485493122
117,SIRPA;PTPN6,6621.0,0.054350265173803286,0.22581813716018267
118,SIRPA;PTPN11,6759.0,0.08893299058718289,0.2914394866212703
119,CXCR4;CD74,7371.0,0.47227387562430023,0.6997350546079785
120,CXCR4;GNA11,7341.0,0.4404816474810547,0.6755916069527185
121,CXCR4;ACKR3,7820.0,1.0,1.0
122,CXCR4;GNAQ,7103.5,0.2493499056920062,0.5035259385909545
123,CXCR4;FLNA,7649.0,0.7844420255475536,0.9028975694348577
124,CXCR4;SRC,7446.5,0.5491423350278957,0.7583009596929323
125,CXCR4;JAK2,7269.0,0.37614367150054595,0.6225406291835881
126,CXCR4;JAK3,7558.0,0.6745787824213935,0.8389794393293887
127,CXCR4;PTPRC,7139.5,0.2727068863631327,0.5296210264632504
128,CXCR4;HIF1A,7509.5,0.6189203471886646,0.8054971670272433
129,NBN;MLH1,7496.5,0.5783289179843027,0.775565140855392
130,NBN;MSH6,6806.5,0.08186564826840075,0.28261707251480994
131,NBN;BRIP1,6864.5,0.10301153892960767,0.3105227449595557
132,NBN;BARD1,7534.5,0.6312940612045517,0.812960267454788
133,NBN;WRN,7674.0,0.7962511282790782,0.907473063627998
134,NBN;ATR,6756.0,0.06956561991775496,0.26233781968984704
135,NBN;CHEK2,8089.0,0.6458408816293735,0.8215831980974811
136,NBN;RAD17,7337.0,0.3856758489136456,0.6307769751801873
137,NBN;ATM,7915.5,0.8713479127705568,0.940910414403444
138,NBN;BLM,6615.5,0.04306896047809399,0.1953707917339626
139,NBN;BRCA1,8189.5,0.544112530083146,0.7546848829365939
140,NBN;FANCD2,6800.0,0.08335571657870068,0.28262200566929796
141,NBN;BRCA2,9217.5,0.02251273321117404,0.1346462196515441
142,B2M;CALR,9433.0,0.006250527335927572,0.058692451684359895
143,B2M;TFRC,9026.0,0.040864552268409064,0.18902371714303504
144,B2M;HLA-A,9232.0,0.008664768742185589,0.07209177661500153
145,PICALM;MLLT10,7859.0,0.9495326856550481,0.9832544195863709
146,PICALM;EPS15,7866.5,0.936422551821991,0.9753752370059341
147,PICALM;CLTC,7336.0,0.4230385282013003,0.6640630585616394
148,ARHGAP26;RHOA,6487.5,0.03205625561768683,0.1627071568919348
