,Gene,U,pval,adj_pvals
0,IL6ST,6536.0,0.039367261670280145,0.17614440372822848
1,CCNC,7549.0,0.6644515287802034,0.8079573323333242
2,KRAS,8890.0,0.08666851987959195,0.26000555963877586
3,MLLT6,8564.0,0.2326214062331884,0.4405870873817531
4,STAG2,6750.5,0.08471779328257603,0.25602215469954964
5,CCND3,7739.0,0.8973893550267795,0.9530414080516961
6,BUB1B,10306.0,6.824710567527934e-05,0.004674926738756635
7,TRRAP,8804.0,0.11476907198992647,0.2947342288892469
8,CHIC2,7443.5,0.5441106773523647,0.7380511168046928
9,ZRSR2,7913.5,0.8814926137424886,0.9423853302743214
10,STRN,9202.5,0.026513164087205433,0.13793557518786626
11,SMAD2,9736.5,0.002143253724589857,0.027527415025200976
12,MED12,8010.5,0.7606636862938252,0.8746599257976898
13,PBRM1,8111.0,0.6414158583890492,0.8057994204154247
14,SET,8881.5,0.08142536742953373,0.2497506211710994
15,MSI2,8289.0,0.44702976507154235,0.6632824312072344
16,TFG,9178.0,0.02933015219064773,0.1470084457360514
17,SIRPA,6647.0,0.060290668546459286,0.22059634621910237
18,CXCR4,7436.5,0.5395207397403278,0.7342484239512408
19,NBN,7496.0,0.6042008701017187,0.7964446732487533
20,B2M,9553.0,0.00439096242120061,0.04749172513456449
21,PICALM,7530.5,0.641945271474611,0.8057994204154247
22,ARHGAP26,6487.5,0.03205625561768683,0.1514381730904516
23,SDHAF2,6826.5,0.11120472118825521,0.2894810375448129
24,DAXX,8596.5,0.2138145875495261,0.4194276171608835
25,SDHD,6303.0,0.01484378016368938,0.09243626738297478
26,PCM1,8234.0,0.501958124232452,0.712043987069134
27,MAP3K1,8702.5,0.15768205012402992,0.34471980106902284
28,ETV6,7984.5,0.7927309793636694,0.8898461690976666
29,PSIP1,9070.0,0.04526725166860253,0.19180247871954267
30,DGCR8,7783.0,0.9533672165386753,0.9934569123671919
31,MAP2K2,9160.0,0.031880695265772654,0.1514381730904516
32,ASPSCR1,8738.0,0.14092364319224782,0.32683607312118884
33,TP53,8021.5,0.7474653433390414,0.8698775263075601
34,FANCA,9395.0,0.011653343878058733,0.08053677092832456
35,BRD3,8264.0,0.47731119156712176,0.6859262228464582
36,COL1A1,9074.5,0.039428917622863796,0.17614440372822848
37,TFE3,5858.0,0.0016724942404029008,0.022174036542115878
38,RANBP2,6110.5,0.006084579157618066,0.05209920903710469
39,TFPT,7820.0,1.0,1.0
40,BLM,9895.0,0.0008899153029815431,0.015902399544583227
41,PTPRB,6474.0,0.03093200445235579,0.151345878927598
