,Gene,U,pval,adj_pvals
0,IL6ST,6173.0,0.008351077074313352,0.0672998564224076
1,CCNC,7423.0,0.525326270694362,0.7177783645459225
2,KRAS,9576.0,0.004921253279225646,0.04596897949458501
3,MLLT6,8291.0,0.45103170940598936,0.6504352019854793
4,STAG2,7669.0,0.8094879628046548,0.9179336342109614
5,CCND3,7859.0,0.9508229807344943,0.9992359020316569
6,BUB1B,10440.0,2.7144299887230994e-05,0.0037187690845506462
7,TRRAP,8724.0,0.14780708887412658,0.33937828786182134
8,CHIC2,7023.0,0.20197359953306382,0.393417769706584
9,ZRSR2,8132.0,0.6177841112789546,0.8011372166493373
10,STRN,9103.5,0.03985525399193374,0.17063030615296632
11,SMAD2,9292.0,0.018413195247704708,0.10366881160009088
12,MED12,7654.0,0.7909207067484076,0.9068960750686266
13,PBRM1,7856.0,0.9546506527627885,0.9992359020316569
14,SET,8813.0,0.11185952605040905,0.28379176053529703
15,MSI2,8189.0,0.5549867271513542,0.7478673601941199
16,TFG,9140.5,0.034396674569711634,0.16631803821354685
17,SIRPA,6675.0,0.06673486071697082,0.21090769563458195
18,CXCR4,7583.0,0.704798926349929,0.8469952009643884
19,NBN,8221.0,0.5211570923643173,0.7177783645459225
20,B2M,9570.0,0.005070316466112059,0.04630889039049013
21,PICALM,7226.0,0.3417412553431025,0.5373672312692855
22,ARHGAP26,6673.0,0.06615899573893039,0.21090769563458195
23,SDHAF2,7092.0,0.24386293842264406,0.4340418869482467
24,DAXX,8981.0,0.0630256764499726,0.20889962113660274
25,SDHD,6652.0,0.06145276733969939,0.20777552079282052
26,PCM1,7715.0,0.8670560859840684,0.965745396583881
27,MAP3K1,9318.0,0.016446552868407953,0.09796424969442999
28,ETV6,9145.0,0.03386103357882059,0.16631803821354685
29,PSIP1,9055.0,0.04797631524135854,0.18959870734806114
30,DGCR8,7494.0,0.6020742536895516,0.7920487329495711
31,MAP2K2,9064.0,0.046374525406562464,0.18686205825585464
32,ASPSCR1,8551.5,0.24160182739780167,0.433617253539286
33,TP53,8296.0,0.446235703757182,0.6471695368731663
34,FANCA,9523.0,0.0063866060514083806,0.055848831641039244
35,BRD3,8009.0,0.7626833019068724,0.8854882403495045
36,COL1A1,7613.0,0.7408006187040853,0.8724041670125475
37,TFE3,7094.0,0.24516162448246814,0.4340418869482467
38,RANBP2,6026.0,0.0040657360229349165,0.04596897949458501
39,TFPT,8621.0,0.1997287843300002,0.3931009611306791
40,BLM,9793.0,0.0015790084471190983,0.025958898870637976
41,PTPRB,6888.0,0.1356526090232707,0.31858984176322436
42,NUMA1,7014.0,0.1960554485833772,0.3931009611306791
43,NDRG1,7837.5,0.9782687253890393,0.9992359020316569
44,PBX1,8592.0,0.21650658619890883,0.4081844354484015
45,MAP2K1,9308.0,0.017179980160759584,0.10087102637245984
46,NFKB2,7846.0,0.9674166127061828,0.9992359020316569
47,KDR,7855.0,0.9559267802807303,0.9992359020316569
48,CREB1,9113.0,0.0384091268333374,0.16793777796278375
49,ZMYM3,7585.0,0.7071796167777203,0.8473784912409419
50,NCOR2,6629.0,0.05651185329738658,0.19924571012041986
51,SPOP,7570.0,0.6893957582246805,0.8422160241610475
52,PML,7161.0,0.2914920145601281,0.47540959517544695
53,ELK4,6824.5,0.11090569532684738,0.2831195079461756
54,HIF1A,6807.0,0.10481867338522007,0.2743979284160857
55,EPS15,7522.0,0.6336707539636566,0.8051442983876799
56,GPHN,8036.0,0.729357707066647,0.8613966023114711
57,NSD2,8387.0,0.36415356635650276,0.5605509954027065
58,RAC1,9369.0,0.013118011931184911,0.08838529350355734
