,Edge,U,pval,adj_pvals
0,KMT2A;MLLT1,3545.5,0.020819769999181923,0.38253895157375384
1,KMT2A;KMT2C,3843.0,0.000775291552546108,0.3652980955391054
2,KMT2A;CREBBP,3678.0,0.005615837192535307,0.3652980955391054
3,KMT2A;BRD4,3750.5,0.00247502749300962,0.3652980955391054
4,KMT2A;AFF4,3668.0,0.0060983602753421386,0.3652980955391054
5,KMT2A;RUNX1,3778.5,0.0017975098984245297,0.3652980955391054
6,KMT2A;KMT2D,3571.5,0.016106662817880684,0.38253895157375384
7,KMT2A;MLLT10,3150.0,0.36254846570827326,0.7831250045695471
8,KMT2A;MEN1,3536.0,0.023080119483357562,0.3980308324936927
9,KMT2A;SMARCB1,3615.0,0.010896108492809807,0.3652980955391054
10,KMT2A;MAX,3394.5,0.0763289064887464,0.5775640884627863
11,KMT2A;AFDN,3413.5,0.06605142773425451,0.5480194105693253
12,KMT2A;KDM6A,3796.0,0.0014317993890790672,0.3652980955391054
13,KMT2A;MLLT3,3371.5,0.09019396987733917,0.6085514138717244
14,KMT2A;PSIP1,3675.5,0.005696536555594088,0.3652980955391054
15,KMT2A;AFF1,3631.0,0.008730296588155773,0.3652980955391054
16,KMT2A;CREB1,3614.5,0.010938021977562096,0.3652980955391054
17,KMT2A;SETD1B,3611.5,0.010862493164266454,0.3652980955391054
18,ACVR1;ACVR2A,2941.0,0.8602202037530806,0.9776127636009869
19,ACVR1;SMAD2,2647.5,0.3927813831289093,0.7990214994529844
20,ACVR1;SMAD3,2666.5,0.430847341870935,0.8121245197682245
21,ACVR1;SMAD4,2666.5,0.4308306982081467,0.8121245197682245
22,ACVR1;BMPR1A,2834.0,0.8411056534423486,0.9761091286771778
23,ACVR1;ACVR1B,2910.5,0.9464644072916988,0.9973586034759312
24,EZR;MYH9,3011.0,0.6743779720164629,0.9314592876749446
25,EZR;ERBB2,3178.5,0.3124583962873849,0.770057153305006
26,EZR;EGFR,3176.0,0.3166118778859054,0.770057153305006
27,EZR;PRKACA,3174.5,0.3193492414060888,0.770057153305006
28,EZR;HSP90AA1,3251.5,0.20508430801174682,0.7441647528299068
29,EZR;HSP90AB1,3244.0,0.21465380578081295,0.7474020926715914
30,EZR;MSN,3180.0,0.3102802018863152,0.7689752840073424
31,EZR;NF2,3112.0,0.4379009020043281,0.8157537437981105
32,EZR;RHOA,3146.5,0.3694040300234387,0.7839107711523442
33,ZMYM3;ZMYM2,3396.5,0.07587974212813577,0.5775640884627863
34,CREBBP;CCND1,3032.5,0.614723713288355,0.9060298855116131
35,CREBBP;RARA,3474.0,0.04001336279829757,0.49166419538408135
36,CREBBP;MDM2,3055.0,0.5625658729782144,0.885512014631841
37,CREBBP;SMAD2,3199.5,0.2754516602905561,0.7689752840073424
38,CREBBP;MAML2,3137.0,0.3875192547864703,0.7944900090701944
39,CREBBP;KMT2D,3035.0,0.6124868004983043,0.9060298855116131
40,CREBBP;AKT1,3094.0,0.4713389341895172,0.8302939885904336
41,CREBBP;KAT6A,2887.5,0.9915534977956543,0.9997228768377935
42,CREBBP;TCF12,3420.5,0.061849316472036585,0.5404255830401063
43,CREBBP;EPAS1,2712.5,0.5302264355523962,0.8672163929943224
44,CREBBP;STAT5B,2963.5,0.7994789439976369,0.9705810801555947
45,CREBBP;FOXO3,3124.5,0.408307149465989,0.8074115575130516
46,CREBBP;NCOR2,3290.5,0.15897010043350523,0.6829789231640336
47,CREBBP;NCOA2,3339.0,0.1139668838790439,0.6245007587946461
48,CREBBP;PPARG,3024.0,0.6385078227048535,0.9148122235363497
49,CREBBP;NCOR1,3226.0,0.23604105435979394,0.7481282248497158
50,CREBBP;CTNNB1,3007.0,0.6814510151371147,0.9330722494217306
51,CREBBP;STAT6,2849.5,0.885114794145654,0.982754648260304
52,CREBBP;ARNT,2706.5,0.5169296347083151,0.860528079455163
53,CREBBP;FGFR1,2981.5,0.750997082776286,0.9482724885922789
54,CREBBP;LEF1,2971.5,0.7765512223326012,0.9650440601175057
55,CREBBP;SMARCA4,3036.0,0.6097058641255276,0.9060298855116131
56,CREBBP;CCND3,2741.0,0.5981357958001693,0.9024827126194419
57,CREBBP;CDKN1A,2856.5,0.9040385841675207,0.985538257234308
58,CREBBP;TCF3,3003.0,0.6945727114400493,0.9378639771230336
59,CREBBP;BRCA1,2943.5,0.8543553083050498,0.9776127636009869
60,CREBBP;NCOA1,3269.5,0.18164837507745946,0.7258028627391347
61,CREBBP;TCF7L2,3202.5,0.27181830251787786,0.7689752840073424
62,CREBBP;CREB3L2,3050.0,0.5764742097240743,0.8916981088257514
63,CREBBP;MYC,2880.0,0.9701154293727009,0.9973586034759312
64,CREBBP;HIF1A,3037.0,0.6035522563061252,0.9025138934917352
65,CREBBP;CREB1,2884.5,0.9831124584178899,0.9973586034759312
66,CREBBP;SMAD3,3142.5,0.3707408016844478,0.7839107711523442
67,CREBBP;RUNX1,3040.0,0.5989652936387589,0.9025138934917352
68,CREBBP;SRC,3035.0,0.6125380619708919,0.9060298855116131
69,CREBBP;NFE2L2,3286.0,0.16311879970566157,0.6852383765413048
70,CREBBP;STAT3,2864.5,0.9266214373391101,0.9944409396261934
71,CREBBP;SMAD4,3197.5,0.27698666498863955,0.7689752840073424
72,CREBBP;JUN,2898.5,0.9801563318131084,0.9973586034759312
73,CREBBP;TP53,3165.0,0.3324193920267947,0.771779023371297
74,CREBBP;EP300,2769.0,0.6570850716017119,0.9223925020087285
75,FUS;DDX5,2390.0,0.07620163190927001,0.5775640884627863
76,FUS;SFPQ,2771.5,0.6705006929544186,0.9289671334379049
77,FUS;CREB3L2,2792.5,0.7288220517566408,0.943138985846694
78,FUS;PABPC1,2546.0,0.22482869635386515,0.7474020926715914
79,FUS;SMARCA4,2657.0,0.40929826489200316,0.8074115575130516
80,FUS;NONO,2831.0,0.8324427538164824,0.9761091286771778
81,FUS;SRSF2,2609.0,0.3203107926776404,0.770057153305006
82,FUS;EWSR1,2842.5,0.8650339891416272,0.9776127636009869
83,FUS;DROSHA,2707.5,0.5168028712615858,0.860528079455163
84,FUS;HNRNPA2B1,2712.0,0.5255499117520595,0.863905624167683
85,PABPC1;DDX6,2795.5,0.7379258138504475,0.9459099294905873
86,PABPC1;LARP4B,3022.0,0.6206905356000756,0.9086206947056952
87,PABPC1;RPL5,2703.0,0.5089508510539431,0.855211430061583
88,PABPC1;EIF4A2,2698.5,0.49906092044553774,0.8509573023381849
