,Gene,U,pval,adj_pvals
0,KMT2A,3624.0,0.01003650106773689,0.40915673615637765
1,ACVR1,2579.0,0.2735819519978646,0.8280596751208925
2,EZR,3123.0,0.4158344220421486,0.9016844255672227
3,ZMYM3,3492.0,0.034805028549525135,0.5875088819159843
4,CREBBP,2935.0,0.8784830467770433,0.9614960776790688
5,FUS,2497.0,0.1666458306286781,0.74813340984364
6,PABPC1,2720.0,0.5489939679796959,0.9300842428316539
7,CNTRL,3758.0,0.002322563944151049,0.3267073281439143
8,TSC2,2680.0,0.45938547442562494,0.9016844255672227
9,RARA,2277.0,0.03105934738312222,0.5800124534586991
10,MLH1,3019.0,0.6540570662729217,0.9300842428316539
11,KDM6A,3058.0,0.5584070311775505,0.9300842428316539
12,SPOP,3230.0,0.23414477672472978,0.809910621129803
13,THRAP3,2943.0,0.8563591121268375,0.9611265530294583
14,DCTN1,2363.0,0.0637332526030011,0.5976762799659214
15,ASXL1,2753.0,0.6288962958130533,0.9300842428316539
16,NACA,2986.0,0.7397791783726153,0.9300842428316539
17,EML4,2604.0,0.31394358327294836,0.8550395169379235
18,CASP9,2578.0,0.27204483587709294,0.8280596751208925
19,KDM5C,2711.0,0.5281050911289136,0.9300842428316539
20,GNAS,2899.0,0.9789695789469363,0.9883377088890122
21,DNMT3A,2702.0,0.5076289324761137,0.9300842428316539
22,APC,3237.0,0.2246129120082646,0.809910621129803
23,SUFU,2992.0,0.7239127149326242,0.9300842428316539
24,MSH2,2354.0,0.05933886829582428,0.596214343353282
25,NDRG1,2739.0,0.5943882662537736,0.9300842428316539
26,BCL3,2362.0,0.06323208280066932,0.5976762799659214
27,B2M,3292.0,0.1592301497437114,0.7464456547133493
28,LZTR1,3222.0,0.24538515718739207,0.8215754330071525
29,PTCH1,2999.0,0.7055510920018305,0.9300842428316539
30,PBRM1,2617.0,0.33640654739664166,0.8656314817157487
31,ATR,2980.0,0.7557571643942523,0.9300842428316539
32,NBN,2977.0,0.7637859931076117,0.9300842428316539
33,SUZ12,2788.0,0.7186497570909622,0.9300842428316539
34,NIN,3607.0,0.011909381356277143,0.4188132443624129
35,LIFR,2936.0,0.8757120031674661,0.9614960776790688
36,RALGDS,3239.5,0.2212765110506404,0.809910621129803
37,ERCC5,3157.0,0.35073143010998775,0.8803290754294225
38,SMARCB1,2568.0,0.2569987183968492,0.8216171148747754
39,ASXL2,2972.0,0.7772235955682667,0.9300842428316539
40,DICER1,3188.0,0.29735170286798307,0.847854179799249
41,POU5F1,3151.0,0.3617250935148012,0.8926783009546555
42,SDC4,3361.0,0.09890518152078721,0.7058009872574872
43,ETV6,3134.0,0.3940299725445824,0.8936089752757437
44,DAXX,3209.0,0.26444801271007945,0.8280596751208925
45,ATRX,3089.0,0.4875774103889746,0.9226801219020059
46,EPAS1,2909.0,0.9509542619975224,0.9811801920854633
47,FBXW7,3404.0,0.07165249830510234,0.6299448809323581
48,EP300,2313.0,0.04237892671439766,0.596214343353282
49,CRNKL1,3110.0,0.4425006747883897,0.9016844255672227
50,CSF3R,2452.0,0.12326161093372369,0.7430914259147343
51,MAX,3235.0,0.22730755626721366,0.809910621129803
52,BRAF,2874.0,0.9537536398326218,0.9816683805106498
53,DDX5,2443.0,0.11575131415455034,0.7387704743827127
54,BCLAF1,2649.0,0.39598312411508074,0.8936089752757437
55,PCM1,3156.0,0.3525488477430626,0.8803290754294225
56,KLF6,2816.0,0.7934367948326906,0.9300842428316539
57,DGCR8,3005.0,0.6899474210699591,0.9300842428316539
58,CDKN1A,3130.0,0.40187756564127786,0.8973139296329061
59,NCKIPSD,2681.0,0.46152115522513826,0.9016844255672227
60,STAG1,2716.0,0.5396598769181731,0.9300842428316539
61,LATS1,2619.0,0.33995199155818223,0.8687446135792234
62,ERCC2,2610.0,0.3241855988390231,0.8550395169379235
63,FANCF,3696.0,0.00468935837683183,0.40113484740379163
64,KAT7,2863.0,0.9229994392069653,0.9694389442233934
65,MLLT3,3030.0,0.6264031349339125,0.9300842428316539
66,TET2,2752.0,0.6264031349339125,0.9300842428316539
67,DDB2,3513.0,0.02893068824361295,0.5800124534586991
68,JAK1,2482.0,0.15106391753448045,0.7464456547133493
69,AFF1,2809.0,0.7745305942306622,0.9300842428316539
70,SIRPA,2823.0,0.8124651838902046,0.9393433084977161
71,RPL5,3021.0,0.6489921611998986,0.9300842428316539
72,CDC73,2751.0,0.6239142361389876,0.9300842428316539
73,NFATC2,3635.0,0.00896904844160467,0.40915673615637765
74,NFE2L2,2433.0,0.10783356306332852,0.7223137081384863
75,MAF,2372.0,0.06839304689595112,0.6140822508530079
76,TRRAP,3291.0,0.1602739775349542,0.7464456547133493
77,AKT1,2387.0,0.07677932877670567,0.6480175348753958
78,SGK1,2858.0,0.9090554454137644,0.9694389442233934
79,MAML2,3265.0,0.18926158141822935,0.7652961943211878
80,ACVR1B,2910.0,0.9481554892887589,0.980690236470236
81,TCF3,2981.0,0.753086690715202,0.9300842428316539
82,SETD1B,3042.0,0.596824236420217,0.9300842428316539
83,SRC,2708.0,0.5212332365222634,0.9300842428316539
84,KDM5A,3233.0,0.2300251670080783,0.809910621129803
85,ZEB1,2782.0,0.702941650778431,0.9300842428316539
86,FLNA,2788.0,0.7186497570909622,0.9300842428316539
87,NAB2,3143.0,0.3767152627163539,0.8936089752757437
88,SYK,3184.0,0.30391676465764206,0.849356785996854
89,KAT6A,3368.0,0.09397583188255063,0.7058009872574872
90,WRN,2473.0,0.14226277007757152,0.7464456547133493
91,BCL9L,3159.0,0.3471144511021693,0.8771395111683561
92,MSH6,2194.0,0.014363672085938802,0.44579761760092335
93,FANCD2,3086.0,0.49421337818393374,0.9300842428316539
94,FANCA,3539.0,0.022857161233489753,0.5358734466962597
95,FEN1,2853.0,0.8951394148557361,0.9656723403669117
96,ARHGAP26,3024.0,0.6414243430169616,0.9300842428316539
97,ATF1,3066.0,0.5396598769181731,0.9300842428316539
98,FUBP1,3438.5,0.05453274851642717,0.596214343353282
99,RAD51B,3175.0,0.3190376889910762,0.8550395169379235
100,COL3A1,2477.0,0.14612452357565497,0.7464456547133493
101,JAK2,3433.0,0.05700818262796074,0.596214343353282
102,BRIP1,3111.0,0.44041532448474563,0.9016844255672227
103,NFKB2,2744.0,0.6066132307225099,0.9300842428316539
104,XPO1,3025.0,0.6389110869327355,0.9300842428316539
105,TSC1,2882.0,0.9761663078887173,0.9878709398777906
106,NUMA1,3106.5,0.4497108476481563,0.9016844255672227
107,CASP3,3006.0,0.6873593609357423,0.9300842428316539
108,DNAJB1,2854.5,0.8993109710052045,0.9656723403669117
109,MALT1,2610.0,0.3241855988390231,0.8550395169379235
110,SKI,2846.0,0.8757120031674661,0.9614960776790688
111,CTCF,3090.0,0.48537615665533007,0.9226801219020059
112,EPS15,3349.0,0.10783356306332852,0.7223137081384863
113,STAT5B,2809.0,0.7745305942306622,0.9300842428316539
114,ARHGEF12,2322.0,0.04570073938946759,0.596214343353282
115,TPR,3084.0,0.4986637749486672,0.9300842428316539
116,NSD2,2833.0,0.8398391045864537,0.9527207046652781
117,CDK6,3279.0,0.17320626049002774,0.7652961943211878
118,DDIT3,2574.0,0.265955556927307,0.8280596751208925
119,HIF1A,2511.0,0.18225128348708752,0.7652961943211878
120,LSM14A,2988.0,0.7344579037787382,0.9300842428316539
121,DDR2,3222.0,0.24538515718739207,0.8215754330071525
122,USP8,3081.0,0.5053798083432149,0.9300842428316539
123,ERCC4,3272.0,0.18110186910282922,0.7652961943211878
124,KIF5B,2997.0,0.7107803497466635,0.9300842428316539
125,EZH2,2956.0,0.8206549434825026,0.9410771362761307
126,EIF4A2,3366.0,0.09536368294024428,0.7058009872574872
127,SPEN,3065.5,0.5408131541363629,0.9300842428316539
128,PRKACA,3028.0,0.6313936952229069,0.9300842428316539
129,TFRC,2575.0,0.26746900705021637,0.8280596751208925
130,NCOR2,2563.0,0.2496963435127313,0.8215754330071525
131,ERCC3,3006.0,0.6873593609357423,0.9300842428316539
132,ERC1,2967.0,0.7907171178718344,0.9300842428316539
133,ARHGAP35,3032.0,0.6214296228363023,0.9300842428316539
134,JAZF1,2766.0,0.6616843242812106,0.9300842428316539
135,RPL10,3032.0,0.6214296228363023,0.9300842428316539
136,SH2B3,2799.0,0.747754625921151,0.9300842428316539
137,CUL3,2918.0,0.9257912192465108,0.9694389442233934
138,CAMTA1,2395.0,0.08158395175567026,0.6620851469402471
139,HMGA1,2983.0,0.747753998082394,0.9300842428316539
140,ID3,3175.0,0.3190376889910762,0.8550395169379235
141,TOP1,3440.5,0.053642374852056314,0.596214343353282
142,MRTFA,3119.0,0.4239366609189976,0.9016844255672227
143,POT1,2370.0,0.06733227015126703,0.6140822508530079
