,Edge,U,pval,adj_pvals
0,REL;BCL3,2550.5,0.23203005906562335,1.0
1,REL;CREBBP,2780.0,0.6977116212794351,1.0
2,REL;EP300,2792.0,0.7291713268108269,1.0
3,REL;BIRC3,2928.5,0.8965230768145023,1.0
4,REL;STAT3,2754.0,0.6313508319579302,1.0
5,REL;TP53,2810.0,0.7772101819133553,1.0
6,REL;NFKBIE,2676.5,0.45104345537051727,1.0
7,REL;NFATC2,2512.5,0.18377218250614125,1.0
8,REL;NOTCH1,2788.5,0.7199404095518904,1.0
9,REL;STAT6,2784.0,0.7081372712180884,1.0
10,REL;MYD88,2615.5,0.333698045765651,1.0
11,REL;MALT1,2681.0,0.46142358810873974,1.0
12,REL;TNFAIP3,2715.0,0.5372638505530662,1.0
13,REL;NFKB2,2659.5,0.41659712578366115,1.0
14,REL;CREB1,2762.0,0.6514995432056865,1.0
15,REL;JUN,2846.0,0.8757040614593083,1.0
16,REL;RUNX1,2766.5,0.6629310710256597,1.0
17,REL;IKBKB,2778.0,0.6925084732905866,1.0
18,REL;BCL10,2673.5,0.4455211226865571,1.0
19,REL;MYC,2797.0,0.7424168372430145,1.0
20,AFDN;MLLT1,2498.0,0.1669996015288867,1.0
21,AFDN;KRAS,2387.0,0.0760750970726837,1.0
22,AFDN;ITGAV,2765.5,0.6602635439097742,1.0
23,AFDN;CDH1,2235.5,0.020977488380785413,0.9152519648765606
24,AFDN;ELL,2408.0,0.0891547019088685,1.0
25,AFDN;EGFR,2323.0,0.04558378619513023,1.0
26,AFDN;BAX,2375.0,0.06976101605261129,1.0
27,AFDN;BCR,2403.0,0.08595360212028577,1.0
28,AFDN;CTNNA1,2307.0,0.03989775123182664,1.0
29,AFDN;MLLT10,2263.0,0.027133935810888306,1.0
30,AFDN;USP9X,2368.5,0.06632023159736782,1.0
31,AFDN;MEN1,2299.5,0.03750552812972311,1.0
32,AFDN;RALGDS,2333.5,0.04976519119935019,1.0
33,AFDN;SRC,2323.5,0.045700420035192715,1.0
34,AFDN;MLLT6,2326.5,0.047173919870484096,1.0
35,AFDN;HRAS,2348.0,0.05590549160014239,1.0
36,AFDN;AFF1,2347.5,0.055634453527665224,1.0
37,AFDN;PTPRC,2135.0,0.007820414871508224,0.7390531869625201
38,AFDN;CTNNB1,2372.5,0.06789837849825447,1.0
39,AFDN;KMT2A,2332.5,0.04937884335748613,1.0
40,AFDN;MLLT3,2330.0,0.04828566565704611,1.0
41,AFDN;NRAS,2448.0,0.11891592167311126,1.0
42,AFDN;CTNND1,2275.5,0.03015245604414104,1.0
43,RABEP1;TSC2,3160.5,0.3439454004183019,1.0
44,RABEP1;TRIP11,3109.0,0.44375346873353927,1.0
45,DDX5;DICER1,2853.0,0.892358356258478,1.0
46,DDX5;DDX10,2713.5,0.5299094919164916,1.0
47,DDX5;CTNNB1,2931.5,0.8852662811767693,1.0
48,DDX5;DGCR8,3028.5,0.6269455447537827,1.0
49,DDX5;HNRNPA2B1,2949.0,0.8315344785718968,1.0
50,DDX5;XPO1,2707.5,0.5108776586950177,1.0
51,DDX5;DROSHA,2841.5,0.8601717156978572,1.0
52,DDX5;SRSF3,2939.0,0.8640719215743804,1.0
53,DDX5;FUS,2914.0,0.9339436802305857,1.0
54,DDX5;CTCF,3016.0,0.6533103207532722,1.0
55,DDX5;NCOA2,3099.5,0.45673012050472606,1.0
56,DDX5;TCF12,2962.5,0.7985073160638181,1.0
57,DDX5;SF3B1,2948.5,0.8383147698215655,1.0
58,DDX5;RBM10,3158.5,0.3425483247836528,1.0
59,DDX5;SMAD3,3018.5,0.6505552565210171,1.0
60,DDX5;EWSR1,2998.0,0.6982850614491809,1.0
61,DDX5;HSP90AA1,2959.5,0.8053013417819268,1.0
62,DDX5;SMAD2,3034.0,0.6110810036483416,1.0
63,DDX5;POLR2A,3006.0,0.677716779035872,1.0
64,DDX5;EZH2,2917.0,0.9263205353024866,1.0
65,DDX5;TP53,2903.5,0.9652776799038753,1.0
66,DDX5;EP300,2792.5,0.7222049821831602,1.0
67,DDX5;HSP90AB1,2996.5,0.7040314031553828,1.0
68,DDX5;SMAD4,2980.5,0.7494934971032423,1.0
69,DDX5;DDX3X,2866.0,0.9294640332088268,1.0
70,DDX5;SRSF2,2972.5,0.7696019421899629,1.0
71,DDX5;NONO,2969.5,0.7772262053462208,1.0
72,DDX5;BRCA1,2951.0,0.8315037890446351,1.0
73,DDX5;SMARCA4,3095.5,0.4581208143414891,1.0
74,DDX5;PABPC1,2904.5,0.9632434360804641,1.0
75,DDX5;SFPQ,2896.0,0.9870228787082603,1.0
76,DDX5;SUZ12,2878.0,0.9641379961331014,1.0
77,NOTCH1;CCND1,2527.0,0.20085907084008425,1.0
78,NOTCH1;KRAS,3015.0,0.6641165892732046,1.0
79,NOTCH1;NOTCH2,2629.0,0.3576255057827219,1.0
80,NOTCH1;MDM2,2575.5,0.2676879015958047,1.0
81,NOTCH1;POU5F1,2598.5,0.30420148412431725,1.0
82,NOTCH1;CDH1,2637.0,0.3725732485630078,1.0
83,NOTCH1;SMAD2,2548.0,0.22838936158508116,1.0
84,NOTCH1;AXIN1,2845.5,0.8741810085993782,1.0
85,NOTCH1;CREBBP,2771.5,0.6756625844450139,1.0
86,NOTCH1;EP300,2794.5,0.73573335715393,1.0
87,NOTCH1;BRD4,2491.0,0.16003936641662198,1.0
88,NOTCH1;EPAS1,2576.5,0.26944466968601233,1.0
89,NOTCH1;KDR,2789.0,0.7210092475961953,1.0
90,NOTCH1;PIK3CA,2546.5,0.2262668171904736,1.0
91,NOTCH1;CBL,2434.0,0.10838626982256272,1.0
92,NOTCH1;STAT3,2779.5,0.6963313322079062,1.0
93,NOTCH1;LEF1,2730.5,0.5736524855448324,1.0
94,NOTCH1;NCOR1,2572.0,0.2625830005910552,1.0
95,NOTCH1;TP53,2828.0,0.8260833891200748,1.0
96,NOTCH1;ERBB2,2784.0,0.7078614738440188,1.0
97,NOTCH1;EGFR,2638.0,0.37443004766286414,1.0
98,NOTCH1;ATM,2667.5,0.4327898137175349,1.0
99,NOTCH1;RUNX1,2778.0,0.6924740637030444,1.0
100,NOTCH1;KMT2D,2510.5,0.18137135171812535,1.0
101,NOTCH1;IL7R,2468.0,0.13733777364900857,1.0
102,NOTCH1;EZH2,2615.5,0.3332378707782113,1.0
103,NOTCH1;PHF6,2605.0,0.31532402461525966,1.0
104,NOTCH1;IKZF1,2871.5,0.9467250807763754,1.0
105,NOTCH1;SMAD3,2607.5,0.31962308296203545,1.0
106,NOTCH1;SMAD4,2627.5,0.35492355243360285,1.0
107,NOTCH1;SMARCA4,2665.5,0.42870758940128095,1.0
108,NOTCH1;ZEB1,2688.0,0.47606149797718034,1.0
109,NOTCH1;NRAS,2812.0,0.7823036373752354,1.0
110,NOTCH1;RBM15,2578.0,0.2718505170354635,1.0
111,NOTCH1;JUN,2923.0,0.9118133422796094,1.0
112,NOTCH1;PTEN,2647.0,0.39161735864483693,1.0
113,NOTCH1;ABL1,2506.0,0.1761452993792838,1.0
114,NOTCH1;SRC,2747.5,0.6149979436394568,1.0
115,NOTCH1;SPEN,2659.5,0.41668635075533045,1.0
116,NOTCH1;JAK2,2750.0,0.6211374386055348,1.0
117,NOTCH1;FANCA,2575.5,0.2679987918158917,1.0
118,NOTCH1;NFE2L2,2784.0,0.7078452790616644,1.0
119,NOTCH1;NCOR2,2480.5,0.14912055436220698,1.0
120,NOTCH1;CDKN1A,2584.5,0.2817577489673345,1.0
121,NOTCH1;FGFR1,2618.0,0.337753957992073,1.0
122,NOTCH1;TBL1XR1,2620.5,0.342226249994831,1.0
123,NOTCH1;HRAS,2757.5,0.6398490763970814,1.0
124,NOTCH1;BRCA1,2638.5,0.37546233118715255,1.0
125,NOTCH1;BRAF,2524.0,0.1972880574701098,1.0
126,NOTCH1;PIK3R1,2607.5,0.31946481115641845,1.0
127,NOTCH1;CCNC,2577.0,0.27028084694225607,1.0
128,NOTCH1;JAK3,2807.5,0.7704002826256479,1.0
129,NOTCH1;MAML2,2689.5,0.47955427222525426,1.0
130,NOTCH1;HIF1A,2532.5,0.2078508130565302,1.0
131,NOTCH1;AKT1,2564.0,0.2506344607937472,1.0
132,NOTCH1;FBXW7,2704.5,0.5126640575468842,1.0
133,NOTCH1;MYC,2853.5,0.8965049753822707,1.0
134,NOTCH1;CTNNB1,2721.5,0.5521303128784794,1.0
135,NOTCH1;B2M,2450.0,0.12147803288342002,1.0
136,LARP4B;PABPC1,2917.5,0.9271488835761893,1.0
137,NUP214;SMAD2,3168.0,0.33050842869184893,1.0
138,NUP214;RANBP2,3332.0,0.12093119392531955,1.0
139,NUP214;NPM1,3269.0,0.18274674149502512,1.0
140,NUP214;MLLT10,3298.0,0.1517078703260905,1.0
141,NUP214;NUP98,3346.0,0.10863319716388846,1.0
142,NUP214;PHF6,3232.0,0.23007355313782363,1.0
143,NUP214;SMAD3,3158.5,0.3474337902019462,1.0
144,NUP214;SMAD4,3266.0,0.186927268893458,1.0
145,NUP214;DEK,3268.0,0.18348150478627567,1.0
146,NUP214;SET,3172.0,0.3198451273989641,1.0
147,NUP214;SRSF2,3254.0,0.20168345121139197,1.0
148,NUP214;TPR,3260.0,0.19391772254679907,1.0
149,NUP214;ETV6,3227.5,0.23603173086930507,1.0
150,NUP214;ABL1,3223.0,0.2419746079177868,1.0
151,NUP214;XPO1,3185.5,0.30031921612821,1.0
152,NUP214;PSIP1,3394.5,0.07620880372077443,1.0
153,LIFR;PIK3CA,2989.0,0.7316628793433538,1.0
154,LIFR;STAT3,2941.0,0.8618099570289199,1.0
155,LIFR;EGFR,3003.0,0.6950308314676747,1.0
156,LIFR;RUNX1,2985.5,0.7409787457622946,1.0
157,LIFR;IL6ST,2964.5,0.7967043365146788,1.0
158,LIFR;JAK2,2988.5,0.7330068056423547,1.0
159,LIFR;PTPN11,2940.5,0.8631467175555873,1.0
160,LIFR;JAK1,2902.5,0.9691282922599642,1.0
161,LIFR;JAK3,2943.5,0.8548765344682171,1.0
162,LIFR;PIK3R1,2939.5,0.8659429939406937,1.0
163,LIFR;PIK3CB,2894.5,0.9915811491113584,1.0
164,LIFR;CBFB,2916.0,0.9313469539299407,1.0
165,NRAS;GNA11,2662.5,0.42263962846129854,1.0
166,NRAS;MAPK1,2750.0,0.6212486335609286,1.0
167,NRAS;STAG2,2639.5,0.37737845861801567,1.0
168,NRAS;CCND1,2732.0,0.5772348021895961,1.0
169,NRAS;MLH1,2581.0,0.27639009360693245,1.0
170,NRAS;MSH2,2552.5,0.23449947033107377,1.0
