,Gene,U,pval,adj_pvals
0,SBDS,3016.5,0.659575152721894,0.9806391826843688
1,ITK,3879.0,0.0005186990198601729,0.25001292757260335
2,IL6ST,2780.0,0.6967316932106113,0.9806391826843688
3,CCNC,2311.0,0.04164850261542906,0.836440760859867
4,KRAS,2805.5,0.765126189988245,0.9806391826843688
5,MLLT6,3270.5,0.1827360949334531,0.9806391826843688
6,STAG2,2751.5,0.6249741663333503,0.9806391826843688
7,CCND3,3576.5,0.016052556868412036,0.7121546975984537
8,TRRAP,3213.5,0.2576827559632413,0.9806391826843688
9,CHIC2,2495.5,0.16407600859312643,0.9806391826843688
10,ZRSR2,3666.0,0.006481171204077728,0.6501584799308692
11,STRN,2478.0,0.14701068155374747,0.9806391826843688
12,SMAD2,2562.5,0.24894977105267868,0.9806391826843688
13,MED12,3080.5,0.5064188085712041,0.9806391826843688
14,PBRM1,2571.5,0.26212398569435724,0.9806391826843688
15,SET,3028.0,0.6303377909510437,0.9806391826843688
16,AFF3,2733.5,0.5810334450810186,0.9806391826843688
17,MSI2,3375.0,0.08188734610761511,0.9626756298504996
18,TFG,2442.5,0.11528559153265064,0.9806391826843688
19,SIRPA,2814.0,0.787963951110093,0.9806391826843688
20,CXCR4,2972.0,0.7772142342102812,0.9806391826843688
21,NBN,2980.5,0.7542946982538805,0.9806391826843688
22,ZBTB16,3498.5,0.03286324609340044,0.720003846228137
23,B2M,3165.5,0.334519370092094,0.9806391826843688
24,PICALM,2818.0,0.7959272460682953,0.9806391826843688
25,ARHGAP26,2779.0,0.6950625689452987,0.9806391826843688
26,DAXX,2904.5,0.9635547211487518,0.9973778392521885
27,SDHD,2697.0,0.49610510376460903,0.9806391826843688
28,PCM1,2821.0,0.8063999198428351,0.9806391826843688
29,MAP3K1,2881.5,0.9747643905705018,0.9976623052654155
30,ETV6,2599.5,0.30639924953402775,0.9806391826843688
31,PSIP1,3337.5,0.11695384546538647,0.9806391826843688
32,DGCR8,2507.0,0.17758564211857175,0.9806391826843688
33,MAP2K2,2832.5,0.8384587307002245,0.9861246152876045
34,TMSB4X,2891.0,1.0,1.0
35,ASPSCR1,2504.5,0.17481362845156267,0.9806391826843688
36,TP53,2822.0,0.8097394081086696,0.9806391826843688
37,BRD3,2890.5,1.0,1.0
38,FANCA,3053.0,0.5702743754923001,0.9806391826843688
39,COL1A1,2580.5,0.2757483724866947,0.9806391826843688
