,Gene,U,pval,adj_pvals
0,REL,2663.0,0.4239348698174856,1.0
1,AFDN,2379.0,0.07220351365247218,0.6961141560450715
2,DDX5,3062.0,0.5489563865650877,1.0
3,NOTCH1,2513.0,0.18456434775646446,0.916307702979153
4,LARP4B,2707.5,0.5200042262096096,1.0
5,NUP214,3195.5,0.28528705966549583,0.9925932910472425
6,LIFR,2931.0,0.8895802265660896,1.0
7,NRAS,2720.0,0.548993453228853,1.0
8,CHD4,2667.5,0.43309712499893693,1.0
9,MAX,3486.0,0.036509364058697,0.6001045713621531
10,ERC1,2744.5,0.6073751791675932,1.0
11,ZRSR2,3780.0,0.0017893939298845153,0.25170807947042184
12,FANCA,3158.0,0.3489137544093085,1.0
13,ERCC2,2677.0,0.4530024447357116,1.0
14,CHEK2,2741.0,0.5992612111589719,1.0
15,PALB2,2890.0,0.9985978021446067,1.0
16,DDX6,2994.0,0.7186325764383359,1.0
17,GNAS,2954.0,0.8258622744803127,1.0
18,MAFB,3099.5,0.4647310229295011,1.0
19,COL3A1,3040.0,0.6007526194268322,1.0
20,MGMT,3128.0,0.4058317421903723,1.0
21,CBLB,3193.5,0.28840794026734184,0.9925932910472425
22,SMC1A,2792.0,0.7291689801445698,1.0
23,CASP3,3010.5,0.6757577600723061,1.0
24,ARID1A,2923.0,0.9118410119001891,1.0
25,SIRPA,2857.0,0.9062554396046187,1.0
26,XPC,3238.0,0.22326702697571177,0.9713266534407254
27,EIF3E,2522.5,0.19580347008174204,0.9339030257634144
28,BCL7A,2957.5,0.8165566311700958,1.0
29,KMT2D,2850.5,0.8881899897554864,1.0
30,PDE4DIP,2842.0,0.8645643993694097,1.0
31,TPR,3096.5,0.4711171709683064,1.0
32,EZR,2994.5,0.7173306864496872,1.0
33,PIM1,2891.0,1.0,1.0
34,HSP90AA1,2998.5,0.7068554938731608,1.0
35,NUP98,2820.0,0.8042630257524107,1.0
36,MLLT10,3020.5,0.6502505701532121,1.0
37,HIF1A,2628.0,0.35619718687769963,1.0
38,MLLT3,3226.5,0.23901461305919158,0.9869932422198324
39,SH2B3,2665.0,0.42800103817333857,1.0
40,FBXW7,3509.5,0.029844638092636596,0.6001045713621531
41,CDH1,2745.5,0.6103018260989125,1.0
42,NDRG1,2709.5,0.5221751257008622,1.0
43,MAP2K2,2636.5,0.3719797178221689,1.0
44,CTNND1,2503.0,0.17319463128174795,0.8983086029092563
45,NSD3,2883.5,0.9803668121983461,1.0
46,NFATC2,3699.0,0.004536630362383027,0.3828916025851275
47,NF2,2663.5,0.42494545305745757,1.0
48,BRIP1,2935.5,0.8770971796164654,1.0
49,CCND1,2640.5,0.3795664610786209,1.0
50,IL6ST,2676.5,0.45193307899727286,1.0
51,BRCA1,2828.0,0.8261256154637667,1.0
52,MED12,3081.0,0.505344429930344,1.0
53,IKBKB,2866.0,0.9313772669291577,1.0
54,MEN1,2576.5,0.26974286105347467,0.9895011534624867
55,CLIP1,3223.5,0.24317304577094123,0.9869932422198324
56,TFPT,2822.5,0.8110974147706329,1.0
57,AKT2,2794.0,0.7344751866107853,1.0
58,CD74,3407.5,0.06971695014351635,0.6961141560450715
59,POLR2A,2698.0,0.49865713644334986,1.0
60,SMARCE1,2919.0,0.922998351378769,1.0
61,LZTR1,2867.0,0.9341713993712211,1.0
62,CCDC6,2806.5,0.7677617691326755,1.0
63,BIRC6,3094.0,0.47661212984790613,1.0
64,BCOR,2963.0,0.8015674693527759,1.0
65,SET,3208.0,0.26536302978053183,0.9895011534624867
66,NCOR1,3182.0,0.3072204872335861,0.9925932910472425
67,PPP2R1A,2974.0,0.7718334435713514,1.0
68,DICER1,3287.0,0.16445293223236324,0.8897325307956062
69,TRIP11,2817.0,0.7958575788605975,1.0
70,RAC1,2479.5,0.14852022079392513,0.8645782441524184
71,POT1,2921.5,0.9159769084884409,1.0
72,STAG2,2900.5,0.9747592375479796,1.0
73,SMAD2,2375.0,0.0700044996671824,0.6961141560450715
74,BCR,2846.0,0.8756982630509837,1.0
75,ARHGAP35,2939.0,0.8674042506148627,1.0
76,KRAS,2929.0,0.8951394148557361,1.0
77,CDKN2C,3068.5,0.5338643218018161,1.0
78,MAP2K1,2888.0,0.9929890792699415,1.0
79,MLLT1,2818.5,0.8002186738384984,1.0
80,AKAP9,3228.5,0.2361724500234863,0.9869932422198324
81,ETV6,2626.0,0.35254047341648964,1.0
82,DDX3X,2590.0,0.29080131357113803,0.9925932910472425
83,NSD1,2641.0,0.37469699316108007,1.0
84,CREBBP,2917.0,0.9285837757421975,1.0
85,CUL3,2448.5,0.12028929647380646,0.8209571539801579
86,MRTFA,2476.5,0.14561385231549606,0.8645782441524184
87,NUMA1,2882.5,0.9775462230715183,1.0
88,SKI,2724.0,0.5583976536630337,1.0
89,POU5F1,3068.5,0.5338653757544861,1.0
90,ITK,3878.5,0.0005221822412124035,0.22036090579163425
91,JAK1,2536.0,0.21276303612057057,0.9436254619090034
92,FAS,2977.0,0.763782449860755,1.0
93,STAT6,2638.0,0.3747826564132193,1.0
94,BMPR1A,2679.0,0.4572315727900096,1.0
95,EGFR,2782.5,0.7042455731345871,1.0
96,SRSF2,2223.0,0.018969167839828664,0.5488771965530965
97,DGCR8,2577.5,0.2712664587675555,0.9895011534624867
98,CBFB,2853.0,0.8951272575472218,1.0
99,CIITA,3615.0,0.010875899061924137,0.47559929779335847
100,AFF1,2823.0,0.8124641169206602,1.0
101,APC,3067.0,0.5373283465596337,1.0
102,MAF,2564.5,0.25183226204002573,0.9869932422198324
103,PPP6C,3013.0,0.6691457168425217,1.0
104,PICALM,2955.5,0.8220107843672504,1.0
105,MAP2K4,3052.5,0.5714710141422215,1.0
106,KDM5A,3258.0,0.1975920836138797,0.9339030257634144
107,MYD88,2761.0,0.6489655829194184,1.0
108,PTEN,2840.0,0.8591187087434058,1.0
109,ASPSCR1,2473.5,0.14270847682911036,0.8645782441524184
110,TRRAP,2869.0,0.9397627588832597,1.0
111,FANCG,2917.5,0.9271861445430055,1.0
112,JAZF1,2829.5,0.8301987182849758,1.0
113,BCL9L,2998.5,0.706713295224076,1.0
114,RPL10,3155.0,0.35425469614545846,1.0
115,BCL6,2579.5,0.274340367192206,0.9895011534624867
116,RB1,2618.0,0.33816819517026053,1.0
117,ABL2,2927.0,0.9006817043136751,1.0
118,ERBB2,2866.5,0.9327745504658485,1.0
119,MLF1,2373.0,0.06891926301876436,0.6961141560450715
120,PRKACA,2654.5,0.4068226328253818,1.0
121,TPM4,2630.0,0.3598179260818358,1.0
122,PDGFRB,2797.0,0.7424338015949891,1.0
123,MDM4,2883.0,0.9789658128089509,1.0
124,CRNKL1,3158.0,0.34887991120563244,1.0
125,DDB2,3460.5,0.045497803497108115,0.6620714853717111
126,MET,2800.0,0.7504187017492407,1.0
127,ZEB1,2595.0,0.2989559963222741,0.9925932910472425
128,CYLD,3819.5,0.0011044187915948407,0.23303236502651137
129,BRCA2,2908.0,0.9537536100763544,1.0
130,ERCC3,2982.0,0.7504179246496435,1.0
131,SDHD,2818.5,0.800153643574722,1.0
132,ARAF,2968.5,0.7866683900874476,1.0
133,ACVR2A,2827.5,0.8247547843168614,1.0
134,DNMT3A,2524.5,0.1982945026665307,0.9339030257634144
135,DNM2,3347.5,0.10892288783534618,0.8209571539801579
136,ABL1,2636.0,0.3710483722389929,1.0
137,BCL3,2275.5,0.03064780927771467,0.6001045713621531
138,LATS1,2814.0,0.7880110243590135,1.0
139,JAK3,3397.5,0.075325518266966,0.6961141560450715
140,RAD51B,2883.0,0.9789690507258273,1.0
141,IL7R,3627.0,0.0097338483428934,0.47559929779335847
142,NAB2,2507.5,0.17706927255907468,0.8983086029092563
143,BCL10,2928.0,0.8979183492478819,1.0
144,CBL,2565.0,0.25259542691881964,0.9869932422198324
145,ARHGEF12,2755.0,0.6338915943960313,1.0
146,TRIM24,2954.5,0.8247525631850781,1.0
147,TFRC,2106.5,0.005856722144190176,0.4119227908080424
148,TRIM27,2883.5,0.9803536176313489,1.0
149,CTCF,3174.5,0.3198878852664099,0.9925932910472425
150,PTPRC,3485.0,0.036973267429895686,0.6001045713621531
151,EIF4A2,3050.5,0.5762376217878018,1.0
152,LATS2,3265.5,0.18866307139481908,0.925765303821089
153,FLI1,3358.0,0.10105976116856556,0.8209571539801579
154,DCTN1,2707.5,0.5200179422446762,1.0
155,ASXL1,2334.5,0.050674782601408334,0.6961141560450715
156,CSF3R,2895.0,0.9901848006202839,1.0
157,SND1,2778.0,0.6810305408269144,1.0
158,NT5C2,2726.5,0.5642951339748439,1.0
159,TCF12,2802.5,0.7569557813104193,1.0
160,ERCC5,2882.0,0.9761661697562369,1.0
