,Edge,U,pval,adj_pvals
0,SBDS;FANCE,75.0,0.8817538296070959,1.0
1,SBDS;RPL5,62.0,0.585304690820857,1.0
2,SBDS;RPL10,86.5,0.40949304017811505,0.9719778990798471
3,ITK;PLCG1,86.5,0.42560109059741835,0.9719778990798471
4,ITK;PIK3CA,88.5,0.36261951118365776,0.942349711104218
5,ITK;CBL,88.0,0.3772550980585788,0.9557449682802966
6,ITK;EGFR,90.0,0.3203178185952701,0.9254765641425997
7,ITK;IL7R,82.0,0.5888963053245879,1.0
8,ITK;CD28,82.5,0.5683841008758523,1.0
9,ITK;IKZF1,89.0,0.34893671090533007,0.9386650225094553
10,ITK;SRC,89.5,0.3335897871622264,0.9294674998321322
11,ITK;WAS,96.0,0.1817737647888269,0.8156511975063184
12,ITK;PTPN6,86.0,0.4416951703123061,0.974567031959239
13,ITK;PIK3R1,90.0,0.31805994852942454,0.9254765641425997
14,ITK;LYN,83.0,0.5450929358658063,1.0
15,ITK;VAV1,88.0,0.3760441366258265,0.9557449682802966
16,ITK;PTPRC,83.0,0.5512172122911096,1.0
17,ITK;PTPN11,84.5,0.4950752995294836,0.9904710206177333
18,ITK;PIK3CB,89.0,0.34640665488501265,0.9386650225094553
19,RGPD3;XPO1,66.5,0.7769148119381228,1.0
20,IL6ST;MAPK1,66.0,0.7325762182063953,1.0
21,IL6ST;PIK3CA,41.0,0.06184447149283382,0.6731903073976755
22,IL6ST;STAT3,52.0,0.21454762797293891,0.8495357243514461
23,IL6ST;PIK3CB,64.0,0.6058007953177948,1.0
24,IL6ST;JAK1,54.5,0.2718904166951076,0.9031627559952284
25,IL6ST;JAK3,52.5,0.23068312535158264,0.8639648629126377
26,IL6ST;PIK3R1,54.5,0.2718904166951076,0.9031627559952284
27,IL6ST;LIFR,59.0,0.41082673866037667,0.9719778990798471
28,IL6ST;JAK2,60.5,0.4883504271844813,0.9904710206177333
29,IL6ST;PTPN11,47.5,0.11431677554040419,0.7501700675708067
30,CCNC;CDK4,76.5,0.8180038188714361,1.0
31,CCNC;CREBBP,72.5,1.0,1.0
32,CCNC;BRD4,84.0,0.5079061659074845,0.9988093379798215
33,CCNC;CDK6,76.5,0.8178972083350833,1.0
34,CCNC;ERCC3,83.5,0.5238747322305609,1.0
35,CCNC;CCND3,74.5,0.9084726147673687,1.0
36,CCNC;MED12,76.5,0.8189200016767197,1.0
37,CCNC;MAML2,74.5,0.9066490631575151,1.0
38,CCNC;NOTCH1,47.5,0.1714880189307838,0.804237948769862
39,CCNC;POLR2A,80.0,0.6670626702242481,1.0
40,CCNC;FBXW7,72.5,1.0,1.0
41,KRAS;GNA11,67.5,0.8202687002946751,1.0
42,KRAS;MAPK1,69.5,0.9096247778787323,1.0
43,KRAS;TSC2,67.5,0.8199945008268834,1.0
44,KRAS;CCND1,79.5,0.6908122986120526,1.0
45,KRAS;MLH1,73.5,0.9547308877952795,1.0
46,KRAS;MSH2,74.0,0.9321287793259118,1.0
47,KRAS;MSH6,51.0,0.24535672880052362,0.8727087715441383
48,KRAS;MTOR,74.0,0.9321418717224578,1.0
49,KRAS;PTPN11,68.5,0.8646180471823333,1.0
50,KRAS;MUTYH,73.5,0.9545903426851872,1.0
51,KRAS;ARAF,70.0,0.9320632034822354,1.0
52,KRAS;IDH2,71.5,1.0,1.0
53,KRAS;MAP2K1,66.0,0.753626848523007,1.0
54,KRAS;TET2,64.5,0.6913787827215843,1.0
55,KRAS;AKT2,69.0,0.88712370416042,1.0
56,KRAS;PTEN,65.5,0.7335523378376128,1.0
57,KRAS;POLE,76.0,0.8426898480590134,1.0
58,KRAS;ETV6,77.0,0.7986032455093907,1.0
59,KRAS;LZTR1,80.5,0.6498578874879563,1.0
60,KRAS;NOTCH1,50.5,0.23394222829537914,0.8639648629126377
61,KRAS;TGFBR2,65.5,0.7336018246844709,1.0
62,KRAS;CASP9,67.5,0.8205416506665034,1.0
63,KRAS;ARHGEF12,55.5,0.36168524272734626,0.942349711104218
64,KRAS;CTNNB1,69.0,0.8870585877560424,1.0
65,KRAS;ERBB2,65.0,0.7111233433093285,1.0
66,KRAS;LYN,65.0,0.7119793920091331,1.0
67,KRAS;ABL1,69.5,0.9094678393901818,1.0
68,KRAS;JAK1,73.5,0.9547308877952795,1.0
69,KRAS;ASXL1,66.5,0.7762000161491756,1.0
70,KRAS;NF2,69.5,0.9096247778787323,1.0
71,KRAS;GNAQ,67.5,0.8206436869561106,1.0
72,KRAS;JAK3,68.5,0.8648254381844648,1.0
73,KRAS;NPM1,72.5,1.0,1.0
74,KRAS;BRCA1,70.5,0.9547046349834791,1.0
75,KRAS;IDH1,75.0,0.8871020112079638,1.0
76,KRAS;JAK2,71.5,1.0,1.0
77,KRAS;SMARCA4,71.5,1.0,1.0
78,KRAS;ERBB3,62.5,0.6076086756788937,1.0
79,KRAS;MYC,71.5,1.0,1.0
80,KRAS;MUC1,57.5,0.4249705099260216,0.9719778990798471
81,KRAS;PRKCB,73.0,0.9773563270846127,1.0
82,KRAS;ATM,71.5,1.0,1.0
83,KRAS;AFDN,74.5,0.9097635957365253,1.0
84,KRAS;HRAS,70.0,0.9305426049498594,1.0
85,KRAS;PMS2,74.0,0.9322072202462388,1.0
86,KRAS;PDGFRB,66.0,0.755149709811349,1.0
87,KRAS;MAP2K2,64.5,0.6909258446958787,1.0
88,KRAS;NF1,65.5,0.7333044895161096,1.0
89,KRAS;MAP3K1,60.5,0.5301060974804888,1.0
90,KRAS;CSF3R,70.5,0.9546519920453298,1.0
91,KRAS;FAT1,59.0,0.47744944622759244,0.988698424344685
92,KRAS;JUN,70.5,0.9547745412248366,1.0
93,KRAS;SMAD4,68.5,0.8647218619081826,1.0
94,KRAS;RALGDS,62.0,0.5882435862032287,1.0
95,KRAS;RUNX1,74.0,0.9321941656450612,1.0
96,KRAS;ARHGAP35,55.0,0.3500522021078185,0.9386650225094553
97,KRAS;BRAF,64.5,0.689439922664036,1.0
98,KRAS;GNAS,61.5,0.5697370578548173,1.0
99,KRAS;AKT1,63.0,0.629039414341225,1.0
100,KRAS;EGFR,74.5,0.9096247778787323,1.0
101,KRAS;NRAS,77.5,0.7752219149188235,1.0
102,KRAS;U2AF1,67.5,0.8205756821078568,1.0
103,KRAS;ARHGAP26,58.0,0.44355438688639404,0.974567031959239
104,KRAS;DNMT3A,75.5,0.8648254381844648,1.0
105,KRAS;PIK3R1,80.5,0.6488434768556278,1.0
106,KRAS;EML4,73.5,0.9547570950122256,1.0
107,KRAS;MDM2,69.5,0.9096421651537241,1.0
108,KRAS;VAV1,66.0,0.7549207867246659,1.0
109,KRAS;CSF1R,63.0,0.6297684493381117,1.0
110,KRAS;STK11,66.0,0.7539058453309647,1.0
111,KRAS;MET,81.5,0.6088650991130655,1.0
112,KRAS;ARID1A,71.0,0.9773869036998286,1.0
113,KRAS;FGFR1,72.5,1.0,1.0
114,KRAS;PIK3CA,53.5,0.30743416592739536,0.9227113765737452
115,KRAS;RAF1,66.0,0.7544610084802125,1.0
116,KRAS;CDK4,72.5,1.0,1.0
117,KRAS;CDK6,73.5,0.9547046349834791,1.0
118,KRAS;CASP3,73.5,0.95474836433119,1.0
119,KRAS;CUL3,70.0,0.9321941656450612,1.0
120,KRAS;RAP1GDS1,78.0,0.7551954175303204,1.0
121,KRAS;HSP90AA1,69.0,0.8870585877560424,1.0
122,KRAS;HIF1A,69.5,0.9095551282707521,1.0
123,KRAS;BRCA2,74.0,0.9321680338018922,1.0
124,KRAS;KMT2C,74.0,0.9321418717224578,1.0
125,KRAS;KDR,77.0,0.7979538828864685,1.0
126,KRAS;HSP90AB1,65.5,0.7333541144775237,1.0
127,KRAS;EP300,70.5,0.9548180686112865,1.0
128,KRAS;EZH2,73.5,0.9547396285938354,1.0
129,KRAS;TP53,73.0,0.9773738146112697,1.0
130,KRAS;STAT3,71.5,1.0,1.0
131,KRAS;PPP2R1A,71.0,0.9773607027673827,1.0
132,KRAS;SRC,65.0,0.712245351783,1.0
133,KRAS;PIK3CB,72.0,1.0,1.0
134,KRAS;CCNE1,71.5,1.0,1.0
135,KRAS;APC,70.5,0.9547570950122256,1.0
136,KRAS;KEAP1,71.5,1.0,1.0
137,KRAS;FBXW7,71.0,0.9773300196007381,1.0
138,MLLT6;MLLT1,75.5,0.8612763099506229,1.0
139,MLLT6;ELL,63.0,0.6193689774324203,1.0
140,MLLT6;AFF4,51.0,0.22472495256373648,0.8600110188742173
141,MLLT6;MLLT10,61.0,0.5445310615977808,1.0
142,MLLT6;LASP1,60.5,0.5244589789083851,1.0
143,MLLT6;AFDN,51.5,0.24726545949196965,0.8783811084809969
144,MLLT6;MLLT3,55.0,0.34010164746881966,0.9378357405559615
145,MLLT6;AFF1,62.5,0.6021675277481957,1.0
146,MLLT6;FNBP1,55.5,0.35435680104635103,0.942349711104218
147,MLLT6;CLP1,73.5,0.9545372997768783,1.0
148,MLLT6;KMT2A,61.0,0.547319951013578,1.0
149,STAG2;MYC,66.5,0.7523845859526344,1.0
150,STAG2;RAD21,52.5,0.20052785693243447,0.8331536482860766
