,Gene,U,pval,adj_pvals
0,ITK,92.0,0.269606104568209,0.757627281191676
1,IL6ST,49.0,0.20273017064652255,0.6767834268199701
2,CCNC,79.0,0.7128806637550735,0.9476617206803972
3,KRAS,54.0,0.3218113791981505,0.7938014020221046
4,MLLT6,76.0,0.8429288944105098,0.972905522716187
5,STAG2,69.0,0.8874476051803057,0.972905522716187
6,CCND3,48.0,0.18337811248945035,0.6673760815189832
7,EBF1,75.0,0.8874476051803057,0.972905522716187
8,FCGR2B,71.5,1.0,1.0
9,BUB1B,55.0,0.35023758481899414,0.8057279153348881
10,TRRAP,48.0,0.18337811248945035,0.6673760815189832
11,CHIC2,55.0,0.35023758481899414,0.8057279153348881
12,ZRSR2,65.0,0.7128806637550735,0.9476617206803972
13,STRN,61.0,0.5522142220341504,0.8920674626830327
14,SMAD2,62.0,0.5906933198847109,0.8920674626830327
15,MED12,76.0,0.8429288944105098,0.972905522716187
16,PBRM1,73.0,0.9774173567823232,0.9930739277147631
17,SET,47.0,0.1654297590683368,0.6673760815189832
18,AFF3,57.0,0.4117027470058471,0.8308909985027095
19,MSI2,54.0,0.3218113791981505,0.7938014020221046
20,TFG,80.0,0.6711254583898127,0.9282856807634793
21,SIRPA,76.0,0.8429288944105098,0.972905522716187
22,CXCR4,77.0,0.7989066696432697,0.972905522716187
23,NBN,88.0,0.3802071371873732,0.8275096515254593
24,B2M,129.0,0.001380570626076301,0.20432445265929255
25,PICALM,78.0,0.7555146567388422,0.9611705088597305
26,ARHGAP26,67.5,0.8208133613961223,0.972905522716187
27,SDHAF2,13.0,0.0009266124300518892,0.20432445265929255
28,DAXX,66.0,0.7555146567388422,0.9611705088597305
29,SDHD,84.0,0.5150082114768838,0.8862932011462652
30,PCM1,73.0,0.9774173567823232,0.9930739277147631
31,ETV6,73.0,0.9774173567823232,0.9930739277147631
32,MAP3K1,62.0,0.5906933198847109,0.8920674626830327
33,PSIP1,41.0,0.08421751691148897,0.624205286432708
34,DGCR8,80.0,0.6711254583898127,0.9282856807634793
35,MAP2K2,67.0,0.7989066696432697,0.972905522716187
36,ASPSCR1,68.0,0.8429288944105098,0.972905522716187
37,TP53,79.0,0.7128806637550735,0.9476617206803972
38,FANCA,63.0,0.6303617542453392,0.9087033080679565
39,BRD3,48.0,0.18337811248945035,0.6673760815189832
40,COL1A1,82.0,0.5906933198847109,0.8920674626830327
41,TFE3,76.0,0.8429288944105098,0.972905522716187
42,RANBP2,97.0,0.1654297590683368,0.6673760815189832
43,TFPT,32.0,0.025335586736179114,0.43265386580244336
44,BLM,32.0,0.025335586736179114,0.43265386580244336
45,PTPRB,102.0,0.09489787392476422,0.624205286432708
46,NUMA1,46.0,0.14727113680782294,0.6673760815189832
47,NDRG1,69.0,0.8870151141611515,0.972905522716187
48,PBX1,70.0,0.9323243733483333,0.9832589590657007
49,MAP2K1,64.0,0.6711254583898127,0.9282856807634793
50,NCKIPSD,82.0,0.5906933198847109,0.8920674626830327
51,NFKB2,89.0,0.35023758481899414,0.8057279153348881
52,KDR,76.0,0.8429288944105098,0.972905522716187
53,CREB1,42.0,0.09489787392476422,0.624205286432708
54,ZMYM3,70.0,0.9323243733483333,0.9832589590657007
55,NCOR2,65.0,0.7128806637550735,0.9476617206803972
56,SPOP,49.0,0.20273017064652255,0.6767834268199701
57,PML,93.0,0.2458111315298186,0.7424499482941459
58,ELK4,50.0,0.22352896258794108,0.7038784353833039
59,HIF1A,100.0,0.11949875979004544,0.624205286432708
60,EPS15,75.0,0.8874476051803057,0.972905522716187
61,GPHN,47.0,0.16461559925829872,0.6673760815189832
62,NSD2,43.0,0.10663705780256338,0.624205286432708
63,RAC1,42.0,0.09489787392476422,0.624205286432708
