,Edge,U,pval,adj_pvals
0,SBDS;RPL5,1268.5,0.8654735399395568,0.9359536899289252
1,SBDS;RPL10,1224.0,0.6457778743722936,0.8054703970713941
2,IL6ST;MAPK1,1012.0,0.05711917061683024,0.22775364415748622
3,IL6ST;PIK3CA,1268.0,0.8619943218676455,0.9354919779238853
4,IL6ST;STAT3,1009.0,0.05435793621030177,0.22024491417216724
5,IL6ST;PIK3CB,1090.5,0.166621537551373,0.4119918461097508
6,IL6ST;JAK1,1094.5,0.17121622023060012,0.41739579834428064
7,IL6ST;PIK3R1,1153.5,0.3464337711660411,0.5884402000293103
8,IL6ST;JAK2,1119.5,0.24597058039446096,0.48815669420750346
9,IL6ST;PTPN11,1118.0,0.23994031954792228,0.482772283929196
10,CCNC;CDK4,943.0,0.021828937814114997,0.13375954948132177
11,CCNC;CREBBP,953.0,0.02576383149718758,0.14695069604335714
12,CCNC;BRD4,963.5,0.03090548128302421,0.1625859785111107
13,CCNC;ERCC3,954.5,0.026844617033075623,0.15040122955163346
14,CCNC;CCND3,1004.5,0.05824787568006278,0.22942283743974884
15,CCNC;MED12,939.5,0.020565150884771857,0.13047356396312534
16,CCNC;MAML2,945.5,0.022463361061111138,0.13567440844712506
17,CCNC;NOTCH1,1345.5,0.7449720877971895,0.8684771130697878
18,CCNC;POLR2A,954.0,0.026346654920365097,0.1487096162395012
19,CCNC;FBXW7,950.5,0.024690006034805957,0.14297586700766257
20,MLLT6;MLLT1,1257.0,0.8059555417411404,0.9020328621493495
21,MLLT6;AFF4,1298.0,0.9869566927782281,0.9932747711285653
22,MLLT6;MLLT10,1339.5,0.7739741557897659,0.8847449450499807
23,MLLT6;LASP1,1273.0,0.8881510356211593,0.9444230104039969
24,MLLT6;AFDN,1231.0,0.6785682463450364,0.8259978685451616
25,MLLT6;AFF1,1179.5,0.45111499886056816,0.6728315998930586
26,MLLT6;FNBP1,1402.0,0.4876543126825532,0.6965348873892636
27,MLLT6;CLP1,1296.5,0.9947985688913472,0.9987482720499947
28,MLLT6;KMT2A,1285.0,0.9506246549128365,0.9770122681797695
29,STAG2;MYC,1303.0,0.9600330801517252,0.9827844400752858
30,STAG2;RAD21,1487.5,0.19374934039317604,0.4438741858138457
31,STAG2;IDH1,1402.5,0.4765596992593546,0.6872088314237
32,STAG2;ATRX,1325.5,0.8368423022224986,0.9197748050796688
33,STAG2;BRCA1,1296.0,0.9973269285049514,0.9995131181449192
34,STAG2;ZRSR2,1284.0,0.9413116469433888,0.9718005108481964
35,STAG2;PPP2R1A,1420.5,0.40865923075785726,0.640514240605187
36,STAG2;EP300,1337.5,0.779010314886861,0.886158176099893
37,STAG2;EZH2,1188.0,0.4619360510552387,0.6804362880203962
38,STAG2;SRSF2,1425.5,0.3887547304013087,0.6242103114282714
39,STAG2;PHF6,1286.0,0.9521002409980479,0.9778814552140795
40,STAG2;STAG1,1516.0,0.1432203748250455,0.3769846507365701
41,STAG2;NRAS,1394.5,0.509971013898239,0.7099756971602978
42,STAG2;KDM6A,1290.5,0.9781589442047091,0.9902583144219694
43,STAG2;CTCF,1326.5,0.8351762557932991,0.918569951115709
44,STAG2;IDH2,1466.0,0.2604246218379158,0.5037678768342997
