,Gene,U,pval,adj_pvals
0,SBDS,1235.0,0.6991479321810574,0.8531137909912221
1,IL6ST,1114.5,0.24240317903881958,0.48480635807763917
2,CCNC,1003.0,0.058497954022482715,0.24968257649497347
3,MLLT6,1291.5,0.9844645602043818,0.9869695590853089
4,STAG2,1362.5,0.6636216738224179,0.8274270236899768
5,CCND3,1006.0,0.061146106547675064,0.25629325510408485
6,TRRAP,1621.5,0.03436121084622004,0.2013119698843044
7,CHIC2,1068.5,0.14228613997998307,0.38662578725595403
8,ZRSR2,1556.0,0.09089062467360973,0.3034822552661206
9,SMAD2,1147.0,0.3383997039444536,0.557876862558098
10,MED12,1414.0,0.44183282595369455,0.6524003712019073
11,PBRM1,1416.0,0.434136264334975,0.6454705213131327
12,SET,1210.0,0.5825918230094262,0.772865920086579
13,MSI2,1165.5,0.397001326018638,0.6158209545328479
14,TFG,958.5,0.02918922555600449,0.18853368637812737
15,SIRPA,925.5,0.016614715268978255,0.14687014661549916
16,CXCR4,1239.0,0.7186983785671921,0.8633145157179075
17,NBN,991.5,0.04921926452594057,0.22812566061077555
18,B2M,1131.5,0.2899697305390716,0.5184332502770317
19,PICALM,959.0,0.029187229485788724,0.18853368637812737
20,DAXX,1139.5,0.3144208951069942,0.536284989922752
21,SDHD,985.5,0.04486082767655595,0.22812566061077555
22,PCM1,958.0,0.02879916644634566,0.18853368637812737
23,MAP3K1,1101.0,0.20915065547372824,0.45277669371785123
24,ETV6,1411.5,0.4515453294390406,0.6589217029591926
25,PSIP1,1248.5,0.7652811793124716,0.8947204292258572
26,DGCR8,1352.5,0.7114048188626254,0.8597960080732343
27,MAP2K2,1081.0,0.16573138296765355,0.3960304423696939
28,TMSB4X,1295.0,1.0,1.0
29,ASPSCR1,1268.0,0.863429048897914,0.9371654139553116
30,TP53,795.0,0.00118797030348278,0.05362041147276413
31,BRD3,1112.0,0.23622130503891625,0.4774245590549344
32,FANCA,1796.0,0.0011610172270585754,0.05362041147276413
33,COL1A1,1649.5,0.0215595804860156,0.1665583276762774
34,TFE3,1067.0,0.13979742323066646,0.3849088356765058
35,RANBP2,1520.5,0.1442188655474111,0.3870031321268933
36,TFPT,1052.0,0.11549527815077107,0.358308185759085
37,NUMA1,725.5,0.00022106134659793407,0.042335326668194485
38,NDRG1,887.5,0.008240972768420896,0.09549833149287744
39,MAP2K1,1393.0,0.5268703362050918,0.7258283652615601
40,NCKIPSD,1243.5,0.7406307770664287,0.8789413438679907
41,NFKB2,1602.0,0.04667229374858277,0.22812566061077555
42,CREB1,1333.0,0.8077106706641956,0.9068796231931389
43,CIC,1371.5,0.6200463814565306,0.7906093019219192
44,NCOR2,1270.5,0.8762171650403427,0.9408659349074364
45,SPOP,856.5,0.004472801927305436,0.07363000293552824
46,PML,1434.5,0.3669865550348619,0.5925930437858016
47,RFWD3,1530.5,0.1270756669554678,0.3681456822092229
48,ELK4,1510.5,0.16176117549701385,0.3960304423696939
49,ZNF384,997.0,0.05348503803142566,0.23421828859062482
50,HIF1A,1348.0,0.7333060380297269,0.8728778821260194
51,EPS15,1457.0,0.2945308771559163,0.5184332502770317
52,GPHN,1407.0,0.46819865438969954,0.6772697488153575
53,NSD2,1361.5,0.6683647997095522,0.8307120854434181
54,RAC1,1108.5,0.2273559373948476,0.4665533298623435
55,PHF6,1183.0,0.46927573966140257,0.6772697488153575
56,TAF15,1189.0,0.4929479916262285,0.6961344397875772
57,TBL1XR1,990.0,0.048058125497115176,0.22812566061077555
58,ABL2,1518.0,0.14871434259664654,0.3906230065538583
59,RALGDS,1242.0,0.7332650190216654,0.8728778821260194
60,DDB2,1168.5,0.41345728990349384,0.6274147483772985
61,LATS1,1473.0,0.24927792732745724,0.4935452430503425
62,PDGFRB,1340.0,0.7727307574959582,0.8954585836864927
63,BCR,1374.5,0.6081428052947799,0.7885371543637008
64,CASP9,1276.5,0.9070010423368167,0.9632302174682096
65,SPECC1,1430.0,0.38225610693340617,0.6024669626417871
66,FLNA,1506.0,0.1718500471076725,0.4030688792769273
67,GOLGA5,1119.5,0.2559800096531455,0.49515969311637203
68,LRIG3,1435.0,0.3652610137802297,0.5922339071169156
69,STAG1,1459.0,0.28860557600020653,0.5184332502770317
70,TRIM24,1375.5,0.6036097851969948,0.7885371543637008
71,SPEN,1560.0,0.08602031710782633,0.2972982889516103
72,TCF12,1287.0,0.9611718538349715,0.9760353361107701
73,BCL10,1382.0,0.574511434700339,0.7706352902653706
74,ATR,1457.0,0.2945733886321037,0.5184332502770317
75,NUP98,1752.0,0.003048209281895525,0.07363000293552824
76,NRAS,1193.5,0.5121506577381671,0.7080258215748697
77,CALR,1518.5,0.14777559694030792,0.3906230065538583
78,CRTC1,1306.0,0.9456645898487082,0.975371330891076
79,SGK1,1137.0,0.3066513426823211,0.5346045531718341
80,ATRX,1419.5,0.4209466699939186,0.6306197261505854
81,PMS2,1511.0,0.16192308832255486,0.3960304423696939
82,MAP2K4,1124.5,0.269865054008949,0.5015416569788959
83,FANCD2,1796.5,0.0011476317266272888,0.05362041147276413
84,TPM3,1441.5,0.3433584249914109,0.5613411595295266
85,FEN1,1373.5,0.6126991675819955,0.7889002353833536
86,PPM1D,1306.5,0.9430810879816427,0.9752597077815414
