,Gene,U,pval,adj_pvals
0,AFDN,1567.0,0.07806358871940575,0.2500573492312672
1,RABEP1,678.0,6.305343405156716e-05,0.02484305301631746
2,DDX5,1437.0,0.3584438391804825,0.5080103332270147
3,PATZ1,841.0,0.0032482486968700318,0.07348262076394131
4,NOTCH1,1629.0,0.030432627675953318,0.1688796521736001
5,LARP4B,1409.0,0.4613568183325317,0.597942718496768
6,NUP214,1448.0,0.32230888448447603,0.48469351330871585
7,NRAS,1183.0,0.4692901533336492,0.6022811739852045
8,CHD4,1490.0,0.2068393701921295,0.3755516675377835
9,MAX,1095.0,0.19540506701331162,0.3648796038068473
10,ZRSR2,1410.0,0.4574184218239118,0.5967644311212624
11,ERC1,1535.0,0.12010001552135673,0.29390935475412766
12,FANCA,1773.0,0.001941928011505113,0.07348262076394131
13,ERCC2,1355.0,0.6993820751215382,0.8033718297314462
14,CHEK2,1078.0,0.15999629102397772,0.33114365247326366
15,PALB2,1148.0,0.3417138603217301,0.4913695655721229
16,DDX6,1298.0,0.9870548998650515,0.992090894252118
17,GNAS,1189.0,0.4935367017700407,0.619278536615911
18,COL3A1,1510.0,0.16389089399057466,0.33114365247326366
19,CBLB,1376.0,0.6013607811313999,0.7136630956800348
20,SMC1A,1600.0,0.04813171756270873,0.19255252044717527
21,CASP3,897.0,0.00988652142502657,0.10527809301244509
22,ARID1A,1638.0,0.026227705654025654,0.15898024657978627
23,SIRPA,961.0,0.030432627675953318,0.1688796521736001
24,XPC,1601.0,0.04740166069482416,0.19255252044717527
25,EIF3E,717.0,0.00017826984750347988,0.03511915995818554
26,KMT2D,1535.0,0.12010001552135673,0.29390935475412766
27,PDE4DIP,1543.0,0.10821374316976007,0.28808253249246935
28,TPR,1455.0,0.30059686250064177,0.46998080883036847
29,EZR,1693.0,0.00988652142502657,0.10527809301244509
30,PIM1,1300.0,0.9767011095164627,0.9892551083534352
31,HSP90AA1,1516.0,0.1524176003811358,0.33114365247326366
32,NUP98,1455.0,0.30059686250064177,0.46998080883036847
33,MLLT10,1451.0,0.3128814565779743,0.48154411676453857
34,HIF1A,1662.0,0.01737930662560066,0.1268045705645678
35,CUX1,1294.0,0.9974108709230716,0.9974108709230716
36,PPFIBP1,1450.0,0.3160035492523936,0.48445680313401973
37,SH2B3,1448.0,0.32230888448447603,0.48469351330871585
38,FBXW7,1415.0,0.4380120938448574,0.5861645960929407
39,NDRG1,1232.0,0.6850183617449476,0.7914874912830187
40,MAP2K2,1176.0,0.4418550381715822,0.5861645960929407
41,CTNND1,1029.0,0.08487156093075629,0.2612452734899842
42,NSD3,1081.0,0.16586478632321966,0.3317295726464393
43,NF2,1672.0,0.014546241949212158,0.12156502855673727
44,CCND1,1539.0,0.11403499493780314,0.29365874513395057
45,IL6ST,1283.0,0.9405051666019068,0.9700498315213384
46,BRCA1,1602.0,0.046680937745434026,0.19255252044717527
47,MED12,1312.0,0.9147216053720648,0.9636371992422288
48,IKBKB,1204.0,0.5569722953340986,0.6794027379617179
49,MEN1,1000.0,0.05596556555939151,0.2041706743555579
50,CLIP1,937.0,0.020331498626866625,0.13811397343078363
51,TFPT,922.0,0.01562653184046751,0.12471800973070393
52,AKT2,1298.0,0.9870548998650515,0.992090894252118
53,CD74,1309.0,0.930182727600553,0.9669973474264323
54,POLR2A,1561.0,0.08487156093075629,0.2612452734899842
55,SMARCE1,1032.0,0.08845138667254311,0.2660293614426106
56,LZTR1,1525.0,0.13636786401701997,0.31792271256038973
57,CCDC6,881.0,0.007283132404224105,0.08695618688679689
58,BIRC6,1561.0,0.08487156093075629,0.2612452734899842
59,BCOR,1369.0,0.6333516737624043,0.7426802364952003
60,SET,1535.0,0.12010001552135673,0.29390935475412766
61,NCOR1,1479.0,0.23368727656390686,0.4038280130095584
62,PPP2R1A,1271.0,0.8787808431886122,0.9434322948673385
63,DICER1,1520.0,0.14511527636826757,0.3251944011391139
64,TRIP11,1405.0,0.47729835431887613,0.6105699727325883
65,RAC1,1609.0,0.04188976764569595,0.19255252044717527
66,POT1,1081.0,0.16586478632321966,0.3317295726464393
67,STAG2,1533.0,0.12322580250916762,0.2978586882736935
68,BCR,1070.0,0.14511527636826757,0.3251944011391139
69,SMAD2,1719.0,0.005986624048842252,0.08695618688679689
70,ARHGAP35,1141.0,0.3191460252693886,0.48469351330871585
71,CDKN2C,1010.0,0.06483360584033057,0.22407404123763375
72,MAP2K1,1282.0,0.935342588413638,0.9672571649211901
73,MLLT1,780.0,0.0008404948274243899,0.06553071370595401
74,AKAP9,1440.0,0.3483449622938217,0.49547983806413626
75,ETV6,1021.0,0.07589561184049112,0.2471311658277149
76,DDX3X,1585.0,0.06026447104667254,0.21391172605755837
77,CREBBP,1673.0,0.014286680158703371,0.12156502855673727
78,CUL3,1098.0,0.2022086950216202,0.370559189946597
79,RPN1,876.0,0.006606331880162258,0.08695618688679689
80,MRTFA,1122.0,0.26291655958214755,0.4262926933142639
81,NUMA1,838.0,0.0030497050162891686,0.07348262076394131
82,SKI,1473.0,0.24933167187186012,0.41625711320980036
83,FAS,1116.0,0.2466746514021334,0.41357367086144925
84,JAK1,1544.0,0.10679581361564887,0.28808253249246935
85,STAT6,1487.0,0.21392895686115698,0.3796757162310624
86,FOXO4,800.0,0.0013305728671259697,0.06553071370595401
87,HERPUD1,1794.0,0.0012153082608770806,0.06553071370595401
88,BMPR1A,879.0,0.007005280223632899,0.08695618688679689
89,MYO5A,1186.0,0.48133032598714287,0.6117553175449493
90,SRSF2,1188.0,0.4894495874740671,0.6161122602708704
91,DGCR8,1272.0,0.8839017320204405,0.9437866732142374
92,CBFB,1742.0,0.0037581050282509388,0.07348262076394131
93,BTG1,833.0,0.0027432525034796038,0.07348262076394131
94,AFF1,1226.0,0.6566343663814027,0.7631679656468221
95,MAF,1489.0,0.209183364786248,0.37806534736597114
96,MAP2K4,1054.0,0.11856058003679551,0.29390935475412766
97,PICALM,1092.0,0.18877080157413306,0.35930287835849484
98,PPP6C,788.0,0.001011951424591814,0.06553071370595401
99,KDM5A,1633.0,0.02849716064128334,0.16758031780097962
100,MYD88,1380.0,0.5834141026708417,0.6986782870890931
101,PTEN,1525.0,0.13636786401701997,0.31792271256038973
102,ASPSCR1,1144.0,0.3286957433023553,0.48549504196504056
103,TRRAP,1496.0,0.19317491254714814,0.3641670600171118
104,FANCG,1543.0,0.10821374316976007,0.28808253249246935
105,JAZF1,1398.0,0.5059068849239785,0.6327851195557065
106,BCL9L,1116.0,0.2466746514021334,0.41357367086144925
107,RPL10,1051.0,0.11403499493780314,0.29365874513395057
108,BCL6,1444.0,0.335164089884495,0.48549504196504056
109,RB1,1178.0,0.44959854619597484,0.5936165964139497
110,ABL2,1486.0,0.21633066643064702,0.38221651378329563
111,FLCN,919.0,0.014809952717572053,0.12156502855673727
112,ERBB2,1355.0,0.6993820751215382,0.8033718297314462
113,SBDS,1001.0,0.05680429353053003,0.20532928120209937
114,PRKACA,1298.0,0.9870548998650515,0.992090894252118
115,TPM4,1527.0,0.13298506940147053,0.3156392611095144
116,PDGFRB,1376.0,0.6013607811313999,0.7136630956800348
117,MDM4,1464.0,0.2741461363059364,0.43553861977636676
118,CRNKL1,997.0,0.05351104741228335,0.20302848415430705
119,CIC,1091.0,0.18659569272645005,0.3586297807592503
120,DDB2,1265.0,0.8481692361918796,0.9206024216517921
121,CYLD,1510.0,0.16389089399057466,0.33114365247326366
122,EXT1,933.0,0.01896931743294735,0.1358044852861039
123,ERCC3,1576.0,0.06869145514088824,0.23331408039232732
124,SDHD,1077.0,0.15807542356580606,0.33114365247326366
125,ARAF,1075.0,0.15428615891187342,0.33114365247326366
126,ACVR2A,1071.0,0.14691523706284842,0.3251944011391139
127,DNMT3A,1122.0,0.26291655958214755,0.4262926933142639
128,DNM2,1645.0,0.02331376388444823,0.148155209201171
129,EXT2,820.0,0.0020734636281012735,0.07348262076394131
130,CHCHD7,872.0,0.006106204423102011,0.08695618688679689
131,ABL1,1161.0,0.3862629473526037,0.5358718354117107
132,LATS1,1366.0,0.6472795913353504,0.7545211804323315
133,LASP1,1146.0,0.335164089884495,0.48549504196504056
134,GOLPH3,875.5,0.006541738960662072,0.08695618688679689
135,FBXO11,1079.0,0.1619347548986646,0.33114365247326366
136,NAB2,948.0,0.02452627651515829,0.15226408708304714
137,BCL10,1246.0,0.752940252061858,0.8451807957617438
138,ARHGEF12,1493.0,0.1999218955086023,0.370559189946597
139,TRIM24,1078.0,0.15999629102397772,0.33114365247326366
140,TFRC,1199.0,0.5353930413402475,0.6592026821501796
141,TRIM27,936.0,0.01998318721204951,0.13811397343078363
142,CTCF,1344.0,0.752940252061858,0.8451807957617438
143,EIF4A2,835.0,0.00286228961440621,0.07348262076394131
144,RFWD3,1583.0,0.062059035456352454,0.21831482115895415
145,LATS2,1059.0,0.12641475607341215,0.3037037432495389
146,FLI1,1158.0,0.37567982791771504,0.5248860007077295
147,DCTN1,1179.0,0.4534989734025352,0.5936165964139497
148,ASXL1,1548.0,0.10127077962337955,0.2845669120543339
149,SND1,1538.0,0.11552816275863373,0.29366513630259156
150,NT5C2,1121.0,0.2601594976978011,0.42532299623623915
151,ERCC5,1710.0,0.007142993610530732,0.08695618688679689
152,TCF12,1433.0,0.37219229499213824,0.5218639296331049
153,SETDB1,1280.0,0.9250257999461559,0.9667378386705183
154,COL1A1,1604.0,0.04526713650297017,0.19255252044717527
155,CREB1,1603.0,0.04596945934660807,0.19255252044717527
156,PML,1442.0,0.3417138603217301,0.4913695655721229
157,BAX,960.0,0.029938467082719623,0.1688796521736001
158,PAFAH1B2,1042.0,0.10127077962337955,0.2845669120543339
159,ATRX,1519.0,0.14691523706284842,0.3251944011391139
160,STAG1,1599.0,0.048871198083039406,0.19255252044717527
161,TRAF7,1524.0,0.13808398078961587,0.32002993194769797
162,CDK4,1421.0,0.4153617558978199,0.5662717364143288
163,CRTC1,1312.0,0.9147216053720648,0.9636371992422288
164,CDK12,1650.0,0.02140840070056547,0.1429645741698779
165,PCBP1,1092.0,0.18877080157413306,0.35930287835849484
166,CAMTA1,1071.0,0.14691523706284842,0.3251944011391139
167,USP8,1621.0,0.03464413873732452,0.1796025087171824
168,CNBP,926.0,0.016776788110983015,0.12471800973070393
169,SPEN,1684.0,0.011690109811218988,0.10966436346714956
170,DROSHA,1604.0,0.04526713650297017,0.19255252044717527
171,TNFRSF14,1285.0,0.9508376102840901,0.9781462622765835
172,RBM10,1293.0,0.9922327218219092,0.9947574870173848
173,LYN,1605.0,0.044573880598084654,0.19255252044717527
174,TRIM33,1272.0,0.8839017320204405,0.9437866732142374
175,ZCCHC8,1131.0,0.2886379730904599,0.4548934455905648
176,STK11,1115.0,0.24403753257011063,0.41357367086144925
177,SPOP,1129.0,0.28278043603304637,0.447451774285222
178,USP9X,1427.0,0.39341844417632976,0.5438837438788559
179,NPM1,1504.0,0.17600322087645182,0.3467263451266101
180,TBL1XR1,1553.0,0.09468734347500934,0.28010728228939225
181,ALDH2,1433.0,0.37219229499213824,0.5218639296331049
182,HOOK3,1348.0,0.7333107926333727,0.8326353092148382
183,TAF15,1403.0,0.48538076596835444,0.6129487877933707
184,NSD2,1780.0,0.001664261661537153,0.0728576771828487
185,MDM2,1504.0,0.17600322087645182,0.3467263451266101
186,FANCF,1204.0,0.5569722953340986,0.6794027379617179
187,TFG,1155.0,0.3652776769019338,0.5158401602127668
188,PHF6,1568.0,0.07697337951679879,0.24858616007884202
189,RAD21,1469.0,0.2601594976978011,0.42532299623623915
190,GOLGA5,1552.0,0.09597584545448717,0.28010728228939225
191,KAT7,1259.0,0.8177849690810672,0.897513308685071
192,MTOR,1311.0,0.919872020864274,0.9639084473950106
193,CDKN1B,1098.0,0.2022086950216202,0.370559189946597
194,SMAD3,1487.0,0.21392895686115698,0.3796757162310624
195,MUTYH,1563.0,0.08255078502779672,0.2602000744076153
196,JAK2,1511.0,0.1619347548986646,0.33114365247326366
197,CTNNB1,1541.0,0.111094273308344,0.29365874513395057
198,CXCR4,1290.0,0.9767011095164627,0.9892551083534352
199,STAT3,1572.0,0.07273598730314663,0.24082335291966195
200,BCLAF1,1540.0,0.11255706307119309,0.29365874513395057
201,NCOA2,1481.0,0.22863048433851396,0.39683000365363214
202,KTN1,1278.0,0.9147216053720648,0.9636371992422288
203,VHL,979.0,0.040599837650962714,0.19255252044717527
204,MSH2,1512.0,0.15999629102397772,0.33114365247326366
205,ABI1,861.0,0.0049018638354581525,0.0820617570454832
206,EIF1AX,1046.0,0.10679581361564887,0.28808253249246935
207,KAT6A,1020.0,0.07483018858357263,0.24569245251606345
208,HMGA1,1146.0,0.335164089884495,0.48549504196504056
209,LRIG3,1244.0,0.7431046461323412,0.8413311223452369
210,FUS,1257.0,0.8077150383050828,0.893931812056749
211,ACVR1,1288.0,0.9663512432877236,0.9863792483299562
212,CHD2,1535.0,0.12009143052744899,0.29390935475412766
213,TFE3,909.0,0.012353115523308401,0.11318901200426769
214,HLA-A,1478.0,0.23624519077790251,0.4064655247445135
215,TCF7L2,1387.0,0.5526227500218104,0.6782970825812875
216,TSC1,1264.0,0.8430882021950444,0.917615336090739
217,NFE2L2,1616.0,0.03752153663998536,0.1847935679519279
218,BRD4,1540.0,0.11255706307119309,0.29365874513395057
219,TGFBR2,1124.0,0.26849102678495784,0.43002221363119264
220,AFF4,1098.0,0.2022086950216202,0.370559189946597
221,CCNC,1485.0,0.21875172445375224,0.3847686581909749
222,RPL22,1078.0,0.15999629102397772,0.33114365247326366
223,HIP1,999.0,0.05513717716880927,0.20302848415430705
224,CNOT3,1445.0,0.3319197339550479,0.48549504196504056
225,SMARCB1,1548.0,0.10127077962337955,0.2845669120543339
226,ITGAV,1585.0,0.06026447104667254,0.21391172605755837
227,DEK,1208.0,0.5745353703148479,0.6943771040001536
228,XPA,1181.0,0.4613568183325317,0.597942718496768
229,EWSR1,1382.0,0.5745353703148479,0.6943771040001536
230,PTPN11,1546.0,0.10400415059853826,0.2845669120543339
231,COX6C,1102.0,0.21154654146677032,0.3796757162310624
232,NCOR2,1618.0,0.036347051289745094,0.18359920779691752
233,B2M,1726.0,0.005206964279535735,0.0820617570454832
234,KMT2C,1601.0,0.04740166069482416,0.19255252044717527
235,IDH1,1385.0,0.5613384521026448,0.6826152781742038
236,ARNT,1684.0,0.011690109811218988,0.10966436346714956
237,NACA,999.0,0.05513717716880927,0.20302848415430705
238,SPECC1,1679.0,0.012813421237701817,0.11425313492937497
239,PIK3CB,1475.0,0.24403753257011063,0.41357367086144925
240,FANCD2,1727.0,0.005103408834057082,0.0820617570454832
241,FIP1L1,1116.0,0.2466746514021334,0.41357367086144925
242,MLLT6,945.0,0.02331376388444823,0.148155209201171
243,POLG,1186.0,0.4813262626244196,0.6117553175449493
244,TOP1,1447.0,0.32549212502962555,0.48549504196504056
245,SF3B1,1013.0,0.06770973180933999,0.23197942898156484
246,DAXX,1257.0,0.8077150383050828,0.893931812056749
247,AXIN1,1454.0,0.3036374544369569,0.47285832825360086
248,GMPS,926.0,0.016776788110983015,0.12471800973070393
249,MYC,1684.0,0.011690109811218988,0.10966436346714956
250,NONO,1324.0,0.8532565874847742,0.9235799326071457
251,LMNA,1744.0,0.0036054738671063777,0.07348262076394131
252,DNAJB1,1217.0,0.6149820920456917,0.7254579169640794
253,RAF1,1605.0,0.044573880598084654,0.19255252044717527
254,GNA11,1089.0,0.18230413453902838,0.35383166999200577
255,IDH2,1530.0,0.12803314822150635,0.3057276387834758
256,NFKB2,1550.0,0.09859493436661691,0.283550395185745
257,LSM14A,1441.0,0.34501925175427617,0.49431849160430835
258,TCEA1,1031.0,0.0872448267728965,0.2644189365270863
259,NCKIPSD,880.0,0.007142993610530732,0.08695618688679689
260,PRDM2,1618.0,0.036347051289745094,0.18359920779691752
261,FNBP1,861.0,0.0049018638354581525,0.0820617570454832
262,BAZ1A,1017.0,0.07170438482996833,0.2394285093894723
263,TSC2,1601.0,0.04740166069482416,0.19255252044717527
264,ARID2,1416.0,0.4341884437172354,0.585857009673256
265,GOPC,1199.0,0.5353930413402475,0.6592026821501796
266,ELK4,1467.0,0.26568929660626683,0.42902288058552923
267,RANBP2,1465.0,0.2713084881762513,0.4327754831637369
