,Edge,U,pval,adj_pvals
0,IL6ST;PIK3CA,1200.5,0.526510283216175,0.6877170834143859
1,IL6ST;STAT3,1215.0,0.597964213574961,0.7498161043582733
2,IL6ST;PIK3CB,1124.0,0.25245557899668214,0.4356210150590598
3,IL6ST;JAK1,1059.5,0.10499818610264974,0.26595207306599095
4,IL6ST;PIK3R1,1146.5,0.3138838021304351,0.5009930251395389
5,IL6ST;JAK2,1098.0,0.19115455279599558,0.37985840619717076
6,IL6ST;PTPN11,1277.0,0.9076486476006295,0.9498648637681005
7,CCNC;CDK4,1088.0,0.17919921151033524,0.36600717431466717
8,CCNC;MED12,1091.5,0.18638458446444717,0.37250214230358714
9,MLLT6;MLLT1,1277.5,0.9110010425436902,0.9519449096243054
10,MLLT6;MLLT10,1514.5,0.15373545801637864,0.3324976185005399
11,MLLT6;AFF1,1062.0,0.12461952044977356,0.29064983468881367
12,STAG2;RAD21,1162.5,0.3595740784565319,0.5440410406148177
13,STAG2;STAG1,1318.5,0.7749077644888905,0.8647970651696019
14,STAG2;CTCF,1363.5,0.6548545483241988,0.7884270724512393
15,STAG2;SMC1A,989.0,0.04113768983147551,0.14518034903945812
16,CCND3;CCND1,1118.0,0.2503269922859376,0.4332582558795074
17,CCND3;CDKN1B,1254.5,0.7942837922251155,0.8776717651663939
18,CCND3;CDK4,1184.0,0.47119390800399696,0.6400345683209111
19,CCND3;CREBBP,1129.5,0.2833229793300355,0.46826878686541057
20,CCND3;CDKN2C,1276.0,0.9030288971577897,0.9478745760234136
21,CCND3;RB1,1152.5,0.35365857709480397,0.5432248810385175
22,CCND3;CDKN1A,1180.0,0.4543793883043038,0.6275566203493407
23,TRRAP;TP53,1727.5,0.004992181958590995,0.04048891762926998
24,TRRAP;MAX,1601.0,0.04608289811133209,0.15543667963089872
25,TRRAP;TFPT,1295.0,1.0,1.0
26,TRRAP;MYC,1740.0,0.0038282120936460667,0.03358714384047964
27,TRRAP;CTNNB1,1705.5,0.007709022379754,0.05096723326898972
28,CHIC2;ETV6,1045.0,0.10391581070364306,0.26441493338974165
29,ZRSR2;SF3B1,1659.5,0.018020142346497944,0.08637176404014567
30,ZRSR2;SRSF2,1667.5,0.015651375446367747,0.07999194207444987
31,SMAD2;MAPK1,1262.0,0.8303517227696967,0.9035418512197558
32,SMAD2;ACVR2A,1306.0,0.9446326030267633,0.9745646445157274
33,SMAD2;TRIM33,1147.5,0.33208964786231776,0.5199383375622147
34,SMAD2;SMAD3,1291.0,0.9806499714309205,0.995375697623283
35,SMAD2;ACVR1B,1316.5,0.8897975472174233,0.9381576475726423
36,SMAD2;ACVR1,1243.0,0.733647625466378,0.839331665964744
37,SMAD2;SKI,1136.0,0.2968021139216044,0.48200110468060314
38,SMAD2;JUN,1235.0,0.6924063256310016,0.815111244097255
39,SMAD2;SMAD4,1190.0,0.4221000958635962,0.5977965824667175
40,SMAD2;EP300,1162.0,0.3794999862438573,0.5581644055422053
41,SMAD2;TP53,1356.0,0.689089269659295,0.8141090833020357
42,SMAD2;LEF1,1108.5,0.2143201331805783,0.39970131789693414
43,SMAD2;MYC,1217.0,0.60666939902787,0.753304487932304
44,SMAD2;BMPR1A,1338.5,0.7766440395841159,0.8659167199354093
45,SMAD2;CREBBP,1227.0,0.6528485205305461,0.7881441459733423
