,Gene,U,pval,adj_pvals
0,AFDN,1652.0,0.02068391759858577,0.13243819369325563
1,DDX5,1127.0,0.2769861879443142,0.5068257907066175
2,PATZ1,1042.0,0.10125100366855588,0.28549463329494446
3,NOTCH1,1770.0,0.0020734636281012735,0.11053947170871158
4,LARP4B,1646.5,0.022714690197389774,0.13243819369325563
5,NUP214,1452.0,0.3097651736138878,0.5381693143324556
6,NRAS,1082.0,0.1678565091259413,0.38495092759549204
7,CHD4,1040.5,0.0992381839107643,0.28549463329494446
8,MAX,915.5,0.013895064961041769,0.12492502714942214
9,ERC1,1718.5,0.006035606220629946,0.11053947170871158
10,ZRSR2,1632.0,0.028968578576965377,0.15817763540438237
11,FANCA,1828.5,0.0005417186059894025,0.11053947170871158
12,ERCC2,1201.5,0.5461261193205275,0.7455054962153232
13,CHEK2,1142.0,0.32230776343149514,0.5461767025637159
14,PALB2,968.0,0.034089783241209856,0.16589302794826752
15,DDX6,1023.5,0.07858777261344084,0.26246790076721993
16,GNAS,1090.0,0.18415532993513195,0.41670835144858503
17,COL3A1,909.5,0.012404967645106502,0.11853635749768435
18,CBLB,1556.5,0.09027596681544366,0.27857731649031453
19,SMC1A,1729.5,0.004851728623277215,0.11053947170871158
20,CASP3,996.0,0.052713120927243284,0.21333310116437282
21,ARID1A,1525.5,0.1355114737660639,0.343547335936452
22,SIRPA,936.0,0.01996854645852745,0.13243819369325563
23,XPC,1362.5,0.663681656639519,0.8271439985909356
24,EIF3E,888.5,0.008407392707138662,0.11853635749768435
25,KMT2D,1277.0,0.9095728906674025,0.9508370829632946
26,PDE4DIP,1385.5,0.5590449303862626,0.7482936033185772
27,TPR,1312.5,0.9121402249357187,0.9508370829632946
28,EZR,1641.5,0.024732252027571087,0.13947368356531892
29,PIM1,1295.0,1.0,1.0
30,HSP90AA1,1110.5,0.232412461489236,0.475892183049388
31,NUP98,1225.5,0.6542763197427199,0.8184401963327115
32,MLLT10,1587.5,0.05807732383157792,0.22614960723822022
33,HIF1A,1719.0,0.00598650776664883,0.11053947170871158
34,SH2B3,1520.5,0.1442123594575862,0.35068451972556175
35,FBXW7,1401.5,0.4914858451012235,0.7015399614722858
36,NDRG1,1028.0,0.08357856883731264,0.2712361101890146
37,MAP2K2,1095.5,0.1965178655397286,0.43334708811324774
38,CTNND1,1009.5,0.064357396428188,0.2406406996880073
39,NSD3,908.5,0.012223686663298275,0.11853635749768435
