,Edge,U,pval,adj_pvals
0,KMT2A;MLLT1,1891.0,0.46828086181521333,1.0
1,KMT2A;KMT2C,1885.5,0.45242915234840786,1.0
2,KMT2A;CREBBP,1887.0,0.45691945837874004,1.0
3,KMT2A;BRD4,1831.0,0.31240390934918516,1.0
4,KMT2A;AFF4,1857.5,0.3765099213158358,1.0
5,KMT2A;RUNX1,1876.0,0.4259222264411263,1.0
6,KMT2A;KMT2D,1875.0,0.4229191219383438,1.0
7,KMT2A;MLLT10,1700.0,0.10244289664028212,1.0
8,KMT2A;MEN1,1787.0,0.22263135036284343,1.0
9,KMT2A;SMARCB1,1877.5,0.43010531897476,1.0
10,KMT2A;MAX,1898.0,0.4891767917518369,1.0
11,KMT2A;AFDN,1932.0,0.5961229605482707,1.0
12,KMT2A;KDM6A,1813.5,0.2740424021994081,1.0
13,KMT2A;PSIP1,1811.5,0.2696716944914641,1.0
14,KMT2A;AFF1,1873.5,0.4183575404332608,1.0
15,KMT2A;CREB1,1682.5,0.08616793396543274,1.0
16,KMT2A;SETD1B,1885.0,0.4506205369244244,1.0
17,EZR;MYH9,2256.5,0.31365211967940987,1.0
18,EZR;ERBB2,2351.5,0.14451064656260193,1.0
19,EZR;PRKACA,2354.0,0.14126987184379028,1.0
20,EZR;HSP90AA1,2303.5,0.21830234729552478,1.0
21,EZR;HSP90AB1,2316.0,0.19688984990143388,1.0
22,EZR;MSN,2535.0,0.019531608696823476,1.0
23,EZR;NF2,2338.0,0.1630011320708017,1.0
24,EZR;RHOA,2322.5,0.18638128774423812,1.0
25,PATZ1;EWSR1,1854.5,0.3691228668138449,1.0
26,CREBBP;CCND1,2022.0,0.9185191129390695,1.0
27,CREBBP;RARA,2028.0,0.9412576580559446,1.0
28,CREBBP;MDM2,2040.0,0.9867211978354976,1.0
29,CREBBP;SMAD2,2084.0,0.8508991501720258,1.0
30,CREBBP;KMT2D,1940.5,0.624136902819689,1.0
31,CREBBP;AKT1,2013.0,0.8846270257068948,1.0
32,CREBBP;KAT6A,1991.5,0.8047328651631604,1.0
33,CREBBP;TCF12,2102.0,0.7843867585251708,1.0
34,CREBBP;EPAS1,1992.5,0.8083311599823548,1.0
35,CREBBP;STAT5B,2039.0,0.9829314708140803,1.0
36,CREBBP;FOXO3,1972.0,0.7338114861168594,1.0
37,CREBBP;NCOR2,2087.0,0.8398822598055184,1.0
38,CREBBP;NCOA2,2054.0,0.9639683303297202,1.0
39,CREBBP;NCOR1,2070.0,0.9034940740870644,1.0
40,CREBBP;CTNNB1,2024.0,0.9261054135597028,1.0
41,CREBBP;STAT6,2000.0,0.836161242146167,1.0
42,CREBBP;ARNT,2055.5,0.9582718727315697,1.0
43,CREBBP;FGFR1,2002.0,0.8435903701234293,1.0
44,CREBBP;LEF1,2012.5,0.8827839484198672,1.0
45,CREBBP;SMARCA4,1999.5,0.8343099876499968,1.0
46,CREBBP;CCND3,2024.5,0.928022961790909,1.0
47,CREBBP;BRCA1,2025.0,0.9298815164011018,1.0
48,CREBBP;NCOA1,2043.0,0.9981030061906776,1.0
49,CREBBP;TCF7L2,2130.0,0.6843373434200847,1.0
50,CREBBP;CREB3L2,1844.0,0.34288123129192827,1.0
51,CREBBP;MYC,1998.5,0.8303399552852431,1.0
52,CREBBP;HIF1A,2072.5,0.8939852112202249,1.0
53,CREBBP;FOXO4,1900.0,0.4950668063845949,1.0
54,CREBBP;CREB1,1749.0,0.16141547881829887,1.0
55,CREBBP;SMAD3,2068.5,0.9090820383726463,1.0
56,CREBBP;RUNX1,2012.0,0.8809445777431038,1.0
57,CREBBP;SRC,1967.5,0.7177830956761803,1.0
58,CREBBP;NFE2L2,2002.5,0.8453930428820694,1.0
59,CREBBP;STAT3,2054.5,0.962047728603151,1.0
60,CREBBP;SMAD4,1981.5,0.7680139759026191,1.0
61,CREBBP;JUN,2063.0,0.9298809288021345,1.0
62,CREBBP;TP53,2081.5,0.8602818226773319,1.0
63,CREBBP;EP300,2062.0,0.9332998933661499,1.0
64,FUS;DDX5,2313.5,0.19977812140145623,1.0
65,FUS;SFPQ,2233.0,0.36915336269873156,1.0
66,FUS;CREB3L2,2418.0,0.07560166022269842,1.0
67,FUS;PABPC1,2256.5,0.3134808870007486,1.0
68,FUS;SMARCA4,2445.0,0.056790137025395176,1.0
69,FUS;NONO,2350.5,0.1432287347685359,1.0
70,FUS;SRSF2,2267.5,0.28841012565995183,1.0
71,FUS;EWSR1,2172.5,0.541277881038631,1.0
72,FUS;DROSHA,2379.0,0.1109007122075177,1.0
73,FUS;HNRNPA2B1,2169.0,0.5532700481948386,1.0
74,PABPC1;DDX6,2054.0,0.9639280992027295,1.0
75,PABPC1;LARP4B,1876.5,0.40232193870906163,1.0
76,PABPC1;RPL5,1912.0,0.5312873606064226,1.0
77,PABPC1;EIF4A2,1919.5,0.555311789255763,1.0
78,PABPC1;DDX3X,1995.0,0.8174232579639673,1.0
79,CNTRL;NIN,1792.0,0.23201633780707742,1.0
80,TSC2;MAPK1,2080.0,0.8658765914409843,1.0
81,TSC2;IKBKB,2225.5,0.38860137454105514,1.0
82,TSC2;TSC1,2147.5,0.6202914467412168,1.0
83,TSC2;AKT3,2170.0,0.5500980395696171,1.0
84,TSC2;AKT2,2105.5,0.7715370327286271,1.0
85,TSC2;PTEN,2307.0,0.21160570057831485,1.0
86,TSC2;MTOR,2002.0,0.8435043332286619,1.0
87,TSC2;AKT1,2235.5,0.36322245134914977,1.0
88,RARA;NPM1,2182.5,0.5119448431942426,1.0
89,RARA;TRIM24,2183.0,0.5104187725066929,1.0
90,RARA;CTNNB1,2225.5,0.38970166253487026,1.0
91,RARA;NCOR1,2245.0,0.3405579639465446,1.0
92,RARA;NCOA2,2173.5,0.5395303694330322,1.0
93,RARA;NCOR2,2286.0,0.2510146716753392,1.0
94,RARA;PML,2204.5,0.44701525000511755,1.0
95,RARA;EP300,2210.0,0.43155422516979713,1.0
96,RARA;EZH2,2196.5,0.4700773710367495,1.0
97,RARA;RUNX1,2229.5,0.3792851151498229,1.0
98,RARA;NCOA1,2224.0,0.3931208950162336,1.0
