,Edge,U,pval,adj_pvals
0,AFDN;MLLT1,2041.5,0.9924126841027227,1.0
1,AFDN;KRAS,2201.5,0.455560274828944,0.9147061163694048
2,AFDN;CTNNA1,2145.5,0.6311614563431828,0.953599720911475
3,AFDN;MLLT10,2119.0,0.7231513888512197,0.9685568596584317
4,AFDN;AFF1,2153.0,0.6058189896255544,0.943914706056754
5,AFDN;KMT2A,2113.5,0.7429354426121797,0.9773774944145053
6,AFDN;CTNND1,2128.0,0.6914583779852281,0.9650597875960469
7,DDX5;CTNNB1,2145.5,0.6304946519150906,0.953599720911475
8,DDX5;DGCR8,2287.0,0.24843475812931815,0.913278880964222
9,DDX5;DROSHA,2227.0,0.38457340641747273,0.913278880964222
10,DDX5;FUS,2259.0,0.3072339546722819,0.913278880964222
11,DDX5;SF3B1,2035.0,0.9677484381241052,0.9960135322761857
12,DDX5;SMAD3,2074.5,0.8862989761667108,0.985918430811997
13,DDX5;TP53,2215.0,0.41650723312382576,0.913278880964222
14,DDX5;EP300,2235.0,0.3643116968689055,0.913278880964222
15,DDX5;DDX3X,2191.0,0.48595602189978426,0.9224312840881461
16,PATZ1;EWSR1,1882.0,0.44281921533647683,0.9147061163694048
17,NOTCH1;CCND1,1811.5,0.2700900828154945,0.913278880964222
18,NOTCH1;KRAS,1855.5,0.3716025686942228,0.913278880964222
19,NOTCH1;NOTCH2,2044.0,1.0,1.0
20,NOTCH1;EP300,1832.0,0.31479546845394646,0.913278880964222
21,NOTCH1;LEF1,1938.0,0.6160638016508402,0.9500471080403066
22,NOTCH1;SMAD3,1745.0,0.15600806133075823,0.913278880964222
23,NOTCH1;NFE2L2,1764.5,0.18475488040336263,0.913278880964222
24,NOTCH1;HIF1A,1720.5,0.1247167677227388,0.913278880964222
25,NOTCH1;AKT1,1731.0,0.13747415833253734,0.913278880964222
26,NOTCH1;FBXW7,1756.5,0.17249890898616116,0.913278880964222
27,NOTCH1;MYC,1755.0,0.1702837539829658,0.913278880964222
28,NOTCH1;CTNNB1,1789.0,0.2264467357658937,0.913278880964222
29,LARP4B;PABPC1,2231.5,0.37417467146281946,0.913278880964222
30,NUP214;RANBP2,2106.5,0.7679643963391461,0.9773774944145053
31,NUP214;NUP98,1902.0,0.5004353927682954,0.9224312840881461
32,NUP214;DEK,2010.0,0.8734711811792811,0.984161708811335
33,NUP214;SET,2092.0,0.8210860924367285,0.9773774944145053
34,NUP214;TPR,1975.0,0.7444221144140972,0.9773774944145053
35,NUP214;ABL1,1814.5,0.2763047184387434,0.913278880964222
36,NUP214;XPO1,1905.5,0.5114213577228457,0.9224312840881461
37,CHD4;EP300,2372.0,0.1194095003489926,0.913278880964222
38,CHD4;BRD4,2189.5,0.4902112480199623,0.9224312840881461
39,CHD4;NAB2,2229.5,0.37869194874882717,0.913278880964222
40,CHD4;EZH2,2274.5,0.2740538203255469,0.913278880964222
41,CHD4;SMARCA4,2327.0,0.17912508309775688,0.913278880964222
42,CHD4;TRIM27,2236.5,0.36067519998315356,0.913278880964222
43,MAX;KMT2A,2451.5,0.05296016926372685,0.913278880964222
44,MAX;MYC,2469.0,0.04351201558827232,0.913278880964222
45,MAX;TRRAP,2167.0,0.5599452576644277,0.9328558606058925
46,ERC1;IKBKB,1701.5,0.10398511222403423,0.913278880964222
47,ZRSR2;SF3B1,2225.5,0.38968376922849035,0.913278880964222
48,ZRSR2;SRSF2,1990.5,0.80112387573634,0.9773774944145053
49,FANCA;PALB2,2081.5,0.8603907439816137,0.9813431670210279
50,FANCA;ATR,2094.0,0.8139764968550243,0.9773774944145053
51,FANCA;SMARCA4,2124.5,0.7038050738981806,0.9656874221894128
52,FANCA;BRCA1,2070.0,0.9035191941986955,0.9914376561884904
