,Gene,U,pval,adj_pvals
0,IL6ST,1687.0,0.09025814432199913,0.7132110023270675
1,CCNC,2028.0,0.9412850361875644,0.9878841649704067
2,KRAS,2242.0,0.3479915948264193,0.7527981439102132
3,MLLT6,1857.0,0.3754981169879441,0.7855815868563567
4,STAG2,1967.0,0.7162185830152661,0.9258435341416854
5,CCND3,2006.0,0.8585700756856582,0.9570579394273976
6,BUB1B,1981.0,0.7664669211068939,0.9410752757325703
7,TRRAP,1670.0,0.07592775099245525,0.7132110023270675
8,CHIC2,1667.0,0.07360116917093193,0.7132110023270675
9,ZRSR2,2507.0,0.027968026227602593,0.7132110023270675
10,SMAD2,1959.0,0.688028448967695,0.9258435341416854
11,MED12,2187.0,0.49831723237717107,0.8205853777164862
12,PBRM1,1760.0,0.17793131714684374,0.7197931312227475
13,SET,1723.0,0.12776604564093105,0.7197931312227475
14,MSI2,1833.5,0.31833188315200134,0.7362078897364993
15,TFG,1994.0,0.8140403138522465,0.9421675764703927
16,SIRPA,2272.0,0.27965232151676866,0.7362078897364993
17,NBN,2000.0,0.8362395912374334,0.9429935816081696
18,B2M,2309.0,0.20880195072573915,0.7197931312227475
19,PICALM,1917.0,0.5477666533385065,0.8272690802244426
20,DAXX,2065.0,0.9223983418853492,0.9810122833429467
21,SDHD,2044.0,1.0,1.0
22,PCM1,1879.0,0.43440222951565843,0.7983877110288243
23,MAP3K1,2344.0,0.15468350881468668,0.7197931312227475
24,ETV6,2254.0,0.3194861618349427,0.7362078897364993
25,PSIP1,2254.0,0.319472634741785,0.7362078897364993
26,DGCR8,1868.0,0.4043084986837061,0.7887736354688254
27,MAP2K2,2361.0,0.13259083536062252,0.7197931312227475
28,ASPSCR1,2220.0,0.4043084986837061,0.7887736354688254
29,TP53,2421.0,0.07360277968358135,0.7132110023270675
30,FANCA,2097.0,0.802995253721829,0.9421675764703927
31,BRD3,1916.0,0.5446064190554832,0.8272690802244426
32,COL1A1,1822.0,0.2925533972885669,0.7362078897364993
33,TFE3,2280.0,0.26311339726020777,0.7362078897364993
34,RANBP2,1873.0,0.4178299031932975,0.7960709865737442
35,TFPT,1613.0,0.040788347083136695,0.7132110023270675
36,NUMA1,1905.0,0.5090881535056949,0.8205853777164862
37,NDRG1,1992.0,0.8037861120141836,0.9421675764703927
38,MAP2K1,2379.0,0.1119483027785135,0.7197931312227475
39,CREB1,1902.0,0.5013367309401231,0.8205853777164862
