,Edge,U,pval,adj_pvals
0,SBDS;FANCE,181.5,0.6664553066572663,0.8233512995932784
1,SBDS;RPL5,166.5,0.4182076530090456,0.6448032877183788
2,SBDS;RPL10,220.0,0.5659975123086387,0.7589547626973692
3,IL6ST;MAPK1,233.5,0.34417615712416916,0.589679502078689
4,IL6ST;PIK3CA,164.5,0.39182079785334745,0.6242749927581541
5,IL6ST;STAT3,242.5,0.24488714315415538,0.49239881884795283
6,IL6ST;PDGFB,241.0,0.2703400296170091,0.5179599413859384
7,IL6ST;PIK3CB,264.0,0.07339077815404851,0.26892429398089823
8,IL6ST;JAK1,244.5,0.2159951139299413,0.4661242257371719
9,IL6ST;SOCS1,216.5,0.6324410096165267,0.8043029746427149
10,IL6ST;PIK3R1,256.5,0.10803549603020582,0.32318363362566693
11,IL6ST;JAK2,228.0,0.434765375693285,0.6587868744541747
12,IL6ST;PTPN11,237.5,0.2945754082369042,0.5454369472923714
13,CCNC;CDK4,293.5,0.01193519483935774,0.11942014950694516
14,CCNC;CREBBP,282.5,0.024979841676635813,0.1648270862637109
15,CCNC;BRD4,261.0,0.09917781696650634,0.3106394894895305
16,CCNC;CDK6,272.0,0.04780168300661644,0.22500200791555214
17,CCNC;ERCC3,261.0,0.10086974459285435,0.3131219490114659
18,CCNC;CCND3,260.0,0.09851092902716642,0.3102385552636122
19,CCNC;MED12,290.5,0.01610558061096164,0.1381031493831522
20,CCNC;MAML2,267.0,0.06817506095198791,0.2608877869327026
21,CCNC;NOTCH1,186.5,0.7761852915418532,0.886258445687261
22,CCNC;POLR2A,248.5,0.18793865608008664,0.43452542270629185
23,CCNC;FBXW7,283.5,0.021932796154354565,0.1558945141698761
24,KRAS;GNA11,193.5,0.9174167900900232,0.9708904957283708
25,KRAS;MAPK1,234.0,0.35177466092465426,0.5958956123306058
26,KRAS;TSC2,199.5,0.979293761886131,0.9946655444500261
27,KRAS;CCND1,211.5,0.732137861641795,0.8617301921615854
28,KRAS;MLH1,219.0,0.5935225718867423,0.7786648526775868
29,KRAS;MSH2,216.0,0.6498163109160919,0.8125646263184667
30,KRAS;MSH6,158.5,0.31635410183837864,0.5633247786294925
31,KRAS;MTOR,201.0,0.9482038876472505,0.9815304114160495
32,KRAS;PTPN11,227.5,0.44626527887741185,0.6705467705786741
33,KRAS;MUTYH,214.0,0.6870794182926057,0.8363960059285057
34,KRAS;PDGFB,224.5,0.5020470371329819,0.7129637972585979
35,KRAS;ARAF,252.5,0.15876287211599716,0.3966184743569203
36,KRAS;LCK,182.0,0.690350151973748,0.8363960059285057
37,KRAS;IDH2,236.0,0.33104478973148155,0.5751153871654763
38,KRAS;MAP2K1,235.5,0.32876885272292367,0.5739095373728322
39,KRAS;MGMT,236.5,0.3233177848725405,0.5689743128761994
40,KRAS;TET2,234.0,0.358209038416185,0.600226903977529
41,KRAS;AKT2,221.5,0.5495307797925266,0.7484275826419866
42,KRAS;PTEN,217.5,0.6203604751725009,0.7974713443187497
43,KRAS;POLE,213.0,0.7067222596535544,0.8472621886234352
44,KRAS;ETV6,224.0,0.5075758040751415,0.7175176799802794
45,KRAS;LZTR1,231.0,0.39793695859618994,0.6286427395300579
46,KRAS;NOTCH1,138.5,0.12938940814742533,0.35494145918391434
47,KRAS;TGFBR2,243.5,0.24486874224372057,0.49239881884795283
48,KRAS;CASP9,200.5,0.9585735762731377,0.9853026163175976
49,KRAS;ARHGEF12,241.5,0.2650814818048549,0.5137625302632255
50,KRAS;CTNNB1,231.5,0.3866397035491791,0.6209166501815463
51,KRAS;ERBB2,196.0,0.9687263046025039,0.9902051275703457
52,KRAS;LYN,246.5,0.21060823861195288,0.46081449936260316
53,KRAS;PDGFRA,196.0,0.9690882747356188,0.9902051275703457
54,KRAS;ABL1,238.0,0.3032260312459205,0.551802084854352
55,KRAS;JAK1,236.5,0.31987739444414953,0.5674276335172782
56,KRAS;ASXL1,231.5,0.39108614739305436,0.6236719891486686
57,KRAS;NF2,245.5,0.22269164101254668,0.4722577142353041
58,KRAS;SOCS1,210.5,0.7550653690720306,0.8760067155013448
59,KRAS;GNAQ,195.5,0.9587552404774149,0.9853026163175976
60,KRAS;NPM1,233.0,0.3703828388529681,0.6074371066171218
61,KRAS;FGFR4,247.5,0.20315293380594002,0.45371462762679576
62,KRAS;SYK,149.0,0.2124440115318994,0.4628653639888293
63,KRAS;BRCA1,231.0,0.39715343829114325,0.6278203464770916
64,KRAS;IDH1,232.0,0.3846060066103858,0.6189752918885897
65,KRAS;JAK2,207.5,0.8129825508035544,0.9098559298610789
66,KRAS;SMARCA4,229.5,0.42129407423180887,0.6480773127159859
67,KRAS;ERBB3,239.5,0.28275096653698917,0.5312198952856954
68,KRAS;MYC,222.5,0.5316424560906141,0.7328044665032789
69,KRAS;MUC1,225.0,0.4918475420236944,0.7050149948599829
70,KRAS;ATM,194.5,0.937914068413739,0.9780919758075394
71,KRAS;AFDN,234.0,0.35878783142764914,0.600226903977529
72,KRAS;HRAS,236.5,0.3056234501091628,0.5539820508707496
73,KRAS;PMS2,212.0,0.7265014140263608,0.8580046270543361
74,KRAS;PDGFRB,209.0,0.7861612217068527,0.8928342508323464
75,KRAS;MAP2K2,224.5,0.4982714935613206,0.7104832127246519
76,KRAS;NF1,212.5,0.7164816113888475,0.8530763872299221
77,KRAS;MAP3K1,229.5,0.4201972995036377,0.6470945461880373
78,KRAS;FAT1,234.0,0.3576771549577392,0.600226903977529
79,KRAS;JUN,213.0,0.7051847460414691,0.8472621886234352
80,KRAS;SMAD4,218.0,0.6118791845555706,0.7918702528875122
81,KRAS;RALGDS,256.0,0.13375393955532197,0.3615702435156179
82,KRAS;RUNX1,226.5,0.46647948712524767,0.6840917771828381
83,KRAS;ARHGAP35,243.5,0.24521517420640482,0.49239881884795283
84,KRAS;CDH1,210.5,0.7566836450106742,0.8760067155013448
85,KRAS;BRAF,203.5,0.8968334221896432,0.9585471393619532
86,KRAS;GNAS,258.0,0.12234345428131817,0.3469097925179997
87,KRAS;AKT1,215.5,0.6565386116295422,0.8166699803196744
88,KRAS;EGFR,205.0,0.8655312179266043,0.9425609061644887
89,KRAS;NRAS,253.0,0.13255208343619768,0.35972946781705184
90,KRAS;U2AF1,217.5,0.6230639048393468,0.7991341636355936
91,KRAS;ARHGAP26,303.5,0.006548260428417031,0.08865467018163573
92,KRAS;DNMT3A,223.5,0.5156226772798833,0.7224769068421518
93,KRAS;PIK3R1,222.0,0.5337798330924302,0.7346400054599742
94,KRAS;EML4,250.5,0.17763184857176484,0.4231746487743676
95,KRAS;MDM2,201.0,0.9478010973524419,0.9815304114160495
96,KRAS;PPARG,222.0,0.5429545929000923,0.7425515429586527
97,KRAS;VAV1,241.5,0.2655625454843148,0.5141909515035405
98,KRAS;CSF1R,196.0,0.9689971414543164,0.9902051275703457
99,KRAS;STK11,245.5,0.21904237932738158,0.46887922518611874
100,KRAS;MET,226.5,0.464173604519049,0.6819810014088891
101,KRAS;ARID1A,232.0,0.38269220023555495,0.6167042118178773
102,KRAS;FGFR1,246.5,0.20836592832629952,0.45854470946713505
103,KRAS;PIK3CA,151.0,0.23093555182525483,0.47929848033902156
104,KRAS;RAF1,227.0,0.45442406430685467,0.6753867640982463
105,KRAS;CDK4,215.5,0.6574695414354774,0.817121817804111
106,KRAS;CDK6,226.0,0.47563794385478797,0.6913515876340385
107,KRAS;CASP3,215.0,0.6670130598970581,0.8234362256570475
108,KRAS;CUL3,233.0,0.371669346914437,0.6089552090088166
109,KRAS;RAP1GDS1,234.0,0.35933309156962834,0.6004964453360884
110,KRAS;HSP90AA1,229.5,0.4194259208554755,0.6463022476543892
111,KRAS;HIF1A,228.5,0.4338186927274247,0.6580564807673005
112,KRAS;KMT2C,243.5,0.2442535813155089,0.49239881884795283
113,KRAS;KDR,164.0,0.38291825132512514,0.6168259963848152
114,KRAS;HSP90AB1,216.0,0.6485224928663887,0.8124654258537803
115,KRAS;EP300,217.0,0.6320563488779575,0.8043029746427149
116,KRAS;EZH2,234.5,0.3490466691370159,0.592803799863157
117,KRAS;TP53,194.5,0.9376238382721909,0.9780919758075394
118,KRAS;STAT3,210.5,0.7513364860497298,0.8742924978111474
119,KRAS;PPP2R1A,229.5,0.4215907218886201,0.6481489624253317
120,KRAS;SRC,221.5,0.545712589008265,0.744091453368814
121,KRAS;PIK3CB,248.5,0.1908960809423702,0.43846834857467015
122,KRAS;APC,247.0,0.21003220221663532,0.4601625340652723
123,KRAS;KEAP1,237.5,0.31002773338261336,0.5573167296960831
124,KRAS;FBXW7,250.5,0.17286638598745674,0.4175655396135256
125,MLLT6;MLLT1,250.5,0.16095198188744186,0.3994873919819473
126,MLLT6;ELL,248.0,0.18662341151405692,0.4335837154725082
127,MLLT6;AFF4,233.5,0.3511868019614426,0.5953242108173185
128,MLLT6;MLLT10,242.0,0.2531382136618361,0.4984014379181503
129,MLLT6;LASP1,239.5,0.28570763550559297,0.5348617994693086
130,MLLT6;AFDN,259.0,0.11413014454806221,0.3344914490147728
131,MLLT6;MLLT3,253.0,0.14949575883543606,0.3841570071794371
132,MLLT6;AFF1,297.5,0.008925923209407983,0.10419527693115585
133,MLLT6;FNBP1,286.0,0.023541514126851164,0.161173455526557
134,MLLT6;CLP1,254.0,0.14957108726490817,0.3841570071794371
135,MLLT6;KMT2A,197.5,1.0,1.0
136,STAG2;MYC,202.5,0.9147585330248732,0.9708904957283708
137,STAG2;RAD21,181.5,0.6496288288778147,0.8125646263184667
138,STAG2;IDH1,241.0,0.25125412978210016,0.497187271616236
139,STAG2;ATRX,170.5,0.4633421994543099,0.6817749506256273
140,STAG2;BRCA1,194.5,0.9345884434966387,0.9780919758075394
141,STAG2;ZRSR2,214.0,0.6571476578744792,0.8170406264650033
142,STAG2;PPP2R1A,209.0,0.7814332518675756,0.8902339778920787
143,STAG2;RUNX1,208.0,0.7966825870921541,0.8985986509763428
144,STAG2;EP300,192.5,0.893280891942714,0.9585471393619532
145,STAG2;EZH2,197.5,1.0,1.0
146,STAG2;SRSF2,186.5,0.7698431290773299,0.8845113641826802
147,STAG2;PHF6,233.5,0.25759267885499704,0.5046893892248043
148,STAG2;STAG1,193.5,0.9169539932657004,0.9708904957283708
149,STAG2;NRAS,205.5,0.8517577900965625,0.9358468252200883
150,STAG2;TET2,187.0,0.7737676581189249,0.886258445687261
151,STAG2;U2AF1,186.5,0.7696133458428653,0.8844408019498078
152,STAG2;KDM6A,233.5,0.345283690083366,0.590421622398412
153,STAG2;CTCF,213.0,0.6920022098724117,0.8379639484692897
154,STAG2;IDH2,225.0,0.4659160493343466,0.6836986793511545
155,STAG2;ASXL1,221.0,0.52175766924323,0.7264227502079743
156,STAG2;NPM1,197.5,1.0,1.0
157,STAG2;DNMT3A,217.5,0.5733654176616464,0.7654100480245563
158,STAG2;SMC1A,181.0,0.6380606611891002,0.8076464224641791
159,STAG2;ETV6,226.0,0.44431771363201955,0.6680862665199262
160,CCND3;CCND1,270.0,0.0507059029736909,0.23038872248352535
161,CCND3;CDKN1B,238.0,0.2717104515324231,0.5198254513359627
162,CCND3;RARA,246.0,0.20647252010692918,0.45729740248104006
163,CCND3;CDK4,271.0,0.05067934301923649,0.23038872248352535
164,CCND3;CREBBP,288.5,0.016366417402335378,0.13815964265291122
165,CCND3;CDKN2C,236.0,0.30691404944621814,0.555296095835471
166,CCND3;CDK6,287.0,0.015420898094928992,0.13559266557926167
167,CCND3;RB1,268.0,0.06215211467320753,0.24919272279583654
168,CCND3;TP53,244.5,0.21463015451662382,0.46550462496937445
169,CCND3;RUNX1,244.5,0.21944731096920456,0.4691724560525973
170,CCND3;MAF,271.5,0.05339441857729761,0.23554662651106986
171,CCND3;MYC,275.5,0.0373360871877131,0.1988646960338004
172,CCND3;CDKN1A,236.5,0.3023326360528861,0.551802084854352
173,CCND3;JAK2,277.5,0.03625903993593338,0.19669950580889844
174,CCND3;SRC,294.5,0.010310152416143546,0.11189923686364059
175,CCND3;NSD2,225.0,0.4765663589715988,0.6921213944367731
176,CCND3;MAFB,289.0,0.015682883020763948,0.1363943452120414
177,CCND3;AKT1,283.5,0.021215692480871767,0.15435738587537312
178,ERG;FUS,109.5,0.023845679496790513,0.16181627630257261
179,ERG;SETDB1,108.5,0.022269703403363535,0.15666338565703092
180,ERG;SPOP,126.5,0.06818940252400546,0.2608877869327026
181,ERG;TMPRSS2,137.5,0.12299594154747082,0.3475027754367946
182,ERG;EWSR1,105.0,0.017545321180203216,0.14157537966145545
183,ERG;CBFB,127.5,0.07216647543256638,0.26758541459347296
184,TRRAP;MLLT1,157.0,0.2934819246188147,0.5445523591063633
