,Gene,U,pval,adj_pvals
0,SBDS,170.0,0.4802972042742021,0.6715660024364949
1,IL6ST,201.0,0.948838148950299,0.9819853331931043
2,CCNC,272.0,0.059230740808431305,0.21431581025340793
3,KRAS,198.0,1.0,1.0
4,MLLT6,243.0,0.25339060281199577,0.4922424005446147
5,STAG2,176.0,0.5810672105592795,0.7672029465323077
6,CCND3,239.0,0.2985782174190261,0.5300602062045632
7,ERG,208.0,0.8073622322086782,0.9133405681787912
8,TRRAP,214.0,0.6907566615121672,0.8504380715760189
9,CHIC2,265.0,0.08784649597832922,0.27041684211530775
10,ZRSR2,232.0,0.38988676824177415,0.6079155531138188
11,STRN,191.0,0.8675028090454214,0.9345371170171131
12,SMAD2,279.0,0.03881515045831202,0.17862506133242617
13,MED12,126.0,0.06648435104210446,0.23171751760262876
14,PBRM1,178.0,0.6167274014648405,0.7987125363233181
15,SET,298.0,0.010655387991341468,0.09903242956658541
16,MSI2,190.0,0.8473325590543686,0.9233219553873394
17,TFG,153.0,0.25339060281199577,0.4922424005446147
18,SIRPA,179.0,0.6349099465172365,0.8068292617940217
19,CXCR4,282.0,0.03210183954955019,0.15850283277590407
20,NBN,233.0,0.37589290717697466,0.5939107933396199
21,B2M,288.0,0.021610879491163883,0.12966527694698332
22,PICALM,212.0,0.7289701952433362,0.8747642342920033
23,ARHGAP26,202.0,0.9284205395352744,0.9714599022951877
24,SDHAF2,218.0,0.6167274014648405,0.7987125363233181
25,DAXX,241.0,0.27535214705005073,0.513846132683953
26,SDHD,211.0,0.7483396960554589,0.8912387334931848
27,PCM1,301.0,0.00851839273487197,0.09613614657926937
28,MAP3K1,268.0,0.07445432739566725,0.25029327081947716
29,ETV6,264.0,0.09273457239445591,0.28358830525788453
30,PSIP1,303.0,0.007315424112801501,0.09371651430994354
31,DGCR8,273.0,0.055857844050205586,0.210131889522202
32,MAP2K2,248.0,0.20391216085864194,0.43933801930452854
33,TMSB4X,290.0,0.018850665261993978,0.1276459333455021
34,ASPSCR1,257.0,0.13323107282522215,0.34135961361705563
35,TP53,210.0,0.7678693450669731,0.8986915297820871
36,FANCA,303.0,0.007315424112801501,0.09371651430994354
37,BRD3,238.0,0.3106682542003675,0.5433828505202
38,COL1A1,147.0,0.19492357717693687,0.43174661486854243
39,TFE3,257.0,0.13323107282522215,0.34135961361705563
40,RANBP2,113.0,0.03009737111136745,0.15850283277590407
41,TFPT,263.0,0.09782725468345203,0.29163596679217774
42,NUMA1,190.0,0.8473524274124318,0.9233219553873394
43,PTPRB,106.0,0.018850665261993978,0.1276459333455021
44,NDRG1,74.0,0.001525469199983024,0.04820482671946356
45,PBX1,96.0,0.009183819057075857,0.09893477802395355
46,MAP2K1,260.0,0.11445525709054205,0.32101651988708246
47,NFKB2,276.0,0.04668551682643292,0.18913619637375387
48,KDR,69.0,0.0009733245083105912,0.046556855660730055
49,CREB1,207.0,0.8273013520254238,0.9140812141259926
50,CIC,249.0,0.19492357717693687,0.43174661486854243
51,MAP3K13,241.0,0.2753363337181304,0.513846132683953
52,ZMYM3,282.0,0.03210183954955019,0.15850283277590407
53,NCOR2,150.0,0.22278664659424452,0.4693372021585418
54,SPOP,152.0,0.24287981051924,0.48575962103848
55,RFWD3,298.0,0.010655387991341468,0.09903242956658541
56,PML,279.0,0.03881515045831202,0.17862506133242617
57,ELK4,258.0,0.12672425515020772,0.3393632595547936
58,ZNF384,217.0,0.6349099465172365,0.8068292617940217
59,HIF1A,100.0,0.012333037819635455,0.10650147634344968
60,EPS15,237.0,0.3230769978711293,0.550857902845019
61,GPHN,250.5,0.18197646277256596,0.41872254055435076
62,NSD2,278.0,0.0413030550527783,0.18127451939830477
63,RAC1,79.0,0.0023543189832670947,0.05873406305624225
64,PHF6,153.0,0.25339060281199577,0.4922424005446147
65,TAF15,177.0,0.5987769201960162,0.7840338678809715
66,TBL1XR1,191.0,0.8675028090454214,0.9345371170171131
67,ABL2,211.0,0.7483396960554589,0.8912387334931848
68,RALGDS,282.0,0.03210183954955019,0.15850283277590407
69,DDB2,285.0,0.026409314189791904,0.14555831309257397
70,LATS1,272.0,0.059230740808431305,0.21431581025340793
71,PDGFRB,72.0,0.0012768757881634826,0.046556855660730055
72,BCR,189.0,0.8273013520254238,0.9140812141259926
73,CREB3L1,178.0,0.6167274014648405,0.7987125363233181
74,CASP9,204.0,0.8877396538403752,0.9477220628836438
75,SPECC1,254.0,0.15403532343344448,0.3712764215904595
76,FLNA,152.0,0.24287981051924,0.48575962103848
77,GOLGA5,279.0,0.03881515045831202,0.17862506133242617
78,MET,167.0,0.43373066072581457,0.6384730844224723
79,ARHGEF10L,253.0,0.1610934750606886,0.37982920597823366
80,TNFAIP3,226.0,0.4802972042742021,0.6715660024364949
81,LRIG3,212.0,0.7289701952433362,0.8747642342920033
82,STAG1,170.0,0.4802972042742021,0.6715660024364949
83,FOXA1,191.0,0.8675028090454214,0.9345371170171131
84,TRIM24,232.0,0.38988676824177415,0.6079155531138188
85,SPEN,177.0,0.5987769201960162,0.7840338678809715
86,VAV1,190.0,0.8473524274124318,0.9233219553873394
87,LHFPL6,143.0,0.16186814263207427,0.37982920597823366
88,TCF12,208.0,0.8073622322086782,0.9133405681787912
89,BCL10,214.0,0.6907566615121672,0.8504380715760189
90,ATR,157.0,0.2985782174190261,0.5300602062045632
91,NUP98,64.0,0.0006115089077282629,0.046556855660730055
92,NTHL1,259.0,0.1204675335555139,0.3339275491538807
93,NRAS,261.0,0.10868167993340119,0.31411656273434246
94,CALR,141.0,0.14701703428651042,0.3629483033948226
95,CRTC1,202.0,0.9284205395352744,0.9714599022951877
96,PRPF40B,208.0,0.8073622322086782,0.9133405681787912
97,SGK1,272.0,0.059230740808431305,0.21431581025340793
98,FANCC,196.0,0.9692894100597967,0.9944657583730382
99,ATRX,163.0,0.37589290717697466,0.5939107933396199
100,PMS2,151.0,0.23267937351869394,0.47744598722017717
101,TMPRSS2,138.0,0.12672425515020772,0.3393632595547936
102,ERBB3,140.0,0.1399935274492911,0.3548499038019464
103,MAP2K4,340.0,0.00028146371718681376,0.046556855660730055
104,FEN1,213.0,0.7097721797596039,0.8582449316480926
105,TPM3,156.0,0.286806458751541,0.524889040340658
106,PPM1D,224.0,0.5127949259545199,0.7024994072324926
107,RUNX1,131.0,0.08785694870412951,0.27041684211530775
108,FNBP1,246.0,0.22278664659424452,0.4693372021585418
