,Edge,U,pval,adj_pvals
0,IL6ST;PIK3CA,241.5,0.2569531676234418,0.5231690941805762
1,IL6ST;STAT3,254.0,0.14130364733844958,0.3809578446709905
2,IL6ST;PIK3CB,258.0,0.11683901596451267,0.34212295203334186
3,IL6ST;JAK1,267.0,0.06548144366300573,0.2520969169825251
4,IL6ST;PIK3R1,255.5,0.13111946789179438,0.36705715347879897
5,IL6ST;JAK2,211.5,0.7328403776719836,0.8960519535431927
6,IL6ST;PTPN11,247.5,0.18488116175932756,0.43055760125055675
7,CCNC;CDK4,296.0,0.011708755332423907,0.1544996860360058
8,CCNC;MED12,289.5,0.018584010632297535,0.1544996860360058
9,KRAS;MAPK1,219.5,0.5867066133527068,0.805569853786127
10,KRAS;MLH1,229.5,0.42430219062298913,0.6867511777250566
11,KRAS;PTPN11,227.5,0.4519341048515826,0.7079627543514391
12,KRAS;ARAF,237.5,0.31312241460773405,0.5824735792370955
13,KRAS;MAP2K1,251.0,0.17154329803824386,0.4152923210160547
14,KRAS;PTEN,232.0,0.3806142405237751,0.6474622300824038
15,KRAS;LZTR1,237.5,0.3133327315074155,0.5824735792370955
16,KRAS;NOTCH1,220.0,0.5789844486628699,0.801322781386096
17,KRAS;ARHGEF12,224.5,0.4998380917407621,0.7481803612965036
18,KRAS;CTNNB1,236.0,0.33274427658438255,0.6007357756102983
19,KRAS;ERBB2,220.0,0.5757239203429636,0.8001477955612767
20,KRAS;LYN,224.0,0.5105019555299288,0.7569786809342226
21,KRAS;PDGFRA,219.0,0.5961630081204801,0.8097085754041051
22,KRAS;GNAQ,193.5,0.9177411008698799,0.9796187147353933
23,KRAS;FGFR4,248.0,0.1996689445234442,0.4490185505989302
24,KRAS;SYK,227.5,0.45343421259376415,0.7079627543514391
25,KRAS;JAK2,206.0,0.8463797827688,0.9555384247708594
26,KRAS;ERBB3,245.0,0.22671151888512986,0.4878667379183407
27,KRAS;MYC,233.0,0.3729801565371944,0.6406482688756516
28,KRAS;AFDN,242.0,0.261907337839382,0.5270992923604518
29,KRAS;HRAS,245.0,0.17097771488459057,0.4152923210160547
30,KRAS;PDGFRB,241.0,0.2705494135151806,0.5410988270303612
31,KRAS;MAP2K2,237.0,0.3163864092489628,0.5858550290288111
32,KRAS;NF1,212.0,0.726325004724399,0.892393399136169
33,KRAS;MAP3K1,215.5,0.659972476250223,0.8457986225002858
34,KRAS;SMAD4,237.5,0.31386579985886665,0.5828936283093238
35,KRAS;RALGDS,212.0,0.7262631808311331,0.892393399136169
36,KRAS;BRAF,244.0,0.2372699409507838,0.5005093954753952
37,KRAS;AKT1,227.5,0.45328323631358214,0.7079627543514391
38,KRAS;EGFR,216.0,0.6508019096680522,0.8385577976200367
39,KRAS;NRAS,247.5,0.18108209203971004,0.42581867212003793
40,KRAS;PIK3R1,230.5,0.4055692104811137,0.668783980445833
41,KRAS;EML4,219.0,0.5972024856156211,0.8097085754041051
42,KRAS;STK11,262.5,0.09724830276606702,0.30348532085664903
43,KRAS;MET,236.0,0.3294147372434145,0.5978576949075011
44,KRAS;ARID1A,238.0,0.3081050031880208,0.5768901898064984
45,KRAS;FGFR1,235.0,0.343615249892264,0.6072455719697553
46,KRAS;PIK3CA,233.0,0.36869893631178985,0.6361732555634337
47,KRAS;RAF1,265.0,0.08273283188428458,0.28573232721912867
48,KRAS;TP53,218.0,0.6139708738839627,0.8170026139571979
49,KRAS;SRC,209.0,0.7861890744253945,0.923530063741487
50,KRAS;PIK3CB,233.0,0.36944534324101297,0.6368821630076681
51,MLLT6;MLLT1,199.0,0.989224005963025,1.0
52,MLLT6;MLLT10,224.0,0.5098106142081441,0.7566075377321585
