,Gene,U,pval,adj_pvals
0,AFDN,226.0,0.4802972042742021,0.716965391887577
1,DDX5,228.0,0.4489556115683859,0.7006428483567234
2,PATZ1,224.0,0.5127949259545199,0.7439137658213457
3,NOTCH1,160.0,0.3358044632350785,0.6346396277653777
4,LARP4B,127.0,0.07037682414434905,0.3020338702861647
5,NUP214,174.0,0.5464027684061007,0.763111662994283
6,NRAS,257.0,0.13323107282522215,0.41901680919077494
7,CHD4,237.0,0.3230769978711293,0.6219987061818004
8,U2AF1,235.0,0.3488502403235172,0.647415761321122
9,MAX,254.0,0.15430686720109812,0.4573699948694419
10,ERC1,107.0,0.02018964725706071,0.20795336674772533
11,ZRSR2,160.0,0.3358044632350785,0.6346396277653777
12,FANCA,303.0,0.007315424112801501,0.15069773672371092
13,ERCC2,231.0,0.4041928685005086,0.6742002502923464
14,CHEK2,207.0,0.8273013520254238,0.9312791175805316
15,PALB2,218.0,0.6167274014648405,0.8015510706735467
16,DDX6,202.0,0.9284205395352744,0.9659324805265985
17,GNAS,235.0,0.3488502403235172,0.647415761321122
18,MAFB,259.0,0.1204675335555139,0.3877548736318104
19,COL3A1,106.0,0.018850665261993978,0.2043808970510926
20,MGMT,222.0,0.5464027684061007,0.763111662994283
21,CBLB,110.0,0.024716460208683427,0.21516644755450226
22,SMC1A,140.0,0.1399935274492911,0.4272395059933921
23,CASP3,237.0,0.3230769978711293,0.6219987061818004
24,ARID1A,129.0,0.07872284356646515,0.3276142580745822
25,SIRPA,203.0,0.9080499494872015,0.9642179875998119
26,XPC,174.0,0.5464027684061007,0.763111662994283
27,EIF3E,173.0,0.5294632528012939,0.7574265977574065
28,BCL7A,291.0,0.017590004183371293,0.20130782565413813
29,KMT2D,207.0,0.8273013520254238,0.9312791175805316
30,PDE4DIP,178.0,0.6167274014648405,0.8015510706735467
31,TPR,226.0,0.4802972042742021,0.716965391887577
32,EZR,281.0,0.03421964942197217,0.22739508970729896
33,PIM1,193.0,0.9080499494872015,0.9642179875998119
34,HSP90AA1,289.0,0.02018964725706071,0.20795336674772533
35,NUP98,192.0,0.8877396538403752,0.9574574277021848
36,MLLT10,237.0,0.3230769978711293,0.6219987061818004
37,HIF1A,148.0,0.20391216085864194,0.5291436750239475
38,MLLT3,222.0,0.5464027684061007,0.763111662994283
39,SH2B3,164.0,0.38988676824177415,0.66377416741988
40,FBXW7,228.0,0.4489556115683859,0.7006428483567234
41,CDH1,211.0,0.7483396960554589,0.885965387284049
42,NDRG1,36.0,3.396424048416211e-05,0.01399326707947479
43,MAP2K2,222.0,0.5464027684061007,0.763111662994283
44,CTNND1,153.0,0.25339060281199577,0.576778609715703
45,NSD3,191.0,0.8675028090454214,0.9505615886348766
46,NFATC2,168.0,0.4489556115683859,0.7006428483567234
47,NF2,201.0,0.948838148950299,0.9773032934188081
48,CCND1,188.0,0.8073622322086782,0.916345012864946
49,IL6ST,183.0,0.7097721797596039,0.8550471873127393
50,IGF2BP2,228.0,0.4489556115683859,0.7006428483567234
51,BRCA1,225.0,0.4964042468530516,0.7278240202970009
52,MED12,196.0,0.9692894100597967,0.9836138841000893
53,IKBKB,167.0,0.43373066072581457,0.6926241558877348
54,MEN1,236.0,0.3358044632350785,0.6346396277653777
55,CLIP1,164.0,0.38988676824177415,0.66377416741988
56,TFPT,217.0,0.6349099465172365,0.809854173266568
57,AKT2,226.0,0.4802972042742021,0.716965391887577
58,CD74,281.0,0.03421964942197217,0.22739508970729896
59,POLR2A,204.0,0.8877396538403752,0.9574574277021848
60,SMARCE1,273.0,0.055857844050205586,0.267598043589357
61,LZTR1,229.0,0.43373066072581457,0.6926241558877348
62,BIRC6,158.0,0.3106682542003675,0.618334882756287
63,BCOR,226.0,0.4802972042742021,0.716965391887577
64,SET,227.0,0.4644793130390542,0.711395825175057
65,NCOR1,187.0,0.7875474996229869,0.9038149577845978
66,PPP2R1A,193.0,0.9080499494872015,0.9642179875998119
67,DICER1,162.0,0.3622134844502446,0.6516679283558986
68,TRIP11,209.0,0.7875201743574822,0.9038149577845978
69,RAC1,221.0,0.5636065486302271,0.7638351909067551
70,STAG2,144.0,0.16970580338281527,0.47889582872410885
71,SMAD2,261.0,0.10868167993340119,0.38270813788513924
72,BCR,163.0,0.37589290717697466,0.6534509609996353
73,ARHGAP35,108.0,0.021610879491163883,0.21516644755450226
74,KRAS,188.0,0.8073622322086782,0.916345012864946
75,CDKN2C,234.0,0.3622134844502446,0.6516679283558986
76,MAP2K1,247.0,0.21319866517955166,0.5291436750239475
77,MLLT1,208.0,0.8073622322086782,0.916345012864946
78,AKAP9,118.0,0.0413030550527783,0.24309798116778084
79,ETV6,208.0,0.8073622322086782,0.916345012864946
80,DDX3X,101.0,0.013256512878193105,0.18205611019385198
81,NSD1,197.0,0.9897608888027161,0.9921690661477348
82,CREBBP,110.0,0.024716460208683427,0.21516644755450226
83,CUL3,251.0,0.17782460227288033,0.48842490757617796
84,MRTFA,237.0,0.3230769978711293,0.6219987061818004
85,NUMA1,130.0,0.08318837823372353,0.33275351293489414
86,SKI,147.0,0.19492357717693687,0.5181194438509548
87,SDHAF2,195.0,0.948838148950299,0.9773032934188081
88,JAK1,138.0,0.12672425515020772,0.40473172962702
89,FAS,307.0,0.005356091567668256,0.14711398172528808
90,STAT6,112.0,0.028201427592094954,0.21516644755450226
91,FOXO4,126.0,0.06648435104210446,0.2977342677102939
92,BMPR1A,187.0,0.7875474996229869,0.9038149577845978
93,EGFR,171.0,0.4964042468530516,0.7278240202970009
94,SRSF2,249.0,0.19492357717693687,0.5181194438509548
95,DGCR8,159.0,0.3230769978711293,0.6219987061818004
96,CBFB,335.0,0.00045926115804810876,0.0630718657052736
97,AFF1,175.0,0.5636065486302271,0.7638351909067551
98,APC,136.0,0.11445525709054205,0.3833785847260433
99,MAF,170.0,0.4802972042742021,0.716965391887577
100,MAP2K4,247.0,0.21319866517955166,0.5291436750239475
101,PICALM,257.0,0.13323107282522215,0.41901680919077494
102,PPP6C,175.0,0.5636065486302271,0.7638351909067551
103,KDM5A,173.0,0.5294632528012939,0.7574265977574065
104,MYD88,294.0,0.014240596416140122,0.1833476788578041
105,PTEN,214.0,0.6907566615121672,0.8520710914461463
106,ASPSCR1,227.0,0.4644793130390542,0.711395825175057
107,TRRAP,177.0,0.5987769201960162,0.7932350196808962
108,FANCG,266.0,0.08318837823372353,0.33275351293489414
109,PDGFB,164.0,0.38988676824177415,0.66377416741988
110,JAZF1,111.0,0.026409314189791904,0.21516644755450226
111,RPL10,175.0,0.5636065486302271,0.7638351909067551
112,BCL6,281.0,0.03421964942197217,0.22739508970729896
113,RB1,263.0,0.09782725468345203,0.3664075357234749
114,ABL2,157.0,0.2985782174190261,0.6150711278831938
115,ERBB2,156.0,0.286806458751541,0.6122500570240149
116,PRKACA,120.0,0.04668551682643292,0.2434738345884856
117,TPM4,165.0,0.4041928685005086,0.6742002502923464
118,PDGFRB,98.0,0.010655387991341468,0.15678642330116732
119,MDM4,210.0,0.7678693450669731,0.8962101137892151
120,CRNKL1,267.0,0.07872284356646515,0.3276142580745822
121,DDB2,285.0,0.026409314189791904,0.21516644755450226
122,BTG2,153.0,0.25339060281199577,0.576778609715703
123,MET,209.0,0.7875474996229869,0.9038149577845978
124,ZEB1,137.0,0.1204675335555139,0.3877548736318104
125,CYLD,204.0,0.8877396538403752,0.9574574277021848
126,ERCC3,215.0,0.6719343085196707,0.8363653628704059
127,SDHD,184.0,0.7289701952433362,0.8730689547681817
128,ARAF,137.0,0.1204675335555139,0.3877548736318104
129,ACVR2A,185.0,0.7483396960554589,0.885965387284049
130,DNMT3A,175.0,0.5636065486302271,0.7638351909067551
131,DNM2,151.0,0.23267937351869394,0.5509419648833443
132,ABL1,145.0,0.17782460227288033,0.48842490757617796
133,BCL3,238.0,0.3106682542003675,0.618334882756287
134,LATS1,158.0,0.3106682542003675,0.618334882756287
135,RAD51B,246.0,0.22278664659424452,0.5367725052446125
136,NAB2,219.0,0.5987769201960162,0.7932350196808962
137,BCL10,202.0,0.9284205395352744,0.9659324805265985
138,CBL,135.0,0.10868167993340119,0.38270813788513924
139,ARHGEF12,158.0,0.3106682542003675,0.618334882756287
140,TRIM24,206.0,0.8473524274124318,0.9359495981070292
141,TFRC,121.0,0.049590915598319414,0.24916411251838536
142,TRIM27,245.0,0.23267937351869394,0.5509419648833443
143,CTCF,228.0,0.4489556115683859,0.7006428483567234
144,PTPRC,217.0,0.6349099465172365,0.809854173266568
145,FANCE,183.0,0.7097721797596039,0.8550471873127393
146,EIF4A2,219.0,0.5987769201960162,0.7932350196808962
147,LATS2,183.0,0.7097721797596039,0.8550471873127393
148,FLI1,194.0,0.9284205395352744,0.9659324805265985
149,DCTN1,191.0,0.8675028090454214,0.9505615886348766
150,ASXL1,161.0,0.3488502403235172,0.647415761321122
151,SND1,198.0,1.0,1.0
152,CDH11,127.0,0.07037682414434905,0.3020338702861647
153,NT5C2,175.0,0.5636065486302271,0.7638351909067551
154,TCF12,73.0,0.0013960784811404194,0.10777549123400477
155,PDGFRA,79.0,0.0023543189832670947,0.10777549123400477
156,ERCC5,239.0,0.2985782174190261,0.6150711278831938
157,SETDB1,183.0,0.7097721797596039,0.8550471873127393
158,CD79B,183.0,0.7097721797596039,0.8550471873127393
159,COL1A1,136.0,0.11445525709054205,0.3833785847260433
160,CREB1,89.0,0.005356091567668256,0.14711398172528808
161,PML,286.0,0.024716460208683427,0.21516644755450226
162,BAX,281.0,0.03421964942197217,0.22739508970729896
163,ATRX,197.0,0.9897608888027161,0.9921690661477348
164,VAV1,144.0,0.16970580338281527,0.47889582872410885
165,ASXL2,119.0,0.04392471974451993,0.2434738345884856
166,STAG1,174.0,0.5464027684061007,0.763111662994283
167,CDK4,300.0,0.009183819057075857,0.15134933806061013
168,CRTC1,206.0,0.8473524274124318,0.9359495981070292
169,CDK12,157.0,0.2985782174190261,0.6150711278831938
170,MUC1,184.0,0.7289701952433362,0.8730689547681817
171,PCBP1,169.0,0.4644793130390542,0.711395825175057
172,CAMTA1,221.0,0.5636065486302271,0.7638351909067551
173,USP8,155.0,0.27535214705005073,0.609919809594736
174,SPEN,176.0,0.5810672105592795,0.7798035529329744
175,DROSHA,196.0,0.9692894100597967,0.9836138841000893
176,LYN,166.0,0.41880854392842093,0.6874466936195595
177,TRIM33,235.0,0.3488502403235172,0.647415761321122
178,STK11,175.0,0.5636065486302271,0.7638351909067551
179,SPOP,206.0,0.8473524274124318,0.9359495981070292
180,ERBB3,167.0,0.43373066072581457,0.6926241558877348
181,USP9X,163.0,0.37589290717697466,0.6534509609996353
182,NPM1,247.0,0.21319866517955166,0.5291436750239475
183,TBL1XR1,142.0,0.15430686720109812,0.4573699948694419
184,ID3,110.0,0.024716460208683427,0.21516644755450226
185,NSD2,304.0,0.006773083796368738,0.15069773672371092
186,MDM2,137.0,0.1204675335555139,0.3877548736318104
187,FANCF,234.0,0.3622134844502446,0.6516679283558986
188,TFG,225.0,0.4964042468530516,0.7278240202970009
189,RAD21,178.0,0.6167274014648405,0.8015510706735467
190,NTHL1,278.0,0.0413030550527783,0.24309798116778084
191,TNFAIP3,204.0,0.8877396538403752,0.9574574277021848
192,KAT7,177.0,0.5987769201960162,0.7932350196808962
193,MTOR,158.0,0.3106682542003675,0.618334882756287
194,CDKN1B,222.0,0.5464027684061007,0.763111662994283
195,SMAD3,115.0,0.03421964942197217,0.22739508970729896
196,MUTYH,141.0,0.14701703428651042,0.4421242198981189
197,ZMYM3,205.0,0.8675028090454214,0.9505615886348766
198,JAK2,146.0,0.18622908570183228,0.5014796294716006
199,CTNNB1,116.0,0.03645573609800801,0.2275721707936257
200,CXCR4,176.0,0.5810672105592795,0.7798035529329744
201,STAT3,72.0,0.0012768757881634826,0.10777549123400477
202,CDK6,256.0,0.1399935274492911,0.4272395059933921
203,BCLAF1,230.0,0.41880854392842093,0.6874466936195595
204,NCOA2,143.0,0.16186814263207427,0.47297641676889784
205,KTN1,241.0,0.27535214705005073,0.609919809594736
206,VHL,243.0,0.25339060281199577,0.576778609715703
207,RUNX1,163.0,0.37589290717697466,0.6534509609996353
