,Edge,U,pval,adj_pvals
0,KMT2A;MLLT1,409.5,0.6167991618000422,1.0
1,KMT2A;KMT2C,383.5,0.9356515466074252,1.0
2,KMT2A;CREBBP,416.0,0.5451165681574721,1.0
3,KMT2A;BRD4,405.5,0.663082274553547,1.0
4,KMT2A;AFF4,398.5,0.7468791594363736,1.0
5,KMT2A;KMT2D,414.5,0.5609929955329657,1.0
6,KMT2A;MLLT10,456.0,0.21104344502565453,1.0
7,KMT2A;MEN1,406.5,0.6513924550367635,1.0
8,KMT2A;SMARCB1,407.5,0.639860536483978,1.0
9,KMT2A;MAX,402.5,0.698583558774784,1.0
10,KMT2A;KDM6A,396.5,0.7714448551651744,1.0
11,KMT2A;PSIP1,410.0,0.6110643851994424,1.0
12,KMT2A;AFF1,427.0,0.4336451888381371,1.0
13,KMT2A;CREB1,426.5,0.4386231877751938,1.0
14,KMT2A;SETD1B,401.0,0.7163287467689677,1.0
15,ACVR1;SMAD2,328.5,0.4291703566266988,1.0
16,ACVR1;SMAD3,361.0,0.7900618953518179,1.0
17,ACVR1;BMPR1A,318.0,0.33602433474236526,1.0
18,ACVR1;ACVR1B,306.5,0.251150081201447,1.0
19,EZR;MYH9,389.5,0.8590988773233331,1.0
20,EZR;ERBB2,359.0,0.764898895055383,1.0
21,EZR;PRKACA,312.5,0.293766177209996,1.0
22,EZR;HSP90AA1,347.0,0.6222501289437954,1.0
23,EZR;HSP90AB1,334.0,0.48216907269480225,1.0
24,EZR;RHOA,399.0,0.7403718397000445,1.0
25,PATZ1;EWSR1,334.0,0.48278459612439883,1.0
26,CREBBP;CCND1,448.5,0.2584581310772033,1.0
27,CREBBP;RARA,374.5,0.9613812756592802,1.0
28,CREBBP;MDM2,406.5,0.6514241297200589,1.0
29,CREBBP;SMAD2,411.0,0.5999495300988381,1.0
30,CREBBP;KMT2D,423.5,0.46756535831499935,1.0
31,CREBBP;AKT1,446.5,0.2723444048944478,1.0
32,CREBBP;KAT6A,403.5,0.6865909354376329,1.0
33,CREBBP;TCF12,364.5,0.8337159406059221,1.0
34,CREBBP;FOXO3,427.5,0.428881487980172,1.0
35,CREBBP;NCOR2,380.5,0.9742403567028326,1.0
36,CREBBP;NCOA2,380.0,0.9806723433186483,1.0
37,CREBBP;NCOR1,418.0,0.5238001365737275,1.0
38,CREBBP;CTNNB1,438.0,0.33685249017423424,1.0
39,CREBBP;ARNT,413.5,0.5720912408734868,1.0
40,CREBBP;CCND3,456.0,0.21102440283450286,1.0
41,CREBBP;CDKN1A,445.5,0.2796253587263037,1.0
42,CREBBP;TCF3,364.0,0.82757746088265,1.0
43,CREBBP;BRCA1,408.5,0.6283372997866483,1.0
44,CREBBP;NCOA1,391.5,0.8336223211830927,1.0
45,CREBBP;TCF7L2,426.5,0.4383939346572908,1.0
46,CREBBP;CREB3L2,415.5,0.550506617327992,1.0
47,CREBBP;MYC,408.5,0.6281891795007402,1.0
48,CREBBP;HIF1A,430.0,0.4057083258607983,1.0
49,CREBBP;CREB1,451.5,0.23866674435586588,1.0
50,CREBBP;SMAD3,434.5,0.36606387548203767,1.0
51,CREBBP;SRC,431.5,0.39245389410691334,1.0
52,CREBBP;NFE2L2,452.0,0.23548528424505966,1.0
53,CREBBP;STAT3,453.5,0.22603894996968676,1.0
54,CREBBP;JUN,428.0,0.42434095171726216,1.0
55,CREBBP;EP300,390.5,0.8461165938826174,1.0
56,FUS;DDX5,424.0,0.46095694773706497,1.0
57,FUS;SFPQ,419.0,0.5111752770331301,1.0
58,FUS;CREB3L2,420.0,0.5024288927921458,1.0
59,FUS;PABPC1,454.0,0.2224827469209525,1.0
60,FUS;NONO,369.0,0.8898070858778526,1.0
61,FUS;SRSF2,434.0,0.3687426065179661,1.0
62,FUS;EWSR1,407.5,0.6363978271684447,1.0
63,FUS;DROSHA,421.0,0.4912857864589646,1.0
64,FUS;HNRNPA2B1,421.5,0.4850688021389129,1.0
65,PABPC1;DDX6,349.5,0.650720737956072,1.0
66,PABPC1;LARP4B,352.0,0.6579505012186585,1.0
67,PABPC1;RPL5,354.0,0.7041726023881354,1.0
68,PABPC1;EIF4A2,372.0,0.9291728218285271,1.0
69,PABPC1;DDX3X,334.5,0.48683560935373904,1.0
70,CNTRL;FGFR1OP,378.0,1.0,1.0
71,CNTRL;NIN,436.5,0.3494160412436955,1.0
72,TSC2;MAPK1,284.0,0.13114997852113505,1.0
73,TSC2;IKBKB,365.0,0.8399859807927978,1.0
74,TSC2;TSC1,335.0,0.49085443853127364,1.0
75,TSC2;AKT2,331.5,0.45717889256391187,1.0
76,TSC2;PTEN,307.5,0.2583255977503647,1.0
77,TSC2;MTOR,320.5,0.3570915076420539,1.0
78,TSC2;AKT1,336.5,0.5079049371579053,1.0
79,RARA;NPM1,373.0,0.9421250905978894,1.0
80,RARA;TRIM24,332.0,0.46291946517147264,1.0
81,RARA;CTNNB1,362.0,0.8025299531961183,1.0
82,RARA;NCOR1,356.0,0.7286799979044032,1.0
83,RARA;NCOA2,342.5,0.5719468237898041,1.0
84,RARA;NCOR2,331.5,0.45788672538799136,1.0
85,RARA;PML,337.0,0.513474015220899,1.0
86,RARA;EP300,334.5,0.48777583238700994,1.0
87,RARA;EZH2,360.5,0.7838557577048045,1.0
88,RARA;NCOA1,330.0,0.4422375233935778,1.0
89,KDM6A;KMT2C,412.0,0.5865821134893439,1.0
90,KDM6A;EP300,406.5,0.6514060309562333,1.0
91,KDM6A;KMT2D,423.5,0.46749101176621566,1.0
92,KDM6A;SUZ12,430.0,0.405989107724382,1.0
93,KDM6A;EZH2,408.5,0.6283420749212312,1.0
94,KDM6A;KDM5C,405.5,0.6629679609026564,1.0
95,KDM6A;SETD2,406.5,0.6513698249860695,1.0
96,SPOP;BRD4,356.0,0.7285567689805263,1.0
97,SPOP;CUL3,384.5,0.9228454817449941,1.0
98,SPOP;DAXX,383.5,0.9356613764213713,1.0
99,SPOP;BRD3,367.5,0.8717174094865882,1.0
100,SPOP;TRIM24,318.0,0.33681888272799465,1.0
101,SPOP;SUFU,340.5,0.5501238567636351,1.0
102,SPOP;PTEN,376.5,0.9871186789523724,1.0
103,SPOP;DEK,398.0,0.7530083479343519,1.0
104,SPOP;LZTR1,357.5,0.7468553633895809,1.0
105,SPOP;MYD88,372.5,0.9356899466501016,1.0
106,THRAP3;BCLAF1,378.0,1.0,1.0
107,THRAP3;MED12,417.0,0.5343120310090076,1.0
108,DCTN1;KIF5B,380.0,0.9806782610696873,1.0
109,DCTN1;HSP90AA1,319.0,0.3450493768927395,1.0
110,DCTN1;CLIP1,300.5,0.21242601243823445,1.0
111,DCTN1;NIN,317.5,0.33183755754055133,1.0
112,ASXL1;U2AF1,266.0,0.07191648334472933,0.9816340265975716
113,ASXL1;NPM1,247.5,0.035901768385451824,0.9414485580874371
