,Gene,U,pval,adj_pvals
0,RABEP1,376.5,0.9871272743507145,1.0
1,DDX5,332.5,0.46789335550362987,0.8974197863239713
2,PATZ1,293.5,0.17539479383034062,0.6673762874022309
3,NOTCH1,511.0,0.03256751883265795,0.46352607731446116
4,LARP4B,323.0,0.37923568680281017,0.8692570685493853
5,NUP214,359.0,0.7653781112712998,0.9529707856025008
6,NRAS,543.0,0.007964501624289702,0.3308461480728849
7,CHD4,435.0,0.3620799765948465,0.8515584634730649
8,U2AF1,520.5,0.02197984332173178,0.4407537002936741
9,MAX,451.5,0.2389213836226438,0.7224724894836791
10,ERC1,295.0,0.18323664265868878,0.6673762874022309
11,ZRSR2,344.0,0.5889261199813784,0.9457915157130182
12,FANCA,473.0,0.1274108564678417,0.6673762874022309
13,ERCC2,225.0,0.013893801493874432,0.3308461480728849
14,CHEK2,385.0,0.9164929704433327,1.0
15,PALB2,420.0,0.5032136179633455,0.9186141420819961
16,DDX6,360.0,0.7777174834002654,0.955839874759681
17,GNAS,571.5,0.0018489426831216776,0.3308461480728849
18,CBLB,282.5,0.12540435006560555,0.6673762874022309
19,SMC1A,382.0,0.9549761907873664,1.0
20,CASP3,388.0,0.8782044876558772,0.9954493191067361
21,ARID1A,471.0,0.13566517818090987,0.6673762874022309
22,XPC,345.0,0.6000914352408996,0.9457915157130182
23,EIF3E,291.0,0.16277223793247542,0.6673762874022309
24,KMT2D,509.0,0.03528151244650754,0.46352607731446116
25,PDE4DIP,372.0,0.9292975908932231,1.0
26,TPR,349.5,0.6514964966506221,0.9457915157130182
27,EZR,353.5,0.6986313568984047,0.9457915157130182
28,PIM1,299.0,0.20536385728985862,0.6745140485123805
29,HSP90AA1,485.0,0.08579857091003705,0.5540551782495613
30,STIL,391.0,0.8401769440411797,0.97596014453779
31,NUP98,400.0,0.72871983019151,0.9457915157130182
32,PTPRK,293.5,0.17519681142352117,0.6673762874022309
33,MLLT10,333.0,0.47285268739507835,0.8974197863239713
34,HIF1A,505.0,0.041288973461667745,0.4915968402779816
35,CUX1,460.0,0.18858436264832168,0.6673762874022309
36,PPFIBP1,355.0,0.7166230715826214,0.9457915157130182
37,FBXW7,359.0,0.7653781112712998,0.9529707856025008
38,NDRG1,400.5,0.7226130259504377,0.9457915157130182
39,MAP2K2,447.0,0.26914058581081457,0.7710729420027228
40,CTNND1,372.5,0.9357113493619021,1.0
41,BRIP1,351.0,0.6690334185623694,0.9457915157130182
42,CCND1,533.0,0.012693319633069933,0.3308461480728849
43,IL6ST,333.0,0.47285268739507835,0.8974197863239713
44,IGF2BP2,402.0,0.7046077366151027,0.9457915157130182
45,BRCA1,447.0,0.26916719497732844,0.7710729420027228
46,MED12,273.0,0.09185298997249594,0.5568700123716821
47,IKBKB,367.0,0.8655002145455052,0.9902570022277402
48,MEN1,364.0,0.8276081149420409,0.9732058388670295
49,CLIP1,277.5,0.10669073839647723,0.6078258426255587
50,TFPT,343.5,0.5833562338959715,0.9457915157130182
51,AKT2,366.0,0.8528306044368017,0.9816569797293699
52,POLR2A,395.0,0.7901046290476619,0.9586938333349018
53,ZNRF3,374.5,0.9614011181648896,1.0
54,SMARCE1,373.5,0.9485447285904595,1.0
55,LZTR1,309.0,0.2691339331081304,0.7710729420027228
56,CCDC6,337.0,0.5135559376993837,0.9186141420819961
57,BIRC6,359.0,0.7653686189233119,0.9529707856025008
58,SET,364.5,0.8338367269954611,0.9745147024088058
59,NCOR1,469.0,0.14432654209788737,0.6673762874022309
60,PPP2R1A,410.0,0.6113567962543723,0.9457915157130182
61,DICER1,288.0,0.14881319726466477,0.6673762874022309
62,TRIP11,242.0,0.028825900464014953,0.46352607731446116
63,RAC1,266.0,0.0720746876947407,0.5540551782495613
64,POT1,401.0,0.716619303978425,0.9457915157130182
65,STAG2,403.0,0.6926859206970786,0.9457915157130182
66,SMAD2,482.0,0.09500407035212424,0.5568700123716821
67,BCR,433.5,0.37495140391915216,0.8692570685493853
68,ARHGAP35,288.0,0.14880190878438895,0.6673762874022309
69,KRAS,352.0,0.6808204344285134,0.9457915157130182
70,CDKN2C,295.5,0.185893174426926,0.6673762874022309
71,MAP2K1,361.0,0.7900989327289303,0.9586938333349018
72,MLLT1,387.0,0.8909402042398872,0.9954493191067361
73,AKAP9,274.0,0.09500407035212424,0.5568700123716821
74,ETV6,346.0,0.6113617467097082,0.9457915157130182
75,DDX3X,349.5,0.6515010180903313,0.9457915157130182
76,NSD1,333.5,0.47783470038328646,0.8974197863239713
77,CREBBP,451.0,0.2421994348179738,0.7265983044539214
78,CUL3,219.5,0.010807558858375841,0.3308461480728849
79,RPN1,398.5,0.7468859570750305,0.9529707856025008
80,NUMA1,289.5,0.15571880976328709,0.6673762874022309
81,SKI,401.0,0.7166306063405776,0.9457915157130182
82,SDHAF2,339.0,0.5345563398016371,0.9232627075969206
83,JAK1,237.5,0.023921376694164265,0.45570222602382926
84,CCNE1,452.5,0.2325874166209564,0.7204537051429625
85,HERPUD1,296.5,0.1910821060140354,0.6673762874022309
86,BMPR1A,297.0,0.19409634128466835,0.6673762874022309
87,RMI2,301.5,0.22020508778517744,0.6933730450095257
88,SRSF2,339.0,0.534567693714536,0.9232627075969206
89,DGCR8,298.0,0.19968114640297607,0.6673762874022309
90,CBFB,510.0,0.0338715606334734,0.46352607731446116
91,BTG1,291.0,0.16259685134005242,0.6673762874022309
92,AFF1,318.0,0.337148026433821,0.8280654514204795
93,APC,371.0,0.9164929704433327,1.0
94,MAP2K4,318.5,0.34120369760585023,0.8280654514204795
95,PICALM,345.0,0.6000205014806779,0.9457915157130182
96,PPP6C,359.0,0.7653717831672744,0.9529707856025008
97,KDM5A,310.0,0.27621945764752276,0.7853702489828818
98,MYD88,427.0,0.4339967454787673,0.8748823281873563
99,PTEN,405.0,0.6690290937523635,0.9457915157130182
100,ASPSCR1,379.0,0.9935642326813476,1.0
101,TRRAP,373.0,0.9421315121744244,1.0
102,FANCG,316.0,0.3211526003540198,0.8049943469400103
103,BCL9L,362.0,0.8025487636034494,0.9615442733739441
104,RPL10,366.0,0.8528164537081634,0.9816569797293699
105,RB1,232.0,0.018921216872712504,0.40049909047241466
106,ABL2,297.5,0.19687420479327,0.6673762874022309
107,FLCN,298.0,0.1996873930809825,0.6673762874022309
108,ERBB2,470.0,0.13994430795498922,0.6673762874022309
109,SBDS,379.0,0.9935642326813476,1.0
110,PRKACA,421.0,0.4929823801719836,0.907373366403506
111,TPM4,375.5,0.974262547258221,1.0
