,Edge,U,pval,adj_pvals
0,IL6ST;PIK3CA,331.0,0.44963503228272006,0.9442837984167575
1,IL6ST;STAT3,343.0,0.5760178928747339,0.9661922084650577
2,IL6ST;PIK3CB,344.5,0.5916792199832828,0.9698485115305259
3,IL6ST;JAK1,369.5,0.895508730917547,1.0
4,IL6ST;PIK3R1,333.0,0.4693687755510192,0.9568611641031974
5,IL6ST;PTPN11,326.5,0.4066738039291541,0.9158426324565714
6,CCNC;CDK4,335.5,0.49407904722408513,0.961289747469217
7,CCNC;MED12,364.0,0.8266645468889458,1.0
8,KRAS;MAPK1,327.0,0.4126599659996528,0.9203678279937912
9,KRAS;PTPN11,327.5,0.41623924442246485,0.9229102667492856
10,KRAS;ARAF,267.5,0.07442088172957267,0.6962654937438689
11,KRAS;MAP2K1,250.5,0.03864616918738177,0.6318184547270479
12,KRAS;PTEN,307.0,0.25292218433980607,0.8845524773563562
13,KRAS;LZTR1,275.5,0.09890269568958655,0.6962654937438689
14,KRAS;NOTCH1,317.5,0.3320602942592795,0.8994820582865062
15,KRAS;ARHGEF12,278.0,0.10701000326799603,0.7104581660266953
16,KRAS;CTNNB1,301.5,0.21872730048258426,0.8465932319641483
17,KRAS;ERBB2,293.5,0.17271010009315935,0.8001820464747814
18,KRAS;MYC,305.0,0.24024323248570567,0.8731952452447106
19,KRAS;HRAS,293.5,0.1304435907932039,0.751433047640545
20,KRAS;MAP2K2,260.5,0.05680846476336167,0.6504378852910038
21,KRAS;NF1,278.5,0.10810557451158963,0.710923288100626
22,KRAS;RALGDS,275.0,0.0968576372261277,0.6962654937438689
23,KRAS;BRAF,288.5,0.14644964723296267,0.7700026830530949
24,KRAS;AKT1,307.5,0.2567502268403963,0.8845524773563562
25,KRAS;NRAS,383.5,0.9197880392828267,1.0
26,KRAS;PIK3R1,317.5,0.33000039257696956,0.8994820582865062
27,KRAS;EML4,295.0,0.1814736696645921,0.8092142457994834
28,KRAS;MET,282.5,0.12263630570943912,0.7415754072946366
29,KRAS;ARID1A,278.5,0.10923046579658127,0.7128048968361353
30,KRAS;PIK3CA,332.5,0.46408806441629735,0.9562247264806223
31,KRAS;RAF1,266.0,0.06849315155690988,0.6838696062426352
32,KRAS;SRC,319.5,0.34834877555238863,0.8994820582865062
33,KRAS;PIK3CB,317.5,0.3299323255621488,0.8994820582865062
34,MLLT6;MLLT1,350.0,0.646989574928059,0.9769315035256038
35,MLLT6;MLLT10,389.0,0.8647706702158999,1.0
36,MLLT6;AFF1,340.0,0.5342762013097719,0.9661922084650577
37,STAG2;RAD21,359.0,0.7533138928231238,0.9980085131608587
38,STAG2;STAG1,417.0,0.4289434890002459,0.930410759776223
39,STAG2;CTCF,390.5,0.8444954969134115,1.0
40,STAG2;SMC1A,394.0,0.7991614682542645,1.0
41,CCND3;CCND1,308.5,0.26093153516436096,0.8845524773563562
42,CCND3;CDKN1B,307.0,0.25186750417304427,0.8845524773563562
43,CCND3;CDK4,293.0,0.1663449243791224,0.7889782526200438
44,CCND3;CREBBP,296.0,0.18709495205835835,0.8092142457994834
45,CCND3;CDKN2C,322.0,0.36360017316716364,0.8994820582865062
46,CCND3;RB1,302.5,0.2194858260461685,0.8465932319641483
47,CCND3;CDKN1A,298.5,0.19170641248838471,0.8092142457994834
48,BUB1B;TRIM33,407.0,0.6429871338066465,0.9767896305238991
49,BUB1B;BRCA2,372.0,0.9289312427511038,1.0
50,BUB1B;JUN,393.0,0.8122751994013789,1.0
51,BUB1B;BRCA1,385.5,0.9089562301373502,1.0
52,TRRAP;MAX,368.5,0.8821184547858958,1.0
53,TRRAP;TFPT,378.0,1.0,1.0
54,TRRAP;MYC,360.5,0.7826474371624721,1.0
55,TRRAP;CTNNB1,416.5,0.5378071069115195,0.9661922084650577
56,CHIC2;ETV6,375.0,0.967595132327049,1.0
