,Gene,U,pval,adj_pvals
0,KMT2A,337.0,0.06586427600402926,0.8639711710804887
1,ACVR1,358.0,0.12444150922309007,0.8639711710804887
2,EZR,551.0,0.21741017665614637,0.8803262950083436
3,PATZ1,456.0,0.9024055750844743,0.9849040031464568
4,ZMYM3,368.0,0.16388223465699214,0.8639711710804887
5,TMSB4X,591.0,0.07020441878599258,0.8639711710804887
6,CREBBP,401.0,0.35963198635584415,0.9090995022212357
7,FUS,423.0,0.5493801817163075,0.9366646706413869
8,PABPC1,530.0,0.3521159884616385,0.9090995022212357
9,ZCCHC8,424.0,0.5590434330782331,0.9366646706413869
10,CNTRL,486.0,0.7674301572910827,0.9849040031464568
11,TSC2,401.0,0.35963198635584415,0.9090995022212357
12,RARA,540.0,0.28248431873788615,0.9090995022212357
13,KDM6A,595.0,0.06173437581261711,0.8639711710804887
14,SPOP,363.0,0.14312186516347095,0.8639711710804887
15,THRAP3,413.0,0.45751097268580576,0.9277014453579282
16,DCTN1,454.0,0.8796005786696313,0.9849040031464568
17,ASXL1,502.0,0.5985006042818031,0.9366646706413869
18,EML4,378.0,0.2120785975754751,0.8759768160726145
19,CASP9,454.0,0.8796005786696313,0.9849040031464568
20,NACA,448.0,0.8118554662055558,0.9849040031464568
21,KDM5C,559.0,0.17738389511549424,0.8641779505626642
22,GNAS,541.0,0.2760738559773438,0.9090995022212357
23,APC,446.0,0.7895572959167281,0.9849040031464568
24,SUFU,428.0,0.5985006042818031,0.9366646706413869
25,MSH2,502.0,0.5985006042818031,0.9366646706413869
26,GOPC,511.0,0.5115705546022731,0.9366646706413869
27,NDRG1,355.0,0.11418158195433092,0.8639711710804887
28,BCL3,481.0,0.8230632737581215,0.9849040031464568
29,PAFAH1B2,329.0,0.050611853242670216,0.8639711710804887
30,B2M,321.0,0.03843678704998305,0.8639711710804887
31,LZTR1,517.0,0.45751097268580576,0.9277014453579282
32,PBRM1,607.0,0.041219659192883645,0.8639711710804887
33,NBN,601.0,0.050611853242670216,0.8639711710804887
34,ATR,509.0,0.5303042381110402,0.9366646706413869
35,SUZ12,421.0,0.5303042381110402,0.9366646706413869
36,NIN,527.0,0.37496365952546173,0.9090995022212357
37,RALGDS,455.0,0.8909918050956755,0.9849040031464568
38,ERCC5,495.0,0.6704181229815355,0.968664968566477
39,CIC,542.0,0.26973800210675714,0.9090995022212357
40,SMARCB1,493.0,0.6915726683173911,0.9703710363980516
41,ASXL2,479.0,0.8455852944150652,0.9849040031464568
42,DICER1,548.0,0.23398146262063868,0.8803262950083436
43,SDC4,470.0,0.94823920722769,0.9953892230566912
44,ETV6,376.0,0.2017001700324873,0.8709780069584679
45,DAXX,411.0,0.4402304580916223,0.9277014453579282
46,ATRX,377.0,0.20684213762459092,0.8759768160726145
47,FBXW7,452.0,0.8568950259293664,0.9849040031464568
48,EP300,572.0,0.12444150922309007,0.8639711710804887
49,CRNKL1,420.0,0.5208940233857858,0.9366646706413869
50,MAX,430.0,0.6186916640289162,0.9366646706413869
51,BRAF,297.0,0.01567500166377991,0.8639711710804887
52,DDX5,505.0,0.5687884760776418,0.9366646706413869
53,FIP1L1,560.0,0.17279423421609774,0.8639711710804887
