,Gene,U,pval,adj_pvals
0,KMT2A,253.0,0.0022796603273079175,0.7477285873569969
1,ACVR1,355.0,0.11418158195433092,0.830276273763312
2,EZR,548.0,0.23398146262063868,0.8539670489936492
3,PATZ1,493.0,0.6915726683173911,0.9140295267659174
4,CREBBP,365.0,0.1511699053002133,0.8539670489936492
5,FUS,327.0,0.04729947973400785,0.830276273763312
6,PABPC1,506.0,0.5590434330782331,0.8758808457909226
7,CNTRL,543.0,0.2635524772829728,0.8539670489936492
8,TSC2,429.0,0.6085588413910685,0.8832181414879225
9,RARA,553.0,0.20684213762459092,0.8539670489936492
10,KDM6A,513.0,0.49318829828355704,0.8758808457909226
11,SPOP,386.0,0.2574409937789417,0.8539670489936492
12,THRAP3,409.0,0.42333047507319355,0.857113554469182
13,DCTN1,426.0,0.5786139579921701,0.8786360102844064
14,ASXL1,474.0,0.9024055750844743,0.96728440728009
15,NACA,479.0,0.8455852944150652,0.9559917296082727
16,EML4,383.0,0.23969920136926848,0.8539670489936492
17,CASP9,452.0,0.8568950259293664,0.9559917296082727
18,KDM5C,506.0,0.5590434330782331,0.8758808457909226
19,GNAS,505.0,0.5687884760776418,0.8758808457909226
20,APC,450.0,0.8343072932755606,0.9559917296082727
21,SUFU,472.0,0.9252913924296976,0.9785250461357002
22,MSH2,466.0,0.9942448108219332,0.9972853148305629
23,BCL3,509.0,0.5303042381110402,0.8758808457909226
24,B2M,326.0,0.04571287282239603,0.830276273763312
25,LZTR1,542.0,0.26976333059343416,0.8539670489936492
26,PBRM1,534.0,0.32305579344441027,0.8555114386327217
27,NBN,589.0,0.07480775155892688,0.830276273763312
28,ATR,444.0,0.7674301572910827,0.9498758173263211
29,SUZ12,430.0,0.6186916640289162,0.8861609860326835
30,NIN,586.0,0.08214695567056672,0.830276273763312
31,RALGDS,452.0,0.8568950259293664,0.9559917296082727
32,ERCC5,483.0,0.8006860787312136,0.9559917296082727
33,SMARCB1,509.0,0.5303042381110402,0.8758808457909226
34,ASXL2,433.0,0.6495217256524117,0.8989161435189496
35,DICER1,436.0,0.6809640276828397,0.9140295267659174
36,ETV6,387.0,0.2635524772829728,0.8539670489936492
37,DAXX,479.0,0.8455852944150652,0.9559917296082727
38,ATRX,310.0,0.0258235637181354,0.830276273763312
39,FBXW7,524.0,0.39870554241743494,0.8561519773940344
40,EP300,552.0,0.2120785975754751,0.8539670489936492
41,CRNKL1,502.0,0.5985006042818031,0.8832181414879225
42,MAX,439.0,0.7129707314016505,0.9170760780382013
43,BRAF,307.0,0.023078442855288622,0.830276273763312
44,DDX5,475.0,0.8909918050956755,0.96728440728009
45,BCLAF1,400.0,0.3521096220026608,0.8555114386327217
46,CCNE1,451.0,0.8455852944150652,0.9559917296082727
47,FIP1L1,500.0,0.6186916640289162,0.8861609860326835
48,PCM1,574.5,0.11583892723379602,0.830276273763312
49,DGCR8,424.0,0.5590434330782331,0.8758808457909226
50,CDKN1A,533.0,0.3301699877500761,0.8555114386327217
51,STAG1,444.0,0.7674301572910827,0.9498758173263211
52,LATS1,448.0,0.8118554662055558,0.9559917296082727
53,ERCC2,465.0,1.0,1.0
54,FANCF,583.0,0.09005952694252506,0.830276273763312
55,KAT7,413.0,0.45751097268580576,0.8758808457909226
56,DDB2,522.0,0.4150248914806447,0.8561519773940344
57,JAK1,410.0,0.43173254653937143,0.8634650930787429
58,AFF1,450.0,0.8343072932755606,0.9559917296082727
59,RPL5,429.0,0.6085588413910685,0.8832181414879225
60,CDC73,576.0,0.11091362229832773,0.830276273763312
61,NFE2L2,552.0,0.2120785975754751,0.8539670489936492
62,TRRAP,517.0,0.45751097268580576,0.8758808457909226
63,AKT1,511.0,0.5115705546022731,0.8758808457909226
64,ACVR1B,420.0,0.5208940233857858,0.8758808457909226
65,TCF3,436.0,0.6809640276828397,0.9140295267659174
66,SETD1B,342.0,0.0771922261200318,0.830276273763312
67,SRC,497.0,0.6495217256524117,0.8989161435189496
68,KDM5A,394.0,0.30912951408834854,0.8555114386327217
69,FLNA,450.0,0.8343072932755606,0.9559917296082727
70,NAB2,361.0,0.13540673102426548,0.830276273763312
71,KAT6A,407.0,0.4068163961842105,0.8561519773940344
72,RECQL4,538.0,0.2956059282649369,0.8555114386327217
73,WRN,419.0,0.5115705546022731,0.8758808457909226
74,BCL9L,391.0,0.28899494645821666,0.8539670489936492
75,MSH6,400.0,0.3521159884616385,0.8555114386327217
76,FANCD2,570.0,0.13167163197803708,0.830276273763312
77,FANCA,560.0,0.17279423421609774,0.8539670489936492
78,FEN1,505.0,0.5687884760776418,0.8758808457909226
79,FUBP1,495.5,0.6651276851463506,0.9090078363666791
80,ATF1,409.0,0.42333047507319355,0.857113554469182
81,RAD51B,515.0,0.4751658849488082,0.8758808457909226
82,BRIP1,496.0,0.6599367647474952,0.9056872754693658
83,NFKB2,439.0,0.7129707314016505,0.9170760780382013
84,TSC1,514.0,0.4841316147968867,0.8758808457909226
85,XPO1,496.0,0.6599367647474952,0.9056872754693658
86,NUMA1,395.0,0.31603589974655966,0.8555114386327217
87,POLQ,371.0,0.17738389511549424,0.8539670489936492
88,CASP3,501.0,0.6085588413910685,0.8832181414879225
89,DNAJB1,471.0,0.9367587331908838,0.9785250461357002
90,MALT1,477.0,0.8682342170131616,0.9649130093767192
91,SKI,384.0,0.2455147469690513,0.8539670489936492
92,CTCF,547.0,0.23969920136926848,0.8539670489936492
93,EPS15,588.0,0.0771922261200318,0.830276273763312
94,ARHGEF12,376.0,0.2017001700324873,0.8539670489936492
95,TPR,506.0,0.5590434330782331,0.8758808457909226
96,DDIT3,427.0,0.5885184813181814,0.8832181414879225
97,HIF1A,531.0,0.34470020583071603,0.8555114386327217
98,LSM14A,449.0,0.8230632737581215,0.9559917296082727
99,USP8,516.0,0.46629204227201126,0.8758808457909226
100,ERCC4,414.0,0.46629204227201126,0.8758808457909226
101,KIF5B,568.0,0.13922315566153098,0.830276273763312
102,EZH2,423.0,0.5493801817163075,0.8758808457909226
103,EIF4A2,469.0,0.959730437858738,0.9930333868065176
104,SPEN,348.0,0.09282945155508232,0.830276273763312
105,PRKACA,372.0,0.18206373877239534,0.8539670489936492
106,TFRC,327.0,0.04729947973400785,0.830276273763312
107,NCOR2,391.0,0.28899494645821666,0.8539670489936492
108,ERCC3,388.0,0.26976333059343416,0.8539670489936492
109,ERC1,444.0,0.7674301572910827,0.9498758173263211
110,ARHGAP35,466.0,0.9942448108219332,0.9972853148305629
111,RPL10,342.0,0.0771922261200318,0.830276273763312
112,CUL3,481.0,0.8230632737581215,0.9559917296082727
113,CAMTA1,379.0,0.21738585346246164,0.8539670489936492
114,HMGA1,383.0,0.23969920136926848,0.8539670489936492
115,ID3,356.0,0.11752486809663916,0.830276273763312
116,FADD,528.0,0.3672479686510909,0.8561519773940344
117,POT1,387.0,0.2635524772829728,0.8539670489936492
118,ELL,505.0,0.5687884760776418,0.8758808457909226
119,CDK12,383.0,0.23969920136926848,0.8539670489936492
120,PCBP1,438.0,0.7022421973933268,0.9140295267659174
121,CBLB,548.0,0.23398146262063868,0.8539670489936492
122,PIM1,326.0,0.04571287282239603,0.830276273763312
123,IKBKB,382.0,0.23398146262063868,0.8539670489936492
124,MAP2K4,527.0,0.37496365952546173,0.8561519773940344
125,VHL,541.0,0.2760738559773438,0.8539670489936492
126,TRIP11,498.0,0.6391747396381293,0.8959372418859249
127,FANCC,568.0,0.13922315566153098,0.830276273763312
128,FGFR1OP,481.5,0.8174499631823395,0.9559917296082727
129,SH3GL1,466.0,0.9942448108219332,0.9972853148305629
130,TRIM33,388.0,0.26976333059343416,0.8539670489936492
131,CHEK2,448.0,0.8118554662055558,0.9559917296082727
132,NRAS,388.0,0.26976333059343416,0.8539670489936492
133,RAF1,300.0,0.017638661025985974,0.830276273763312
134,CLTC,547.0,0.23969920136926848,0.8539670489936492
135,TCF7L2,522.0,0.4150248914806447,0.8561519773940344
136,CHD4,514.0,0.4841316147968867,0.8758808457909226
137,SDHA,511.0,0.5115705546022731,0.8758808457909226
138,MET,483.0,0.8006860787312136,0.9559917296082727
139,STAG2,438.0,0.7022421973933268,0.9140295267659174
140,NCOA1,455.0,0.8909918050956755,0.96728440728009
141,PDE4DIP,462.0,0.9712300416970219,0.9955107927394474
142,CLP1,506.0,0.5590434330782331,0.8758808457909226
143,NUP98,386.0,0.2574409937789417,0.8539670489936492
144,JUN,526.0,0.3827787377773624,0.8561519773940344
145,CDKN2C,483.0,0.8006860787312136,0.9559917296082727
146,MYD88,478.0,0.8568950259293664,0.9559917296082727
147,MTCP1,512.0,0.5023349543605022,0.8758808457909226
148,CYLD,463.0,0.9827356301328026,0.9972853148305629
149,PML,579.0,0.10155134312666755,0.830276273763312
150,CBFB,423.0,0.5493801817163075,0.8758808457909226
151,CREB1,558.0,0.18206373877239534,0.8539670489936492
152,BRD4,426.0,0.5786139579921701,0.8786360102844064
153,ATM,388.0,0.26976333059343416,0.8539670489936492
154,HRAS,426.0,0.5786139579921701,0.8786360102844064
155,STAT3,520.0,0.43173254653937143,0.8634650930787429
156,RAP1GDS1,418.0,0.5023349543605022,0.8758808457909226
157,BUB1B,456.0,0.9024055750844743,0.96728440728009
158,ARID1B,480.0,0.8343072932755606,0.9559917296082727
159,ABI1,502.0,0.5985006042818031,0.8832181414879225
160,ABL2,357.0,0.12094450525634767,0.830276273763312
161,PTPN11,397.0,0.3301699877500761,0.8555114386327217
162,RBM15,373.0,0.1868345442281819,0.8539670489936492
163,RPL22,351.0,0.10155134312666755,0.830276273763312
164,CCND1,437.0,0.6915726683173911,0.9140295267659174
165,SDHB,382.0,0.23398146262063868,0.8539670489936492
166,SFPQ,459.0,0.9367587331908838,0.9785250461357002
167,PMS2,536.0,0.30912951408834854,0.8555114386327217
168,BCL9,476.0,0.8796005786696313,0.9649130093767192
169,CTNNB1,548.0,0.23398146262063868,0.8539670489936492
170,MUTYH,464.0,0.9942448108219332,0.9972853148305629
171,KMT2C,319.0,0.035815256742690656,0.830276273763312
172,TMEM127,377.0,0.20684213762459092,0.8539670489936492
173,PALB2,530.0,0.3521159884616385,0.8555114386327217
174,XPA,390.0,0.28248431873788615,0.8539670489936492
175,IL6ST,397.0,0.3301699877500761,0.8555114386327217
176,SDHC,522.0,0.4150248914806447,0.8561519773940344
177,NTHL1,528.0,0.3672416343726419,0.8561519773940344
178,CANT1,525.0,0.39069283643803765,0.8561519773940344
179,GNA11,428.0,0.5985006042818031,0.8832181414879225
180,RHOA,432.0,0.6391747396381293,0.8959372418859249
181,PPP2R1A,566.0,0.14710380487164834,0.8539670489936492
182,SDHAF2,459.0,0.9367587331908838,0.9785250461357002
183,PICALM,574.0,0.11752486809663916,0.830276273763312
184,BCR,502.0,0.5985006042818031,0.8832181414879225
185,BAX,527.0,0.37496365952546173,0.8561519773940344
186,ABL1,441.0,0.7345971059854832,0.9375402753433404
187,CTNNA1,431.0,0.6288975010867388,0.8959372418859249
188,EIF1AX,476.0,0.8796005786696313,0.9649130093767192
189,SMAD3,464.0,0.9942448108219332,0.9972853148305629
190,TPM4,388.0,0.26976333059343416,0.8539670489936492
191,YWHAE,347.0,0.09005952694252506,0.830276273763312
192,GPHN,571.0,0.12801688620505056,0.830276273763312
193,ARHGAP5,476.0,0.8796005786696313,0.9649130093767192
194,BCL10,420.0,0.5208940233857858,0.8758808457909226
195,ZRSR2,572.0,0.12444150922309007,0.830276273763312
196,POLD1,388.0,0.26976333059343416,0.8539670489936492
197,IDH1,516.0,0.46629204227201126,0.8758808457909226
198,FH,571.0,0.12801688620505056,0.830276273763312
199,NT5C2,401.5,0.36342115223698557,0.8561519773940344
200,HLA-A,298.0,0.0163070548447693,0.830276273763312
201,PMS1,454.0,0.8796005786696313,0.9649130093767192
202,NSD1,389.0,0.2760738559773438,0.8539670489936492
203,TCEA1,479.0,0.8455852944150652,0.9559917296082727
204,ARAF,337.0,0.06586427600402926,0.830276273763312
205,NPM1,509.0,0.5303042381110402,0.8758808457909226
206,TBL1XR1,361.0,0.13540673102426548,0.830276273763312
207,ARID1A,525.0,0.39069283643803765,0.8561519773940344
208,BRD3,418.0,0.5023349543605022,0.8758808457909226
209,MLLT6,486.0,0.7674301572910827,0.9498758173263211
210,MED12,425.0,0.5687884760776418,0.8758808457909226
211,MAP2K1,358.0,0.12444150922309007,0.830276273763312
212,BAP1,424.0,0.5590434330782331,0.8758808457909226
213,CLIP1,475.0,0.8909918050956755,0.96728440728009
214,MDM2,518.0,0.44882351443879576,0.8758808457909226
215,SMC1A,456.0,0.9024055750844743,0.96728440728009
216,SMARCD1,462.0,0.9712300416970219,0.9955107927394474
217,RNF213,399.0,0.34470020583071603,0.8555114386327217
218,CREB3L2,472.0,0.9252913924296976,0.9785250461357002
219,EWSR1,329.0,0.050611853242670216,0.830276273763312
220,EED,408.0,0.4150248914806447,0.8561519773940344
221,ATP1A1,444.0,0.7674301572910827,0.9498758173263211
222,RMI2,528.0,0.3672479686510909,0.8561519773940344
223,ASPSCR1,445.5,0.7840060224177259,0.9559917296082727
224,PIK3CA,397.0,0.3301699877500761,0.8555114386327217
225,KTN1,443.0,0.7564360416079277,0.9498758173263211
226,HSP90AB1,299.0,0.01696139304372733,0.830276273763312
227,MYH9,437.0,0.6915726683173911,0.9140295267659174
228,PIK3CB,483.0,0.8006860787312136,0.9559917296082727
229,MLLT1,442.0,0.7454910084152386,0.9477560106984428
230,SF3B1,550.0,0.2228374730763003,0.8539670489936492
231,CHIC2,383.5,0.24258226437032882,0.8539670489936492
232,ITGAV,479.0,0.8455852944150652,0.9559917296082727
233,BLM,508.0,0.5398000294632219,0.8758808457909226
234,PLCG1,451.0,0.8455852944150652,0.9559917296082727
235,CBL,531.0,0.34470020583071603,0.8555114386327217
236,SETD2,492.0,0.7022421973933268,0.9140295267659174
237,NCOR1,456.0,0.9024055750844743,0.96728440728009
238,MYC,441.0,0.7345971059854832,0.9375402753433404
239,FANCG,535.0,0.31604229774366377,0.8555114386327217
240,MEN1,491.0,0.7129707314016505,0.9170760780382013
241,ERBB2,362.0,0.13922315566153098,0.830276273763312
242,AXIN1,461.0,0.959730437858738,0.9930333868065176
243,FANCE,570.0,0.13167163197803708,0.830276273763312
244,AKAP9,337.0,0.06586427600402926,0.830276273763312
245,LARP4B,552.0,0.2120785975754751,0.8539670489936492
246,IDH2,536.0,0.30912951408834854,0.8555114386327217
247,TRIM27,498.0,0.6391747396381293,0.8959372418859249
248,CNOT3,492.0,0.7022421973933268,0.9140295267659174
249,ELK4,498.0,0.6391747396381293,0.8959372418859249
250,RANBP2,510.0,0.5208940233857858,0.8758808457909226
251,POLR2A,353.0,0.10771995668450265,0.830276273763312
252,AFF4,468.0,0.9712300416970219,0.9955107927394474
253,TFG,532.0,0.3373848248173086,0.8555114386327217
254,WWTR1,555.0,0.19665204036704242,0.8539670489936492
255,CCND3,524.0,0.39870554241743494,0.8561519773940344
256,POLG,525.0,0.39069283643803765,0.8561519773940344
257,NUP214,471.0,0.9367587331908838,0.9785250461357002
258,MAPK1,403.0,0.37496365952546173,0.8561519773940344
259,DEK,513.0,0.49318829828355704,0.8758808457909226
260,BIRC6,417.0,0.49318829828355704,0.8758808457909226
261,PPP6C,574.0,0.11752486809663916,0.830276273763312
262,RAD21,516.0,0.46629204227201126,0.8758808457909226
263,IGF2BP2,436.0,0.6809640276828397,0.9140295267659174
264,BRCA2,466.0,0.9942448108219332,0.9972853148305629
265,ATIC,400.0,0.3521159884616385,0.8555114386327217
266,TCF12,419.0,0.5115705546022731,0.8758808457909226
267,SS18L1,445.0,0.7784712775337735,0.9559917296082727
268,AKT2,513.0,0.49318829828355704,0.8758808457909226
269,DROSHA,596.0,0.05975120936067973,0.830276273763312
270,USP9X,471.0,0.9367587331908838,0.9785250461357002
271,ARNT,505.0,0.5687884760776418,0.8758808457909226
272,KAT6B,357.0,0.12094450525634767,0.830276273763312
273,CCNC,420.0,0.5208940233857858,0.8758808457909226
274,SET,539.0,0.28899494645821666,0.8539670489936492
275,PPM1D,398.0,0.3373848248173086,0.8555114386327217
276,PRKAR1A,507.0,0.5493801817163075,0.8758808457909226
277,DDX3X,277.0,0.006832064751861515,0.830276273763312
278,SMARCE1,532.0,0.3373848248173086,0.8555114386327217
279,BRCA1,479.0,0.8455852944150652,0.9559917296082727
280,GMPS,447.0,0.8006860787312136,0.9559917296082727
281,KMT2D,356.0,0.11752486809663916,0.830276273763312
282,SDHD,501.0,0.6085588413910685,0.8832181414879225
283,RB1,507.0,0.5493801817163075,0.8758808457909226
284,MTOR,401.0,0.35963198635584415,0.8561519773940344
285,SRSF3,404.0,0.3827787377773624,0.8561519773940344
286,CASP8,509.0,0.5303042381110402,0.8758808457909226
287,MDM4,398.0,0.3373848248173086,0.8555114386327217
288,CDK4,525.0,0.39069283643803765,0.8561519773940344
289,TFPT,430.0,0.6186916640289162,0.8861609860326835
290,DNM2,484.0,0.7895572959167281,0.9559917296082727
291,TPM3,494.0,0.6809640276828397,0.9140295267659174
292,KRAS,340.0,0.07248378176218036,0.830276273763312
293,BARD1,478.0,0.8568950259293664,0.9559917296082727
294,RAD17,517.0,0.45751097268580576,0.8758808457909226
295,XPC,390.0,0.28248431873788615,0.8539670489936492
296,U2AF1,591.0,0.07021925278063376,0.830276273763312
297,NF1,406.0,0.39870554241743494,0.8561519773940344
298,POLE,551.0,0.21741017665614637,0.8539670489936492
299,CRTC3,558.0,0.18206373877239534,0.8539670489936492
300,STRN,582.0,0.09282945155508232,0.830276273763312
301,NFKBIE,414.0,0.46629204227201126,0.8758808457909226
302,CDKN1B,545.0,0.25142854162526174,0.8539670489936492
303,CTNND1,565.0,0.1511699053002133,0.8539670489936492
304,PSIP1,356.0,0.11752486809663916,0.830276273763312
305,SMAD2,398.0,0.3373848248173086,0.8555114386327217
306,NONO,351.0,0.10155134312666755,0.830276273763312
307,EIF3E,548.0,0.23398146262063868,0.8539670489936492
308,RAC1,523.0,0.4068163961842105,0.8561519773940344
309,PTEN,493.0,0.6915726683173911,0.9140295267659174
310,HSP90AA1,348.0,0.09282945155508232,0.830276273763312
311,MLLT10,389.0,0.2760738559773438,0.8539670489936492
