,Edge,U,pval,adj_pvals
0,SBDS;FANCE,431.0,0.6182219183847547,0.9871326356666362
1,SBDS;RPL5,512.0,0.49824558053371215,0.9795784501291127
2,SBDS;RPL10,479.0,0.8433989859423091,0.9928523207139027
3,CCNC;CDK4,466.5,0.9883154635254172,1.0
4,CCNC;CREBBP,454.5,0.8838320727486182,0.9981294510388369
5,CCNC;BRD4,468.5,0.9651658909938667,1.0
6,CCNC;ERCC3,476.5,0.8726456062553771,0.998094738607694
7,CCNC;CCND3,419.5,0.5097090185321315,0.9795784501291127
8,CCNC;MED12,444.0,0.764834234801776,0.9879003208579684
9,CCNC;POLR2A,433.0,0.6461313810900285,0.9879003208579684
10,CCNC;FBXW7,461.0,0.9592258822380662,1.0
11,IL6ST;MAPK1,341.5,0.07341580861716548,0.7790051029309115
12,IL6ST;PIK3CA,367.5,0.15960785667072952,0.8186908993870043
13,IL6ST;STAT3,337.5,0.06457952817295937,0.7790051029309115
14,IL6ST;PIK3CB,315.5,0.029816180868196936,0.7790051029309115
15,IL6ST;JAK1,332.0,0.052466101011651896,0.7790051029309115
16,IL6ST;PIK3R1,358.5,0.12285771482179697,0.7915206980099642
17,IL6ST;PTPN11,355.0,0.11000198236238792,0.7885158814969477
18,KRAS;GNA11,465.0,1.0,1.0
19,KRAS;MAPK1,460.5,0.9536326637551626,1.0
20,KRAS;TSC2,448.5,0.8157112233842964,0.9901297571207203
21,KRAS;CCND1,450.0,0.8327862524220335,0.9906506216760247
22,KRAS;MSH2,437.0,0.6888963571539963,0.9879003208579684
23,KRAS;MSH6,475.5,0.8851272096768836,0.9981294510388369
24,KRAS;MTOR,443.0,0.7539829597334906,0.9879003208579684
25,KRAS;PTPN11,489.0,0.730340580014073,0.9879003208579684
26,KRAS;MUTYH,430.5,0.6209650195931445,0.9871326356666362
27,KRAS;ARAF,454.0,0.8783557623771212,0.9981294510388369
28,KRAS;IDH2,450.5,0.8391472545480864,0.9914647230676736
29,KRAS;MAP2K1,438.5,0.7030593152749589,0.9879003208579684
30,KRAS;AKT2,420.0,0.5171589641790444,0.9795784501291127
31,KRAS;PTEN,440.5,0.7258240748881226,0.9879003208579684
32,KRAS;POLE,442.5,0.7491356715414059,0.9879003208579684
33,KRAS;ETV6,475.5,0.884676863270297,0.9981294510388369
34,KRAS;LZTR1,455.5,0.8961967237604116,0.9993015903194349
35,KRAS;CASP9,428.0,0.5949684187457293,0.9849438747671071
36,KRAS;ARHGEF12,481.5,0.8161995867791277,0.9901297571207203
37,KRAS;CTNNB1,456.0,0.9016063293369215,0.9994312414934761
38,KRAS;ERBB2,533.5,0.3231797600656068,0.9343642561494062
39,KRAS;ABL1,468.0,0.9709370630234937,1.0
40,KRAS;JAK1,463.0,0.9825787933490256,1.0
41,KRAS;ASXL1,429.0,0.6055780626075953,0.9870502962745643
42,KRAS;NPM1,454.5,0.8845204449119964,0.9981294510388369
43,KRAS;BRCA1,450.5,0.8384456433469725,0.9914647230676736
44,KRAS;IDH1,432.5,0.6424111609918763,0.9879003208579684
45,KRAS;MYC,444.0,0.7658525257696204,0.9879003208579684
46,KRAS;ATM,427.5,0.5901385007046855,0.9849438747671071
47,KRAS;HRAS,485.5,0.7648218465482796,0.9879003208579684
48,KRAS;PMS2,453.0,0.8673766825422898,0.9969691381866166
49,KRAS;MAP2K2,460.0,0.9476942968130647,1.0
50,KRAS;NF1,437.0,0.6890193404329775,0.9879003208579684
51,KRAS;FAT1,444.0,0.7653296997268513,0.9879003208579684
